lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1143554,3,-0.21411,-0.00879,-0.20264,0.95551,-0.24609,1.30078,-1.41406,-0.60742,0.01172,-0.18164,-0.39582,-0.10376,-0.42006
1,9766,3,-0.21637,-0.00830,-0.20361,0.95483,-0.14062,1.64453,-2.23828,-1.06445,-0.15625,-0.17578,-0.39772,-0.10415,-0.42468
2,9766,3,-0.22046,-0.00800,-0.20447,0.95367,0.05078,2.02344,-3.24219,-1.62109,-0.52539,-0.11719,-0.39916,-0.10560,-0.43298
3,9765,3,-0.22711,-0.00836,-0.20490,0.95203,-0.41016,2.21484,-5.09375,-2.39844,-0.75195,0.00977,-0.39917,-0.10921,-0.44625
4,10742,3,-0.23755,-0.00940,-0.20453,0.94958,-1.12500,2.39453,-4.41797,-3.16992,-0.78320,0.14648,-0.39685,-0.11527,-0.46706
5,9766,3,-0.25153,-0.01013,-0.20337,0.94617,-1.30859,2.14062,-5.08984,-4.03516,-0.94336,0.27344,-0.39260,-0.12178,-0.49541
6,9766,3,-0.26935,-0.01025,-0.20148,0.94171,-1.51562,1.60156,-5.50781,-4.81836,-0.99023,0.47852,-0.38657,-0.12819,-0.53204
7,12695,3,-0.29144,-0.00983,-0.19855,0.93573,-1.88672,0.98047,-4.23047,-5.29297,-0.71289,0.71680,-0.37811,-0.13452,-0.57810
8,7812,3,-0.31470,-0.00800,-0.19489,0.92896,-1.91797,0.87500,-3.88281,-5.57812,-0.41797,0.97266,-0.36876,-0.13795,-0.62750
9,9766,3,-0.34033,-0.00397,-0.19025,0.92084,-1.79297,0.80469,-3.81250,-5.77734,-0.21289,1.22266,-0.35862,-0.13723,-0.68313
10,9766,3,-0.36804,0.00220,-0.18439,0.91132,-1.63281,-0.24219,-3.65234,-5.93750,-0.04688,1.45703,-0.34763,-0.13211,-0.74443
11,10742,3,-0.39441,0.00940,-0.17798,0.90149,-1.69922,-0.85547,-3.37891,-6.19531,0.08984,1.69531,-0.33719,-0.12376,-0.80374
12,9766,3,-0.42175,0.01807,-0.17041,0.89038,-1.62109,-1.32422,-3.15625,-6.46094,0.22656,1.89844,-0.32646,-0.11180,-0.86630
13,12695,3,-0.44946,0.02802,-0.16205,0.87799,-1.47266,-1.56641,-2.64062,-6.52930,0.44727,2.01562,-0.31647,-0.09663,-0.93085
14,6836,3,-0.47583,0.03857,-0.15363,0.86517,-0.49609,-2.25000,-1.56641,-6.35938,0.71680,2.02539,-0.30835,-0.07953,-0.99329
15,10742,3,-0.47583,0.03857,-0.15363,0.86517,0.16797,-2.39062,-0.96484,-6.06250,0.95117,1.91211,-0.30835,-0.07953,-0.99329
16,9766,3,-0.52899,0.06445,-0.13647,0.83508,0.53906,-2.75781,-0.46484,-5.75977,1.10156,1.69727,-0.30085,-0.03675,-1.12375
17,12695,3,-0.55225,0.07751,-0.12958,0.81989,0.55078,-3.17578,0.10547,-5.41211,1.07227,1.32422,-0.30274,-0.01601,-1.18308
18,6836,3,-0.57257,0.08911,-0.12439,0.80542,1.09766,-5.28125,2.29297,-4.87695,0.84570,0.92578,-0.30724,0.00110,-1.23617
19,10742,3,-0.59216,0.09949,-0.12018,0.79053,1.80469,-6.13672,4.07812,-4.01758,0.65625,0.66797,-0.31297,0.01497,-1.28818
