lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1333008,3,0.00269,-0.00598,-0.78809,0.61554,-0.27344,-0.08203,-1.85938,-0.27539,-0.18750,-0.00391,-1.81545,-0.00313,0.01273
1,10742,3,0.00128,-0.00555,-0.78809,0.61554,-0.32812,-0.17578,-2.08984,-0.32227,-0.22070,0.00195,-1.81545,-0.00482,0.01033
2,9766,3,-0.00043,-0.00500,-0.78809,0.61554,-0.46875,-0.17969,-2.42578,-0.38281,-0.27539,0.00781,-1.81545,-0.00683,0.00736
3,9765,3,-0.00244,-0.00439,-0.78809,0.61554,-0.64453,-0.21875,-3.50000,-0.48242,-0.37891,0.02930,-1.81545,-0.00926,0.00392
4,10743,3,-0.00513,-0.00366,-0.78802,0.61566,-0.75781,-0.21875,-4.03516,-0.60547,-0.51953,0.04883,-1.81516,-0.01259,-0.00054
5,9765,3,-0.00861,-0.00287,-0.78784,0.61578,-0.83594,-0.24219,-4.52734,-0.74609,-0.67969,0.05859,-1.81469,-0.01709,-0.00608
6,9766,3,-0.01300,-0.00208,-0.78766,0.61597,-0.89844,-0.21484,-4.91016,-0.90234,-0.85547,0.06055,-1.81408,-0.02304,-0.01275
7,9765,3,-0.01855,-0.00116,-0.78741,0.61615,-0.81641,-0.27734,-5.47656,-1.09180,-1.04492,0.06250,-1.81332,-0.03065,-0.02105
8,10743,3,-0.02539,-0.00018,-0.78711,0.61627,-0.67969,-0.14453,-5.42969,-1.27539,-1.22266,0.04102,-1.81245,-0.04021,-0.03104
9,9765,3,-0.03357,0.00104,-0.78680,0.61633,-0.37500,-0.10156,-5.26172,-1.42578,-1.38672,0.00977,-1.81149,-0.05157,-0.04308
10,9766,3,-0.04285,0.00232,-0.78644,0.61621,0.30469,-0.42969,-4.85547,-1.59180,-1.54102,-0.04102,-1.81051,-0.06458,-0.05660
11,9765,3,-0.05322,0.00372,-0.78607,0.61578,0.39453,-0.47266,-4.71484,-1.78711,-1.70898,-0.10742,-1.80972,-0.07918,-0.07169
12,10743,3,-0.06482,0.00537,-0.78577,0.61505,0.49609,-0.60938,-4.60938,-1.99023,-1.88867,-0.20508,-1.80910,-0.09541,-0.08870
13,12695,3,-0.07776,0.00720,-0.78552,0.61383,0.59375,-1.00391,-4.45312,-2.15820,-2.06250,-0.32031,-1.80884,-0.11357,-0.10768
14,6836,3,-0.09143,0.00909,-0.78540,0.61212,0.71094,-2.18750,-3.48047,-2.20898,-2.23438,-0.48047,-1.80901,-0.13288,-0.12769
15,10742,3,-0.09143,0.00909,-0.78540,0.61212,0.64844,-2.86328,-2.84375,-2.16406,-2.41992,-0.63477,-1.80901,-0.13288,-0.12769
16,9766,3,-0.12292,0.01215,-0.78571,0.60614,0.48047,-3.60938,-1.76953,-2.01367,-2.44336,-0.64648,-1.81192,-0.17940,-0.17169
17,9765,3,-0.13885,0.01263,-0.78589,0.60242,-0.25781,-5.15625,0.69141,-1.74023,-2.27539,-0.45898,-1.81379,-0.20445,-0.19233
18,9766,3,-0.15393,0.01251,-0.78571,0.59900,-0.83984,-5.67188,1.82031,-1.38281,-1.91016,-0.05469,-1.81449,-0.22890,-0.21110
19,10742,3,-0.16687,0.01215,-0.78467,0.59686,-1.33984,-5.71484,2.71094,-1.03516,-1.54102,0.40430,-1.81235,-0.24999,-0.22722
20,8789,3,-0.17725,0.01190,-0.78265,0.59662,-1.64844,-5.26172,2.94141,-0.81055,-1.36523,0.78125,-1.80651,-0.26637,-0.24085
21,12696,3,-0.17725,0.01190,-0.78265,0.59662,-0.91797,-2.59375,2.23828,-0.77930,-1.32812,0.98633,-1.80651,-0.26637,-0.24085
22,7812,3,-0.19287,0.01166,-0.77570,0.60083,-0.21484,-1.15234,2.17578,-0.90430,-1.35547,1.03516,-1.78489,-0.28921,-0.26371
23,10742,3,-0.20068,0.01190,-0.77118,0.60400,0.60547,0.14453,2.35547,-1.02344,-1.40820,0.96289,-1.77075,-0.29963,-0.27647
24,9766,3,-0.20905,0.01245,-0.76666,0.60693,1.23047,1.26562,2.89453,-1.10742,-1.40625,0.85156,-1.75655,-0.31038,-0.29061
25,9765,3,-0.21759,0.01324,-0.76245,0.60925,2.77734,2.14844,4.80078,-1.15430,-1.32227,0.74219,-1.74340,-0.32114,-0.30542
26,10743,3,-0.22620,0.01434,-0.75848,0.61102,3.44922,2.35938,6.02734,-1.11523,-1.15625,0.63867,-1.73117,-0.33164,-0.32084
27,8789,3,-0.23438,0.01575,-0.75500,0.61224,4.16797,2.37109,7.37109,-0.99609,-0.93164,0.51172,-1.72045,-0.34119,-0.33605
28,10742,3,-0.24121,0.01721,-0.75214,0.61304,5.66797,2.05078,9.88672,-0.78711,-0.59961,0.38477,-1.71173,-0.34877,-0.34930
29,9766,3,-0.24695,0.01886,-0.74976,0.61359,6.07422,1.65234,10.89844,-0.51562,-0.19727,0.29883,-1.70451,-0.35455,-0.36111
30,10742,3,-0.25043,0.02057,-0.74823,0.61401,6.24219,1.14062,11.51172,-0.17188,0.21875,0.24805,-1.69981,-0.35703,-0.36943
31,9765,3,-0.25140,0.02234,-0.74756,0.61438,5.98047,0.75781,11.75000,0.25000,0.55469,0.17578,-1.69775,-0.35589,-0.37384
32,9766,3,-0.24982,0.02368,-0.74750,0.61505,5.10156,0.60547,10.62109,0.71680,0.77344,0.02930,-1.69748,-0.35154,-0.37366
