lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1022461,3,-0.21631,0.10370,-0.48175,0.84283,1.23438,0.18359,1.21094,0.50391,0.40625,-0.82812,-1.03024,-0.03362,-0.48341
1,9765,3,-0.21375,0.10321,-0.48553,0.84137,1.72656,0.32031,1.41797,0.57031,0.49805,-1.04297,-1.03852,-0.03389,-0.47819
2,10742,3,-0.21088,0.10284,-0.49023,0.83942,1.91016,0.19141,1.38672,0.73633,0.62500,-1.28711,-1.04896,-0.03411,-0.47252
3,9766,3,-0.20734,0.10236,-0.49609,0.83691,1.48828,-0.06250,1.50781,0.82617,0.78320,-1.34961,-1.06201,-0.03440,-0.46550
4,9766,3,-0.20300,0.10193,-0.50275,0.83405,1.06641,-0.36328,1.50781,0.85938,0.87305,-1.29102,-1.07699,-0.03410,-0.45713
5,9765,3,-0.19806,0.10193,-0.50952,0.83112,0.77734,-0.44141,1.58203,0.91016,0.96289,-1.19336,-1.09254,-0.03241,-0.44818
6,10742,3,-0.19269,0.10223,-0.51605,0.82831,0.69141,-0.41406,1.73047,0.94922,1.07422,-1.07812,-1.10776,-0.02952,-0.43887
7,9766,3,-0.18665,0.10297,-0.52228,0.82568,0.62500,0.26562,1.84375,0.97852,1.17773,-1.03320,-1.12258,-0.02493,-0.42895
8,9766,3,-0.18042,0.10406,-0.52802,0.82330,0.37109,0.37500,1.57422,0.98242,1.30664,-1.05273,-1.13644,-0.01918,-0.41922
9,10742,3,-0.17365,0.10565,-0.53387,0.82074,-0.13281,0.43359,1.21875,1.04102,1.53320,-0.96484,-1.15094,-0.01198,-0.40922
10,9766,3,-0.16644,0.10779,-0.53955,0.81830,-0.66016,0.19531,1.14453,1.14453,1.79883,-0.77344,-1.16520,-0.00320,-0.39922
11,9765,3,-0.15771,0.11096,-0.54517,0.81586,-1.68359,-0.13672,0.86719,1.16992,2.03516,-0.50781,-1.17993,0.00910,-0.38800
12,9766,3,-0.14795,0.11517,-0.54993,0.81390,-1.94922,-0.13281,0.63672,1.13867,2.23047,-0.21875,-1.19313,0.02476,-0.37644
13,9765,3,-0.13770,0.12036,-0.55353,0.81250,-2.03516,0.10938,0.20703,1.00977,2.33008,-0.00391,-1.20406,0.04316,-0.36541
14,10743,3,-0.12744,0.12634,-0.55597,0.81158,-2.30078,0.36328,-0.89062,0.81445,2.29883,0.10742,-1.21263,0.06341,-0.35549
15,9765,3,-0.11707,0.13336,-0.55774,0.81079,-2.34375,0.29688,-1.40234,0.68945,2.17578,0.13477,-1.22014,0.08578,-0.34677
16,10742,3,-0.10754,0.14050,-0.55902,0.81006,-2.51562,0.07422,-1.71094,0.61328,1.97070,0.21484,-1.22657,0.10760,-0.33975
17,11719,3,-0.09900,0.14716,-0.55975,0.80951,-2.73438,-0.37109,-2.20703,0.53906,1.70508,0.41211,-1.23151,0.12775,-0.33383
18,7813,3,-0.09149,0.15289,-0.55963,0.80933,-3.75000,-1.23047,-3.70312,0.46484,1.28711,0.70117,-1.23414,0.14560,-0.32853
19,9765,3,-0.08484,0.15778,-0.55835,0.81006,-4.16797,-1.43750,-4.66016,0.40820,0.71289,1.06445,-1.23339,0.16157,-0.32337
20,9766,3,-0.07947,0.16107,-0.55530,0.81201,-4.64844,-1.76172,-5.60156,0.29492,0.18750,1.53906,-1.22762,0.17421,-0.31802
21,9766,3,-0.07587,0.16235,-0.55054,0.81531,-5.06641,-2.27344,-6.07031,0.16211,-0.33008,2.04297,-1.21664,0.18222,-0.31265
22,10742,3,-0.07361,0.16211,-0.54291,0.82068,-4.78906,-2.78906,-6.38281,-0.20703,-0.76953,2.55469,-1.19793,0.18725,-0.30693
23,9765,3,-0.07336,0.16071,-0.53308,0.82739,-4.22266,-3.08984,-6.66016,-0.89844,-1.07227,3.02539,-1.17358,0.18884,-0.30265
24,9766,3,-0.07587,0.15936,-0.52069,0.83533,-3.19531,-3.20312,-6.73828,-1.72266,-1.32031,3.35156,-1.14360,0.18834,-0.30256
25,10742,3,-0.08191,0.15894,-0.50568,0.84399,-1.18359,-3.25781,-5.94531,-2.52148,-1.54297,3.39258,-1.10873,0.18652,-0.30918
26,9766,3,-0.09186,0.15961,-0.48889,0.85272,-0.36328,-3.19922,-5.02734,-3.33789,-1.57617,3.35547,-1.07118,0.18340,-0.32365
27,12695,3,-0.10559,0.16162,-0.47101,0.86072,0.40234,-3.09766,-4.53516,-4.35742,-1.55859,3.32812,-1.03295,0.17973,-0.34639
