lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1123047,3,0.06873,0.08594,-0.62036,0.77655,-0.00391,0.87500,-1.32812,-0.34375,-0.31250,-0.50000,-1.34809,0.22052,0.00012
1,9766,3,0.06653,0.08600,-0.62207,0.77539,-0.02734,1.03125,-1.52734,-0.42383,-0.40625,-0.60547,-1.35267,0.21785,-0.00392
2,9765,3,0.06366,0.08600,-0.62415,0.77393,-0.06641,1.19922,-1.75391,-0.54883,-0.52539,-0.71289,-1.35831,0.21422,-0.00902
3,9766,3,0.06006,0.08594,-0.62665,0.77222,-0.10547,1.44531,-2.68359,-0.82422,-0.68750,-0.83008,-1.36503,0.20953,-0.01528
4,10742,3,0.05524,0.08600,-0.62946,0.77026,-0.08984,1.37109,-3.42578,-1.40820,-0.91992,-0.92383,-1.37269,0.20343,-0.02366
5,9766,3,0.04797,0.08667,-0.63257,0.76813,-0.12891,1.34375,-4.19922,-2.21289,-1.23242,-1.02148,-1.38142,0.19508,-0.03665
6,9765,3,0.03711,0.08850,-0.63574,0.76587,0.14453,1.34766,-5.51172,-3.02539,-1.57422,-1.10938,-1.39087,0.18379,-0.05667
7,9766,3,0.02209,0.09167,-0.63885,0.76349,0.38672,1.46875,-5.93750,-3.80469,-1.92578,-1.21680,-1.40069,0.16903,-0.08471
8,10742,3,0.00311,0.09595,-0.64178,0.76086,0.66797,1.39062,-6.38281,-4.57617,-2.23242,-1.34961,-1.41048,0.15057,-0.12006
9,11719,3,-0.02039,0.10156,-0.64453,0.75751,0.86719,1.27344,-6.51172,-5.19141,-2.52148,-1.45312,-1.42051,0.12794,-0.16388
10,7812,3,-0.04590,0.10779,-0.64673,0.75366,1.69922,0.39453,-6.91016,-5.57422,-2.75781,-1.52930,-1.42933,0.10329,-0.21129
11,9766,3,-0.07568,0.11493,-0.64856,0.74860,1.64844,0.15234,-6.87891,-5.75586,-2.98633,-1.55664,-1.43775,0.07397,-0.26625
12,10742,3,-0.10815,0.12219,-0.64972,0.74249,1.58984,-0.32031,-7.21875,-5.98828,-3.29688,-1.50977,-1.44444,0.04092,-0.32535
