lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1153321,3,-0.14624,0.19019,-0.74744,0.61951,-0.37891,-0.25000,2.42969,-0.10938,0.21680,-0.17383,-1.76164,0.01703,-0.48427
1,9765,3,-0.14606,0.19122,-0.74799,0.61859,-0.44922,-0.31250,2.74219,0.00586,0.24805,-0.19531,-1.76408,0.01808,-0.48569
2,9766,3,-0.14551,0.19202,-0.74872,0.61755,-0.54688,-0.35156,3.05078,0.15820,0.25000,-0.22070,-1.76699,0.01927,-0.48628
3,10742,3,-0.14453,0.19232,-0.74963,0.61658,-0.69141,-0.51172,3.27734,0.32617,0.23633,-0.25586,-1.77004,0.02047,-0.48552
4,9766,3,-0.14307,0.19202,-0.75079,0.61560,-0.60156,-0.91797,3.92188,0.60547,0.27344,-0.32812,-1.77336,0.02159,-0.48317
5,9765,3,-0.14307,0.19202,-0.75079,0.61560,-0.51562,-1.02734,4.39844,0.93164,0.36523,-0.40430,-1.77336,0.02159,-0.48317
6,10743,3,-0.13770,0.18866,-0.75446,0.61340,-0.62109,-1.28906,4.70312,1.27148,0.54297,-0.42188,-1.78199,0.02368,-0.47093
7,9765,3,-0.13306,0.18561,-0.75708,0.61212,-0.90625,-2.15625,5.50000,1.66016,0.76953,-0.41016,-1.78779,0.02576,-0.46014
8,9766,3,-0.12634,0.18176,-0.76019,0.61084,-1.16406,-2.59375,5.50391,2.12891,0.99023,-0.39258,-1.79460,0.02997,-0.44547
9,10742,3,-0.11755,0.17700,-0.76367,0.60968,-1.64062,-2.87500,5.16016,2.58594,1.20898,-0.27734,-1.80198,0.03629,-0.42677
10,12695,3,-0.10651,0.17114,-0.76733,0.60876,-2.08984,-3.23828,4.46094,2.93359,1.50000,-0.01172,-1.80944,0.04493,-0.40357
11,6836,3,-0.09338,0.16479,-0.77069,0.60840,-2.73828,-3.52734,3.20703,3.22070,1.77344,0.33008,-1.81589,0.05661,-0.37711
