lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1123047,3,0.02612,-0.04071,-0.42389,0.90442,1.33984,0.40234,0.63281,0.03906,0.36133,-0.41992,-0.87868,-0.05152,0.08197
1,9766,3,0.02704,-0.03937,-0.42566,0.90363,1.98438,0.62500,1.05469,0.03125,0.45117,-0.46875,-0.88244,-0.04815,0.08257
2,10742,3,0.02820,-0.03748,-0.42780,0.90265,2.25391,0.80859,1.12891,0.04688,0.53711,-0.54102,-0.88697,-0.04354,0.08315
3,9765,3,0.02954,-0.03528,-0.43005,0.90161,2.53906,0.91406,1.16797,0.05469,0.59961,-0.62695,-0.89173,-0.03822,0.08377
4,9766,3,0.03107,-0.03271,-0.43268,0.90045,2.63672,0.98438,1.04688,0.06250,0.62891,-0.71680,-0.89723,-0.03204,0.08440
5,9766,3,0.03278,-0.02997,-0.43567,0.89899,2.54688,1.09766,0.62500,0.06641,0.65430,-0.81445,-0.90362,-0.02533,0.08518
6,10742,3,0.03461,-0.02710,-0.43909,0.89740,2.53516,1.12891,0.34766,0.09180,0.67578,-0.93555,-0.91087,-0.01825,0.08603
7,12695,3,0.03656,-0.02411,-0.44299,0.89545,2.44922,1.11328,0.07812,0.09180,0.63867,-1.06836,-0.91929,-0.01079,0.08695
8,6836,3,0.03656,-0.02411,-0.44299,0.89545,2.10156,1.09766,-0.91797,0.01562,0.54297,-1.22461,-0.91929,-0.01079,0.08695
9,9766,3,0.04016,-0.01855,-0.45227,0.89075,1.98047,1.05859,-1.37500,-0.09375,0.42578,-1.40039,-0.93950,0.00327,0.08845
10,10742,3,0.04126,-0.01593,-0.45837,0.88763,1.61328,0.99219,-1.75000,-0.21484,0.30273,-1.56445,-0.95294,0.00955,0.08797
11,9765,3,0.04150,-0.01367,-0.46490,0.88428,1.19922,0.89062,-2.21875,-0.35938,0.14648,-1.69922,-0.96744,0.01441,0.08623
12,9766,3,0.04083,-0.01166,-0.47223,0.88043,0.16406,0.68359,-3.32812,-0.50195,-0.05078,-1.81641,-0.98387,0.01804,0.08302
13,10742,3,0.03918,-0.01007,-0.47998,0.87634,-0.27734,0.65625,-4.01953,-0.66211,-0.24219,-1.95703,-1.00138,0.01997,0.07844
14,9766,3,0.03638,-0.00897,-0.48840,0.87183,-0.47656,0.56641,-4.56250,-0.86328,-0.53320,-2.07617,-1.02057,0.01989,0.07227
15,9766,3,0.03223,-0.00842,-0.49713,0.86700,-1.07422,0.05859,-5.71094,-1.14062,-0.89648,-2.15039,-1.04069,0.01744,0.06431
16,9765,3,0.02612,-0.00873,-0.50659,0.86176,-1.40625,-0.37500,-5.94922,-1.50000,-1.24805,-2.17969,-1.06258,0.01142,0.05390
17,10742,3,0.01770,-0.00970,-0.51624,0.85620,-1.73047,-0.73828,-6.41016,-1.92969,-1.59961,-2.17773,-1.08512,0.00166,0.04034
18,9766,3,0.00690,-0.01117,-0.52563,0.85059,-2.10156,-1.22656,-6.60938,-2.45898,-1.95312,-2.14648,-1.10719,-0.01175,0.02348
19,12695,3,-0.00732,-0.01294,-0.53522,0.84460,-2.53906,-2.20312,-6.93750,-3.04102,-2.30469,-2.06250,-1.12967,-0.02970,0.00148
20,7813,3,-0.02338,-0.01453,-0.54352,0.83893,-2.78125,-2.60547,-6.81641,-3.52539,-2.69336,-1.92578,-1.14917,-0.04981,-0.02346
21,9765,3,-0.04407,-0.01636,-0.55182,0.83264,-2.87891,-3.21094,-6.40234,-3.85352,-3.14062,-1.64453,-1.16844,-0.07595,-0.05552
22,9766,3,-0.06812,-0.01880,-0.55902,0.82617,-2.72266,-5.19531,-4.31641,-3.94531,-3.36719,-1.16602,-1.18479,-0.10742,-0.09219
23,9766,3,-0.09351,-0.02185,-0.56396,0.82019,-3.02344,-4.56250,-3.30469,-3.78516,-3.42383,-0.56641,-1.19544,-0.14179,-0.13042
24,10742,3,-0.11859,-0.02527,-0.56610,0.81537,-3.08984,-4.01172,-2.81250,-3.57617,-3.45312,-0.02148,-1.19886,-0.17639,-0.16817
25,12695,3,-0.14355,-0.02905,-0.56555,0.81158,-2.85156,-3.16797,-2.82422,-3.44727,-3.56250,0.28516,-1.19530,-0.21110,-0.20616
26,6836,3,-0.16656,-0.03308,-0.56299,0.80884,-1.46875,-2.39453,-5.62500,-3.66016,-3.90820,0.33398,-1.18644,-0.24346,-0.24160
