lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,931640,3,0.07544,0.10382,-0.53992,0.83191,0.25781,0.87500,-0.87891,-0.69531,-0.32422,-0.64844,-1.14957,0.25701,0.01386
1,10742,3,0.07172,0.10449,-0.54218,0.83063,0.33984,1.05859,-1.00391,-0.84375,-0.36523,-0.75781,-1.15581,0.25409,0.00603
2,9766,3,0.06720,0.10541,-0.54480,0.82916,0.34766,1.19141,-1.01172,-1.01367,-0.38477,-0.87500,-1.16307,0.25065,-0.00352
3,9766,3,0.06195,0.10663,-0.54773,0.82751,0.46094,1.30078,-0.71875,-1.13477,-0.36328,-1.00195,-1.17121,0.24684,-0.01472
4,10742,3,0.05591,0.10834,-0.55115,0.82544,0.54297,1.38672,-0.38281,-1.20312,-0.32031,-1.15039,-1.18085,0.24287,-0.02795
5,9765,3,0.04950,0.11047,-0.55505,0.82294,0.58203,1.28906,-0.03906,-1.17773,-0.26758,-1.32227,-1.19187,0.23905,-0.04239
6,9766,3,0.04303,0.11285,-0.55951,0.81995,0.51172,1.28516,0.34375,-0.99219,-0.20312,-1.50000,-1.20438,0.23540,-0.05734
7,9766,3,0.03711,0.11523,-0.56470,0.81635,0.17578,0.98828,1.07422,-0.71289,-0.16992,-1.64648,-1.21866,0.23214,-0.07154
8,10742,3,0.03711,0.11523,-0.56470,0.81635,-0.12500,0.80078,1.37891,-0.42773,-0.16602,-1.75391,-1.21866,0.23214,-0.07154
9,9766,3,0.02844,0.11841,-0.57709,0.80756,-0.42188,0.47266,1.60938,-0.19727,-0.19727,-1.80469,-1.25151,0.22599,-0.09323
10,9765,3,0.02557,0.11877,-0.58417,0.80249,-0.95312,-0.53125,2.37500,0.02539,-0.19531,-1.76758,-1.26968,0.22234,-0.10036
11,9766,3,0.02362,0.11847,-0.59119,0.79742,-1.25391,-1.13281,3.02734,0.25977,-0.12500,-1.62109,-1.28745,0.21861,-0.10510
12,10742,3,0.02271,0.11761,-0.59808,0.79248,-1.62891,-1.69141,3.74609,0.47656,0.05859,-1.34961,-1.30461,0.21521,-0.10737
13,12695,3,0.02319,0.11652,-0.60406,0.78802,-2.10547,-2.03906,4.32031,0.71094,0.41797,-0.95508,-1.31947,0.21327,-0.10683
14,6836,3,0.02551,0.11584,-0.60870,0.78448,-2.74609,-2.33594,5.24219,1.02734,0.86328,-0.50000,-1.33094,0.21445,-0.10355
15,10742,3,0.03033,0.11578,-0.61188,0.78180,-3.07422,-2.14844,5.31641,1.49805,1.22656,-0.05859,-1.33884,0.21995,-0.09674
16,9766,3,0.03882,0.11609,-0.61359,0.78009,-3.24219,-1.99609,5.13281,1.95703,1.53906,0.33984,-1.34275,0.23080,-0.08423
17,9766,3,0.04974,0.11615,-0.61371,0.77936,-3.45312,-1.81641,3.62500,2.35938,1.81055,0.70898,-1.34233,0.24453,-0.06707
18,9765,3,0.06378,0.11591,-0.61237,0.77942,-3.55078,-1.68750,2.92188,2.82031,2.02539,1.04688,-1.33768,0.26178,-0.04404
19,10742,3,0.08014,0.11517,-0.60974,0.78009,-3.59375,-1.76172,2.23047,3.07031,2.11719,1.28320,-1.32915,0.28110,-0.01605
20,8790,3,0.09863,0.11377,-0.60590,0.78119,-3.58984,-2.07422,1.10547,2.99414,2.09570,1.50000,-1.31679,0.30182,0.01701
21,10742,3,0.11682,0.11218,-0.60120,0.78253,-3.82422,-2.27344,-1.58984,2.64453,1.92383,1.76367,-1.30198,0.32154,0.05056
22,9765,3,0.13562,0.11053,-0.59479,0.78461,-3.90234,-2.44922,-2.72266,2.25977,1.68945,2.07617,-1.28239,0.34138,0.08642
23,10743,3,0.15186,0.10901,-0.58710,0.78766,-3.94531,-2.56250,-3.60156,1.93750,1.42773,2.43164,-1.25953,0.35759,0.11901
24,9765,3,0.16577,0.10724,-0.57812,0.79169,-4.01172,-2.59766,-4.48047,1.55078,1.13867,2.83789,-1.23354,0.36986,0.14908
25,12695,3,0.17780,0.10510,-0.56732,0.79718,-3.85938,-2.72266,-5.74219,1.02539,0.89453,3.29492,-1.20293,0.37826,0.17764
26,6836,3,0.18713,0.10284,-0.55511,0.80389,-3.39844,-2.72266,-6.14844,0.40625,0.66992,3.75586,-1.16934,0.38236,0.20261
27,9766,3,0.19391,0.10071,-0.54053,0.81244,-2.66406,-2.76172,-6.37109,-0.13477,0.38672,4.12305,-1.13055,0.38254,0.22415
28,10742,3,0.19788,0.09869,-0.52374,0.82269,-1.04688,-2.26953,-6.38281,-0.49414,0.03320,4.28516,-1.08734,0.37863,0.24147
29,9766,3,0.19922,0.09613,-0.50525,0.83417,-0.19531,-2.23828,-6.19141,-0.70703,-0.40625,4.20508,-1.04120,0.37006,0.25505
30,10742,3,0.19818,0.09259,-0.48712,0.84546,0.67969,-2.18750,-5.98438,-0.90039,-0.99219,3.91602,-0.99740,0.35721,0.26449
31,9766,3,0.19489,0.08752,-0.46985,0.85651,1.51172,-2.32812,-6.10156,-1.08203,-1.70898,3.44336,-0.95690,0.33955,0.27010
32,9765,3,0.18903,0.08051,-0.45477,0.86658,2.18359,-2.39844,-6.01172,-1.10352,-2.47070,2.84766,-0.92303,0.31673,0.27101
33,12696,3,0.18085,0.07098,-0.44257,0.87543,2.46094,-1.93750,-5.98047,-1.17383,-3.18945,2.18945,-0.89702,0.28834,0.26794
34,7812,3,0.17078,0.05920,-0.43378,0.88269,3.37500,-1.96875,-5.65625,-1.89062,-3.50000,1.55273,-0.87976,0.25545,0.26149
35,9766,3,0.15729,0.04626,-0.42773,0.88892,5.90625,-2.25781,-3.43359,-2.85547,-3.47852,0.98828,-0.86957,0.21854,0.24845
36,9765,3,0.13892,0.03442,-0.42395,0.89429,6.99219,-2.20703,-2.33594,-3.42383,-3.27344,0.44727,-0.86496,0.18034,0.22478
37,9766,3,0.11755,0.02533,-0.42236,0.89844,7.68359,-1.64062,-0.99609,-3.27539,-2.83789,-0.08398,-0.86480,0.14532,0.19304
38,10742,3,0.09619,0.01868,-0.42273,0.90094,8.26953,-1.12891,0.21484,-2.74805,-2.44922,-0.58203,-0.86822,0.11523,0.15926
39,9766,3,0.07660,0.01318,-0.42511,0.90179,9.04297,-0.21875,0.55469,-2.17383,-2.21094,-1.10938,-0.87532,0.08902,0.12780
40,9765,3,0.06061,0.00830,-0.42944,0.90100,9.06250,0.06250,0.41016,-1.79297,-2.10352,-1.56250,-0.88611,0.06707,0.10250
41,9766,3,0.04694,0.00323,-0.43591,0.89874,8.93750,0.33984,0.06641,-1.73828,-1.88477,-1.88281,-0.90128,0.04675,0.08173
42,10742,3,0.03473,-0.00140,-0.44391,0.89539,8.52734,0.67969,-0.17188,-1.93555,-1.46289,-2.00586,-0.91962,0.02832,0.06351
43,11719,3,0.03473,-0.00140,-0.44391,0.89539,8.37109,0.66797,-0.22656,-2.33984,-1.02344,-2.03320,-0.91962,0.02832,0.06351
44,7812,3,0.01099,-0.00494,-0.46161,0.88702,7.91797,1.17969,-0.30469,-2.53125,-0.56836,-2.24805,-0.95965,0.00137,0.02406
45,9766,3,-0.00177,-0.00275,-0.47119,0.88202,7.76172,1.84375,-0.27344,-2.60156,-0.30664,-2.58594,-0.98129,-0.00651,-0.00053
46,10742,3,-0.01385,0.00134,-0.48157,0.87628,7.85938,2.20703,-0.49609,-2.50781,-0.35547,-3.05078,-1.00487,-0.01099,-0.02558
47,9766,3,-0.02637,0.00604,-0.49426,0.86890,7.73828,2.05078,-0.44141,-2.43750,-0.37109,-3.45703,-1.03398,-0.01556,-0.05182
48,10742,3,-0.03833,0.01019,-0.50836,0.86023,7.17578,1.90234,-0.00391,-2.48047,-0.30273,-3.79492,-1.06667,-0.02144,-0.07640
49,8789,3,-0.04993,0.01434,-0.52362,0.85034,6.76172,1.71484,-0.05859,-2.77148,-0.29492,-4.08789,-1.10248,-0.02790,-0.10014
50,10742,3,-0.06219,0.01898,-0.53998,0.83917,5.64844,0.83984,-1.51172,-3.29492,-0.41602,-4.37500,-1.14132,-0.03532,-0.12529
51,9766,3,-0.07623,0.02435,-0.55713,0.82654,5.05078,1.16797,-2.34766,-3.87891,-0.51562,-4.63281,-1.18275,-0.04470,-0.15392
52,9766,3,-0.09290,0.03070,-0.57495,0.81232,4.57812,0.98828,-2.82031,-4.49609,-0.64062,-4.85352,-1.22651,-0.05697,-0.18763
53,12695,3,-0.11127,0.03778,-0.59204,0.79730,3.21484,0.18359,-4.41797,-5.12109,-0.82617,-5.08984,-1.26936,-0.07156,-0.22461
54,7812,3,-0.13361,0.04639,-0.61029,0.77948,2.13672,0.03125,-4.90625,-5.61914,-1.01367,-5.24023,-1.31619,-0.09088,-0.26923
55,9766,3,-0.15942,0.05603,-0.62878,0.75897,1.23438,-0.65625,-4.73438,-6.06641,-1.23828,-5.12305,-1.36503,-0.11570,-0.32001
56,9766,3,-0.18683,0.06610,-0.64563,0.73749,0.18750,-2.02734,-4.49609,-6.48828,-1.35156,-4.89258,-1.41088,-0.14425,-0.37332
57,12695,3,-0.21564,0.07684,-0.66028,0.71527,-2.10938,-4.88281,-3.26172,-6.96875,-1.48438,-4.44922,-1.45246,-0.17574,-0.42945
58,7812,3,-0.24451,0.08826,-0.67169,0.69373,-3.45312,-6.86719,-2.66016,-7.14844,-1.76758,-3.98438,-1.48682,-0.20750,-0.48685
59,9766,3,-0.27631,0.10120,-0.68066,0.67090,-4.44922,-8.55859,-0.98438,-7.15820,-1.89844,-2.97070,-1.51627,-0.24274,-0.55139
60,9766,3,-0.30847,0.11462,-0.68567,0.64929,-7.34375,-13.06250,1.89062,-6.60156,-2.10156,-1.95508,-1.53600,-0.27772,-0.61870
61,10742,3,-0.33990,0.12830,-0.68616,0.63019,-7.91797,-13.75781,3.11719,-5.83789,-2.51367,-0.55469,-1.54412,-0.30970,-0.68762
62,9766,3,-0.36816,0.14020,-0.68182,0.61639,-8.68750,-14.08594,4.88281,-4.87500,-2.54102,0.58789,-1.53802,-0.33546,-0.75201
63,12695,3,-0.39313,0.15063,-0.67303,0.60809,-8.96875,-13.19922,5.26562,-3.98242,-2.55078,1.41016,-1.51891,-0.35328,-0.81206
64,6836,3,-0.41327,0.15924,-0.66205,0.60461,-7.89453,-9.73047,1.42578,-3.26562,-2.76367,1.88086,-1.49298,-0.36253,-0.86327
65,10742,3,-0.43152,0.16656,-0.64856,0.60455,-7.52344,-7.84766,0.01562,-2.76953,-2.99805,2.00586,-1.45991,-0.36646,-0.91118
66,9766,3,-0.44922,0.17212,-0.63287,0.60663,-7.03125,-5.68359,-0.26172,-2.05859,-3.07031,1.84961,-1.42056,-0.36804,-0.95736
67,9765,3,-0.46423,0.17480,-0.61816,0.60974,-5.62109,-2.50781,0.14453,-1.33008,-3.18164,1.53125,-1.38246,-0.36910,-0.99497
68,10742,3,-0.47766,0.17438,-0.60400,0.61371,-4.98438,-1.47656,0.53906,-0.72070,-3.17969,1.21484,-1.34395,-0.37146,-1.02603
69,9766,3,-0.48914,0.17102,-0.59119,0.61804,-4.56641,-1.15234,0.51172,-0.36523,-3.19336,1.05078,-1.30708,-0.37573,-1.04985
70,9766,3,-0.49908,0.16553,-0.57947,0.62262,-4.45312,-1.39062,0.55469,0.01953,-3.07227,1.08203,-1.27158,-0.38150,-1.06830
71,12695,3,-0.49908,0.16553,-0.57947,0.62262,-4.16016,-2.49219,1.87500,0.73438,-2.76172,1.25391,-1.27158,-0.38150,-1.06830
72,6836,3,-0.51373,0.15198,-0.55768,0.63403,-3.64062,-3.26562,2.79297,1.66797,-2.55469,1.49805,-1.20386,-0.39009,-1.09215
73,10742,3,-0.51624,0.14368,-0.54730,0.64288,-2.91406,-3.98438,3.06250,2.66797,-2.33984,1.89062,-1.17142,-0.39017,-1.09246
