lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1002929,3,0.19037,0.04871,-0.62421,0.75616,-0.07031,0.22266,-1.86719,-0.11719,-0.01953,0.00781,-1.34148,0.31657,0.24130
1,9766,3,0.18994,0.04901,-0.62408,0.75635,-0.30859,0.42969,-3.12500,-0.12109,-0.06250,0.01367,-1.34123,0.31647,0.24027
2,9766,3,0.18933,0.04926,-0.62402,0.75653,-0.57422,0.85547,-4.28125,-0.12500,-0.21680,0.01172,-1.34116,0.31605,0.23899
3,9765,3,0.18842,0.04907,-0.62402,0.75677,-0.58984,1.41016,-5.59375,-0.24805,-0.57227,-0.07227,-1.34123,0.31458,0.23772
4,10743,3,0.18646,0.04822,-0.62439,0.75696,-0.39062,1.45703,-6.52734,-0.45898,-0.95312,-0.18750,-1.34238,0.31085,0.23544
5,9765,3,0.18268,0.04657,-0.62549,0.75714,0.35156,1.26562,-6.70312,-0.71094,-1.25586,-0.28125,-1.34545,0.30368,0.23088
6,10742,3,0.17694,0.04443,-0.62720,0.75720,0.93750,1.21094,-6.58984,-1.01758,-1.43750,-0.32227,-1.35036,0.29343,0.22355
7,9766,3,0.16937,0.04230,-0.62927,0.75732,1.51172,0.87500,-6.32812,-1.38477,-1.50000,-0.34180,-1.35636,0.28091,0.21321
8,9766,3,0.16016,0.04083,-0.63141,0.75763,1.98828,0.45703,-6.39062,-1.76953,-1.53125,-0.33398,-1.36265,0.26729,0.19947
9,9765,3,0.14929,0.04034,-0.63348,0.75812,1.93359,0.38281,-6.68359,-2.18359,-1.60547,-0.30078,-1.36894,0.25302,0.18202
10,10742,3,0.13678,0.04089,-0.63538,0.75891,1.86328,0.27344,-7.20703,-2.66797,-1.76562,-0.34375,-1.37477,0.23812,0.16085
11,8789,3,0.12195,0.04242,-0.63715,0.75989,1.58984,0.42969,-7.73047,-3.10938,-2.06445,-0.49805,-1.38049,0.22166,0.13497
12,10743,3,0.10541,0.04456,-0.63904,0.76062,1.49609,0.16797,-9.17188,-3.59766,-2.47852,-0.64258,-1.38667,0.20391,0.10579
13,11718,3,0.08496,0.04694,-0.64154,0.76093,1.35156,-0.10938,-9.39453,-4.19531,-2.85547,-0.68164,-1.39456,0.18143,0.07029
14,7813,3,0.06171,0.04956,-0.64398,0.76093,1.21875,-0.65234,-9.44922,-4.80078,-3.16992,-0.62695,-1.40233,0.15553,0.03045
15,10742,3,0.03485,0.05273,-0.64600,0.76068,1.46484,-1.08203,-9.44922,-5.40430,-3.48633,-0.56641,-1.40906,0.12559,-0.01523
16,9766,3,0.00323,0.05682,-0.64722,0.76019,2.11719,-2.67188,-9.49609,-5.98242,-3.73047,-0.52930,-1.41373,0.09070,-0.06897
17,9765,3,-0.03058,0.06152,-0.64734,0.75909,2.21875,-3.10547,-9.30469,-6.60156,-3.88281,-0.48242,-1.41562,0.05384,-0.12660
18,9766,3,-0.06671,0.06732,-0.64624,0.75720,2.69531,-3.72266,-9.01953,-7.53711,-4.03125,-0.55664,-1.41449,0.01573,-0.18920
19,10742,3,-0.10516,0.07471,-0.64404,0.75403,4.19531,-5.49609,-8.70703,-8.52344,-4.14453,-0.58008,-1.41083,-0.02280,-0.25773
20,9766,3,-0.15051,0.08521,-0.64014,0.74854,4.35547,-6.05469,-8.21484,-9.22266,-4.11328,-0.52734,-1.40374,-0.06519,-0.34174
21,12695,3,-0.19659,0.09747,-0.63458,0.74103,4.42578,-6.65234,-7.42578,-9.52344,-3.85938,-0.39258,-1.39331,-0.10525,-0.43058
22,7813,3,-0.24249,0.11145,-0.62726,0.73169,4.87891,-7.18359,-6.27344,-9.71094,-3.75000,-0.28125,-1.37944,-0.14158,-0.52320
23,9765,3,-0.28931,0.12708,-0.61768,0.72015,6.39844,-8.60156,-5.39844,-9.55273,-3.33594,-0.78125,-1.36144,-0.17527,-0.62193
24,9766,3,-0.33704,0.14386,-0.60706,0.70514,7.30859,-8.66016,-3.72266,-9.71094,-2.90039,-1.10352,-1.34235,-0.20780,-0.72649
