lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1202149,3,-0.11249,0.16724,-0.17999,0.96283,0.23047,0.43359,-1.60547,-0.27734,0.00586,-0.15039,-0.41195,0.28539,-0.29263
1,10742,3,-0.11365,0.16736,-0.18048,0.96252,0.26953,0.50391,-1.94531,-0.41211,-0.02148,-0.17578,-0.41337,0.28501,-0.29521
2,9765,3,-0.11548,0.16754,-0.18091,0.96222,0.26172,0.64844,-2.47266,-0.57617,-0.08398,-0.20312,-0.41484,0.28446,-0.29914
3,9766,3,-0.11810,0.16760,-0.18134,0.96179,0.28516,0.77344,-3.06250,-0.78711,-0.19727,-0.24023,-0.41648,0.28335,-0.30463
4,9766,3,-0.12170,0.16742,-0.18170,0.96130,0.10938,1.02734,-4.34766,-1.02930,-0.33594,-0.29688,-0.41815,0.28136,-0.31194
5,10742,3,-0.12653,0.16681,-0.18201,0.96075,0.04688,1.14844,-4.98438,-1.33984,-0.50391,-0.36719,-0.41981,0.27803,-0.32148
6,9766,3,-0.13287,0.16565,-0.18231,0.96002,0.03906,1.23047,-5.60547,-1.73828,-0.75586,-0.46484,-0.42161,0.27299,-0.33383
7,9765,3,-0.14124,0.16370,-0.18256,0.95911,0.12109,1.30078,-6.82812,-2.26172,-1.17188,-0.61914,-0.42338,0.26556,-0.34981
8,10742,3,-0.15204,0.16052,-0.18280,0.95795,0.16406,1.21875,-7.20312,-2.84766,-1.62891,-0.82812,-0.42504,0.25471,-0.37005
9,9766,3,-0.16632,0.15552,-0.18311,0.95636,0.32031,1.27734,-7.37891,-3.47852,-2.11523,-1.08984,-0.42652,0.23882,-0.39633
10,12695,3,-0.18378,0.14868,-0.18353,0.95416,0.62500,1.27734,-7.24609,-4.13086,-2.50977,-1.34961,-0.42762,0.21800,-0.42806
11,6836,3,-0.20428,0.14026,-0.18433,0.95111,1.60156,0.61719,-7.01562,-4.79883,-2.80273,-1.62891,-0.42863,0.19268,-0.46521
