lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1654297,3,-0.14001,0.02802,-0.66101,0.73669,0.36328,0.96094,-1.18359,-0.11719,0.48828,-0.13086,-1.44456,-0.14432,-0.24843
1,9766,3,-0.13898,0.02985,-0.66174,0.73615,0.05078,1.92578,-2.91406,-0.17773,0.50781,-0.19727,-1.44683,-0.14045,-0.24911
2,9765,3,-0.13788,0.03204,-0.66266,0.73541,-0.24609,2.97656,-4.21875,-0.22070,0.41406,-0.37109,-1.44968,-0.13602,-0.25015
3,9766,3,-0.13715,0.03418,-0.66400,0.73425,-0.40625,3.94141,-5.67188,-0.35352,0.06055,-0.68164,-1.45364,-0.13232,-0.25161
4,10742,3,-0.13751,0.03564,-0.66602,0.73224,-0.66797,5.14453,-8.89062,-0.65430,-0.48242,-1.03125,-1.45936,-0.13136,-0.25376
5,9766,3,-0.14026,0.03595,-0.66895,0.72906,-0.85938,4.99219,-9.90234,-1.07812,-1.05078,-1.28711,-1.46723,-0.13565,-0.25780
6,9765,3,-0.14618,0.03522,-0.67249,0.72467,-0.99219,4.40625,-10.62891,-1.58398,-1.57617,-1.42773,-1.47662,-0.14609,-0.26512
7,10743,3,-0.15558,0.03394,-0.67615,0.71936,-1.10938,3.65625,-10.80469,-2.17383,-1.92383,-1.44336,-1.48623,-0.16227,-0.27684
8,9765,3,-0.16870,0.03290,-0.67957,0.71320,-1.08203,2.15625,-9.60156,-2.75195,-1.99609,-1.28125,-1.49524,-0.18339,-0.29445
9,9766,3,-0.18433,0.03308,-0.68225,0.70673,-1.42578,1.17188,-8.44922,-3.09961,-1.85547,-0.96680,-1.50242,-0.20621,-0.31761
10,12695,3,-0.20123,0.03522,-0.68384,0.70044,-1.96484,0.32812,-7.36719,-3.28516,-1.67969,-0.57031,-1.50686,-0.22786,-0.34567
11,6836,3,-0.21808,0.03900,-0.68408,0.69495,-2.33594,-0.48828,-6.51953,-3.41016,-1.62695,-0.30859,-1.50783,-0.24665,-0.37642
12,10742,3,-0.23535,0.04419,-0.68298,0.69000,-1.60938,-1.62500,-4.89844,-3.49609,-1.70117,-0.23828,-1.50541,-0.26356,-0.41038
13,9766,3,-0.25366,0.05017,-0.68103,0.68506,-1.15625,-2.48438,-3.47266,-3.51562,-1.76953,-0.18555,-1.50067,-0.28043,-0.44760
14,9765,3,-0.27161,0.05585,-0.67853,0.68024,-0.89062,-2.92188,-2.15625,-3.45312,-1.75391,-0.11328,-1.49441,-0.29695,-0.48440
15,9766,3,-0.28882,0.06128,-0.67566,0.67554,-0.83984,-3.73828,0.46094,-3.25195,-1.73828,-0.03516,-1.48716,-0.31254,-0.52024
16,10742,3,-0.30658,0.06671,-0.67206,0.67072,-0.71094,-3.80859,1.44531,-2.91211,-1.76758,0.02539,-1.47797,-0.32848,-0.55770
17,9766,3,-0.32306,0.07129,-0.66821,0.66638,-0.58203,-3.95703,2.32031,-2.54297,-1.85352,0.02930,-1.46777,-0.34344,-0.59250
