lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1002930,3,-0.05426,0.00812,-0.67303,0.73755,0.93359,0.21875,-0.98047,0.37695,0.27734,-0.05078,-1.47660,-0.06110,-0.09127
1,9766,3,-0.05219,0.00787,-0.67334,0.73743,0.95703,0.17969,-1.14062,0.45898,0.35547,-0.04883,-1.47742,-0.05870,-0.08784
2,9765,3,-0.04956,0.00763,-0.67365,0.73737,1.17969,0.06641,-1.37891,0.50781,0.48047,-0.05273,-1.47821,-0.05555,-0.08359
3,10742,3,-0.04633,0.00751,-0.67401,0.73724,1.45703,0.01953,-2.21875,0.51953,0.59180,-0.08203,-1.47922,-0.05140,-0.07861
4,9766,3,-0.04260,0.00775,-0.67444,0.73706,1.57031,0.07031,-3.26172,0.38477,0.53516,-0.12695,-1.48043,-0.04606,-0.07340
5,9766,3,-0.03900,0.00830,-0.67499,0.73676,1.51172,0.37500,-4.18359,0.08008,0.38477,-0.16602,-1.48196,-0.04043,-0.06878
6,9765,3,-0.03662,0.00916,-0.67566,0.73627,1.17578,0.92969,-4.95703,-0.25977,0.20117,-0.15625,-1.48380,-0.03601,-0.06639
7,10742,3,-0.03595,0.01050,-0.67633,0.73566,0.69922,1.47266,-6.10547,-0.62500,0.03125,-0.17578,-1.48570,-0.03319,-0.06718
8,9766,3,-0.03723,0.01239,-0.67694,0.73499,0.63281,1.55859,-6.43359,-1.01367,-0.18555,-0.23633,-1.48747,-0.03220,-0.07160
9,10742,3,-0.04053,0.01489,-0.67767,0.73407,0.69922,1.51953,-6.84766,-1.45703,-0.44531,-0.31641,-1.48962,-0.03307,-0.07982
10,8789,3,-0.04620,0.01788,-0.67859,0.73285,0.77734,1.21484,-7.10156,-2.00391,-0.71484,-0.35547,-1.49226,-0.03650,-0.09218
11,10742,3,-0.05457,0.02155,-0.67957,0.73126,0.87500,0.19922,-7.19141,-2.63086,-0.96289,-0.42578,-1.49521,-0.04266,-0.10940
12,9766,3,-0.06586,0.02625,-0.68048,0.72931,0.89453,-0.26953,-7.23047,-3.29883,-1.36523,-0.49023,-1.49815,-0.05137,-0.13234
13,9766,3,-0.08069,0.03192,-0.68134,0.72681,1.00781,-0.51562,-7.75000,-4.32617,-1.92383,-0.46484,-1.50108,-0.06359,-0.16182
