lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,913086,3,0.01697,-0.02942,-0.82397,0.56561,0.28516,-0.23828,-1.52344,-0.02148,-0.08594,-0.16602,-1.93863,-0.00532,0.06773
1,9765,3,0.01666,-0.02972,-0.82452,0.56482,0.46094,-0.27734,-1.63672,-0.07227,-0.05859,-0.16211,-1.94059,-0.00610,0.06789
2,9766,3,0.01624,-0.02972,-0.82495,0.56415,0.61328,-0.34766,-1.79297,-0.12891,-0.04297,-0.16602,-1.94220,-0.00675,0.06742
3,10742,3,0.01575,-0.02942,-0.82544,0.56348,0.87500,-0.56641,-2.44141,-0.19727,-0.02930,-0.16211,-1.94387,-0.00716,0.06637
4,9766,3,0.01520,-0.02887,-0.82593,0.56281,1.14062,-0.62109,-2.78906,-0.25000,-0.02344,-0.16602,-1.94554,-0.00739,0.06484
5,9765,3,0.01447,-0.02795,-0.82642,0.56213,1.44922,-0.67578,-3.00781,-0.28125,-0.01172,-0.19727,-1.94719,-0.00752,0.06251
6,9766,3,0.01367,-0.02692,-0.82697,0.56146,1.97656,-0.68750,-3.58203,-0.32422,0.00000,-0.25195,-1.94891,-0.00761,0.05991
7,10742,3,0.01282,-0.02563,-0.82764,0.56055,2.08203,-0.66406,-3.93750,-0.35938,-0.01172,-0.31641,-1.95117,-0.00752,0.05683
8,9766,3,0.01190,-0.02423,-0.82849,0.55939,2.20703,-0.62500,-4.31250,-0.37891,-0.05859,-0.39258,-1.95403,-0.00739,0.05349
9,9765,3,0.01074,-0.02277,-0.82947,0.55798,2.27344,-0.47266,-4.73438,-0.43750,-0.12305,-0.48242,-1.95745,-0.00759,0.04978
10,9766,3,0.00928,-0.02130,-0.83075,0.55615,2.46484,-0.28125,-5.46094,-0.52539,-0.20703,-0.56836,-1.96192,-0.00828,0.04573
11,10742,3,0.00732,-0.01978,-0.83221,0.55402,2.52734,-0.23438,-5.79688,-0.62109,-0.30859,-0.67773,-1.96711,-0.00972,0.04105
12,9766,3,0.00470,-0.01807,-0.83405,0.55139,2.60938,-0.10156,-6.13281,-0.80664,-0.38867,-0.75586,-1.97352,-0.01208,0.03533
13,9766,3,0.00134,-0.01599,-0.83606,0.54840,2.57812,-0.22266,-6.37109,-0.97656,-0.45508,-0.83008,-1.98074,-0.01529,0.02822
14,9765,3,-0.00281,-0.01343,-0.83826,0.54510,2.57812,-0.28906,-6.39453,-1.14062,-0.50195,-0.87500,-1.98863,-0.01935,0.01946
15,10742,3,-0.00763,-0.01031,-0.84064,0.54144,2.52344,-0.45703,-6.17188,-1.32031,-0.48633,-0.89258,-1.99729,-0.02400,0.00908
16,10743,3,-0.01300,-0.00653,-0.84302,0.53766,2.69922,-0.44922,-5.92578,-1.50195,-0.39648,-0.91797,-2.00608,-0.02895,-0.00297
17,8789,3,-0.01849,-0.00195,-0.84540,0.53381,3.16016,-0.66016,-5.30078,-1.65039,-0.30273,-0.96484,-2.01489,-0.03336,-0.01645
18,10742,3,-0.02423,0.00372,-0.84790,0.52960,3.23438,-0.66406,-5.02344,-1.80078,-0.23633,-1.03906,-2.02437,-0.03716,-0.03201
19,9765,3,-0.03015,0.01038,-0.85046,0.52502,2.92578,-0.60547,-4.76953,-2.07812,-0.17773,-1.12109,-2.03445,-0.04040,-0.04937
20,9766,3,-0.03619,0.01794,-0.85315,0.52008,2.08984,-0.71875,-4.64062,-2.61133,-0.25977,-1.24414,-2.04522,-0.04311,-0.06838
21,9766,3,-0.04340,0.02722,-0.85590,0.51459,1.41016,-0.99609,-4.53906,-3.25195,-0.37500,-1.30078,-2.05683,-0.04629,-0.09149
22,10742,3,-0.05249,0.03864,-0.85858,0.50848,0.43359,-1.45312,-3.57422,-3.71484,-0.26562,-1.16406,-2.06915,-0.05087,-0.12017
23,8789,3,-0.06299,0.05255,-0.86084,0.50220,-0.53125,-2.11328,-1.98438,-4.08203,0.13672,-0.79297,-2.08106,-0.05569,-0.15460
24,10742,3,-0.07288,0.06812,-0.86206,0.49695,-1.82812,-4.21094,1.76953,-4.16406,0.48828,-0.38672,-2.09016,-0.05798,-0.19134
25,9766,3,-0.08228,0.08716,-0.86200,0.49249,-2.41797,-4.12109,3.34766,-3.86914,0.87109,-0.13672,-2.09686,-0.05602,-0.23380
26,10742,3,-0.08942,0.10620,-0.86102,0.48932,-3.47266,-3.96094,4.86719,-3.35742,0.85938,-0.04688,-2.10112,-0.05006,-0.27413
27,9766,3,-0.09460,0.12384,-0.85956,0.48669,-3.96875,-3.69922,5.70703,-2.71289,0.34961,-0.13086,-2.10459,-0.04210,-0.31021
28,9765,3,-0.09943,0.13831,-0.85809,0.48444,-4.53516,-3.72656,7.52344,-2.16406,-0.34375,-0.23242,-2.10740,-0.03664,-0.34045
29,10742,3,-0.10516,0.14819,-0.85681,0.48248,-4.31250,-3.66797,8.83594,-1.69727,-0.90234,-0.34766,-2.10904,-0.03722,-0.36366
30,8789,3,-0.11298,0.15497,-0.85571,0.48059,-4.07031,-3.41797,10.29297,-1.25977,-1.25391,-0.45312,-2.10952,-0.04441,-0.38351
31,10743,3,-0.12128,0.15845,-0.85492,0.47888,-2.65234,-2.74219,13.53516,-0.87891,-1.31445,-0.46680,-2.10916,-0.05564,-0.39809
32,9765,3,-0.13000,0.15967,-0.85437,0.47717,-2.01953,-2.30469,14.81641,-0.54297,-1.02344,-0.35547,-2.10840,-0.06982,-0.40918
33,10742,3,-0.13708,0.15967,-0.85400,0.47583,-1.53125,-2.17188,16.00391,-0.18359,-0.43164,-0.20117,-2.10753,-0.08228,-0.41647
34,9766,3,-0.14130,0.15930,-0.85388,0.47491,-1.45703,-2.06641,16.70703,0.20703,0.18359,-0.07031,-2.10721,-0.09011,-0.42017
35,9766,3,-0.14191,0.15881,-0.85413,0.47443,-1.05078,-1.91016,16.01172,0.63086,0.53906,-0.01172,-2.10797,-0.09185,-0.41990
36,9765,3,-0.13940,0.15784,-0.85486,0.47424,-0.82812,-1.83594,14.76172,1.05469,0.57812,-0.03906,-2.10989,-0.08875,-0.41551
37,9766,3,-0.13507,0.15558,-0.85596,0.47424,-0.85938,-1.75391,13.18359,1.42578,0.58789,-0.03320,-2.11240,-0.08376,-0.40697
38,10742,3,-0.12970,0.15161,-0.85736,0.47443,-1.34766,-1.55469,10.06250,1.70312,0.59961,0.01562,-2.11504,-0.07863,-0.39439
39,9766,3,-0.12341,0.14618,-0.85895,0.47491,-1.40234,-1.50391,8.46094,1.90820,0.59180,0.04883,-2.11743,-0.07324,-0.37832
40,9765,3,-0.11658,0.13989,-0.86053,0.47565,-1.37500,-1.32422,7.15625,2.09375,0.55273,0.04688,-2.11940,-0.06762,-0.36024
41,10743,3,-0.10931,0.13269,-0.86218,0.47656,-1.39844,-1.04297,5.81250,2.11914,0.49609,0.06641,-2.12104,-0.06206,-0.34015
42,9765,3,-0.10181,0.12469,-0.86371,0.47760,-1.35156,-0.97266,4.19531,2.08594,0.48633,0.13086,-2.12224,-0.05678,-0.31851
43,9766,3,-0.09509,0.11737,-0.86493,0.47864,-1.15234,-0.92188,3.75000,2.16602,0.47070,0.16992,-2.12286,-0.05216,-0.29889
44,9765,3,-0.08765,0.10913,-0.86603,0.47998,-1.06641,-0.81641,3.25000,2.26562,0.44141,0.17383,-2.12286,-0.04707,-0.27700
45,10743,3,-0.08008,0.10052,-0.86700,0.48145,-0.58984,-0.69141,2.19141,2.32422,0.38086,0.13477,-2.12241,-0.04207,-0.25437
46,9765,3,-0.07263,0.09149,-0.86792,0.48279,-0.35938,-0.64844,1.66406,2.36328,0.32812,0.08398,-2.12194,-0.03774,-0.23116
47,9766,3,-0.06537,0.08215,-0.86877,0.48395,-0.27344,-0.71484,1.29297,2.41992,0.33984,0.03125,-2.12157,-0.03407,-0.20762
48,9765,3,-0.05817,0.07263,-0.86969,0.48474,-0.27344,-0.83594,0.89453,2.41797,0.34375,0.00195,-2.12178,-0.03076,-0.18385
49,10743,3,-0.05103,0.06329,-0.87054,0.48535,-0.12891,-0.89844,0.04297,2.36328,0.37305,-0.01367,-2.12218,-0.02740,-0.16047
50,9765,3,-0.04352,0.05353,-0.87134,0.48578,0.05859,-1.10547,-0.42578,2.25586,0.40625,-0.03516,-2.12279,-0.02384,-0.13602
51,9766,3,-0.03632,0.04449,-0.87201,0.48608,0.25000,-1.16797,-0.76953,2.16406,0.44141,-0.06445,-2.12340,-0.02008,-0.11317
52,9766,3,-0.02893,0.03571,-0.87268,0.48615,0.41016,-1.32031,-1.03906,2.12500,0.49414,-0.10547,-2.12437,-0.01578,-0.09058
53,10742,3,-0.02155,0.02728,-0.87329,0.48596,0.49609,-1.30859,-1.43750,2.09961,0.55664,-0.13477,-2.12561,-0.01111,-0.06865
54,9765,3,-0.01410,0.01929,-0.87390,0.48560,0.43750,-1.48047,-1.84375,2.01172,0.57227,-0.15625,-2.12709,-0.00591,-0.04742
55,9766,3,-0.00665,0.01166,-0.87439,0.48499,0.22266,-1.56250,-2.32031,1.91602,0.57227,-0.16797,-2.12877,-0.00033,-0.02684
56,10742,3,0.00037,0.00470,-0.87488,0.48431,0.09375,-1.41406,-3.01953,1.83789,0.55859,-0.18750,-2.13044,0.00519,-0.00787
57,9766,3,0.00757,-0.00238,-0.87531,0.48352,-0.04297,-1.52344,-3.32422,1.72266,0.53320,-0.16797,-2.13216,0.01095,0.01149
58,9765,3,0.01434,-0.00891,-0.87567,0.48267,-0.17969,-1.51953,-3.71484,1.57812,0.48633,-0.14062,-2.13383,0.01652,0.02946
59,9766,3,0.02051,-0.01489,-0.87585,0.48187,-0.24219,-1.40625,-3.98438,1.42969,0.43555,-0.12695,-2.13514,0.02157,0.04588
60,10742,3,0.02618,-0.02039,-0.87604,0.48114,0.00781,-1.05859,-4.35938,1.29297,0.38867,-0.13477,-2.13630,0.02626,0.06097
61,9766,3,0.03137,-0.02539,-0.87610,0.48041,0.08203,-0.89062,-4.35938,1.16406,0.35156,-0.16602,-2.13730,0.03058,0.07474
62,10742,3,0.03137,-0.02539,-0.87610,0.48041,0.27734,-0.85547,-4.38281,1.05078,0.32227,-0.20898,-2.13730,0.03058,0.07474
