lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,3879883,3,-0.34521,0.29175,-0.13812,0.88129,0.07422,1.41797,-0.77344,-0.33398,-0.24023,-0.16797,-0.51199,0.43218,-0.86148
1,9765,3,-0.34705,0.29065,-0.13788,0.88092,0.15625,1.55469,-0.75781,-0.29883,-0.18359,-0.22852,-0.51106,0.42948,-0.86441
2,9766,3,-0.34882,0.28961,-0.13806,0.88055,0.21094,1.65625,-0.78516,-0.25977,-0.09570,-0.27539,-0.51095,0.42655,-0.86734
3,9766,3,-0.35052,0.28876,-0.13855,0.88007,0.26562,1.64844,-0.76953,-0.24609,-0.01172,-0.30273,-0.51164,0.42370,-0.87046
4,9765,3,-0.35205,0.28821,-0.13934,0.87952,0.24219,1.32812,-0.98438,-0.30664,0.05469,-0.29688,-0.51320,0.42121,-0.87356
5,10742,3,-0.35370,0.28802,-0.14038,0.87878,0.25781,1.24609,-1.12500,-0.41016,0.09180,-0.25781,-0.51569,0.41906,-0.87734
6,10743,3,-0.35565,0.28809,-0.14124,0.87781,0.27734,1.23047,-1.31250,-0.53906,0.10938,-0.22852,-0.51829,0.41733,-0.88205
7,8789,3,-0.35803,0.28845,-0.14185,0.87665,0.26172,1.42188,-1.58203,-0.68750,0.12305,-0.20508,-0.52094,0.41606,-0.88787
8,10742,3,-0.36090,0.28900,-0.14215,0.87518,0.25391,1.84375,-2.22266,-0.86133,0.16602,-0.16602,-0.52349,0.41510,-0.89496
9,11719,3,-0.36444,0.28992,-0.14215,0.87347,0.14062,2.12891,-2.46875,-1.00977,0.23633,-0.10547,-0.52612,0.41462,-0.90371
10,7812,3,-0.36847,0.29114,-0.14185,0.87140,-0.01172,2.37500,-2.88672,-1.19727,0.22852,-0.04297,-0.52882,0.41465,-0.91387
11,9766,3,-0.37317,0.29285,-0.14099,0.86896,-0.00391,3.01172,-4.51953,-1.43164,0.12695,-0.05078,-0.53139,0.41558,-0.92588
12,10742,3,-0.37903,0.29456,-0.13971,0.86603,-0.34375,3.50391,-5.13672,-1.62305,-0.06836,-0.10156,-0.53371,0.41621,-0.94042
13,9766,3,-0.38574,0.29565,-0.13800,0.86298,-0.50391,3.82031,-5.82422,-1.90234,-0.39062,-0.21484,-0.53483,0.41570,-0.95613
14,9765,3,-0.39368,0.29565,-0.13574,0.85974,-0.41016,4.06641,-6.68750,-2.31250,-0.84961,-0.41211,-0.53406,0.41316,-0.97335
15,9766,3,-0.40356,0.29382,-0.13287,0.85620,-0.19922,3.91406,-8.50000,-2.86523,-1.44727,-0.64648,-0.53062,0.40707,-0.99297
16,10742,3,-0.40356,0.29382,-0.13287,0.85620,-0.33984,3.06641,-8.72656,-3.53516,-2.02539,-0.86133,-0.53062,0.40707,-0.99297
17,9766,3,-0.43195,0.28265,-0.12415,0.84741,-0.59375,2.39844,-8.22656,-4.17383,-2.49219,-1.03125,-0.51174,0.38095,-1.04359
18,9765,3,-0.45105,0.27332,-0.11780,0.84143,0.29297,0.76172,-7.90625,-4.81445,-2.88281,-1.16016,-0.49555,0.36150,-1.07653
19,12696,3,-0.47296,0.26208,-0.11023,0.83392,1.04688,0.10547,-7.69531,-5.44727,-3.29102,-1.29883,-0.47562,0.33934,-1.11484
