lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1222656,3,-0.13049,0.25275,-0.30658,0.90833,0.48828,0.97656,-0.95312,-0.65820,-0.39453,-0.39844,-0.73854,0.38888,-0.43751
1,10742,3,-0.13428,0.25183,-0.30719,0.90784,0.59375,1.23047,-1.06250,-0.87891,-0.47656,-0.60938,-0.74036,0.38413,-0.44433
2,9766,3,-0.13904,0.25067,-0.30823,0.90710,0.73047,1.58203,-1.04688,-1.06641,-0.52734,-0.89258,-0.74321,0.37799,-0.45300
3,9766,3,-0.14520,0.24939,-0.31006,0.90588,1.12109,1.99219,-1.02344,-1.21875,-0.58984,-1.25977,-0.74807,0.37018,-0.46459
4,9765,3,-0.15259,0.24780,-0.31311,0.90405,2.05859,2.58203,-1.26172,-1.33398,-0.66016,-1.71484,-0.75563,0.36023,-0.47870
5,10742,3,-0.16119,0.24585,-0.31781,0.90143,2.55469,2.96094,-1.30469,-1.35352,-0.74219,-2.24023,-0.76668,0.34774,-0.49533
6,12696,3,-0.17078,0.24316,-0.32452,0.89801,2.91406,3.05859,-1.34375,-1.37695,-0.80469,-2.81055,-0.78148,0.33194,-0.51364
7,6836,3,-0.18073,0.23993,-0.33307,0.89380,3.81250,0.94531,-0.14844,-1.34375,-0.77539,-3.24219,-0.79958,0.31361,-0.53243
8,10742,3,-0.19177,0.23584,-0.34424,0.88831,3.86328,-0.47656,1.00391,-1.22070,-0.63086,-3.37500,-0.82253,0.29106,-0.55292
9,9765,3,-0.20300,0.23157,-0.35730,0.88177,3.93359,-1.30469,2.12109,-0.97461,-0.30273,-3.27930,-0.84898,0.26645,-0.57355
10,9766,3,-0.21252,0.22803,-0.37018,0.87512,3.87891,-2.05469,3.44141,-0.73438,0.09180,-3.11523,-0.87504,0.24417,-0.59113
11,9766,3,-0.22021,0.22565,-0.38330,0.86810,4.10547,-2.53516,4.36328,-0.54492,0.50781,-3.00195,-0.90217,0.22486,-0.60614
12,10742,3,-0.22577,0.22479,-0.39606,0.86115,4.26953,-2.33984,4.32422,-0.36133,0.89062,-3.06836,-0.92940,0.20987,-0.61831
13,9766,3,-0.22974,0.22522,-0.40930,0.85376,4.42188,-1.97656,4.17188,-0.05664,1.05273,-3.34570,-0.95859,0.19780,-0.62877
14,11718,3,-0.23224,0.22607,-0.42383,0.84576,5.10938,-1.67969,3.89453,0.32812,1.19141,-3.67383,-0.99078,0.18664,-0.63702
15,7813,3,-0.23315,0.22638,-0.43958,0.83734,4.96875,-1.97656,3.82812,0.68359,1.42969,-3.86914,-1.02515,0.17503,-0.64180
16,10742,3,-0.23236,0.22632,-0.45746,0.82794,4.57422,-2.33594,3.81250,0.97461,1.84766,-3.91406,-1.06394,0.16289,-0.64323
17,9766,3,-0.22943,0.22662,-0.47693,0.81763,4.12109,-2.80469,3.90234,1.26953,2.29102,-3.87891,-1.10680,0.15234,-0.64137
18,9765,3,-0.22449,0.22778,-0.49554,0.80756,2.75391,-3.21875,3.37500,1.57617,2.52148,-3.89648,-1.14895,0.14593,-0.63683
19,10742,3,-0.21680,0.22961,-0.51636,0.79602,2.90625,-2.81250,2.77734,1.72656,2.75000,-3.94531,-1.19718,0.14214,-0.62884
20,9766,3,-0.20782,0.23151,-0.53662,0.78442,3.54297,-2.55469,2.41406,1.76562,3.12500,-3.83008,-1.24497,0.14061,-0.61897
21,9766,3,-0.19788,0.23413,-0.55615,0.77252,4.20312,-3.75000,1.97656,2.04883,3.40625,-3.57422,-1.29265,0.14211,-0.60879
22,9765,3,-0.18542,0.23767,-0.57605,0.75977,1.00000,-3.04688,-0.50781,2.23633,3.29102,-3.41602,-1.34304,0.14807,-0.59651
23,10742,3,-0.17151,0.24091,-0.59509,0.74725,-0.03125,-3.01953,-1.77344,2.14648,2.89062,-3.23438,-1.39203,0.15655,-0.58210
24,11719,3,-0.15796,0.24298,-0.61279,0.73517,-0.71094,-2.73047,-2.72266,1.89648,2.45117,-2.94922,-1.43774,0.16441,-0.56724
25,7813,3,-0.14661,0.24402,-0.62781,0.72443,-1.92969,-2.72656,-3.55469,1.60742,2.05469,-2.58789,-1.47670,0.17029,-0.55440
26,9765,3,-0.13641,0.24457,-0.64166,0.71405,-2.60156,-2.71094,-3.57031,1.55273,1.73828,-2.24414,-1.51295,0.17509,-0.54283
27,10743,3,-0.12738,0.24457,-0.65375,0.70465,-3.13672,-2.46094,-3.69141,1.59375,1.42773,-2.00195,-1.54482,0.17908,-0.53219
28,9765,3,-0.11920,0.24359,-0.66412,0.69672,-3.39062,-2.06250,-3.90234,1.51172,1.13867,-1.77344,-1.57158,0.18210,-0.52114
29,9766,3,-0.11182,0.24170,-0.67328,0.68976,-3.75781,-2.00391,-4.59766,1.16211,0.89062,-1.48633,-1.59465,0.18390,-0.50973
30,10742,3,-0.10571,0.23969,-0.68109,0.68372,-4.20312,-2.01562,-4.90625,0.70508,0.65820,-1.13086,-1.61424,0.18481,-0.49977
31,9766,3,-0.10144,0.23834,-0.68707,0.67883,-4.54688,-1.96094,-5.16797,0.23242,0.42969,-0.72266,-1.62961,0.18526,-0.49309
32,9765,3,-0.09918,0.23810,-0.69086,0.67542,-5.00000,-2.05469,-5.18359,-0.28125,0.27539,-0.28906,-1.63999,0.18565,-0.49049
33,9766,3,-0.09863,0.23907,-0.69275,0.67322,-5.25781,-2.12109,-4.98438,-0.69531,0.16406,0.18164,-1.64628,0.18632,-0.49179
34,10742,3,-0.09961,0.24146,-0.69244,0.67255,-5.51172,-2.15234,-4.92188,-0.98828,0.02148,0.64648,-1.64776,0.18793,-0.49696
35,9766,3,-0.10162,0.24481,-0.69006,0.67346,-5.82422,-2.00391,-4.79688,-1.18750,-0.24805,1.07422,-1.64444,0.19064,-0.50466
36,9765,3,-0.10461,0.24860,-0.68573,0.67603,-5.94531,-1.62891,-4.98047,-1.30664,-0.58594,1.46094,-1.63614,0.19386,-0.51393
37,10742,3,-0.10876,0.25214,-0.67957,0.68030,-5.92188,-1.42969,-5.04297,-1.42188,-0.93164,1.82812,-1.62256,0.19649,-0.52393
38,9766,3,-0.11389,0.25500,-0.67188,0.68604,-5.86328,-1.22656,-5.06250,-1.52734,-1.28906,2.16211,-1.60428,0.19812,-0.53385
39,9766,3,-0.12012,0.25720,-0.66241,0.69324,-5.27734,-0.91797,-5.27734,-1.63867,-1.69141,2.41992,-1.58094,0.19879,-0.54393
40,9765,3,-0.12769,0.25861,-0.65131,0.70184,-4.89453,-0.89453,-5.41406,-1.81445,-2.17773,2.68945,-1.55263,0.19797,-0.55435
41,10743,3,-0.13672,0.25903,-0.63873,0.71149,-4.55078,-1.22266,-5.78125,-2.22070,-2.64258,3.01562,-1.51998,0.19518,-0.56526
42,11718,3,-0.14789,0.25879,-0.62421,0.72217,-4.32422,-1.45703,-5.71094,-2.67188,-2.98047,3.37891,-1.48229,0.19030,-0.57823
43,7813,3,-0.16071,0.25854,-0.60803,0.73328,-3.48828,-2.01562,-5.55469,-3.16797,-3.24023,3.75781,-1.44127,0.18478,-0.59388
44,9765,3,-0.17627,0.25873,-0.58832,0.74561,-3.03906,-2.30078,-5.44531,-3.55469,-3.49609,4.08008,-1.39310,0.17936,-0.61444
45,9766,3,-0.19440,0.25940,-0.56500,0.75873,-2.37891,-2.51172,-5.41406,-3.83789,-3.70703,4.33789,-1.33824,0.17485,-0.64005
46,10742,3,-0.21289,0.26013,-0.54065,0.77118,-1.68359,-2.99219,-4.94141,-3.95703,-3.79492,4.56250,-1.28257,0.17186,-0.66714
47,9766,3,-0.23236,0.26074,-0.51373,0.78363,-0.91797,-3.41406,-4.83984,-4.00781,-3.84180,4.79297,-1.22268,0.17074,-0.69634
48,9765,3,-0.25134,0.26129,-0.48572,0.79535,0.14062,-4.16797,-4.42188,-4.11523,-3.53516,5.11523,-1.16204,0.17233,-0.72549
49,9766,3,-0.27002,0.26257,-0.45538,0.80670,0.39453,-4.91797,-3.28125,-4.48242,-2.78516,5.43750,-1.09888,0.17866,-0.75558
50,12695,3,-0.28650,0.26636,-0.42566,0.81598,1.33203,-5.75391,-0.38281,-4.77539,-1.94336,5.65430,-1.04138,0.19195,-0.78564
51,7813,3,-0.30292,0.27441,-0.39301,0.82367,2.64062,-5.36719,0.05078,-4.86914,-1.26172,5.46875,-0.98450,0.21564,-0.82079
52,9766,3,-0.31842,0.28577,-0.36017,0.82898,3.36719,-4.60547,0.79297,-4.71094,-0.77539,4.96484,-0.93318,0.24693,-0.85832
53,9765,3,-0.33276,0.29865,-0.32916,0.83173,3.70312,-3.63672,1.24219,-4.50195,-0.51172,4.33008,-0.88962,0.28140,-0.89599
54,12695,3,-0.34583,0.31122,-0.30176,0.83215,3.89062,-2.21094,0.53906,-4.52344,-0.43750,3.59766,-0.85484,0.31441,-0.93188
55,7813,3,-0.35852,0.32251,-0.27808,0.83069,3.75000,-1.64844,0.32031,-4.55664,-0.61914,2.84961,-0.82746,0.34314,-0.96675
56,9766,3,-0.37262,0.33228,-0.25659,0.82758,3.81641,-1.33984,0.23047,-4.36914,-1.12500,2.08594,-0.80422,0.36693,-1.00363
57,9765,3,-0.38806,0.33899,-0.23724,0.82355,4.27734,-1.17578,-0.21875,-4.05078,-1.85156,1.35156,-0.78253,0.38354,-1.04055
58,10742,3,-0.40454,0.34125,-0.21967,0.81952,4.70312,-1.32031,-0.07422,-3.87695,-2.77344,0.72266,-0.75906,0.39153,-1.07495
59,9766,3,-0.42163,0.33820,-0.20380,0.81628,4.57031,-1.50391,0.26953,-4.29883,-3.16992,0.58008,-0.73164,0.39009,-1.10462
60,12695,3,-0.44025,0.33154,-0.18781,0.81299,5.35156,-2.40234,0.80859,-3.65820,-2.89453,-0.56055,-0.69969,0.38303,-1.13386
61,6836,3,-0.45813,0.32343,-0.17523,0.80920,5.75000,-1.07422,3.12500,-3.03906,-3.06641,-1.04883,-0.67175,0.37135,-1.16128
62,10742,3,-0.47552,0.31244,-0.16626,0.80536,6.22656,-2.65234,3.42969,-2.55469,-2.69727,-1.00586,-0.64592,0.35238,-1.18577
63,9766,3,-0.49139,0.30023,-0.15887,0.80200,6.18359,-2.78516,4.53516,-2.09961,-2.01562,-0.91016,-0.62060,0.33145,-1.20659
64,9766,3,-0.50366,0.29059,-0.15363,0.79895,6.14453,-2.83594,4.89062,-1.82812,-1.35352,-0.85352,-0.60162,0.31474,-1.22333
65,10742,3,-0.51416,0.28314,-0.15009,0.79559,6.01172,-2.58984,5.08984,-1.41406,-0.61914,-0.86328,-0.58819,0.30070,-1.23919
66,9766,3,-0.52252,0.27826,-0.14874,0.79211,6.10156,-2.21484,5.12500,-0.96484,-0.02930,-0.93750,-0.58148,0.28940,-1.25341
67,9765,3,-0.52875,0.27551,-0.14984,0.78870,6.27734,-1.76953,4.76562,-0.67383,0.31641,-1.11133,-0.58126,0.27978,-1.26536
68,9766,3,-0.53320,0.27405,-0.15320,0.78558,6.79297,-0.80078,3.35156,-0.50195,0.60156,-1.41406,-0.58601,0.27048,-1.27468
69,10742,3,-0.53687,0.27301,-0.15869,0.78235,6.88672,-0.14062,2.91406,-0.36328,0.88477,-1.82812,-0.59465,0.25969,-1.28282
70,9766,3,-0.53687,0.27301,-0.15869,0.78235,7.13672,0.41016,2.51953,-0.34180,1.16992,-2.32617,-0.59465,0.25969,-1.28282
71,9765,3,-0.54327,0.27081,-0.17657,0.77478,7.31641,0.93359,2.15234,-0.48242,1.41797,-2.88867,-0.62270,0.22981,-1.29731
72,9766,3,-0.54730,0.26917,-0.18994,0.76941,9.12891,2.25781,1.25781,-1.05273,1.83594,-3.57617,-0.64323,0.20776,-1.30602
73,10742,3,-0.55304,0.26727,-0.20624,0.76166,10.00391,3.17969,1.35938,-1.70508,2.53516,-4.27930,-0.66854,0.18001,-1.31872
74,9766,3,-0.56110,0.26617,-0.22528,0.75073,11.25391,3.96484,1.29297,-1.96484,3.55469,-5.06250,-0.69960,0.14737,-1.33751
75,9765,3,-0.57074,0.26654,-0.24951,0.73547,10.66406,3.71875,1.27344,-1.23633,4.74023,-6.01367,-0.74122,0.10747,-1.36168
76,12696,3,-0.57831,0.26782,-0.27875,0.71844,8.87891,3.21484,1.19141,-0.15234,5.65430,-6.80078,-0.79186,0.06247,-1.38162
77,7812,3,-0.58154,0.26874,-0.31458,0.70044,7.94141,2.02734,-0.07031,0.22656,5.80469,-7.34375,-0.85307,0.01059,-1.39065
78,9766,3,-0.58130,0.26788,-0.35577,0.68103,7.53906,0.01172,-2.53906,-0.03711,5.13477,-7.81055,-0.92221,-0.04877,-1.38888
79,9765,3,-0.58069,0.26385,-0.39893,0.65881,4.38281,-3.58984,-4.74609,-0.33398,4.34570,-7.72266,-0.99305,-0.11590,-1.38206
80,10743,3,-0.58148,0.25708,-0.43738,0.63599,1.54297,-5.75781,-5.28906,-0.72266,3.74023,-7.06641,-1.05477,-0.18267,-1.37473
81,9765,3,-0.58337,0.24927,-0.47192,0.61224,-1.45703,-7.17969,-5.63672,-1.05469,3.04102,-6.15234,-1.11086,-0.24792,-1.36817
82,9766,3,-0.58582,0.24261,-0.49921,0.59058,-5.35156,-8.63672,-5.57422,-1.23828,2.58203,-4.66016,-1.15689,-0.30292,-1.36404
83,10742,3,-0.58856,0.23755,-0.52295,0.56891,-7.50391,-9.56641,-5.13672,-1.14648,2.15820,-3.18555,-1.19989,-0.35256,-1.36225
84,11719,3,-0.59027,0.23584,-0.53943,0.55225,-8.80469,-9.72266,-5.19922,-1.04102,1.69141,-1.69922,-1.23329,-0.38584,-1.36214
85,7812,3,-0.59088,0.23676,-0.55017,0.54047,-9.09375,-10.44531,-5.21484,-0.76758,1.47656,-0.26953,-1.25833,-0.40526,-1.36299
86,9766,3,-0.59009,0.24060,-0.55640,0.53320,-8.88672,-10.96484,-3.58984,-0.49023,1.47852,1.27148,-1.27740,-0.41160,-1.36443
87,10742,3,-0.58698,0.24792,-0.55872,0.53094,-8.35547,-10.85938,-2.60156,-0.22656,1.44922,2.55859,-1.29235,-0.40346,-1.36488
88,8789,3,-0.58142,0.25836,-0.55737,0.53345,-7.31641,-9.85547,-1.89844,0.16797,1.29297,3.32422,-1.30342,-0.38168,-1.36414
89,10742,3,-0.57416,0.27002,-0.55353,0.53949,-5.34375,-6.60156,-1.58984,0.62500,1.03711,3.70117,-1.31076,-0.35147,-1.36172
90,9766,3,-0.57416,0.27002,-0.55353,0.53949,-4.46484,-5.03906,-1.21094,1.07422,0.76367,3.77148,-1.31076,-0.35147,-1.36172
91,10742,3,-0.55450,0.29303,-0.54083,0.56055,-3.52344,-3.64062,-0.32422,1.17188,0.56445,3.37891,-1.31524,-0.27470,-1.34727
92,9766,3,-0.54431,0.30151,-0.53418,0.57227,-2.94141,-1.92578,0.86328,1.43555,0.06250,2.78125,-1.31324,-0.23868,-1.33643
