lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,8254883,3,-0.03790,-0.08929,0.00977,0.99524,1.39453,0.96094,1.93750,-0.27344,0.26172,-0.01758,0.02663,-0.17793,-0.07851
1,10742,3,-0.03943,-0.08801,0.00964,0.99530,1.69141,1.18359,2.35938,-0.23828,0.24023,-0.08984,0.02655,-0.17533,-0.08152
2,8789,3,-0.04071,-0.08679,0.00922,0.99536,1.87109,1.39844,2.78125,-0.21875,0.21289,-0.16992,0.02580,-0.17289,-0.08399
3,10742,3,-0.04175,-0.08569,0.00848,0.99542,2.08594,1.44531,3.81641,-0.12500,0.17578,-0.25586,0.02440,-0.17072,-0.08592
4,9766,3,-0.04254,-0.08472,0.00726,0.99548,2.32031,1.23047,4.42188,-0.03125,0.12500,-0.34570,0.02198,-0.16885,-0.08728
5,10742,3,-0.04279,-0.08405,0.00568,0.99554,2.44531,0.88672,4.91797,0.06641,0.12695,-0.42383,0.01876,-0.16763,-0.08748
6,9766,3,-0.04254,-0.08350,0.00372,0.99561,2.65234,0.53125,5.45312,0.29492,0.16016,-0.57031,0.01472,-0.16671,-0.08664
7,9765,3,-0.04144,-0.08289,0.00128,0.99573,3.34766,0.01172,6.67188,0.72266,0.11523,-0.84961,0.00955,-0.16570,-0.08399
8,9766,3,-0.03864,-0.08228,-0.00201,0.99585,3.73047,-0.35547,7.23828,1.16406,0.08789,-1.20117,0.00238,-0.16477,-0.07775
9,9766,3,-0.03351,-0.08197,-0.00671,0.99603,3.65625,-0.92578,7.45312,1.48438,0.20312,-1.45312,-0.00799,-0.16449,-0.06660
10,9765,3,-0.02631,-0.08154,-0.01282,0.99622,2.16797,-1.80078,7.39844,1.78320,0.40820,-1.62109,-0.02154,-0.16388,-0.05103
11,10742,3,-0.01752,-0.08032,-0.01990,0.99640,1.27344,-2.35938,7.30859,1.98438,0.62891,-1.67383,-0.03733,-0.16147,-0.03214
12,9766,3,-0.00739,-0.07800,-0.02740,0.99652,0.24609,-2.90625,6.87109,2.16602,0.79688,-1.63086,-0.05416,-0.15651,-0.01057
13,9766,3,0.00366,-0.07483,-0.03485,0.99658,-0.50000,-3.29297,6.39453,2.37500,0.82617,-1.53906,-0.07086,-0.14945,0.01266
14,10742,3,0.01544,-0.07123,-0.04169,0.99646,-2.40625,-3.67188,5.11719,2.60742,0.81055,-1.37695,-0.08624,-0.14113,0.03709
15,9765,3,0.02893,-0.06744,-0.04816,0.99615,-3.05078,-3.75391,4.41797,2.90430,0.68359,-1.23242,-0.10089,-0.13196,0.06474
16,9766,3,0.04327,-0.06415,-0.05365,0.99554,-3.65234,-3.83594,3.66797,3.14648,0.49609,-1.06641,-0.11348,-0.12340,0.09390
17,9766,3,0.05902,-0.06177,-0.05829,0.99463,-4.28125,-3.99609,2.76562,3.24805,0.28320,-0.83398,-0.12440,-0.11625,0.12579
18,10742,3,0.07520,-0.06049,-0.06189,0.99341,-5.38281,-3.65625,0.42188,3.24414,0.06836,-0.52734,-0.13327,-0.11109,0.15852
19,9766,3,0.09106,-0.06036,-0.06415,0.99194,-5.70312,-3.61719,-0.38281,3.16797,-0.10156,-0.19141,-0.13952,-0.10828,0.19067
20,9765,3,0.10767,-0.06128,-0.06470,0.99017,-5.76562,-3.63281,-1.20312,3.08984,-0.25000,0.12891,-0.14263,-0.10763,0.22431
21,9766,3,0.12317,-0.06311,-0.06360,0.98834,-5.55078,-3.42969,-2.24219,3.03711,-0.36133,0.45117,-0.14259,-0.10930,0.25578
22,10742,3,0.13818,-0.06567,-0.06104,0.98633,-5.51172,-3.48047,-2.77734,2.98242,-0.48438,0.79688,-0.13990,-0.11293,0.28631
23,9766,3,0.15271,-0.06909,-0.05688,0.98419,-5.48438,-3.64062,-3.23438,2.84570,-0.53516,1.16992,-0.13443,-0.11891,0.31588
24,9765,3,0.16656,-0.07306,-0.05103,0.98199,-5.51562,-3.69922,-3.71484,2.68164,-0.64844,1.51953,-0.12589,-0.12683,0.34404
25,9766,3,0.17902,-0.07745,-0.04364,0.97980,-5.31250,-3.42578,-4.68750,2.51953,-0.73438,1.91016,-0.11457,-0.13658,0.36927
26,10742,3,0.19159,-0.08313,-0.03381,0.97736,-5.55078,-3.57031,-4.90234,2.38281,-0.80273,2.37500,-0.09923,-0.15010,0.39461
27,9766,3,0.20203,-0.08893,-0.02307,0.97504,-5.69141,-3.77734,-5.02734,2.19727,-0.81055,2.83594,-0.08213,-0.16485,0.41540
28,9765,3,0.21234,-0.09589,-0.00916,0.97241,-5.36328,-4.05859,-5.23438,1.99414,-0.93945,3.11328,-0.05957,-0.18363,0.43547
29,9766,3,0.22119,-0.10333,0.00598,0.96973,-3.68359,-3.76953,-6.39453,1.66211,-0.94727,3.37109,-0.03484,-0.20447,0.45210
30,10742,3,0.22839,-0.11133,0.02197,0.96692,-3.89453,-3.81641,-6.64844,1.11133,-0.76172,3.72852,-0.00858,-0.22729,0.46489
31,9766,3,0.23322,-0.11920,0.03931,0.96429,-3.66016,-3.69531,-7.25781,0.45703,-0.58203,4.09375,0.02086,-0.25085,0.47196
32,9765,3,0.23480,-0.12671,0.05829,0.96198,-2.96094,-3.12891,-8.50781,-0.26758,-0.45312,4.43555,0.05472,-0.27460,0.47124
33,9766,3,0.23273,-0.13397,0.07849,0.96008,-2.90234,-2.86328,-8.87500,-1.01172,-0.25781,4.83594,0.09257,-0.29817,0.46172
34,10742,3,0.22656,-0.14117,0.10046,0.95844,-2.92188,-2.93750,-8.81250,-1.67578,0.06836,5.27734,0.13598,-0.32167,0.44216
35,9766,3,0.21667,-0.14783,0.12372,0.95703,-2.66016,-2.90234,-8.36328,-2.17383,0.34766,5.64648,0.18449,-0.34326,0.41323
36,10742,3,0.20380,-0.15350,0.14801,0.95551,-1.67188,-3.10156,-8.27734,-2.62305,0.46484,5.90234,0.23774,-0.36150,0.37663
37,8789,3,0.18744,-0.15906,0.17462,0.95343,-1.23828,-2.76562,-8.05859,-3.09961,0.50195,6.01953,0.29851,-0.37770,0.33077
38,10742,3,0.16785,-0.16486,0.20245,0.95062,-0.39844,-2.28906,-8.41406,-3.65625,0.38477,5.91797,0.36453,-0.39130,0.27651
39,9766,3,0.14642,-0.17096,0.22864,0.94714,0.55078,-1.88672,-8.73438,-4.20508,0.21289,5.67188,0.42918,-0.40149,0.21812
40,12695,3,0.12238,-0.17810,0.25317,0.94299,2.16406,-1.73828,-8.15625,-4.66602,-0.06250,5.31250,0.49260,-0.40917,0.15387
41,7813,3,0.09723,-0.18622,0.27472,0.93829,2.92969,-1.38281,-8.46875,-5.08008,-0.50195,4.88281,0.55120,-0.41466,0.08768
42,9765,3,0.07007,-0.19653,0.29407,0.93274,3.60938,-1.10156,-8.66016,-5.55469,-0.98242,4.46875,0.60729,-0.42008,0.01656
43,9766,3,0.04095,-0.20959,0.31097,0.92609,4.62891,-2.07031,-8.69141,-5.99805,-1.01367,4.21289,0.66090,-0.42651,-0.05990
44,9766,3,0.01080,-0.22412,0.32520,0.91864,4.27734,-2.53125,-7.17969,-6.26953,-0.73828,4.01367,0.71104,-0.43212,-0.13911
45,10742,3,-0.02051,-0.23816,0.33722,0.91058,4.49609,-3.25391,-5.80469,-6.27344,-0.63672,3.55469,0.75793,-0.43332,-0.21990
46,11718,3,-0.05200,-0.25116,0.34711,0.90210,5.67969,-3.68359,-4.21484,-5.67383,-0.77148,2.76758,0.80053,-0.43016,-0.29950
47,7813,3,-0.08069,-0.26331,0.35394,0.89380,9.23438,-3.54297,-0.10547,-4.65625,-0.92773,1.83984,0.83545,-0.42637,-0.37164
48,9766,3,-0.10492,-0.27509,0.35797,0.88611,11.11719,-3.26562,1.94531,-3.62305,-0.71680,0.91992,0.86290,-0.42508,-0.43376
49,10742,3,-0.12439,-0.28583,0.35907,0.87970,13.17969,-2.94922,3.22656,-2.89453,-0.34961,-0.00977,0.88196,-0.42637,-0.48457
50,9765,3,-0.13831,-0.29370,0.35706,0.87585,14.25781,-2.90625,3.58203,-2.47070,0.23047,-0.83008,0.88992,-0.42873,-0.52012
51,9766,3,-0.14935,-0.29907,0.35150,0.87445,13.16406,-3.48438,4.05078,-2.03516,0.61133,-1.63867,0.88685,-0.43132,-0.54568
52,10742,3,-0.15790,-0.30212,0.34277,0.87537,12.06641,-3.44531,4.03125,-1.44531,0.73438,-2.44336,0.87366,-0.43422,-0.56219
53,9766,3,-0.16351,-0.30377,0.33081,0.87836,10.91016,-3.39844,4.31641,-0.92383,0.73242,-3.18359,0.85104,-0.43949,-0.56986
54,12695,3,-0.16351,-0.30377,0.33081,0.87836,9.02344,-3.19922,3.24219,-0.50977,0.65625,-3.87500,0.85104,-0.43949,-0.56986
55,6836,3,-0.16431,-0.30573,0.29980,0.88861,8.40625,-3.06250,3.36719,-0.21289,0.58008,-4.53906,0.78541,-0.46099,-0.55947
56,9766,3,-0.16034,-0.30695,0.28015,0.89532,7.56250,-3.60938,4.00391,0.16016,0.45703,-5.17773,0.74196,-0.47775,-0.54331
57,10742,3,-0.15332,-0.30847,0.25677,0.90302,6.53906,-3.76172,4.48438,0.84375,0.17188,-5.82227,0.68901,-0.49878,-0.51864
58,9766,3,-0.14270,-0.31055,0.23193,0.91071,5.48438,-4.55469,6.90625,1.66406,-0.17383,-6.42773,0.63098,-0.52296,-0.48510
59,9765,3,-0.14270,-0.31055,0.23193,0.91071,4.86719,-5.28516,7.58594,2.29102,-0.32031,-6.82031,0.63098,-0.52296,-0.48510
60,10742,3,-0.10779,-0.31641,0.17896,0.92535,4.01172,-6.24219,7.61719,2.50586,-0.05078,-6.85352,0.49733,-0.57875,-0.38284
61,9766,3,-0.08673,-0.31848,0.15240,0.93158,2.51562,-7.33984,7.33203,2.64453,0.20703,-6.59180,0.42438,-0.60278,-0.31941
62,9766,3,-0.06311,-0.31891,0.12396,0.93750,-0.12891,-7.74219,6.83984,3.01758,0.53906,-6.17188,0.34207,-0.62159,-0.24528
63,10742,3,-0.03955,-0.31720,0.09808,0.94244,-1.16797,-7.79297,7.04688,3.33203,1.01367,-5.56445,0.26311,-0.63122,-0.17024
64,12695,3,-0.01581,-0.31299,0.07544,0.94659,-2.52344,-7.71875,6.19922,3.39062,1.40234,-4.84375,0.19034,-0.63130,-0.09572
65,6836,3,0.00708,-0.30646,0.05652,0.95020,-3.91016,-5.87500,3.47266,3.21680,1.71484,-4.13867,0.12722,-0.62263,-0.02608
66,9766,3,0.02917,-0.29791,0.04028,0.95331,-4.32812,-5.24219,2.35156,2.83203,2.03320,-3.45898,0.07240,-0.60692,0.03851
67,10742,3,0.04968,-0.28729,0.02673,0.95618,-4.53906,-4.40234,1.26953,2.45898,2.26172,-2.86133,0.02708,-0.58484,0.09567
68,9765,3,0.06683,-0.27570,0.01605,0.95880,-4.80469,-3.55859,0.41016,2.41016,2.17188,-2.50000,-0.00716,-0.55955,0.14124
69,9766,3,0.08215,-0.26379,0.00751,0.96106,-4.66016,-2.05469,-0.01953,2.29102,1.93750,-2.20508,-0.03358,-0.53317,0.17972
70,9766,3,0.09631,-0.25299,0.00055,0.96265,-5.33984,-2.01562,-0.91797,1.91992,1.66992,-1.78711,-0.05462,-0.50888,0.21365
71,9765,3,0.10919,-0.24316,-0.00537,0.96381,-5.87891,-1.66797,-2.23828,1.51367,1.33203,-1.28125,-0.07185,-0.48652,0.24346
72,13672,3,0.10919,-0.24316,-0.00537,0.96381,-6.98828,-0.61328,-3.10547,1.27148,0.98242,-0.72070,-0.07185,-0.48652,0.24346
73,6836,3,0.12720,-0.22913,-0.01154,0.96497,-7.10156,-0.42578,-3.05078,1.10938,0.67773,-0.10352,-0.08979,-0.45479,0.28291
74,9766,3,0.13348,-0.22498,-0.01117,0.96515,-7.05859,-0.54297,-3.08984,0.79492,0.53906,0.66406,-0.09058,-0.44589,0.29541
75,9765,3,0.13818,-0.22205,-0.00763,0.96515,-7.28125,-0.84375,-3.44922,0.36523,0.51367,1.58789,-0.08423,-0.44064,0.30329
76,10743,3,0.13977,-0.22034,-0.00104,0.96533,-7.45703,-0.61328,-4.68359,0.00586,0.35742,2.46875,-0.07032,-0.43910,0.30328
77,9765,3,0.13849,-0.21954,0.01007,0.96570,-7.21094,-0.39062,-4.99609,-0.45508,0.41602,3.29102,-0.04575,-0.44094,0.29513
78,9766,3,0.13422,-0.21960,0.02454,0.96600,-6.98438,-0.12500,-5.05078,-1.23047,0.65625,4.09180,-0.01279,-0.44545,0.27901
79,9765,3,0.12616,-0.21954,0.04187,0.96649,-6.62500,0.12891,-6.32422,-2.21289,0.88477,4.86914,0.02837,-0.44998,0.25311
80,10743,3,0.11261,-0.21893,0.06256,0.96722,-5.61328,-0.06250,-7.57422,-3.09375,1.04297,5.53906,0.07983,-0.45291,0.21340
81,9765,3,0.09393,-0.21796,0.08533,0.96765,-5.35156,-0.03906,-7.66016,-3.75195,0.81641,6.05273,0.13858,-0.45322,0.16154
82,9766,3,0.07062,-0.21747,0.11047,0.96722,-4.98438,-0.52734,-8.03516,-4.14258,0.65430,6.41992,0.20479,-0.45146,0.09858
83,9766,3,0.04517,-0.21814,0.13593,0.96533,-5.18359,-1.01172,-6.75000,-4.41992,0.14844,6.47461,0.27271,-0.44831,0.03096
84,10742,3,0.01636,-0.22046,0.16339,0.96149,-3.06641,-2.07031,-7.56250,-4.80273,-0.75781,6.12695,0.34680,-0.44369,-0.04495
85,9765,3,-0.01251,-0.22607,0.18860,0.95563,-1.81641,-1.98438,-8.23438,-5.35547,-1.39453,5.63086,0.41690,-0.44155,-0.12106
86,12696,3,-0.04242,-0.23547,0.21124,0.94769,-0.67578,-2.14453,-7.77344,-5.90820,-1.63672,5.06836,0.48388,-0.44272,-0.20042
87,7812,3,-0.07275,-0.24695,0.22974,0.93860,2.67969,-3.34375,-5.48828,-6.36523,-1.56055,4.34375,0.54393,-0.44464,-0.28063
88,9766,3,-0.10681,-0.26019,0.24548,0.92773,5.10156,-3.41406,-3.85938,-6.51953,-1.46289,3.46484,0.60181,-0.44484,-0.36939
89,9765,3,-0.13940,-0.27271,0.25586,0.91693,7.68359,-2.82422,-2.41016,-6.22461,-1.54492,2.48828,0.64790,-0.44311,-0.45274
