lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,7614258,3,0.11487,-0.28943,0.03204,0.94977,-2.25781,0.17969,-2.31250,-0.58008,0.01758,0.24023,-0.00677,-0.59091,0.24278
1,10742,3,0.11237,-0.28949,0.03204,0.95001,-2.29297,0.14844,-2.55078,-0.72852,-0.04102,0.35156,-0.00503,-0.59107,0.23699
2,9766,3,0.10876,-0.28986,0.03247,0.95032,-2.41797,0.18359,-2.64453,-0.83398,-0.13867,0.48047,-0.00161,-0.59194,0.22840
3,9766,3,0.10455,-0.29059,0.03314,0.95056,-3.23828,-0.27734,-3.02734,-1.03320,-0.26562,0.66992,0.00271,-0.59360,0.21827
4,9765,3,0.09918,-0.29205,0.03442,0.95062,-3.60547,-0.39453,-3.49219,-1.34766,-0.35742,0.89648,0.00909,-0.59691,0.20512
5,9766,3,0.09247,-0.29413,0.03613,0.95062,-4.02734,-0.60156,-3.76172,-1.74609,-0.30078,1.22656,0.01735,-0.60148,0.18855
6,10742,3,0.08350,-0.29645,0.03870,0.95062,-4.52734,-0.84375,-3.91406,-2.07031,-0.29883,1.59180,0.02930,-0.60658,0.16605
7,9766,3,0.07214,-0.29889,0.04242,0.95062,-4.79688,-0.76953,-3.96094,-2.29297,-0.39648,1.95898,0.04585,-0.61183,0.13701
8,9765,3,0.05951,-0.30151,0.04724,0.95044,-5.21094,-0.69531,-4.37500,-2.53711,-0.56250,2.37305,0.06616,-0.61720,0.10396
9,9766,3,0.04480,-0.30499,0.05371,0.94977,-5.49609,-0.49609,-4.71094,-2.81055,-0.63672,2.84180,0.09217,-0.62386,0.06453
10,10742,3,0.02814,-0.30914,0.06183,0.94861,-5.77734,-0.51172,-4.75781,-3.05664,-0.64648,3.29492,0.12405,-0.63102,0.01877
11,9766,3,0.00964,-0.31348,0.07172,0.94684,-5.28906,-1.10156,-4.28906,-3.22266,-0.78906,3.60156,0.16216,-0.63727,-0.03323
12,9765,3,-0.01050,-0.31805,0.08301,0.94434,-4.82422,-1.00391,-4.50000,-3.40039,-1.07617,3.86914,0.20558,-0.64225,-0.09083
13,12696,3,-0.03149,-0.32349,0.09528,0.94092,-4.47266,-0.96094,-4.59766,-3.61523,-1.34180,4.11133,0.25291,-0.64691,-0.15210
14,7812,3,-0.05322,-0.32990,0.10803,0.93628,-3.39062,-1.32031,-4.59766,-3.91406,-1.52539,4.31836,0.30317,-0.65137,-0.21665
15,9766,3,-0.07819,-0.33777,0.12250,0.92993,-3.07031,-1.68750,-3.89844,-4.13086,-1.60352,4.47852,0.36169,-0.65488,-0.29181
16,9765,3,-0.10315,-0.34558,0.13654,0.92267,-2.26562,-1.86719,-2.97266,-4.23242,-1.74805,4.56055,0.41998,-0.65547,-0.36734
