lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1152344,3,0.02148,0.08636,0.14807,0.98499,-3.19531,0.42188,0.56641,0.13086,0.05078,0.29883,0.30410,0.16451,0.06888
1,9766,3,0.02216,0.08698,0.14929,0.98468,-3.60938,0.13672,0.52734,0.14453,-0.07227,0.41406,0.30680,0.16543,0.07063
2,9765,3,0.02295,0.08698,0.15106,0.98444,-3.95312,-0.03125,0.60547,0.20508,-0.19922,0.54297,0.31053,0.16505,0.07251
3,10743,3,0.02417,0.08636,0.15338,0.98407,-4.04688,-0.47656,0.33594,0.25586,-0.33203,0.66602,0.31539,0.16329,0.07514
4,9765,3,0.02576,0.08514,0.15625,0.98370,-4.03125,-0.54688,0.22266,0.33398,-0.51172,0.78711,0.32134,0.16015,0.07836
5,9766,3,0.02789,0.08319,0.15973,0.98328,-4.19141,-0.58594,-0.20703,0.44336,-0.75781,0.98438,0.32850,0.15531,0.08251
6,9765,3,0.03064,0.08032,0.16382,0.98273,-4.59766,-0.71875,-0.62891,0.50977,-1.02930,1.27539,0.33687,0.14838,0.08761
7,10743,3,0.03406,0.07623,0.16895,0.98206,-4.96094,-0.85547,-1.25000,0.57227,-1.25391,1.51367,0.34724,0.13867,0.09369
8,9765,3,0.03839,0.07062,0.17572,0.98114,-4.80859,-0.58203,-1.79297,0.59961,-1.49219,1.66602,0.36079,0.12541,0.10112
9,9766,3,0.04297,0.06415,0.18304,0.98010,-4.65234,-0.26953,-2.45312,0.49805,-1.69922,1.78711,0.37526,0.11023,0.10857
10,9766,3,0.04773,0.05640,0.19104,0.97882,-4.54688,-0.03125,-3.18750,0.33594,-1.90234,1.92578,0.39085,0.09229,0.11573
11,10742,3,0.05200,0.04749,0.19971,0.97729,-4.27734,0.14062,-4.04688,0.18555,-2.10156,2.13867,0.40752,0.07211,0.12123
12,9765,3,0.05200,0.04749,0.19971,0.97729,-4.29688,-0.16406,-4.01562,0.05469,-2.32227,2.36328,0.40752,0.07211,0.12123
13,9766,3,0.05908,0.02606,0.21954,0.97345,-3.99219,-0.34375,-4.06250,-0.03125,-2.58398,2.51562,0.44522,0.02480,0.12685
14,9766,3,0.06219,0.01337,0.23071,0.97095,-2.61328,-0.88672,-4.33203,-0.11328,-2.88281,2.58789,0.46641,-0.00274,0.12729
15,12695,3,0.06512,-0.00067,0.24219,0.96802,-2.08984,-1.13672,-4.58984,-0.21094,-3.21484,2.62695,0.48824,-0.03285,0.12617
16,7812,3,0.06793,-0.01599,0.25348,0.96484,-1.71094,-1.45312,-5.07422,-0.39062,-3.41602,2.70117,0.50978,-0.06534,0.12355
17,9766,3,0.07043,-0.03326,0.26520,0.96106,-1.47266,-1.75000,-4.82031,-0.55078,-3.46289,2.78125,0.53246,-0.10147,0.11862
18,9766,3,0.07227,-0.05139,0.27710,0.95673,-0.52344,-2.25391,-4.66797,-0.69922,-3.45703,2.86328,0.55611,-0.13883,0.11109
19,10742,3,0.07343,-0.07050,0.28961,0.95172,-0.55078,-2.25781,-4.68750,-0.81836,-3.44141,2.95508,0.58183,-0.17765,0.10068
20,9765,3,0.07373,-0.08917,0.30200,0.94623,-0.39844,-2.21094,-4.67188,-0.89844,-3.44727,3.00977,0.60841,-0.21495,0.08781
21,12696,3,0.07355,-0.10773,0.31439,0.94031,-0.04297,-2.33203,-4.64062,-1.00000,-3.45312,3.01758,0.63611,-0.25147,0.07293
22,6836,3,0.07288,-0.12592,0.32635,0.93396,1.16797,-2.75000,-4.93750,-1.11914,-3.49414,2.97852,0.66421,-0.28669,0.05627
23,10742,3,0.07172,-0.14478,0.33832,0.92706,1.55859,-2.95312,-5.11328,-1.27930,-3.49414,2.92383,0.69383,-0.32252,0.03692
24,9766,3,0.06989,-0.16479,0.35028,0.91937,1.92188,-3.20312,-5.07031,-1.45117,-3.34375,2.84961,0.72551,-0.35969,0.01395
25,9765,3,0.06720,-0.18402,0.36133,0.91162,3.33984,-3.47266,-4.60156,-1.59375,-3.05273,2.73438,0.75699,-0.39421,-0.01133
26,10742,3,0.06342,-0.20227,0.37164,0.90387,3.79297,-3.41406,-4.27734,-1.74805,-2.60352,2.60547,0.78867,-0.42550,-0.03921
27,9766,3,0.05847,-0.21881,0.38098,0.89642,4.17188,-3.28125,-3.85156,-1.88867,-2.03320,2.47461,0.81959,-0.45208,-0.06886
28,9766,3,0.05200,-0.23340,0.38971,0.88934,4.46094,-3.16797,-3.50781,-1.97461,-1.40430,2.33203,0.85027,-0.47314,-0.10063
29,11718,3,0.04425,-0.24487,0.39740,0.88324,4.83984,-3.03125,-2.90625,-1.98633,-0.81445,2.18750,0.87846,-0.48675,-0.13215
30,8789,3,0.03491,-0.25421,0.40479,0.87769,4.66406,-2.98828,-2.63672,-1.95312,-0.41992,2.01758,0.90596,-0.49438,-0.16492
31,9766,3,0.02454,-0.26147,0.41162,0.87268,4.44922,-2.76172,-2.73438,-1.90430,-0.27930,1.81250,0.93169,-0.49676,-0.19742
32,9766,3,0.01416,-0.26727,0.41754,0.86835,4.27344,-2.55078,-2.98047,-1.88281,-0.27930,1.58203,0.95434,-0.49609,-0.22779
33,9765,3,0.00439,-0.27252,0.42236,0.86450,4.40234,-2.23828,-3.30859,-1.91406,-0.33008,1.30273,0.97384,-0.49483,-0.25572
34,10742,3,-0.00525,-0.27789,0.42603,0.86096,4.44141,-2.05078,-3.35938,-1.98047,-0.41016,1.00391,0.99077,-0.49387,-0.28294
