lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1171875,3,-0.09967,0.12952,-0.35669,0.91980,-1.53906,0.37500,2.59766,0.16406,-0.00391,-0.09375,-0.76389,0.16795,-0.28347
1,10742,3,-0.09918,0.12933,-0.35718,0.91968,-1.57812,0.21484,3.01172,0.36328,-0.06445,-0.08984,-0.76481,0.16783,-0.28249
2,9766,3,-0.09808,0.12866,-0.35773,0.91968,-1.50781,0.00781,3.57812,0.62891,-0.14453,-0.11133,-0.76555,0.16727,-0.27998
3,9765,3,-0.09607,0.12726,-0.35846,0.91986,-1.48438,-0.38281,3.95312,0.88867,-0.17383,-0.12109,-0.76621,0.16600,-0.27515
4,9766,3,-0.09302,0.12512,-0.35931,0.92010,-1.72266,-1.14453,4.35156,1.11719,-0.16016,-0.09961,-0.76677,0.16414,-0.26783
5,10742,3,-0.08862,0.12238,-0.36041,0.92047,-1.77734,-1.35156,4.32031,1.39258,-0.16797,-0.06641,-0.76744,0.16211,-0.25754
6,9766,3,-0.08325,0.11938,-0.36145,0.92096,-1.91406,-1.46875,4.08984,1.64258,-0.17383,0.02734,-0.76781,0.16040,-0.24521
7,9765,3,-0.07648,0.11578,-0.36230,0.92169,-2.19141,-1.79297,3.82031,1.84961,-0.16211,0.15234,-0.76741,0.15868,-0.22974
8,9766,3,-0.06873,0.11188,-0.36279,0.92261,-2.32031,-1.88281,2.74609,1.93555,-0.16797,0.31641,-0.76608,0.15721,-0.21216
9,10742,3,-0.06006,0.10773,-0.36261,0.92371,-2.63672,-1.94531,2.01953,1.91211,-0.14844,0.53125,-0.76326,0.15610,-0.19261
10,9766,3,-0.05127,0.10364,-0.36163,0.92511,-2.87500,-1.98047,1.28906,1.83398,-0.13672,0.75586,-0.75876,0.15530,-0.17275
11,9765,3,-0.04248,0.09973,-0.35950,0.92682,-3.25000,-1.85938,-0.20703,1.75195,-0.19727,0.99219,-0.75192,0.15494,-0.15287
12,9766,3,-0.03412,0.09589,-0.35626,0.92883,-3.29688,-1.73438,-1.18750,1.61133,-0.35938,1.20898,-0.74286,0.15443,-0.13368
