lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,924805,3,-0.17322,0.03619,0.15845,0.97137,4.24609,-0.10938,-0.09766,-0.91992,-0.82227,-0.01758,0.30221,0.12554,-0.33380
1,6835,3,-0.17725,0.03162,0.15991,0.97058,4.97656,-0.44531,0.11719,-0.80078,-0.73633,-0.34180,0.30607,0.11833,-0.34298
2,9766,3,-0.18085,0.02698,0.15979,0.97009,5.78906,-0.82031,0.59375,-0.59961,-0.56641,-0.66211,0.30688,0.11036,-0.35153
3,10742,3,-0.18390,0.02258,0.15790,0.96991,6.42969,-1.06250,1.15234,-0.32422,-0.32422,-0.95312,0.30422,0.10206,-0.35910
4,9766,3,-0.18597,0.01923,0.15424,0.97015,7.69531,-1.20703,2.12500,-0.10156,0.03320,-1.24609,0.29783,0.09482,-0.36456
5,9766,3,-0.18695,0.01740,0.14923,0.97083,8.06641,-1.02344,2.09375,0.04297,0.43555,-1.55859,0.28837,0.08969,-0.36745
6,9765,3,-0.18738,0.01715,0.14215,0.97180,8.19141,-0.75000,1.78906,0.08203,0.92773,-1.80469,0.27430,0.08671,-0.36898
7,10742,3,-0.18768,0.01898,0.13318,0.97296,8.13672,-0.51172,1.48828,0.09375,1.37695,-2.04297,0.25577,0.08704,-0.36992
8,9766,3,-0.18823,0.02283,0.12262,0.97418,8.09766,-0.12109,0.37891,0.09375,1.78125,-2.38477,0.23337,0.09076,-0.37109
9,10742,3,-0.18896,0.02850,0.11029,0.97534,7.27344,-0.53516,0.92188,0.24023,2.16797,-2.72266,0.20682,0.09744,-0.37262
10,8789,3,-0.18958,0.03577,0.09589,0.97650,5.90234,-1.06250,1.39844,0.63867,2.31641,-2.96484,0.17560,0.10641,-0.37413
11,10742,3,-0.18903,0.04401,0.08026,0.97772,2.76953,-2.72656,2.28125,1.07227,2.25586,-3.11133,0.14174,0.11665,-0.37366
12,9766,3,-0.18634,0.05286,0.06256,0.97906,1.28516,-3.72266,2.76953,1.45703,2.21875,-3.14844,0.10383,0.12716,-0.36953
13,9766,3,-0.18158,0.06134,0.04462,0.98047,-0.03906,-4.44922,3.51953,1.73828,2.31641,-3.11914,0.06588,0.13691,-0.36173
14,12695,3,-0.17523,0.06982,0.02679,0.98169,-1.10156,-4.98047,4.30078,1.87109,2.46484,-2.96094,0.02845,0.14701,-0.35119
15,7812,3,-0.16791,0.07886,0.00964,0.98260,-3.86328,-5.59766,3.99219,1.96094,2.63867,-2.65039,-0.00763,0.15887,-0.33910
16,9766,3,-0.15967,0.08911,-0.00708,0.98309,-4.88281,-5.65234,4.42969,2.18555,2.73438,-2.29883,-0.04304,0.17383,-0.32577
17,9766,3,-0.15002,0.10071,-0.02301,0.98328,-5.62891,-5.64844,4.68359,2.58789,2.61328,-2.00586,-0.07696,0.19232,-0.31024
18,9765,3,-0.13904,0.11194,-0.03680,0.98328,-7.13281,-5.17578,4.53516,3.14258,2.26172,-1.76367,-0.10606,0.21146,-0.29221
19,10743,3,-0.12549,0.12207,-0.04944,0.98334,-7.85156,-5.44141,4.16797,3.57227,1.78320,-1.46680,-0.13169,0.22967,-0.26907
20,9765,3,-0.10956,0.13000,-0.06067,0.98358,-8.58984,-5.54688,3.39453,3.77344,1.27344,-1.14453,-0.15297,0.24488,-0.24072
21,9766,3,-0.09180,0.13562,-0.07031,0.98401,-8.96484,-5.00781,2.35156,3.78320,0.78711,-0.88086,-0.16962,0.25680,-0.20799
22,12695,3,-0.07434,0.13867,-0.07800,0.98444,-8.86328,-3.05859,0.16016,3.68750,0.38281,-0.63672,-0.18148,0.26452,-0.17495
23,7813,3,-0.05609,0.13977,-0.08459,0.98499,-8.66406,-2.39453,-0.49219,3.54102,0.09961,-0.36133,-0.19027,0.26908,-0.13960
24,9765,3,-0.03760,0.13922,-0.08997,0.98547,-8.33203,-1.91797,-1.15234,3.47852,-0.12109,-0.07227,-0.19614,0.27092,-0.10308
25,9766,3,-0.02063,0.13751,-0.09344,0.98590,-7.82812,-1.35547,-1.52734,3.36133,-0.30078,0.24219,-0.19838,0.27056,-0.06893
26,10742,3,-0.00372,0.13477,-0.09534,0.98627,-7.04688,-0.56641,-2.88672,3.19531,-0.46875,0.56445,-0.19736,0.26833,-0.03427
27,9766,3,0.01257,0.13129,-0.09558,0.98663,-6.50391,-0.26562,-3.25391,3.14844,-0.56445,0.76953,-0.19319,0.26455,-0.00030
28,9765,3,0.02838,0.12714,-0.09442,0.98700,-5.90625,-0.07812,-3.18359,3.04297,-0.72461,0.97656,-0.18643,0.25921,0.03313
