lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1082031,3,0.01764,0.15356,0.01630,0.98785,-1.98047,0.44922,1.84375,0.62305,0.15430,-0.24219,0.03948,0.30765,0.04183
1,10742,3,0.02008,0.15454,0.01471,0.98767,-2.30078,0.29297,2.03516,0.84180,0.05078,-0.23242,0.03703,0.30960,0.04644
2,8789,3,0.02350,0.15515,0.01306,0.98755,-2.48438,0.07812,2.22656,0.97852,-0.04102,-0.23828,0.03476,0.31079,0.05303
3,10742,3,0.02759,0.15527,0.01135,0.98743,-3.13672,-0.25781,1.85156,1.05469,-0.12695,-0.20898,0.03255,0.31100,0.06097
4,9766,3,0.03259,0.15491,0.00946,0.98737,-3.44141,-0.35156,1.54688,1.12500,-0.22461,-0.14844,0.03023,0.31022,0.07072
5,10742,3,0.03790,0.15411,0.00775,0.98730,-3.80469,-0.53125,1.36328,1.25195,-0.41211,-0.05469,0.02833,0.30860,0.08115
6,9766,3,0.04364,0.15265,0.00635,0.98730,-4.21094,-0.67188,1.04688,1.38867,-0.68555,0.08398,0.02712,0.30560,0.09252
7,9765,3,0.05029,0.14990,0.00537,0.98743,-4.90625,-0.71875,0.16797,1.53320,-0.97070,0.26172,0.02689,0.29996,0.10584
8,12696,3,0.05756,0.14587,0.00500,0.98761,-5.14062,-0.93750,-0.26172,1.63672,-1.30273,0.48828,0.02786,0.29168,0.12052
9,7812,3,0.06543,0.14038,0.00543,0.98792,-5.24219,-0.96875,-0.89062,1.66797,-1.62109,0.73047,0.03029,0.28032,0.13654
10,9766,3,0.07404,0.13300,0.00690,0.98834,-4.57812,-0.75000,-1.60547,1.64453,-1.83398,0.92969,0.03454,0.26495,0.15414
11,9766,3,0.08313,0.12390,0.00946,0.98877,-4.12891,-0.73828,-2.15625,1.48828,-2.00586,1.13867,0.04054,0.24591,0.17276
12,9765,3,0.09167,0.11395,0.01294,0.98914,-3.71875,-0.87500,-2.74609,1.25977,-2.10547,1.32812,0.04771,0.22496,0.19023
13,10742,3,0.09930,0.10327,0.01740,0.98950,-3.30859,-0.83594,-2.96094,1.06055,-2.19141,1.46680,0.05611,0.20231,0.20574
14,9766,3,0.10602,0.09198,0.02277,0.98987,-2.31641,-0.74219,-3.66797,0.80078,-2.33984,1.63477,0.06566,0.17820,0.21926
15,9766,3,0.11151,0.08020,0.02887,0.99011,-2.08203,-0.82031,-3.83594,0.55078,-2.47461,1.79883,0.07601,0.15297,0.23013
