lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,3747070,3,-0.09082,0.01202,0.14777,0.98474,0.41797,0.85547,3.15625,0.98438,-0.56250,-0.60547,0.29342,0.05055,-0.17646
1,9766,3,-0.08649,0.01007,0.14520,0.98553,0.32422,0.48047,3.33203,1.23438,-0.70312,-0.68750,0.28876,0.04498,-0.16852
2,10742,3,-0.08063,0.00751,0.14215,0.98651,0.10156,-0.01562,3.53906,1.63477,-0.73242,-0.76367,0.28324,0.03774,-0.15772
3,8789,3,-0.07300,0.00470,0.13867,0.98761,0.09766,-0.22266,4.16797,2.22461,-0.79102,-0.90039,0.27688,0.02953,-0.14344
4,10742,3,-0.06348,0.00214,0.13489,0.98883,0.17578,-0.66406,4.97656,2.74023,-0.83594,-1.01562,0.26981,0.02135,-0.12531
5,9766,3,-0.05017,-0.00061,0.13013,0.99023,-0.14844,-1.17188,4.60938,2.88281,-0.78906,-0.98047,0.26073,0.01185,-0.09969
6,10742,3,-0.03613,-0.00299,0.12537,0.99146,-0.60938,-1.66797,3.62891,2.62695,-0.64258,-0.80859,0.25144,0.00313,-0.07246
7,9766,3,-0.02142,-0.00500,0.12085,0.99243,-1.10938,-2.05859,2.53125,2.31055,-0.42383,-0.59961,0.24245,-0.00476,-0.04375
8,9766,3,-0.00867,-0.00629,0.11731,0.99304,-1.31641,-2.18359,2.21875,2.11133,-0.22656,-0.39844,0.23527,-0.01045,-0.01869
9,9765,3,0.00244,-0.00659,0.11481,0.99335,-1.53125,-2.44141,1.98828,2.00781,-0.20312,-0.11523,0.23011,-0.01366,0.00334
10,10742,3,0.01282,-0.00647,0.11346,0.99341,-2.10156,-2.75000,1.41406,1.93555,-0.23633,0.28125,0.22726,-0.01576,0.02400
11,9766,3,0.02283,-0.00647,0.11383,0.99323,-3.53516,-3.10156,0.38672,1.84375,-0.41211,0.76953,0.22782,-0.01805,0.04389
12,9766,3,0.03235,-0.00702,0.11639,0.99268,-3.99219,-3.08203,-0.72266,1.68359,-0.71875,1.24609,0.23277,-0.02147,0.06264
13,9765,3,0.04150,-0.00903,0.12128,0.99170,-4.21094,-2.72266,-1.62891,1.44531,-0.96484,1.59180,0.24225,-0.02799,0.08025
14,9766,3,0.04974,-0.01251,0.12811,0.99042,-3.98828,-2.21484,-2.41797,1.16992,-1.25391,1.83398,0.25548,-0.03754,0.09554
15,10742,3,0.05646,-0.01733,0.13593,0.98895,-3.33984,-1.75000,-4.08594,0.83594,-1.58594,2.08008,0.27051,-0.04965,0.10729
16,9766,3,0.06226,-0.02429,0.14520,0.98712,-2.92969,-1.49609,-4.53125,0.40625,-1.81641,2.32617,0.28825,-0.06609,0.11637
17,9765,3,0.06641,-0.03320,0.15588,0.98499,-2.50391,-1.18359,-5.12891,-0.29688,-1.99805,2.67578,0.30868,-0.08622,0.12121
18,10742,3,0.06775,-0.04346,0.16760,0.98254,-2.25391,-1.02344,-6.26172,-1.35938,-1.87109,3.05078,0.33142,-0.10832,0.11955
19,9766,3,0.06464,-0.05469,0.18073,0.97986,-1.36328,-0.10156,-7.30859,-2.57031,-1.69922,3.32617,0.35769,-0.13091,0.10804
20,9766,3,0.05573,-0.06622,0.19513,0.97693,-0.44922,0.32422,-8.68750,-3.96484,-1.58203,3.54492,0.38789,-0.15173,0.08410
21,10742,3,0.04022,-0.07837,0.21027,0.97369,0.02344,0.61719,-9.33203,-5.40039,-1.17578,3.69727,0.42143,-0.17034,0.04605
22,8789,3,0.01813,-0.09033,0.22516,0.96997,0.91797,0.07422,-7.44922,-6.49805,-0.58203,3.68359,0.45670,-0.18444,-0.00561
23,10742,3,-0.01208,-0.10181,0.24036,0.96527,1.77344,0.29297,-6.02344,-7.01367,-0.15820,3.40234,0.49518,-0.19190,-0.07369
24,9766,3,-0.04645,-0.11151,0.25397,0.95966,2.88672,0.74219,-4.53516,-6.82227,0.02930,2.81641,0.53178,-0.19160,-0.14905
25,10742,3,-0.08154,-0.11987,0.26489,0.95331,3.89844,1.25391,-2.95312,-5.66016,-0.24414,1.95508,0.56316,-0.18643,-0.22473
26,8789,3,-0.11108,-0.12720,0.27197,0.94739,6.31250,1.95703,0.56641,-3.71094,-0.96484,0.97070,0.58555,-0.18158,-0.28831
