lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1592773,3,0.37262,-0.38647,-0.35864,0.76367,-0.84766,0.66406,-3.18359,-0.85938,-0.23828,0.06836,-1.08242,-0.32889,1.10673
1,9766,3,0.36896,-0.38617,-0.36060,0.76471,-1.08594,0.70312,-3.59375,-1.03711,-0.25391,0.13086,-1.08490,-0.33049,1.09944
2,9765,3,0.36462,-0.38562,-0.36267,0.76605,-1.40625,0.74219,-3.84766,-1.24609,-0.30859,0.20117,-1.08716,-0.33242,1.09055
3,10742,3,0.35962,-0.38495,-0.36469,0.76782,-1.85156,0.78906,-4.34766,-1.50977,-0.36133,0.30273,-1.08892,-0.33506,1.08013
4,9766,3,0.35297,-0.38409,-0.36707,0.77014,-2.08203,0.79297,-4.60156,-1.86328,-0.36914,0.43750,-1.09086,-0.33895,1.06643
5,9766,3,0.34521,-0.38306,-0.36951,0.77301,-2.24609,0.71484,-4.94922,-2.32227,-0.40234,0.62695,-1.09235,-0.34383,1.05033
6,10742,3,0.33539,-0.38159,-0.37213,0.77679,-2.32812,0.75781,-5.52734,-2.90039,-0.45117,0.85547,-1.09310,-0.35035,1.02968
7,12695,3,0.32275,-0.37952,-0.37500,0.78180,-2.64453,0.94531,-6.25000,-3.53125,-0.55664,1.09180,-1.09276,-0.35899,1.00285
8,6836,3,0.30811,-0.37708,-0.37787,0.78741,-2.50000,1.06250,-6.84375,-4.25586,-0.65430,1.32812,-1.09155,-0.36935,0.97188
9,9766,3,0.28943,-0.37402,-0.38147,0.79425,-2.55078,1.00000,-7.10156,-4.95312,-0.69141,1.57422,-1.08984,-0.38258,0.93259
10,9765,3,0.26599,-0.36975,-0.38556,0.80243,-1.96094,0.62109,-7.10547,-5.57227,-0.83398,1.79492,-1.08624,-0.39877,0.88294
11,10743,3,0.23981,-0.36481,-0.38965,0.81091,-1.77344,0.34375,-7.40625,-6.17969,-1.00977,2.03320,-1.08101,-0.41673,0.82748
12,9765,3,0.21051,-0.35925,-0.39374,0.81952,-2.03125,-0.05859,-7.69531,-6.81641,-1.12695,2.39453,-1.07404,-0.43681,0.76563
13,12695,3,0.17786,-0.35303,-0.39740,0.82812,-2.76172,-0.88672,-7.83203,-7.37305,-1.15039,2.89258,-1.06424,-0.45933,0.69669
14,7813,3,0.14246,-0.34601,-0.39990,0.83667,-3.73047,-3.68750,-7.42188,-7.79883,-1.34180,3.45898,-1.04974,-0.48372,0.62106
15,9766,3,0.10303,-0.33813,-0.40051,0.84534,-4.38672,-5.15234,-8.13281,-8.27930,-1.45508,4.07617,-1.02804,-0.51114,0.53551
16,9765,3,0.05737,-0.32910,-0.39856,0.85413,-5.50391,-7.35938,-7.66406,-8.59570,-1.33203,4.71680,-0.99582,-0.54272,0.43434
17,9766,3,0.01117,-0.31915,-0.39386,0.86194,-6.12891,-9.63281,-6.28125,-8.59180,-1.23828,5.21680,-0.95441,-0.57205,0.32773
18,10742,3,-0.03668,-0.30756,-0.38593,0.86896,-4.90625,-13.40625,-3.14844,-8.22266,-1.61719,5.31836,-0.90136,-0.59782,0.21166
19,12695,3,-0.08350,-0.29633,-0.37561,0.87415,-3.97656,-13.88672,-1.05859,-7.42773,-1.90430,5.32422,-0.84187,-0.61970,0.09427
20,6836,3,-0.12744,-0.28699,-0.36346,0.87708,-2.82031,-13.33984,2.14453,-6.43164,-2.29297,5.15234,-0.77958,-0.63861,-0.01860
21,9766,3,-0.16907,-0.27997,-0.34900,0.87817,-1.03906,-11.66016,2.69922,-5.56250,-2.26172,5.00977,-0.71280,-0.65575,-0.12845
22,10742,3,-0.20752,-0.27478,-0.33264,0.87793,1.76172,-9.85156,3.26172,-5.13281,-1.82422,4.85938,-0.64276,-0.66944,-0.23367
23,9766,3,-0.24152,-0.26941,-0.31598,0.87708,1.90625,-8.80469,3.34375,-4.89648,-1.34766,4.70703,-0.57453,-0.67539,-0.33067
24,9765,3,-0.27203,-0.26245,-0.30005,0.87579,2.00000,-7.71484,2.58203,-4.75586,-1.01172,4.51562,-0.51137,-0.67257,-0.42008
25,12696,3,-0.30005,-0.25415,-0.28516,0.87408,1.31250,-6.89062,2.27344,-4.53516,-0.79688,4.31055,-0.45447,-0.66295,-0.50251
26,7812,3,-0.32684,-0.24475,-0.27069,0.87177,1.53516,-6.33594,2.01172,-4.26172,-0.84570,4.02344,-0.40208,-0.64812,-0.58071
27,9766,3,-0.35217,-0.23535,-0.25665,0.86877,1.82422,-5.62109,1.86719,-3.93359,-0.99805,3.63867,-0.35425,-0.63066,-0.65360
28,9765,3,-0.37659,-0.22681,-0.24274,0.86475,2.19922,-5.01172,1.86719,-3.70898,-1.07031,3.24219,-0.30927,-0.61273,-0.72290
29,9766,3,-0.39825,-0.21991,-0.23041,0.86023,2.44141,-5.01953,2.16406,-3.53320,-1.06836,2.86328,-0.27073,-0.59661,-0.78346
30,10742,3,-0.41833,-0.21411,-0.21930,0.85504,2.78906,-4.76953,2.17578,-3.42578,-0.98047,2.47656,-0.23666,-0.58190,-0.83886
31,9766,3,-0.41833,-0.21411,-0.21930,0.85504,2.78906,-4.63281,2.74609,-3.30273,-0.91211,2.08594,-0.23666,-0.58190,-0.83886
32,9765,3,-0.45404,-0.20447,-0.20184,0.84338,3.03516,-4.39453,2.92188,-3.09570,-0.79492,1.70703,-0.18332,-0.55646,-0.93522
33,9766,3,-0.47113,-0.20013,-0.19507,0.83661,3.12891,-4.16797,4.00000,-2.72266,-0.67969,1.36328,-0.16190,-0.54531,-0.98039
34,10742,3,-0.48541,-0.19666,-0.19000,0.83044,3.39453,-4.10938,4.57812,-2.25781,-0.60938,1.02734,-0.14553,-0.53642,-1.01786
