lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,861328,3,-0.03986,-0.16504,0.04578,0.98444,2.60547,0.89844,0.76172,-1.43750,-0.27930,-0.41406,0.10928,-0.32708,-0.09898
1,9765,3,-0.04651,-0.16699,0.04291,0.98395,2.83594,0.69922,1.13672,-1.32422,-0.18555,-0.57422,0.10589,-0.33061,-0.11215
2,9766,3,-0.05280,-0.16858,0.03937,0.98346,2.96484,0.39453,1.85156,-0.92969,-0.05273,-0.74023,0.10097,-0.33359,-0.12428
3,12695,3,-0.05762,-0.16949,0.03534,0.98322,3.32422,-0.78125,3.84766,-0.22070,0.02930,-0.87305,0.09442,-0.33548,-0.13307
4,7813,3,-0.05975,-0.16992,0.03094,0.98315,3.38672,-1.52344,4.77734,0.58203,-0.04492,-1.04297,0.08609,-0.33675,-0.13605
5,9766,3,-0.05804,-0.17023,0.02643,0.98334,3.37109,-2.34766,5.12109,1.34961,-0.16211,-1.23047,0.07612,-0.33812,-0.13092
6,9765,3,-0.05200,-0.17096,0.02148,0.98364,3.46094,-2.78516,5.26562,1.81836,-0.08203,-1.38281,0.06375,-0.34066,-0.11660
7,9766,3,-0.04309,-0.17175,0.01642,0.98407,2.93359,-3.39453,4.33203,2.03320,0.22852,-1.49805,0.05006,-0.34332,-0.09620
8,10742,3,-0.04309,-0.17175,0.01642,0.98407,2.32031,-3.39062,3.77344,2.22070,0.46484,-1.62109,0.05006,-0.34332,-0.09620
9,9766,3,-0.02063,-0.16992,0.00513,0.98523,1.94531,-3.44922,3.05859,2.47656,0.67383,-1.67773,0.01816,-0.34119,-0.04500
10,9765,3,-0.00763,-0.16724,-0.00104,0.98590,1.15625,-3.14062,2.99609,2.96680,0.81836,-1.71094,0.00054,-0.33605,-0.01557
11,9766,3,0.00726,-0.16357,-0.00714,0.98645,1.14453,-3.03125,2.89062,3.46875,0.87305,-1.76953,-0.01740,-0.32851,0.01761
12,10742,3,0.02478,-0.15942,-0.01306,0.98682,0.80078,-3.46094,2.32812,3.61719,0.90039,-1.77930,-0.03548,-0.31940,0.05593
13,12695,3,0.04358,-0.15503,-0.01880,0.98676,0.17188,-3.38281,0.64453,3.56836,0.84570,-1.78516,-0.05316,-0.30923,0.09656
14,6836,3,0.06219,-0.15082,-0.02441,0.98633,-0.73047,-2.14844,-1.53125,3.33203,0.72656,-1.79297,-0.07008,-0.29889,0.13650
15,9766,3,0.08057,-0.14673,-0.03033,0.98541,-1.55469,-2.02734,-2.57422,2.88281,0.60742,-1.70117,-0.08713,-0.28827,0.17581
16,10742,3,0.09802,-0.14307,-0.03668,0.98419,-2.26562,-1.72656,-3.65234,2.35742,0.51562,-1.52734,-0.10444,-0.27797,0.21316
17,9766,3,0.11218,-0.13995,-0.04242,0.98285,-2.79297,-1.25000,-4.33984,1.82812,0.41016,-1.33594,-0.11935,-0.26882,0.24345
18,9765,3,0.12360,-0.13733,-0.04773,0.98163,-3.55469,-0.44141,-5.03906,1.34180,0.33008,-1.09570,-0.13250,-0.26076,0.26790
19,10743,3,0.13232,-0.13513,-0.05231,0.98059,-3.83984,-0.39062,-5.04297,0.82812,0.31641,-0.83008,-0.14341,-0.25388,0.28660
20,9765,3,0.13831,-0.13318,-0.05603,0.97980,-3.93750,-0.32422,-5.32812,0.18359,0.29492,-0.54883,-0.15185,-0.24801,0.29942
21,9766,3,0.14142,-0.13135,-0.05884,0.97943,-4.77344,0.14844,-6.42969,-0.62695,0.33008,-0.17773,-0.15767,-0.24304,0.30609
