lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,951172,3,-0.01740,-0.21460,-0.24927,0.94421,-0.93359,0.98047,-2.70703,-1.38672,-0.43164,0.01562,-0.53389,-0.42675,0.08153
1,10742,3,-0.02350,-0.21478,-0.25049,0.94373,-1.30078,0.96875,-2.96875,-1.87305,-0.56250,0.10547,-0.53411,-0.43030,0.06965
2,9766,3,-0.03186,-0.21503,-0.25189,0.94299,-1.61719,0.96094,-3.14453,-2.40234,-0.76758,0.25781,-0.53382,-0.43523,0.05323
3,9765,3,-0.04272,-0.21539,-0.25323,0.94214,-1.87109,0.92969,-5.00391,-3.10742,-1.08789,0.45703,-0.53226,-0.44174,0.03163
4,12696,3,-0.05768,-0.21619,-0.25433,0.94086,-2.45312,0.93359,-5.61719,-3.93750,-1.19922,0.80078,-0.52839,-0.45132,0.00159
5,7812,3,-0.07581,-0.21686,-0.25482,0.93927,-3.04688,0.87109,-5.70703,-4.75391,-1.03906,1.25000,-0.52145,-0.46233,-0.03563
6,9766,3,-0.09845,-0.21613,-0.25427,0.93750,-3.48438,0.71875,-5.40625,-5.28906,-0.79102,1.64648,-0.50946,-0.47273,-0.08399
7,9765,3,-0.12604,-0.21307,-0.25226,0.93542,-3.01953,-0.24609,-4.50781,-5.43555,-0.81055,1.87695,-0.49118,-0.48053,-0.14520
8,10743,3,-0.12604,-0.21307,-0.25226,0.93542,-2.47656,-0.36328,-4.14453,-5.39062,-0.99805,1.96875,-0.49118,-0.48053,-0.14520
9,9765,3,-0.18225,-0.20477,-0.24506,0.92993,-2.66797,-1.04297,-3.92188,-5.40430,-1.15234,2.08789,-0.44655,-0.48950,-0.27376
10,11719,3,-0.21094,-0.20117,-0.24005,0.92596,-3.54297,-3.75391,-3.48828,-5.43555,-1.21875,2.32031,-0.42076,-0.49363,-0.34046
11,7812,3,-0.23816,-0.19788,-0.23425,0.92157,-3.49609,-4.57812,-2.78125,-5.36914,-1.22852,2.55664,-0.39393,-0.49641,-0.40473
12,10743,3,-0.26703,-0.19415,-0.22675,0.91632,-3.10547,-5.12109,-1.82422,-5.18164,-1.31836,2.69336,-0.36267,-0.49710,-0.47412
13,8789,3,-0.29633,-0.19025,-0.21765,0.91028,-2.59375,-5.15625,-1.02344,-4.88086,-1.37891,2.71484,-0.32809,-0.49537,-0.54576
