lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,872070,3,-0.01697,-0.19678,-0.20660,0.95831,-1.07812,0.46875,-2.71875,-1.28320,-0.38867,0.23633,-0.43524,-0.39427,0.05287
1,9766,3,-0.02252,-0.19720,-0.20660,0.95807,-1.07031,0.61328,-3.48438,-1.83203,-0.51367,0.31445,-0.43317,-0.39758,0.04159
2,9766,3,-0.03101,-0.19775,-0.20679,0.95770,-1.37891,0.87891,-4.83984,-2.54297,-0.64648,0.43750,-0.43028,-0.40236,0.02434
3,10742,3,-0.04254,-0.19818,-0.20703,0.95709,-1.50781,1.05859,-5.42969,-3.36328,-0.69141,0.58594,-0.42620,-0.40822,0.00068
4,8789,3,-0.05780,-0.19824,-0.20734,0.95624,-1.64844,1.38672,-5.74219,-4.14453,-0.77734,0.83398,-0.42052,-0.41489,-0.03097
5,10742,3,-0.07678,-0.19763,-0.20740,0.95502,-1.89453,1.40234,-7.18359,-5.01758,-0.79102,1.09570,-0.41250,-0.42171,-0.07095
6,9766,3,-0.10114,-0.19611,-0.20691,0.95312,-2.80078,1.17188,-6.49219,-5.77344,-0.40625,1.43750,-0.40071,-0.42871,-0.12306
7,10742,3,-0.12866,-0.19269,-0.20581,0.95074,-3.07031,0.36328,-5.32422,-6.18555,-0.02344,1.85742,-0.38600,-0.43275,-0.18315
8,11719,3,-0.15869,-0.18640,-0.20349,0.94800,-3.20703,-0.42969,-4.57422,-6.25391,0.03906,2.27148,-0.36780,-0.43123,-0.25029
9,7812,3,-0.18909,-0.17859,-0.19952,0.94476,-3.83203,-2.66406,-3.58203,-6.03711,-0.05078,2.56445,-0.34667,-0.42562,-0.31943
10,9766,3,-0.21991,-0.17017,-0.19348,0.94086,-3.67969,-2.92578,-2.19141,-5.48438,-0.28125,2.80273,-0.32193,-0.41732,-0.39049
11,10742,3,-0.25055,-0.16199,-0.18512,0.93634,-3.31641,-3.10156,-1.38281,-4.93750,-0.55469,2.90039,-0.29333,-0.40727,-0.46192
12,9766,3,-0.27783,-0.15540,-0.17529,0.93164,-2.96094,-4.06250,-0.17578,-4.46484,-0.76953,2.92578,-0.26361,-0.39731,-0.52628
13,9765,3,-0.30243,-0.15027,-0.16437,0.92676,-2.48438,-4.08594,0.46094,-4.06836,-0.96680,2.81250,-0.23301,-0.38760,-0.58494
14,9766,3,-0.32483,-0.14642,-0.15302,0.92175,-1.55859,-4.08203,0.80078,-3.69531,-1.11914,2.58398,-0.20257,-0.37830,-0.63872
15,9765,3,-0.34564,-0.14380,-0.14154,0.91644,-0.43750,-3.82422,1.55859,-3.26172,-1.18359,2.34375,-0.17247,-0.36976,-0.68899
16,12696,3,-0.34564,-0.14380,-0.14154,0.91644,1.35547,-3.39453,2.06641,-2.89648,-1.09961,2.02930,-0.17247,-0.36976,-0.68899
17,7812,3,-0.37952,-0.14160,-0.12134,0.90619,1.53516,-3.00000,2.57031,-2.50391,-0.98242,1.76953,-0.12025,-0.35623,-0.77155
18,9766,3,-0.39410,-0.14099,-0.11237,0.90118,1.78906,-2.63672,2.64453,-2.14648,-1.03906,1.52344,-0.09744,-0.34979,-0.80728
19,10742,3,-0.40637,-0.14099,-0.10449,0.89667,1.92188,-2.20312,2.10938,-1.95312,-1.10547,1.28711,-0.07743,-0.34457,-0.83755
20,9766,3,-0.41711,-0.14185,-0.09741,0.89240,1.72266,-1.88672,1.10156,-1.89453,-1.14453,1.12500,-0.05896,-0.34101,-0.86432
21,10742,3,-0.42706,-0.14343,-0.09100,0.88812,1.62109,-1.65234,0.78516,-1.89453,-1.16602,0.97852,-0.04151,-0.33895,-0.88933
22,8789,3,-0.43689,-0.14545,-0.08514,0.88361,1.49219,-1.47266,0.76562,-1.85938,-1.13867,0.85547,-0.02478,-0.33781,-0.91415
23,10742,3,-0.44629,-0.14771,-0.07996,0.87897,1.76172,-1.76172,1.05859,-1.78711,-1.04688,0.75391,-0.00924,-0.33740,-0.93807
24,11719,3,-0.45526,-0.14996,-0.07532,0.87439,1.99219,-1.86719,1.34766,-1.66602,-1.07422,0.68555,0.00512,-0.33719,-0.96095
25,7812,3,-0.46344,-0.15222,-0.07117,0.87006,2.38281,-1.79688,0.75391,-1.63867,-1.18555,0.63477,0.01828,-0.33720,-0.98197
26,9766,3,-0.47150,-0.15503,-0.06696,0.86554,2.29688,-1.73047,0.57031,-1.69336,-1.22852,0.62500,0.03211,-0.33791,-1.00307
27,10742,3,-0.47961,-0.15820,-0.06262,0.86084,2.36719,-1.39453,0.16016,-1.78906,-1.19336,0.59961,0.04660,-0.33889,-1.02460
28,9766,3,-0.48828,-0.16150,-0.05829,0.85565,2.28125,-1.21484,0.38672,-1.84766,-1.05664,0.53320,0.06152,-0.33978,-1.04768
29,10742,3,-0.49689,-0.16443,-0.05457,0.85034,2.28125,-1.27344,0.87891,-1.77148,-0.88672,0.44336,0.07498,-0.34041,-1.07054
30,8789,3,-0.50513,-0.16681,-0.05157,0.84521,2.35938,-1.41016,1.40625,-1.58594,-0.72070,0.31641,0.08640,-0.34062,-1.09222
31,10742,3,-0.51282,-0.16882,-0.04932,0.84027,2.84766,-2.05078,2.60938,-1.25391,-0.57422,0.19727,0.09593,-0.34087,-1.11244
32,9766,3,-0.51910,-0.17053,-0.04773,0.83618,3.30859,-2.20312,3.39453,-0.82617,-0.40039,0.05273,0.10336,-0.34132,-1.12898
33,9766,3,-0.52368,-0.17200,-0.04681,0.83307,3.75000,-2.62500,4.26953,-0.23047,-0.27148,-0.10742,0.10864,-0.34224,-1.14119
34,9765,3,-0.52594,-0.17328,-0.04651,0.83142,4.28125,-2.90625,5.51172,0.45117,-0.16797,-0.30469,0.11168,-0.34377,-1.14747
35,10742,3,-0.52533,-0.17480,-0.04669,0.83142,4.25000,-3.19141,6.24219,1.25195,0.01172,-0.55273,0.11297,-0.34664,-1.14681
36,9766,3,-0.52148,-0.17645,-0.04749,0.83350,4.13281,-3.46094,7.00391,2.20508,0.16992,-0.76953,0.11191,-0.35080,-1.13800
37,10742,3,-0.51361,-0.17816,-0.04895,0.83789,4.23047,-3.62109,7.01172,3.07422,0.23828,-0.95508,0.10796,-0.35634,-1.11928
38,8789,3,-0.50134,-0.18024,-0.05078,0.84473,4.46875,-3.65625,5.81641,3.62109,0.40625,-1.12891,0.10174,-0.36337,-1.08995
39,10742,3,-0.48633,-0.18225,-0.05292,0.85291,4.32812,-3.64453,4.61719,3.88281,0.75391,-1.33008,0.09348,-0.37080,-1.05399
40,9766,3,-0.48633,-0.18225,-0.05292,0.85291,4.17578,-3.43359,3.49219,3.98438,1.13281,-1.54492,0.09348,-0.37080,-1.05399
41,9766,3,-0.45117,-0.18408,-0.06073,0.87115,3.92188,-3.20703,2.32812,4.02344,1.37500,-1.74805,0.06510,-0.38495,-0.96842
42,9765,3,-0.43073,-0.18347,-0.06732,0.88104,3.01562,-2.57031,0.73828,3.99023,1.42188,-1.95898,0.04266,-0.39121,-0.91788
43,10742,3,-0.41083,-0.18256,-0.07477,0.89014,2.34766,-2.57031,-0.37500,3.82812,1.37109,-2.13086,0.01831,-0.39674,-0.86849
44,12696,3,-0.39081,-0.18195,-0.08319,0.89844,1.36719,-2.56641,-1.11328,3.66992,1.37109,-2.14648,-0.00790,-0.40278,-0.81898
45,6836,3,-0.37231,-0.18152,-0.09161,0.90558,0.01562,-1.88281,-1.28906,3.62891,1.37695,-2.05664,-0.03352,-0.40821,-0.77320
46,10742,3,-0.35309,-0.18085,-0.10040,0.91241,-0.26172,-1.74609,-1.26562,3.61914,1.34766,-1.95117,-0.06063,-0.41254,-0.72578
47,9766,3,-0.33325,-0.17987,-0.10895,0.91907,-0.35938,-1.72656,-1.50781,3.64453,1.29297,-1.83789,-0.08795,-0.41507,-0.67718
48,9765,3,-0.31384,-0.17889,-0.11664,0.92517,-0.37500,-1.49609,-1.68750,3.61719,1.23047,-1.73633,-0.11343,-0.41611,-0.63012
49,9766,3,-0.29462,-0.17792,-0.12360,0.93073,-0.94922,-1.21875,-2.15234,3.42773,1.17188,-1.60547,-0.13734,-0.41591,-0.58411
50,10742,3,-0.27588,-0.17694,-0.13000,0.93579,-1.25000,-0.90625,-2.76172,3.11914,1.13281,-1.45312,-0.15985,-0.41466,-0.53968
51,9766,3,-0.25854,-0.17578,-0.13580,0.94012,-1.38672,-0.53516,-3.30078,2.81641,1.08203,-1.33008,-0.18047,-0.41231,-0.49892
52,12695,3,-0.25854,-0.17578,-0.13580,0.94012,-1.16406,0.59375,-3.58984,2.53125,0.99414,-1.27734,-0.18047,-0.41231,-0.49892
53,6836,3,-0.22858,-0.17297,-0.14600,0.94684,-1.14062,0.83203,-3.61328,2.24023,0.92773,-1.25977,-0.21649,-0.40531,-0.42911
54,10742,3,-0.21552,-0.17157,-0.15100,0.94940,-1.03125,1.15625,-3.74609,1.93555,0.83789,-1.27930,-0.23325,-0.40155,-0.39876
55,9766,3,-0.20319,-0.17023,-0.15643,0.95148,-0.83984,1.42188,-3.93359,1.49023,0.72852,-1.34375,-0.25048,-0.39791,-0.37002
56,9765,3,-0.19379,-0.16925,-0.16174,0.95270,-0.78516,2.08594,-4.77734,0.94922,0.60352,-1.42383,-0.26600,-0.39540,-0.34775
57,9766,3,-0.18585,-0.16833,-0.16827,0.95331,-0.73438,2.37109,-5.23047,0.34766,0.43750,-1.51953,-0.28343,-0.39359,-0.32821
58,10742,3,-0.18109,-0.16772,-0.17517,0.95312,-0.88672,2.60938,-5.46094,-0.25781,0.33398,-1.59180,-0.30021,-0.39320,-0.31529
59,9766,3,-0.17926,-0.16736,-0.18286,0.95209,-1.12500,2.69922,-5.28516,-0.84375,0.31836,-1.56250,-0.31745,-0.39436,-0.30827
60,9765,3,-0.18024,-0.16669,-0.19110,0.95038,-1.29297,2.33984,-5.16406,-1.46680,0.31250,-1.45117,-0.33479,-0.39598,-0.30707
61,10743,3,-0.18420,-0.16541,-0.19958,0.94806,-1.54688,2.07031,-5.14062,-2.07617,0.40820,-1.23633,-0.35158,-0.39757,-0.31228
62,9765,3,-0.19110,-0.16321,-0.20770,0.94537,-2.01172,1.78906,-4.53516,-2.53711,0.54492,-0.94141,-0.36655,-0.39842,-0.32411
63,9766,3,-0.20032,-0.15967,-0.21490,0.94244,-2.27344,1.79297,-4.01953,-2.85547,0.53711,-0.64453,-0.37894,-0.39743,-0.34167
64,9765,3,-0.21222,-0.15485,-0.22156,0.93909,-2.63281,1.58203,-4.37109,-3.25391,0.38672,-0.37695,-0.38942,-0.39507,-0.36560
65,10743,3,-0.22565,-0.14978,-0.22681,0.93555,-3.41406,1.20312,-4.31641,-3.71289,0.43359,-0.06055,-0.39645,-0.39260,-0.39350
66,8789,3,-0.24121,-0.14417,-0.23083,0.93152,-4.53906,0.56641,-3.36328,-3.94336,0.52930,0.28711,-0.40035,-0.38975,-0.42671
