lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1088867,3,0.37891,-0.16119,-0.16730,0.89581,0.62109,0.54297,-2.85938,-1.19141,-0.39844,-0.30273,-0.44176,-0.16273,0.83692
1,12696,3,0.37390,-0.16150,-0.17035,0.89728,0.68750,0.68359,-3.19922,-1.31055,-0.44922,-0.34766,-0.44694,-0.16315,0.82681
2,7812,3,0.36810,-0.16187,-0.17389,0.89893,0.72656,0.67578,-3.23047,-1.44531,-0.43555,-0.39062,-0.45298,-0.16372,0.81513
3,9766,3,0.36182,-0.16205,-0.17773,0.90070,0.80469,0.53516,-3.17188,-1.59570,-0.38281,-0.40820,-0.45936,-0.16403,0.80239
4,10742,3,0.35461,-0.16193,-0.18188,0.90277,0.71875,0.48047,-3.26562,-1.74805,-0.28906,-0.35938,-0.46593,-0.16409,0.78760
5,9766,3,0.34686,-0.16132,-0.18585,0.90503,0.72656,0.13281,-3.10547,-1.87695,-0.15820,-0.32617,-0.47171,-0.16380,0.77144
6,9765,3,0.33875,-0.16010,-0.18945,0.90759,0.87891,0.13281,-3.17578,-1.99023,-0.08398,-0.34570,-0.47623,-0.16297,0.75408
7,9766,3,0.33002,-0.15833,-0.19293,0.91034,1.05078,0.15234,-3.33984,-2.03516,-0.05664,-0.45117,-0.48005,-0.16163,0.73521
8,9765,3,0.32117,-0.15613,-0.19659,0.91315,1.33984,-0.17578,-2.96094,-2.06641,-0.01367,-0.57227,-0.48389,-0.15953,0.71585
9,10743,3,0.31201,-0.15344,-0.20081,0.91583,1.21094,-0.44922,-2.81641,-2.08789,0.09961,-0.64844,-0.48850,-0.15639,0.69576
10,9765,3,0.30304,-0.15033,-0.20520,0.91840,1.02734,-0.65234,-2.55859,-2.11719,0.20312,-0.68945,-0.49327,-0.15235,0.67586
11,9766,3,0.29388,-0.14642,-0.20990,0.92096,0.69141,-0.73438,-2.53125,-2.19336,0.22461,-0.66992,-0.49816,-0.14685,0.65520
12,9765,3,0.28516,-0.14246,-0.21417,0.92334,-0.25781,-0.85547,-2.72266,-2.28320,0.23242,-0.64258,-0.50241,-0.14139,0.63542
13,13672,3,0.27502,-0.13788,-0.21881,0.92603,-0.30078,-0.67578,-2.81641,-2.37305,0.19531,-0.64453,-0.50695,-0.13541,0.61252
14,6836,3,0.26538,-0.13373,-0.22302,0.92841,-0.29297,-0.47266,-2.85938,-2.50195,0.14062,-0.61719,-0.51122,-0.13031,0.59094
15,9766,3,0.25446,-0.12933,-0.22754,0.93097,-0.33203,-0.55078,-2.60156,-2.63867,0.16016,-0.58203,-0.51597,-0.12535,0.56673
