lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,960937,3,-0.11664,-0.14087,-0.44946,0.87439,-0.98438,0.83984,-2.17969,-1.20312,-0.74805,0.55273,-0.93461,-0.35884,-0.08270
1,10742,3,-0.12268,-0.14117,-0.44794,0.87427,-1.53516,1.06250,-3.56641,-1.79297,-0.84570,0.78125,-0.92955,-0.36480,-0.09438
2,9766,3,-0.13177,-0.14087,-0.44562,0.87421,-2.02734,1.21875,-4.01953,-2.53711,-0.93555,1.05664,-0.92155,-0.37227,-0.11280
3,10742,3,-0.14404,-0.13928,-0.44257,0.87408,-2.28906,1.68359,-4.92188,-3.43359,-1.02930,1.28906,-0.91063,-0.38006,-0.13884
4,9766,3,-0.16003,-0.13611,-0.43909,0.87354,-2.62891,2.07422,-5.60156,-4.32812,-1.05859,1.52148,-0.89731,-0.38799,-0.17379
5,9765,3,-0.18024,-0.13092,-0.43481,0.87256,-2.84375,1.74219,-6.02734,-5.11133,-1.04297,1.71289,-0.88053,-0.39542,-0.21920
6,12696,3,-0.20416,-0.12372,-0.42993,0.87073,-2.97656,1.64453,-5.57422,-5.67578,-0.92578,1.86133,-0.86114,-0.40172,-0.27413
7,7812,3,-0.22998,-0.11475,-0.42468,0.86810,-3.05469,1.12500,-4.62109,-5.90430,-0.84570,1.95117,-0.84051,-0.40558,-0.33469
8,9766,3,-0.25806,-0.10394,-0.41882,0.86438,-2.17969,-1.18359,-3.25000,-5.87109,-0.95117,1.95117,-0.81842,-0.40701,-0.40172
9,9765,3,-0.28723,-0.09247,-0.41211,0.85968,-1.41406,-1.56250,-2.96875,-5.80664,-1.14648,1.80078,-0.79485,-0.40689,-0.47215
10,9766,3,-0.31549,-0.08203,-0.40521,0.85413,-1.07031,-2.14453,-2.21484,-5.74414,-1.16797,1.65625,-0.77177,-0.40695,-0.54040
11,10742,3,-0.34296,-0.07245,-0.39850,0.84753,-0.33984,-3.02344,-1.12109,-5.49414,-0.86914,1.55273,-0.74989,-0.40732,-0.60682
12,9766,3,-0.37018,-0.06232,-0.39178,0.83997,1.78906,-4.79688,2.57422,-4.78320,-0.48438,1.43359,-0.72906,-0.40581,-0.67351
13,9765,3,-0.39282,-0.05249,-0.38617,0.83295,3.12109,-5.05078,4.50000,-3.66797,-0.28906,1.30859,-0.71301,-0.40154,-0.73006
14,9766,3,-0.41125,-0.04309,-0.38110,0.82690,4.06641,-5.03516,5.88672,-2.30078,-0.19727,1.12500,-0.70028,-0.39491,-0.77718
15,10742,3,-0.42389,-0.03601,-0.37653,0.82294,4.62500,-5.03125,7.00000,-0.95508,-0.24023,0.83789,-0.69002,-0.38816,-0.81025
16,9766,3,-0.43152,-0.03149,-0.37231,0.82111,4.98828,-5.16016,6.31250,0.10156,-0.36914,0.46289,-0.68113,-0.38227,-0.83080
17,10742,3,-0.43390,-0.03046,-0.36932,0.82123,4.62891,-4.99609,5.40234,0.89844,-0.40820,0.07617,-0.67464,-0.37957,-0.83760
18,8789,3,-0.43262,-0.03223,-0.36755,0.82263,4.27734,-4.97656,4.88281,1.67188,-0.38672,-0.25977,-0.67024,-0.38012,-0.83450
19,10742,3,-0.42816,-0.03619,-0.36707,0.82501,4.55078,-4.71484,5.15625,2.25195,-0.28516,-0.54492,-0.66829,-0.38336,-0.82289
20,9766,3,-0.42029,-0.04224,-0.36780,0.82843,4.69531,-4.55078,4.38672,2.54688,-0.10352,-0.75586,-0.66899,-0.38887,-0.80232
21,9766,3,-0.41064,-0.04865,-0.36969,0.83209,4.59375,-4.33984,3.35938,2.62500,0.24023,-0.91406,-0.67280,-0.39473,-0.77725
22,9765,3,-0.39966,-0.05469,-0.37280,0.83563,4.28125,-4.11328,3.26953,2.74609,0.67383,-1.05078,-0.68026,-0.39997,-0.74901
23,10742,3,-0.38684,-0.05988,-0.37732,0.83929,4.21094,-3.38281,3.41797,2.92773,0.98828,-1.25195,-0.69219,-0.40327,-0.71662
24,9766,3,-0.37311,-0.06390,-0.38293,0.84265,4.12500,-3.10938,2.87891,3.07227,1.17773,-1.51953,-0.70773,-0.40438,-0.68250
25,9766,3,-0.35797,-0.06757,-0.38983,0.84576,3.92578,-2.87891,2.21875,3.25391,1.36133,-1.77344,-0.72700,-0.40431,-0.64516
26,9765,3,-0.34131,-0.07135,-0.39807,0.84851,3.12109,-2.48438,2.03516,3.48438,1.44336,-1.93750,-0.74996,-0.40368,-0.60414
27,10742,3,-0.32349,-0.07520,-0.40710,0.85083,2.64062,-2.58203,1.11328,3.54492,1.32031,-2.05469,-0.77536,-0.40211,-0.56058
28,9766,3,-0.30487,-0.07971,-0.41650,0.85278,1.88281,-2.51562,-0.17969,3.40625,1.20508,-2.09961,-0.80184,-0.40053,-0.51502
29,9766,3,-0.28650,-0.08472,-0.42584,0.85406,1.12109,-2.17578,-0.91797,3.23438,1.22656,-2.06641,-0.82828,-0.39922,-0.46993
30,11718,3,-0.26965,-0.08929,-0.43457,0.85468,0.28906,-1.40234,-1.08984,3.10547,1.31250,-1.99805,-0.85318,-0.39737,-0.42873
31,8789,3,-0.25226,-0.09357,-0.44348,0.85492,0.01953,-1.08594,-1.17578,3.02734,1.36133,-1.89258,-0.87895,-0.39385,-0.38680
32,9766,3,-0.23456,-0.09723,-0.45227,0.85498,-0.23828,-0.93750,-1.44922,2.83398,1.36133,-1.77148,-0.90466,-0.38809,-0.34510
33,9766,3,-0.21802,-0.10016,-0.46021,0.85480,-0.71094,-0.71484,-2.08594,2.54688,1.32812,-1.61914,-0.92810,-0.38104,-0.30700
34,9765,3,-0.20239,-0.10248,-0.46747,0.85437,-1.57031,0.39844,-3.09375,2.24219,1.26953,-1.48828,-0.94971,-0.37294,-0.27183
35,10743,3,-0.18842,-0.10413,-0.47406,0.85382,-1.71484,0.78125,-3.30859,1.90820,1.17773,-1.39453,-0.96907,-0.36443,-0.24100
36,9765,3,-0.17578,-0.10522,-0.48010,0.85297,-1.82812,1.12891,-3.63281,1.53320,1.05273,-1.32812,-0.98676,-0.35574,-0.21373
37,9766,3,-0.16504,-0.10577,-0.48590,0.85175,-2.25391,1.92188,-4.39453,1.10938,0.89258,-1.25586,-1.00326,-0.34752,-0.19085
38,13672,3,-0.15625,-0.10596,-0.49146,0.85022,-2.30859,2.21094,-4.75391,0.63867,0.71680,-1.16797,-1.01856,-0.34027,-0.17222
39,6836,3,-0.15021,-0.10565,-0.49640,0.84845,-2.40625,2.51562,-5.06250,0.12305,0.50586,-1.08398,-1.03174,-0.33461,-0.15948
40,9765,3,-0.14642,-0.10492,-0.50128,0.84631,-2.67969,2.78906,-5.39062,-0.49609,0.28906,-0.91602,-1.04421,-0.33037,-0.15139
41,9766,3,-0.14569,-0.10352,-0.50574,0.84399,-3.57812,2.96484,-6.44141,-1.23047,0.06055,-0.66992,-1.05487,-0.32793,-0.14972
42,10742,3,-0.14862,-0.10114,-0.50964,0.84137,-4.02734,3.10547,-6.77734,-2.01172,-0.07227,-0.37891,-1.06344,-0.32751,-0.15589
43,9766,3,-0.15521,-0.09741,-0.51251,0.83887,-4.49609,3.08594,-6.25000,-2.64648,-0.09570,-0.04883,-1.06856,-0.32842,-0.17045
44,9765,3,-0.16516,-0.09198,-0.51434,0.83649,-4.51172,3.28906,-5.55859,-3.17773,-0.31641,0.22070,-1.07034,-0.32972,-0.19324
45,9766,3,-0.17780,-0.08533,-0.51495,0.83423,-4.14453,3.93750,-6.63672,-3.78125,-0.70312,0.44531,-1.06867,-0.33151,-0.22262
46,10742,3,-0.19391,-0.07819,-0.51434,0.83173,-4.26172,4.18750,-7.50000,-4.50977,-1.08008,0.66016,-1.06349,-0.33579,-0.25934
47,9766,3,-0.21350,-0.07074,-0.51257,0.82867,-4.54297,4.03516,-7.73438,-5.16992,-1.31250,0.88867,-1.05499,-0.34278,-0.30333
48,11718,3,-0.23669,-0.06256,-0.50952,0.82489,-4.93750,2.49609,-7.13672,-5.64648,-1.46484,1.08789,-1.04284,-0.35162,-0.35548
49,7813,3,-0.26196,-0.05365,-0.50531,0.82043,-4.94531,1.28516,-6.28906,-5.89844,-1.54883,1.21094,-1.02772,-0.36056,-0.41311
50,10742,3,-0.28967,-0.04376,-0.49982,0.81506,-4.59375,-0.03516,-5.15625,-5.88281,-1.44336,1.25000,-1.00936,-0.36925,-0.47736
51,9766,3,-0.31866,-0.03296,-0.49335,0.80872,-4.23438,-1.49609,-3.09766,-5.50781,-1.34375,1.22461,-0.98895,-0.37655,-0.54598
52,9765,3,-0.34613,-0.02222,-0.48651,0.80188,-1.02734,-4.21484,0.66406,-4.70117,-1.26367,1.06445,-0.96870,-0.38162,-0.61241
53,10743,3,-0.36914,-0.01337,-0.48016,0.79559,0.89453,-5.15625,3.08984,-3.56836,-1.08008,0.88672,-0.95071,-0.38523,-0.66873
54,9765,3,-0.38831,-0.00635,-0.47424,0.79010,2.55859,-5.91016,5.56250,-2.12891,-0.80078,0.75586,-0.93443,-0.38800,-0.71601
55,9766,3,-0.40137,-0.00195,-0.46924,0.78656,4.12109,-6.57031,7.53125,-0.59961,-0.56641,0.62695,-0.92113,-0.38954,-0.74855
56,9765,3,-0.40857,0.00000,-0.46497,0.78546,5.61328,-7.29688,8.90234,0.76367,-0.42969,0.43750,-0.91011,-0.38970,-0.76676
57,10743,3,-0.40936,-0.00116,-0.46173,0.78693,5.50000,-7.20703,8.30469,1.79297,-0.29492,0.23438,-0.90193,-0.38963,-0.76884
58,9765,3,-0.40521,-0.00488,-0.45959,0.79028,5.11719,-6.73828,6.89453,2.44727,-0.16992,0.05469,-0.89646,-0.39000,-0.75820
59,9766,3,-0.39758,-0.01025,-0.45844,0.79480,5.03125,-5.18750,3.98047,2.72461,0.05078,-0.11523,-0.89348,-0.39068,-0.73866
60,9766,3,-0.38696,-0.01678,-0.45813,0.80005,4.94922,-4.48438,3.28906,2.77930,0.39844,-0.25977,-0.89301,-0.39133,-0.71179
61,10742,3,-0.37549,-0.02258,-0.45892,0.80493,4.91797,-3.80859,2.73438,2.76953,0.71875,-0.44336,-0.89579,-0.39086,-0.68330
62,9765,3,-0.36279,-0.02747,-0.46100,0.80939,5.11719,-3.32812,2.40234,2.72461,0.96680,-0.66992,-0.90247,-0.38867,-0.65259
63,9766,3,-0.34961,-0.03143,-0.46429,0.81317,4.92578,-2.55078,2.37500,2.77734,1.14844,-0.89258,-0.91256,-0.38521,-0.62122
64,10742,3,-0.33582,-0.03491,-0.46875,0.81628,4.73438,-2.28906,2.50000,2.94531,1.28125,-1.09766,-0.92576,-0.38096,-0.58873
65,9766,3,-0.32098,-0.03839,-0.47424,0.81891,4.35938,-2.31641,2.53516,3.09375,1.34961,-1.29688,-0.94174,-0.37612,-0.55396
66,9765,3,-0.30536,-0.04211,-0.48041,0.82111,3.05859,-2.01562,1.58203,3.18359,1.33789,-1.45312,-0.95950,-0.37100,-0.51742
67,9766,3,-0.28888,-0.04626,-0.48730,0.82275,2.37891,-1.73828,0.93359,3.25000,1.25391,-1.58008,-0.97922,-0.36578,-0.47884
68,9766,3,-0.27191,-0.05103,-0.49451,0.82397,1.68750,-1.49219,0.37109,3.24414,1.12109,-1.67773,-0.99974,-0.36078,-0.43895
69,9765,3,-0.25507,-0.05646,-0.50183,0.82458,0.96094,-1.23438,-0.28906,3.08984,0.98633,-1.73438,-1.02059,-0.35661,-0.39891
70,12696,3,-0.23969,-0.06195,-0.50873,0.82458,-0.35547,-0.28516,-1.61719,2.78516,0.91016,-1.74023,-1.04027,-0.35333,-0.36197
