lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,798828,3,0.09326,-0.22534,0.13434,0.96045,-1.26562,0.67188,-2.49219,-2.07617,-0.29688,0.56055,0.24545,-0.47566,0.13381
1,10742,3,0.08368,-0.22839,0.13428,0.96063,-1.60938,0.70703,-3.03516,-2.62109,-0.24414,0.76367,0.25029,-0.47943,0.11230
2,11719,3,0.07159,-0.23157,0.13458,0.96082,-2.02344,0.63281,-3.23438,-3.17773,-0.10352,1.03320,0.25738,-0.48278,0.08506
3,7812,3,0.05743,-0.23450,0.13525,0.96094,-2.23047,0.60938,-3.19922,-3.63672,-0.00195,1.31250,0.26653,-0.48501,0.05309
4,9766,3,0.03845,-0.23761,0.13684,0.96094,-2.42969,0.37109,-3.24219,-3.99219,0.05859,1.58398,0.28042,-0.48607,0.01003
5,10742,3,0.01892,-0.24023,0.13904,0.96051,-2.50000,0.33203,-3.24219,-4.25391,-0.00586,1.84570,0.29604,-0.48563,-0.03445
6,9766,3,-0.00330,-0.24310,0.14215,0.95953,-2.53125,0.27344,-3.52734,-4.50000,-0.20898,2.06641,0.31524,-0.48429,-0.08534
7,9765,3,-0.02643,-0.24658,0.14600,0.95770,-2.70703,-0.44531,-3.96875,-4.71680,-0.47461,2.26953,0.33684,-0.48316,-0.13892
8,12696,3,-0.05121,-0.25128,0.15057,0.95477,-2.89062,-0.68359,-3.76953,-4.88672,-0.65039,2.46289,0.36153,-0.48296,-0.19713
9,7812,3,-0.07544,-0.25659,0.15546,0.95093,-3.08984,-0.87891,-3.19141,-4.91602,-0.84570,2.62109,0.38721,-0.48314,-0.25487
10,9766,3,-0.10144,-0.26288,0.16132,0.94586,-2.69922,-0.96875,-2.99609,-4.83789,-1.01562,2.73242,0.41676,-0.48311,-0.31777
11,9765,3,-0.12769,-0.26978,0.16772,0.93958,-2.19922,-1.96875,-1.92188,-4.66016,-1.17578,2.79492,0.44848,-0.48263,-0.38228
12,12696,3,-0.12769,-0.26978,0.16772,0.93958,-1.49609,-2.00000,-1.51172,-4.48242,-1.31055,2.73828,0.44848,-0.48263,-0.38228
13,7812,3,-0.17688,-0.28448,0.18188,0.92450,-0.82812,-2.06641,-1.07812,-4.33594,-1.33203,2.61523,0.51505,-0.47988,-0.50677
14,9766,3,-0.19977,-0.29211,0.18896,0.91602,-0.15234,-2.19531,-0.43750,-4.13867,-1.26172,2.43359,0.54827,-0.47760,-0.56615
15,9765,3,-0.22253,-0.29968,0.19562,0.90686,1.14844,-2.64062,0.80078,-3.86719,-1.13086,2.21289,0.58078,-0.47404,-0.62539
16,12696,3,-0.22253,-0.29968,0.19562,0.90686,1.68750,-2.98438,1.72656,-3.51953,-0.95508,1.97070,0.58078,-0.47404,-0.62539
17,7812,3,-0.26099,-0.31183,0.20593,0.89008,2.11719,-3.23047,2.58203,-3.11133,-0.86328,1.73633,0.63351,-0.46409,-0.72505
18,9766,3,-0.27783,-0.31683,0.21008,0.88220,2.93750,-3.60156,2.67188,-2.79492,-0.74219,1.54102,0.65555,-0.45815,-0.76844
19,9765,3,-0.29327,-0.32135,0.21381,0.87463,2.91406,-3.79688,3.20312,-2.45898,-0.51562,1.36523,0.67550,-0.45196,-0.80820
20,10743,3,-0.30634,-0.32471,0.21680,0.86816,2.90234,-3.84375,3.66797,-2.02734,-0.36133,1.17383,0.69142,-0.44558,-0.84127
21,9765,3,-0.31763,-0.32703,0.21930,0.86261,3.18359,-3.73438,3.83984,-1.55469,-0.23828,0.98828,0.70418,-0.43882,-0.86912
22,9766,3,-0.32709,-0.32861,0.22156,0.85785,3.32422,-3.73047,4.13281,-1.03320,-0.13477,0.78125,0.71469,-0.43221,-0.89211
23,10742,3,-0.33374,-0.32935,0.22351,0.85449,3.45703,-3.62891,4.18750,-0.52539,-0.04102,0.58789,0.72221,-0.42648,-0.90789
24,9766,3,-0.33807,-0.32947,0.22528,0.85229,3.57812,-3.59766,4.13672,-0.04102,0.04297,0.40234,0.72754,-0.42167,-0.91785
25,9765,3,-0.34009,-0.32898,0.22699,0.85120,3.64062,-3.56641,4.03906,0.47656,0.13867,0.21289,0.73102,-0.41772,-0.92210
26,9766,3,-0.33978,-0.32782,0.22852,0.85138,3.66406,-3.44141,4.63281,1.12695,0.22070,-0.00586,0.73227,-0.41470,-0.92043
27,10742,3,-0.33667,-0.32599,0.23010,0.85291,3.91797,-3.28906,4.71094,1.78320,0.20312,-0.27930,0.73167,-0.41275,-0.91197
28,8789,3,-0.33044,-0.32367,0.23157,0.85583,4.30078,-3.14844,4.45312,2.34180,0.17383,-0.61719,0.72904,-0.41257,-0.89630
29,10742,3,-0.32135,-0.32129,0.23267,0.85986,4.59375,-2.74219,3.96094,2.77148,0.18945,-0.98047,0.72459,-0.41479,-0.87447
30,9766,3,-0.30890,-0.31879,0.23309,0.86523,4.53906,-2.69141,3.38281,3.05664,0.21680,-1.40039,0.71737,-0.41987,-0.84524
31,10742,3,-0.29449,-0.31628,0.23236,0.87134,4.35156,-2.68359,2.72656,3.24609,0.30078,-1.79297,0.70707,-0.42721,-0.81161
32,11719,3,-0.27844,-0.31384,0.23004,0.87811,4.21875,-2.71875,2.24219,3.35742,0.47852,-2.09961,0.69286,-0.43682,-0.77403
33,7812,3,-0.26178,-0.31110,0.22626,0.88513,3.90234,-2.46094,1.53125,3.50586,0.67383,-2.32812,0.67492,-0.44702,-0.73429
34,9766,3,-0.26178,-0.31110,0.22626,0.88513,3.61719,-2.52344,1.19141,3.66992,0.78906,-2.52734,0.67492,-0.44702,-0.73429
35,10742,3,-0.22400,-0.30304,0.21466,0.90106,3.18750,-2.83594,0.75781,3.83789,0.87695,-2.63477,0.62511,-0.46671,-0.64062
36,9766,3,-0.20380,-0.29803,0.20776,0.90912,2.42188,-2.61328,0.22266,4.01953,0.95117,-2.67969,0.59600,-0.47485,-0.58943
37,9765,3,-0.18286,-0.29242,0.20062,0.91693,2.25000,-2.78906,-0.16406,4.12500,0.97070,-2.69727,0.56537,-0.48127,-0.53600
38,9766,3,-0.16101,-0.28632,0.19336,0.92450,1.85156,-2.87500,-0.72656,4.16406,1.00195,-2.66211,0.53360,-0.48605,-0.48018
39,9766,3,-0.13892,-0.27979,0.18610,0.93152,1.48438,-2.78516,-1.19922,4.20508,0.98438,-2.63086,0.50153,-0.48881,-0.42367
40,12695,3,-0.11755,-0.27338,0.17926,0.93768,1.16016,-1.99609,-1.73047,4.20898,0.98828,-2.59180,0.47110,-0.48993,-0.36928
41,7813,3,-0.09497,-0.26642,0.17218,0.94360,0.96875,-1.85156,-2.05469,3.97266,1.01953,-2.59180,0.43948,-0.48937,-0.31204
