lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,912110,3,-0.05005,0.24359,-0.12024,0.96106,1.12500,0.34766,2.54297,0.19336,1.18750,-0.90430,-0.29123,0.47373,-0.17483
1,9765,3,-0.04999,0.24841,-0.12469,0.95929,1.04297,0.37891,3.01953,0.34180,1.43164,-0.97461,-0.30273,0.48266,-0.17917
2,9766,3,-0.04907,0.25421,-0.12970,0.95715,1.05859,0.39453,3.25781,0.43359,1.73438,-1.00000,-0.31550,0.49373,-0.18258
3,10742,3,-0.04755,0.26105,-0.13501,0.95465,0.17969,0.40234,4.42969,0.52930,2.05078,-0.96094,-0.32918,0.50703,-0.18554
4,9766,3,-0.04517,0.26971,-0.14087,0.95154,-0.16797,0.25781,4.90234,0.59375,2.41016,-0.88672,-0.34457,0.52422,-0.18816
5,10742,3,-0.04218,0.27979,-0.14642,0.94788,-0.60938,0.21875,5.34766,0.90625,2.72656,-0.91797,-0.35985,0.54459,-0.19042
6,11719,3,-0.03802,0.29126,-0.15222,0.94366,-0.49219,0.43359,6.15234,1.42969,2.93750,-1.02930,-0.37595,0.56824,-0.19153
7,7812,3,-0.03210,0.30292,-0.15863,0.93915,-1.09375,-0.41797,7.00781,1.80273,3.06250,-1.08594,-0.39278,0.59295,-0.18975
8,9766,3,-0.02374,0.31549,-0.16638,0.93390,-1.71484,-0.82812,6.25781,2.05078,3.00000,-1.10156,-0.41194,0.62045,-0.18460
9,9766,3,-0.01349,0.32849,-0.17523,0.92804,-2.47656,-0.99609,5.33594,2.40039,2.77734,-1.16797,-0.43297,0.64970,-0.17693
10,9765,3,-0.00275,0.33960,-0.18396,0.92242,-4.23047,-1.71875,4.96875,2.68750,2.39062,-1.15039,-0.45263,0.67574,-0.16740
11,10742,3,0.00970,0.34930,-0.19379,0.91669,-5.72656,-2.41797,4.21875,2.95898,1.93555,-1.01562,-0.47310,0.69995,-0.15435
12,9766,3,0.02271,0.35638,-0.20337,0.91168,-6.95703,-2.74219,3.54688,3.30078,1.25977,-0.88086,-0.49097,0.71952,-0.13812
13,10742,3,0.03687,0.36053,-0.21301,0.90735,-7.92969,-3.10547,2.93750,3.46875,0.43164,-0.66406,-0.50623,0.73416,-0.11705
14,12696,3,0.05219,0.36084,-0.22260,0.90417,-10.11719,-3.42578,0.35547,3.37891,-0.37109,-0.23047,-0.51781,0.74198,-0.09003
15,6835,3,0.06586,0.35748,-0.23016,0.90271,-10.72266,-3.58984,-1.03906,3.25781,-1.07031,0.24414,-0.52342,0.74195,-0.06198
16,9766,3,0.07996,0.35034,-0.23608,0.90283,-11.00000,-3.21875,-1.60156,3.24414,-1.67578,0.72656,-0.52245,0.73471,-0.02837
17,9766,3,0.09448,0.33954,-0.24011,0.90454,-11.10156,-3.19531,-1.85547,3.20703,-2.25391,1.24805,-0.51499,0.72027,0.01047
18,9765,3,0.10822,0.32635,-0.24176,0.90735,-10.33203,-3.23828,-4.19531,2.83789,-2.89844,1.85547,-0.50235,0.70049,0.05049
19,10743,3,0.12128,0.31006,-0.24078,0.91168,-9.72266,-3.71094,-5.83594,2.14844,-3.38086,2.44922,-0.48419,0.67355,0.09202
20,12695,3,0.13220,0.29114,-0.23645,0.91754,-9.02344,-3.73438,-6.73438,1.67578,-3.73828,2.86914,-0.46095,0.63946,0.13113
21,6836,3,0.14014,0.27173,-0.22943,0.92407,-6.32422,-3.44922,-6.05859,1.46875,-4.00781,3.20703,-0.43578,0.60223,0.16371
22,10742,3,0.14703,0.24976,-0.21985,0.93146,-4.88281,-3.95703,-6.01562,1.17773,-4.10547,3.50781,-0.40756,0.55855,0.19474
23,9766,3,0.15314,0.22571,-0.20801,0.93933,-3.82422,-4.41016,-6.36328,0.68750,-4.00000,3.76953,-0.37733,0.50949,0.22385
24,9765,3,0.15729,0.20288,-0.19470,0.94666,-3.16797,-4.49609,-6.94922,0.05469,-3.75781,4.03906,-0.34740,0.46160,0.24688
25,9766,3,0.15912,0.18073,-0.17914,0.95392,-1.86328,-4.53906,-8.02344,-0.66016,-3.40820,4.35742,-0.31561,0.41347,0.26384
26,12695,3,0.15820,0.16077,-0.16156,0.96075,-1.39844,-4.36719,-8.20312,-0.99023,-3.13477,4.52930,-0.28194,0.36829,0.27355
27,7813,3,0.15521,0.14307,-0.14276,0.96698,-0.16406,-3.92969,-7.52344,-1.00586,-2.98438,4.58203,-0.24714,0.32679,0.27736
28,9765,3,0.15137,0.12537,-0.12201,0.97290,0.48047,-3.96875,-6.98828,-1.06836,-2.91016,4.72266,-0.20933,0.28469,0.27858
29,9766,3,0.14722,0.10742,-0.09979,0.97815,0.16016,-4.69141,-7.70312,-1.37305,-2.83594,4.99609,-0.16932,0.24190,0.27814
30,10742,3,0.14227,0.09021,-0.07697,0.98267,0.45703,-4.91406,-8.25781,-1.73047,-2.84570,5.13086,-0.12852,0.20055,0.27462
31,9766,3,0.13574,0.07318,-0.05304,0.98663,1.44531,-4.54297,-8.65625,-1.97656,-2.94531,5.11914,-0.08599,0.15947,0.26657
32,11718,3,0.12787,0.05652,-0.02954,0.98975,3.13281,-4.09766,-7.35547,-1.99609,-2.96484,5.00586,-0.04435,0.11972,0.25430
33,8790,3,0.11908,0.03918,-0.00586,0.99207,3.42969,-4.18750,-6.93750,-2.12305,-2.93555,4.95898,-0.00230,0.07923,0.23883
34,9765,3,0.10925,0.02075,0.01892,0.99359,3.44531,-4.16797,-7.61328,-2.52344,-2.81250,4.99609,0.04218,0.03711,0.21982
35,9766,3,0.09845,0.00360,0.04260,0.99420,3.25391,-3.94922,-8.28125,-2.99805,-2.55664,5.09766,0.08553,-0.00123,0.19735
36,12695,3,0.08521,-0.01300,0.06683,0.99402,3.56250,-3.98047,-8.12891,-3.36523,-2.30078,5.18750,0.13112,-0.03724,0.16857
37,7813,3,0.07062,-0.02753,0.09021,0.99304,4.03125,-3.85156,-7.85156,-3.68359,-2.11133,5.20312,0.17659,-0.06746,0.13601
38,9765,3,0.05347,-0.04175,0.11481,0.99109,4.87500,-3.92969,-8.21875,-4.09570,-1.72852,5.04883,0.22603,-0.09517,0.09698
39,9766,3,0.03326,-0.05548,0.14020,0.98804,6.40234,-4.16016,-6.38281,-4.38281,-1.10156,4.70508,0.27889,-0.11924,0.05055
40,9765,3,0.01190,-0.06622,0.16302,0.98431,6.90625,-4.03516,-5.17969,-4.54883,-0.45703,4.32031,0.32814,-0.13466,0.00186
41,10743,3,-0.01068,-0.07385,0.18372,0.98016,6.84375,-4.20312,-4.39062,-4.63281,0.03516,4.01562,0.37401,-0.14131,-0.04858
42,11718,3,-0.03479,-0.07886,0.20282,0.97540,6.43750,-3.99219,-4.35156,-4.82031,0.40039,3.79102,0.41712,-0.14019,-0.10102
43,7813,3,-0.05835,-0.08173,0.21924,0.97052,5.39062,-4.31250,-4.90234,-5.22266,0.82617,3.61914,0.45445,-0.13344,-0.15100
44,9766,3,-0.08661,-0.08319,0.23608,0.96429,5.05469,-4.06641,-4.20312,-5.57812,1.20703,3.39648,0.49281,-0.11983,-0.20932
45,10742,3,-0.11450,-0.08313,0.25006,0.95782,5.38672,-3.74609,-4.03906,-5.82031,1.48047,3.10742,0.52439,-0.10216,-0.26540
46,11718,3,-0.14514,-0.08191,0.26270,0.95038,5.57031,-3.29297,-3.46875,-5.89648,1.92578,2.75391,0.55243,-0.07952,-0.32565
47,7813,3,-0.17480,-0.07947,0.27252,0.94281,5.81250,-3.03516,-0.94531,-5.61719,2.41211,2.24414,0.57335,-0.05460,-0.38275
48,9766,3,-0.17480,-0.07947,0.27252,0.94281,6.90625,-2.20703,-0.30469,-5.02148,2.39258,1.62109,0.57335,-0.05460,-0.38275
49,10742,3,-0.23602,-0.06885,0.28497,0.92645,7.48438,-1.79297,0.60547,-4.36719,2.36328,1.02148,0.59506,0.00695,-0.49678
50,9765,3,-0.26141,-0.06299,0.28674,0.91949,6.70703,-1.92969,1.53516,-3.87109,2.41992,0.48438,0.59508,0.03409,-0.54353
51,9766,3,-0.28412,-0.05688,0.28583,0.91345,6.36719,-1.86328,1.31250,-3.60938,2.43555,-0.09180,0.58888,0.05853,-0.58535
52,9766,3,-0.30469,-0.05090,0.28235,0.90820,6.03516,-1.98438,0.92578,-3.51758,2.36914,-0.72266,0.57713,0.07968,-0.62370
