lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,840820,3,0.12933,-0.22754,0.05518,0.96356,-1.39062,0.31250,-2.44922,-3.34961,0.34570,1.21484,0.05327,-0.46987,0.25410
1,10743,3,0.11230,-0.22772,0.05695,0.96558,-1.19922,0.51953,-1.91406,-3.37305,0.24609,1.29883,0.06601,-0.46961,0.21578
2,9765,3,0.09418,-0.22797,0.05914,0.96729,-1.25781,0.25781,-2.28516,-3.55078,0.05469,1.44336,0.08023,-0.46919,0.17493
3,9766,3,0.07605,-0.22882,0.06158,0.96851,-1.64844,0.30078,-2.83594,-3.80859,-0.06445,1.63672,0.09490,-0.46970,0.13400
4,9766,3,0.05609,-0.23053,0.06451,0.96930,-2.04688,0.43359,-2.91406,-3.96680,-0.14844,1.82227,0.11158,-0.47141,0.08878
5,10742,3,0.03516,-0.23273,0.06799,0.96954,-2.37109,-0.72266,-1.92578,-3.95703,-0.22656,2.00000,0.13012,-0.47354,0.04105
6,9765,3,0.01367,-0.23529,0.07220,0.96912,-2.30859,-1.05078,-1.81250,-3.97461,-0.41211,2.21484,0.15078,-0.47580,-0.00841
7,9766,3,-0.00696,-0.23816,0.07709,0.96814,-2.47656,-1.02344,-2.59375,-4.27930,-0.78320,2.42969,0.17270,-0.47807,-0.05656
8,9766,3,-0.03027,-0.24261,0.08319,0.96606,-2.55469,-1.00391,-4.20703,-4.92969,-0.96289,2.71289,0.19932,-0.48221,-0.11182
9,10742,3,-0.05481,-0.24811,0.08960,0.96301,-3.66016,-2.19141,-4.96484,-5.61719,-0.84961,3.12695,0.22803,-0.48708,-0.17060
10,9765,3,-0.08447,-0.25403,0.09723,0.95856,-4.75391,-2.81641,-3.35938,-5.94922,-0.40039,3.60352,0.26292,-0.48997,-0.24189
11,9766,3,-0.11523,-0.25806,0.10559,0.95343,-4.80859,-3.42188,-1.80859,-5.92773,-0.36133,3.99414,0.29953,-0.48671,-0.31545
12,9766,3,-0.14905,-0.26068,0.11615,0.94678,-4.10156,-3.28906,-1.88281,-5.78711,-0.50586,4.33789,0.34160,-0.47683,-0.39608
