lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,819336,3,0.05017,-0.03827,-0.27295,0.95996,0.99219,1.61328,1.46484,-0.36914,0.52148,-0.45312,-0.55676,-0.04610,0.11761
1,9765,3,0.04907,-0.03522,-0.27502,0.95953,0.66406,1.49219,2.15234,-0.32227,0.58594,-0.47852,-0.56059,-0.04060,0.11388
2,9766,3,0.04828,-0.03204,-0.27728,0.95905,0.25781,1.33203,3.01953,-0.19922,0.59180,-0.51562,-0.56482,-0.03470,0.11066
3,9766,3,0.04791,-0.02875,-0.27960,0.95850,-0.59766,1.04688,4.58984,0.00391,0.53711,-0.52930,-0.56920,-0.02832,0.10818
4,10742,3,0.04834,-0.02576,-0.28210,0.95782,-0.87891,0.90234,5.35547,0.23633,0.42383,-0.56445,-0.57404,-0.02207,0.10737
5,9766,3,0.04968,-0.02350,-0.28473,0.95703,-1.20703,0.74219,5.76172,0.40234,0.30273,-0.54102,-0.57925,-0.01669,0.10871
6,9765,3,0.05170,-0.02216,-0.28723,0.95618,-2.31250,0.16406,6.30469,0.62109,0.17578,-0.51562,-0.58435,-0.01267,0.11184
7,9766,3,0.05469,-0.02161,-0.28979,0.95526,-2.48047,-0.04297,6.69531,1.01172,-0.01953,-0.54102,-0.58965,-0.00958,0.11728
8,10742,3,0.05872,-0.02228,-0.29230,0.95428,-2.50000,-0.50391,7.27734,1.44531,-0.19531,-0.54102,-0.59497,-0.00819,0.12541
9,9766,3,0.06451,-0.02441,-0.29486,0.95306,-2.73828,-1.20312,7.47656,1.77930,-0.35156,-0.46289,-0.60067,-0.00849,0.13781
10,9765,3,0.07190,-0.02802,-0.29724,0.95166,-3.44531,-2.32422,6.66016,2.04297,-0.47461,-0.32422,-0.60629,-0.01058,0.15413
11,10742,3,0.08044,-0.03265,-0.29901,0.95026,-3.78125,-2.78125,6.22266,2.36719,-0.59375,-0.18359,-0.61092,-0.01395,0.17331
12,9766,3,0.09009,-0.03839,-0.30011,0.94885,-3.67578,-3.10547,5.98438,2.68359,-0.66992,-0.06250,-0.61450,-0.01878,0.19528
13,9766,3,0.10083,-0.04492,-0.30054,0.94739,-3.53906,-3.37891,5.26562,2.89648,-0.73242,0.05078,-0.61708,-0.02451,0.21987
14,9765,3,0.11334,-0.05267,-0.30029,0.94562,-3.37891,-3.35547,2.88672,2.97852,-0.82617,0.16797,-0.61892,-0.03155,0.24867
15,10742,3,0.12622,-0.06097,-0.29950,0.94373,-3.33594,-3.32812,1.53906,2.97461,-0.87500,0.33203,-0.62015,-0.03949,0.27857
16,8790,3,0.13892,-0.06958,-0.29791,0.94183,-3.42188,-3.37891,0.39844,2.92383,-0.89844,0.55664,-0.62022,-0.04832,0.30836
17,10742,3,0.15076,-0.07812,-0.29553,0.94012,-3.62891,-3.06250,-1.66016,2.84766,-0.93359,0.82227,-0.61897,-0.05782,0.33650
18,9765,3,0.16327,-0.08765,-0.29169,0.93842,-3.62500,-3.11328,-2.51562,2.66211,-0.98242,1.11133,-0.61558,-0.06930,0.36656
19,10743,3,0.17438,-0.09692,-0.28674,0.93701,-3.70312,-3.08203,-3.78516,2.31250,-1.03711,1.43945,-0.61025,-0.08172,0.39374
20,11718,3,0.18384,-0.10626,-0.28046,0.93610,-3.92188,-3.10156,-4.79688,1.90234,-1.05859,1.76953,-0.60254,-0.09597,0.41768
21,7813,3,0.19116,-0.11530,-0.27307,0.93573,-3.60938,-2.89844,-5.97266,1.51562,-1.15234,2.05664,-0.59270,-0.11160,0.43715
22,9765,3,0.19653,-0.12469,-0.26416,0.93597,-3.43750,-2.89844,-6.46484,1.07812,-1.21289,2.36719,-0.58012,-0.12995,0.45278
23,10743,3,0.19971,-0.13440,-0.25385,0.93683,-3.52344,-3.18359,-6.62109,0.55273,-1.13867,2.74023,-0.56495,-0.15100,0.46396
24,9765,3,0.20032,-0.14355,-0.24243,0.93835,-3.31250,-3.33203,-7.21875,0.03125,-1.05664,3.08594,-0.54715,-0.17314,0.46934
25,9766,3,0.19824,-0.15204,-0.22961,0.94067,-3.08203,-3.26172,-7.14844,-0.37891,-0.97656,3.35156,-0.52579,-0.19626,0.46839
26,9765,3,0.19385,-0.15973,-0.21570,0.94360,-2.68750,-3.22266,-7.05859,-0.68359,-1.03516,3.55273,-0.50126,-0.21958,0.46165
27,9766,3,0.18744,-0.16718,-0.20087,0.94690,-2.30078,-3.12500,-7.36328,-0.99219,-1.24609,3.68555,-0.47410,-0.24369,0.45000
28,12695,3,0.18744,-0.16718,-0.20087,0.94690,-1.31641,-3.05469,-8.21484,-1.38086,-1.48828,3.78711,-0.47410,-0.24369,0.45000
29,7813,3,0.16931,-0.18359,-0.17053,0.95319,-1.03906,-2.79688,-8.52734,-1.63672,-1.71094,3.82812,-0.41691,-0.29658,0.41476
30,9766,3,0.15674,-0.19348,-0.15454,0.95612,-0.70703,-2.35547,-8.07031,-1.63672,-1.93359,3.78516,-0.38561,-0.32734,0.38944
31,10742,3,0.14362,-0.20392,-0.13928,0.95831,-0.15234,-2.08984,-7.37891,-1.58594,-2.14062,3.77930,-0.35504,-0.35847,0.36250
32,11718,3,0.14362,-0.20392,-0.13928,0.95831,0.55469,-2.42188,-6.96484,-1.71484,-2.12891,3.90234,-0.35504,-0.35847,0.36250
33,7813,3,0.11780,-0.22638,-0.10980,0.96063,0.16406,-2.53125,-6.89453,-2.04883,-1.96094,4.17578,-0.29385,-0.42143,0.30732
34,9766,3,0.10303,-0.23749,-0.09381,0.96136,-0.11719,-2.69531,-7.34766,-2.38086,-1.82031,4.48242,-0.25782,-0.45257,0.27319
35,10742,3,0.08557,-0.24811,-0.07593,0.96198,1.03516,-2.75391,-6.84766,-2.54297,-1.68945,4.56055,-0.21452,-0.48288,0.23046
36,9765,3,0.06714,-0.25757,-0.05786,0.96216,1.96094,-2.21875,-5.00781,-2.64844,-1.25781,4.35742,-0.16798,-0.50968,0.18319
37,9766,3,0.04865,-0.26526,-0.04047,0.96210,3.35156,-1.74219,-3.85156,-2.84961,-0.62500,3.90625,-0.12053,-0.53109,0.13385
38,12695,3,0.02954,-0.27014,-0.02441,0.96204,5.03516,-1.06641,-3.51953,-3.11523,-0.12109,3.28320,-0.07366,-0.54492,0.08199
39,7813,3,0.01117,-0.27197,-0.01190,0.96216,7.13281,-0.80859,-3.54297,-3.48438,0.25391,2.61133,-0.03401,-0.55049,0.03282
40,9765,3,-0.00897,-0.27148,-0.00220,0.96240,7.68359,-1.13672,-2.89844,-3.84766,0.49609,2.03516,0.00075,-0.54989,-0.01886
41,9766,3,-0.03046,-0.26941,0.00409,0.96252,7.91406,-1.08203,-2.48047,-4.16211,0.63672,1.55078,0.02840,-0.54496,-0.07120
