lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1232422,3,0.16797,-0.34747,0.06836,0.91998,-1.10156,0.42969,-2.51953,-3.03711,0.08789,0.91797,0.01208,-0.72390,0.35660
1,9765,3,0.15399,-0.34875,0.06732,0.92200,-1.45312,0.01953,-3.31641,-3.62695,0.05664,1.07422,0.02237,-0.72598,0.32249
2,10743,3,0.13623,-0.35034,0.06586,0.92432,-1.89844,-0.28906,-3.39453,-4.24023,0.26953,1.34961,0.03524,-0.72830,0.27923
3,9765,3,0.11548,-0.35162,0.06439,0.92676,-2.44141,-0.61719,-2.62891,-4.70312,0.63477,1.69727,0.05119,-0.72965,0.22838
4,9766,3,0.09192,-0.35181,0.06354,0.92938,-2.69531,-0.88672,-2.06641,-4.99609,1.01562,2.05859,0.07165,-0.72830,0.16985
5,12695,3,0.06543,-0.35022,0.06378,0.93219,-2.95312,-2.09375,-0.67969,-5.11914,1.23828,2.42188,0.09759,-0.72255,0.10325
6,7813,3,0.03882,-0.34735,0.06531,0.93463,-2.65234,-2.10156,-0.77344,-5.23828,1.06250,2.70312,0.12612,-0.71337,0.03597
7,9765,3,0.00946,-0.34399,0.06793,0.93646,-2.03906,-1.82031,-1.91016,-5.40430,0.83008,2.90039,0.15874,-0.70176,-0.03801
8,9766,3,-0.02191,-0.34125,0.07135,0.93701,-1.82812,-2.15625,-1.89453,-5.59961,0.42969,3.20508,0.19394,-0.68979,-0.11662
9,9765,3,-0.05389,-0.33966,0.07550,0.93597,-1.85156,-2.53516,-3.05078,-5.97266,0.27148,3.75195,0.23061,-0.67856,-0.19674
10,10743,3,-0.08691,-0.33899,0.08105,0.93329,-3.44922,-3.24219,-1.58594,-6.07812,0.56055,4.49609,0.27084,-0.66698,-0.28005
11,12695,3,-0.12274,-0.33734,0.08923,0.92908,-4.16016,-3.73438,0.34766,-5.86719,0.66211,5.03711,0.31753,-0.64967,-0.37044
12,6836,3,-0.15717,-0.33405,0.09967,0.92401,-3.08594,-3.91406,1.94531,-5.27344,0.65625,5.28906,0.36493,-0.62609,-0.45627
13,9766,3,-0.19214,-0.32928,0.11298,0.91754,-2.48828,-2.91797,2.74609,-4.30859,0.41992,5.24805,0.41507,-0.59542,-0.54188
14,10742,3,-0.22437,-0.32391,0.12878,0.91003,-1.51953,-2.09375,2.89453,-3.57617,0.10352,5.06055,0.46497,-0.56067,-0.61958
15,9765,3,-0.25085,-0.31915,0.14502,0.90234,-1.19922,-1.96094,2.31641,-3.29883,0.01562,4.84180,0.50993,-0.52729,-0.68279
