lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,901367,3,-0.02240,-0.04681,-0.16278,0.98529,-0.55078,0.72266,2.75781,0.84375,-0.27930,-0.38672,-0.32601,-0.09971,-0.02905
1,10742,3,-0.01892,-0.04846,-0.16449,0.98499,-0.72656,0.53516,3.17188,1.05859,-0.34570,-0.39453,-0.32985,-0.10187,-0.02144
2,9766,3,-0.01440,-0.05078,-0.16620,0.98468,-0.91016,0.24219,3.47656,1.28711,-0.47461,-0.37500,-0.33381,-0.10499,-0.01155
3,9766,3,-0.00891,-0.05383,-0.16785,0.98431,-1.14062,-0.02734,3.14062,1.48438,-0.65234,-0.33203,-0.33782,-0.10918,0.00053
4,9765,3,-0.00238,-0.05780,-0.16925,0.98389,-1.34766,-0.20703,2.91797,1.61914,-0.84961,-0.28906,-0.34157,-0.11479,0.01498
5,10742,3,0.00470,-0.06281,-0.17035,0.98340,-1.64844,-0.40234,2.61328,1.72070,-1.09570,-0.25000,-0.34493,-0.12222,0.03087
6,9766,3,0.01215,-0.06903,-0.17120,0.98273,-2.35547,-0.48828,2.32031,1.77734,-1.33594,-0.12500,-0.34813,-0.13190,0.04794
7,9766,3,0.02008,-0.07678,-0.17163,0.98193,-3.05469,-0.93750,1.77734,1.80078,-1.50000,0.02734,-0.35090,-0.14441,0.06654
8,9765,3,0.02734,-0.08490,-0.17133,0.98114,-3.22656,-1.03125,1.69531,1.89648,-1.67188,0.15625,-0.35239,-0.15789,0.08389
9,12696,3,0.03503,-0.09430,-0.17035,0.98022,-3.34375,-1.25000,1.46484,2.07031,-1.86914,0.33398,-0.35308,-0.17381,0.10253
10,7812,3,0.04291,-0.10443,-0.16858,0.97919,-3.73047,-1.50781,1.32031,2.25586,-2.11914,0.56641,-0.35267,-0.19122,0.12176
11,9766,3,0.05200,-0.11670,-0.16553,0.97791,-4.59375,-1.87109,0.54688,2.35547,-2.34375,0.85742,-0.35076,-0.21262,0.14407
12,10742,3,0.06097,-0.12958,-0.16132,0.97644,-4.73438,-2.07422,0.01953,2.32812,-2.46094,1.13281,-0.34717,-0.23556,0.16622
13,8789,3,0.06982,-0.14349,-0.15564,0.97485,-4.51172,-2.23828,-0.35156,2.19531,-2.50195,1.39062,-0.34141,-0.26098,0.18824
14,10742,3,0.07782,-0.15747,-0.14893,0.97314,-3.95703,-2.13281,-1.73828,1.95117,-2.49414,1.61523,-0.33395,-0.28723,0.20833
15,9766,3,0.08496,-0.17200,-0.14081,0.97125,-3.79297,-2.08984,-2.26953,1.68359,-2.49805,1.82617,-0.32411,-0.31539,0.22649
16,10742,3,0.09058,-0.18622,-0.13184,0.96942,-3.63672,-2.13281,-2.73438,1.43945,-2.53711,2.02148,-0.31238,-0.34389,0.24101
17,11719,3,0.09467,-0.20020,-0.12225,0.96747,-3.48828,-2.08594,-3.03125,1.25781,-2.58594,2.16211,-0.29915,-0.37280,0.25190
18,7812,3,0.09467,-0.20020,-0.12225,0.96747,-2.75000,-1.97266,-3.41406,1.09766,-2.67383,2.28711,-0.29915,-0.37280,0.25190
19,9766,3,0.09930,-0.22870,-0.10132,0.96307,-2.64844,-2.25781,-3.62500,0.88086,-2.75391,2.46680,-0.26837,-0.43390,0.26499
20,9766,3,0.09998,-0.24365,-0.08990,0.96051,-2.55469,-2.31641,-3.82031,0.58789,-2.79492,2.67578,-0.25057,-0.46685,0.26730
21,10742,3,0.09912,-0.25848,-0.07812,0.95776,-2.11719,-2.37891,-4.25391,0.30078,-2.74609,2.86719,-0.23098,-0.50022,0.26550
