lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,872071,3,-0.08264,-0.10815,0.23792,0.96173,2.93750,1.06250,-0.77344,-1.08008,0.15625,-0.18555,0.50337,-0.16951,-0.21512
1,9765,3,-0.08801,-0.10864,0.23700,0.96136,3.51953,1.28516,-0.71484,-1.08203,0.16992,-0.50000,0.50250,-0.16797,-0.22580
2,9766,3,-0.09302,-0.10931,0.23486,0.96136,4.60938,1.14453,-0.19141,-0.97070,0.13867,-0.90430,0.49906,-0.16727,-0.23563
3,10742,3,-0.09796,-0.11011,0.23077,0.96179,5.06250,0.88281,0.39844,-0.71094,0.03906,-1.38867,0.49164,-0.16736,-0.24509
4,9766,3,-0.10150,-0.11127,0.22479,0.96271,5.68750,0.29688,1.45703,-0.43945,-0.04102,-1.87500,0.48026,-0.16941,-0.25166
5,9765,3,-0.10333,-0.11273,0.21674,0.96417,5.95703,-0.29297,2.12109,-0.31055,-0.06445,-2.25586,0.46449,-0.17346,-0.25465
6,9766,3,-0.10388,-0.11450,0.20667,0.96613,5.54688,-1.67188,2.40625,-0.29102,-0.06250,-2.55273,0.44450,-0.17927,-0.25484
7,10742,3,-0.10388,-0.11639,0.19495,0.96832,4.75781,-2.30078,2.98828,-0.20117,0.05664,-2.84961,0.42111,-0.18598,-0.25360
8,11719,3,-0.10345,-0.11804,0.18182,0.97070,3.91406,-2.52344,4.10938,0.24023,0.16406,-3.18750,0.39472,-0.19275,-0.25101
9,7812,3,-0.10175,-0.11902,0.16791,0.97327,3.50781,-2.32031,5.16406,0.93555,0.17969,-3.59766,0.36626,-0.19882,-0.24526
10,9766,3,-0.09680,-0.11945,0.15118,0.97650,3.71094,-3.01953,6.52734,1.73633,0.09766,-3.95703,0.33123,-0.20544,-0.23207
11,10742,3,-0.08801,-0.11957,0.13342,0.97986,2.79297,-3.56641,6.80469,2.63867,-0.12500,-4.21680,0.29321,-0.21243,-0.21065
12,9766,3,-0.07465,-0.12000,0.11469,0.98328,2.10156,-4.10156,6.99219,3.46094,-0.42773,-4.41406,0.25217,-0.22065,-0.17962
13,9765,3,-0.05768,-0.12115,0.09637,0.98627,0.74219,-4.50000,6.06641,3.93945,-0.72852,-4.45508,0.21115,-0.22988,-0.14130
14,12696,3,-0.03546,-0.12354,0.07617,0.98877,-0.79297,-5.12891,4.92578,4.07031,-0.84961,-4.23828,0.16490,-0.24123,-0.09173
15,7812,3,-0.01373,-0.12653,0.05835,0.99017,-1.92188,-5.28125,4.11328,3.92578,-0.75977,-3.84570,0.12320,-0.25160,-0.04334
16,9766,3,0.00995,-0.12970,0.04028,0.99066,-2.97266,-5.33203,3.28516,3.63086,-0.52930,-3.40430,0.08002,-0.26073,0.00959
17,9766,3,0.03137,-0.13196,0.02478,0.99048,-4.05078,-3.98438,1.46875,3.38477,-0.33594,-3.02148,0.04231,-0.26607,0.05766
18,12695,3,0.05103,-0.13312,0.01123,0.98975,-4.19141,-3.37891,0.82031,3.34180,-0.28906,-2.73633,0.00897,-0.26783,0.10181
19,7812,3,0.06873,-0.13373,-0.00006,0.98865,-4.19141,-3.06641,0.62891,3.32422,-0.23047,-2.44141,-0.01919,-0.26759,0.14139
20,9766,3,0.08746,-0.13409,-0.01086,0.98706,-5.02734,-2.95703,-0.50391,3.17383,-0.15430,-2.05273,-0.04656,-0.26593,0.18299
21,9766,3,0.10547,-0.13422,-0.01984,0.98511,-5.33984,-2.78125,-1.46875,2.95312,-0.21680,-1.65625,-0.06986,-0.26329,0.22257
22,10742,3,0.12164,-0.13446,-0.02679,0.98309,-5.69922,-2.65625,-2.31641,2.64844,-0.30469,-1.21484,-0.08849,-0.26078,0.25783
23,9765,3,0.13647,-0.13519,-0.03198,0.98083,-6.34375,-2.53125,-2.89062,2.41797,-0.41602,-0.76758,-0.10328,-0.25938,0.28999
24,9766,3,0.14886,-0.13660,-0.03497,0.97876,-6.37891,-1.73828,-3.70312,2.15820,-0.62109,-0.31836,-0.11316,-0.25989,0.31668
25,9766,3,0.16101,-0.13928,-0.03638,0.97638,-6.79688,-1.66797,-4.22266,1.76172,-0.68555,0.20703,-0.12032,-0.26331,0.34282
26,10742,3,0.17053,-0.14276,-0.03564,0.97430,-7.07812,-1.52734,-4.44922,1.29297,-0.69727,0.69922,-0.12287,-0.26927,0.36321
27,9765,3,0.17755,-0.14679,-0.03278,0.97253,-6.73828,-1.23828,-4.95312,0.81250,-0.72070,1.14844,-0.12078,-0.27743,0.37804
28,9766,3,0.18195,-0.15125,-0.02802,0.97119,-6.21875,-0.76172,-5.43359,0.45508,-0.71484,1.56250,-0.11439,-0.28753,0.38697
29,10742,3,0.18390,-0.15607,-0.02148,0.97021,-5.63672,-0.65625,-5.35156,0.17188,-0.76562,1.97266,-0.10389,-0.29940,0.39033
30,11719,3,0.18396,-0.16125,-0.01331,0.96954,-5.22656,-0.74609,-5.43359,-0.12695,-0.70898,2.42383,-0.08959,-0.31286,0.38916
31,7813,3,0.18231,-0.16669,-0.00354,0.96899,-5.05078,-1.48828,-5.02734,-0.56445,-0.50586,2.96484,-0.07150,-0.32758,0.38376
32,9765,3,0.17816,-0.17230,0.00940,0.96875,-5.15625,-1.66406,-4.82812,-0.99805,-0.24609,3.42383,-0.04589,-0.34393,0.37172
33,10742,3,0.17175,-0.17694,0.02362,0.96881,-4.49219,-1.37500,-4.75781,-1.31836,-0.15234,3.71680,-0.01603,-0.35861,0.35382
34,9766,3,0.16296,-0.18109,0.03979,0.96906,-3.64844,-1.22656,-4.82031,-1.62891,-0.18164,3.94336,0.01944,-0.37250,0.32955
