lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1011719,3,0.13116,-0.31097,0.02979,0.94086,-1.92188,-0.39453,-1.78125,-0.74609,-0.06836,0.77148,-0.03171,-0.63475,0.28745
1,9765,3,0.12708,-0.31171,0.03156,0.94110,-2.93359,-0.91797,-1.98047,-0.97461,-0.02930,1.11133,-0.02467,-0.63693,0.27657
2,9766,3,0.12134,-0.31268,0.03461,0.94141,-3.14844,-0.98438,-2.25781,-1.24609,-0.08398,1.51367,-0.01337,-0.63996,0.26080
3,10742,3,0.11407,-0.31396,0.03882,0.94177,-3.71875,-1.08984,-2.81641,-1.50977,-0.09570,2.03320,0.00186,-0.64376,0.24046
4,9766,3,0.10461,-0.31567,0.04492,0.94202,-4.66797,-1.33984,-2.60156,-1.75391,-0.06836,2.67969,0.02333,-0.64868,0.21336
5,9765,3,0.09314,-0.31763,0.05328,0.94214,-5.74219,-1.94531,-2.47266,-1.90625,-0.10742,3.22852,0.05198,-0.65405,0.17944
6,10743,3,0.07996,-0.31982,0.06396,0.94189,-5.47266,-1.55859,-2.55859,-1.96484,-0.22461,3.63867,0.08788,-0.65953,0.13928
7,9765,3,0.06531,-0.32257,0.07684,0.94116,-5.40625,-1.46484,-2.67969,-2.02148,-0.44336,4.03516,0.13066,-0.66520,0.09337
8,12696,3,0.06531,-0.32257,0.07684,0.94116,-4.94531,-2.10156,-4.08984,-2.19922,-0.95703,4.41602,0.13066,-0.66520,0.09337
9,6835,3,0.03387,-0.33112,0.10681,0.93689,-4.77344,-2.31641,-5.15234,-2.62695,-1.19531,4.80664,0.23032,-0.67860,-0.00933
10,10743,3,0.01532,-0.33813,0.12408,0.93274,-4.71875,-2.73047,-4.11719,-3.02930,-0.83398,5.14258,0.29017,-0.68750,-0.07166
11,9765,3,-0.00653,-0.34509,0.14276,0.92761,-3.87109,-2.78906,-2.67578,-3.18750,-0.82422,5.24219,0.35752,-0.69238,-0.14425
12,9766,3,-0.02863,-0.35065,0.16058,0.92218,-0.71875,-2.60156,-3.42578,-3.23438,-0.96484,5.13281,0.42300,-0.69130,-0.21639
13,9766,3,-0.05273,-0.35663,0.17938,0.91534,0.09375,-2.47266,-2.83984,-3.32812,-0.74414,5.02734,0.49299,-0.68666,-0.29451
14,9765,3,-0.07635,-0.36200,0.19690,0.90796,1.12109,-2.61719,-2.13281,-3.47461,-0.41797,4.90039,0.55869,-0.67805,-0.36941
15,10742,3,-0.09906,-0.36572,0.21246,0.90070,2.37891,-2.58984,-1.53125,-3.58984,-0.14648,4.54297,0.61662,-0.66460,-0.43801
16,9766,3,-0.12421,-0.36829,0.22772,0.89276,5.29297,-3.15625,-0.50391,-3.60352,-0.08984,3.93359,0.67291,-0.64481,-0.50910
17,10742,3,-0.14832,-0.37018,0.24005,0.88507,6.80469,-3.07812,0.19922,-3.44727,-0.13477,3.17188,0.71918,-0.62372,-0.57327
18,9766,3,-0.17041,-0.37207,0.24915,0.87775,8.45703,-2.87891,1.44141,-3.05664,-0.25000,2.31250,0.75550,-0.60439,-0.62967
19,9765,3,-0.18860,-0.37445,0.25488,0.87134,10.37500,-2.57031,1.94922,-2.52344,-0.18555,1.43945,0.78182,-0.59007,-0.67551
20,9766,3,-0.20465,-0.37720,0.25806,0.86560,11.60938,-2.82031,4.07812,-1.80273,0.05469,0.63672,0.80133,-0.57922,-0.71544
21,10742,3,-0.21606,-0.37921,0.25842,0.86182,11.96875,-2.89844,4.73828,-1.07812,0.22461,-0.17773,0.81104,-0.57276,-0.74280
22,8789,3,-0.22284,-0.38019,0.25653,0.86023,12.22266,-3.06641,4.69531,-0.42773,0.26758,-1.03320,0.81185,-0.57016,-0.75754
23,10742,3,-0.22516,-0.38074,0.25238,0.86060,11.46484,-2.94531,4.19531,0.09961,0.41992,-1.84570,0.80490,-0.57244,-0.76105
24,9766,3,-0.22345,-0.38110,0.24518,0.86298,10.90234,-3.08984,4.41797,0.56055,0.52148,-2.54102,0.78893,-0.58020,-0.75400
25,10742,3,-0.21838,-0.38110,0.23590,0.86688,10.11328,-2.92578,3.71875,0.92578,0.50195,-3.19141,0.76594,-0.59158,-0.73787
26,9766,3,-0.21027,-0.38110,0.22437,0.87189,9.28906,-2.66016,2.88281,1.02344,0.58789,-3.69727,0.73605,-0.60677,-0.71354
27,9766,3,-0.19995,-0.38123,0.21063,0.87769,6.35156,-2.76562,2.15234,0.97070,0.77930,-4.00781,0.69949,-0.62482,-0.68252
28,12695,3,-0.18878,-0.38098,0.19482,0.88391,5.34766,-2.62500,1.60938,0.95898,0.83398,-4.27148,0.65638,-0.64341,-0.64683
29,7812,3,-0.17786,-0.38037,0.17853,0.88983,4.64062,-2.46094,1.25391,0.99023,0.73633,-4.51172,0.61094,-0.66040,-0.60988
30,9766,3,-0.16565,-0.37982,0.16016,0.89587,3.15625,-2.25391,1.08594,1.03516,0.67773,-4.67188,0.55884,-0.67836,-0.56745
31,9766,3,-0.15228,-0.37958,0.14008,0.90173,2.61719,-2.42969,1.15234,1.00195,0.68555,-4.74414,0.50089,-0.69695,-0.51994
