lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,3987304,3,0.03009,-0.18634,0.14392,0.97144,1.07031,0.43750,-3.30469,-0.69336,-0.12695,0.42578,0.29317,-0.37975,0.00520
1,9766,3,0.02722,-0.18750,0.14526,0.97107,1.33203,0.69141,-3.86328,-1.18359,-0.07031,0.50391,0.29731,-0.38124,-0.00173
2,9765,3,0.02228,-0.18866,0.14667,0.97076,1.59375,0.83203,-5.74219,-1.85547,-0.05078,0.59375,0.30242,-0.38206,-0.01303
3,9766,3,0.01434,-0.19012,0.14789,0.97046,1.59375,1.44922,-6.56641,-2.51562,-0.11523,0.66797,0.30838,-0.38251,-0.03061
4,10742,3,0.00330,-0.19214,0.14886,0.97003,1.65234,1.78125,-6.98047,-3.16016,-0.28125,0.70898,0.31518,-0.38302,-0.05481
5,9766,3,-0.01111,-0.19519,0.14948,0.96924,1.91406,2.37109,-7.32422,-3.82031,-0.38281,0.72070,0.32283,-0.38446,-0.08628
6,11719,3,-0.02777,-0.19916,0.14954,0.96808,2.31250,3.15625,-9.20312,-4.74609,-0.39844,0.72070,0.33057,-0.38689,-0.12269
7,8789,3,-0.04871,-0.20404,0.14880,0.96637,2.55469,3.78516,-10.00391,-5.88086,0.06250,0.76953,0.33883,-0.38964,-0.16820
8,9765,3,-0.04871,-0.20404,0.14880,0.96637,2.59375,4.04297,-9.51172,-6.82227,0.61328,0.95117,0.33883,-0.38964,-0.16820
9,9766,3,-0.10815,-0.21130,0.14423,0.96063,2.48828,3.82422,-9.01953,-7.33203,1.08789,1.32617,0.35565,-0.38417,-0.29411
10,12695,3,-0.14392,-0.21155,0.14166,0.95630,-0.23828,0.55469,-6.72266,-7.39062,1.58008,1.90625,0.36423,-0.37236,-0.36810
11,7813,3,-0.17981,-0.20917,0.14062,0.95087,-1.75781,-0.80078,-5.97656,-7.30273,2.03125,2.67188,0.37404,-0.35459,-0.44157
12,9765,3,-0.21814,-0.20355,0.14215,0.94379,-4.19922,-1.97656,-4.64844,-7.43750,2.25586,3.32227,0.38684,-0.32807,-0.51911
13,9766,3,-0.25909,-0.19482,0.14655,0.93457,-7.01172,-4.42969,-4.58594,-7.62695,2.10352,3.66406,0.40225,-0.29237,-0.60090
14,9766,3,-0.29907,-0.18542,0.15259,0.92352,-7.15625,-5.66016,-2.83984,-7.54102,1.72852,3.57227,0.41781,-0.25394,-0.68047
