lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1150390,3,-0.08490,0.04218,0.25928,0.96112,0.09766,0.46875,-3.62109,-0.90039,0.19727,-0.26172,0.51800,0.12543,-0.14294
1,9766,3,-0.08923,0.04181,0.25806,0.96112,-0.10938,0.47656,-4.09375,-1.06055,0.24805,-0.24414,0.51497,0.12675,-0.15174
2,9766,3,-0.09424,0.04150,0.25690,0.96094,-0.20703,0.53125,-4.23438,-1.22070,0.34375,-0.19141,0.51202,0.12854,-0.16182
3,9765,3,-0.10022,0.04138,0.25592,0.96057,-0.23047,0.41797,-4.20312,-1.36133,0.45508,-0.13281,0.50931,0.13118,-0.17372
4,9766,3,-0.10699,0.04156,0.25519,0.96008,-0.23047,0.31250,-4.06250,-1.47266,0.57422,-0.07031,0.50692,0.13482,-0.18700
5,10742,3,-0.11414,0.04211,0.25470,0.95935,-0.34375,0.09375,-3.94922,-1.58984,0.67773,-0.00781,0.50494,0.13939,-0.20082
6,9766,3,-0.12268,0.04321,0.25446,0.95831,-0.35156,0.13672,-3.93750,-1.70703,0.78906,0.06836,0.50316,0.14577,-0.21712
7,9765,3,-0.13141,0.04462,0.25452,0.95709,-0.32422,0.13281,-3.76953,-1.80469,0.90820,0.14062,0.50185,0.15288,-0.23363
8,10742,3,-0.14087,0.04651,0.25482,0.95557,-0.24609,0.14062,-3.63672,-1.88086,1.04297,0.19727,0.50078,0.16137,-0.25138
9,9766,3,-0.15088,0.04895,0.25537,0.95374,-0.14453,0.00781,-3.30078,-1.96094,1.15039,0.23438,0.49993,0.17127,-0.26997
10,10742,3,-0.16156,0.05194,0.25604,0.95166,-0.19922,-0.05078,-3.18359,-2.06055,1.25586,0.27930,0.49894,0.18260,-0.28968
11,8789,3,-0.17249,0.05524,0.25684,0.94934,-0.16406,-0.10156,-2.87500,-2.13672,1.37109,0.31836,0.49793,0.19470,-0.30981
12,10742,3,-0.18414,0.05908,0.25769,0.94666,-0.21484,-0.53516,-2.08594,-2.17773,1.46875,0.35352,0.49661,0.20828,-0.33126
13,11719,3,-0.19598,0.06329,0.25861,0.94379,-0.16797,-0.65234,-1.63672,-2.20312,1.54492,0.38281,0.49501,0.22267,-0.35301
14,8789,3,-0.20776,0.06775,0.25952,0.94067,-0.17188,-0.70312,-1.21484,-2.22266,1.61523,0.40039,0.49315,0.23753,-0.37470
15,8789,3,-0.22070,0.07300,0.26050,0.93707,-0.12891,-0.81250,-0.78906,-2.22070,1.69531,0.38867,0.49062,0.25453,-0.39857
16,10743,3,-0.23254,0.07800,0.26135,0.93359,-0.10547,-1.57031,0.49219,-2.18164,1.74414,0.37305,0.48785,0.27047,-0.42053
17,9765,3,-0.24536,0.08380,0.26196,0.92957,-0.08594,-1.80469,1.24609,-2.11719,1.76367,0.34961,0.48378,0.28834,-0.44453
18,9766,3,-0.25745,0.08954,0.26245,0.92566,-0.15234,-2.02344,2.15234,-2.02344,1.70312,0.30664,0.47928,0.30563,-0.46731
