lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,4528321,3,0.05688,-0.08160,0.10291,0.98969,0.54688,-0.66016,-3.07812,-0.03125,-0.33984,0.11914,0.19870,-0.17412,0.09743
1,9765,3,0.05719,-0.08331,0.10333,0.98950,0.59375,-0.69531,-3.41406,-0.17188,-0.38477,0.12695,0.19940,-0.17763,0.09765
2,9766,3,0.05682,-0.08527,0.10370,0.98932,0.62891,-0.67969,-3.75391,-0.31836,-0.47852,0.15820,0.20009,-0.18149,0.09648
3,9766,3,0.05585,-0.08746,0.10413,0.98914,0.51562,-0.84766,-4.53906,-0.50586,-0.60547,0.21484,0.20100,-0.18572,0.09402
4,10742,3,0.05389,-0.09052,0.10468,0.98889,0.49219,-0.87891,-4.87891,-0.72461,-0.67383,0.29688,0.20233,-0.19148,0.08940
5,9765,3,0.05109,-0.09406,0.10541,0.98865,0.62109,-0.92188,-5.10156,-0.99219,-0.66016,0.37109,0.20419,-0.19804,0.08290
6,9766,3,0.04700,-0.09790,0.10645,0.98834,0.66406,-0.87500,-5.28516,-1.33594,-0.62109,0.41016,0.20699,-0.20497,0.07367
7,9766,3,0.04138,-0.10181,0.10760,0.98810,1.32812,-0.94922,-6.23438,-1.76172,-0.60156,0.45508,0.21044,-0.21167,0.06127
8,10742,3,0.03394,-0.10571,0.10876,0.98785,1.45703,-0.87109,-6.53125,-2.23242,-0.53906,0.47852,0.21438,-0.21796,0.04513
9,9766,3,0.02411,-0.10968,0.10986,0.98761,1.83203,-0.62109,-6.89844,-2.73438,-0.48047,0.42773,0.21886,-0.22379,0.02412
10,9765,3,0.01172,-0.11365,0.11066,0.98724,2.81250,0.05078,-7.65625,-3.20508,-0.47461,0.26172,0.22348,-0.22900,-0.00207
11,12695,3,-0.00287,-0.11768,0.11060,0.98688,3.30078,0.57031,-8.17188,-3.65039,-0.61719,-0.01367,0.22703,-0.23375,-0.03258
12,7813,3,-0.01880,-0.12201,0.10919,0.98633,3.78516,1.08203,-8.82812,-4.13281,-0.77344,-0.36719,0.22839,-0.23884,-0.06564
13,9766,3,-0.03741,-0.12756,0.10596,0.98547,4.21875,1.44922,-9.34766,-4.63867,-0.85742,-0.68945,0.22709,-0.24595,-0.10408
14,9765,3,-0.05835,-0.13397,0.10065,0.98413,5.08984,1.62500,-10.83984,-5.28906,-0.76172,-1.00000,0.22270,-0.25469,-0.14707
15,9766,3,-0.08301,-0.14099,0.09296,0.98212,5.07422,1.54688,-11.14453,-6.04297,-0.40234,-1.07422,0.21508,-0.26459,-0.19737
16,10742,3,-0.10956,-0.14685,0.08417,0.97949,4.15234,1.00000,-11.34375,-6.85352,0.32617,-0.69727,0.20606,-0.27258,-0.25114
17,12695,3,-0.14081,-0.15021,0.07495,0.97571,2.55078,0.10547,-10.55078,-7.59180,1.34961,0.03125,0.19722,-0.27548,-0.31407
18,6836,3,-0.17432,-0.14899,0.06769,0.97101,-2.13672,-3.12500,-7.38281,-8.18555,2.32227,0.75195,0.19139,-0.26896,-0.38123
19,10742,3,-0.21375,-0.14227,0.06201,0.96448,-4.46094,-5.29297,-4.70312,-8.35156,3.00977,1.23633,0.18735,-0.25054,-0.45985
20,9766,3,-0.25653,-0.13031,0.05792,0.95593,-5.67578,-7.35547,-0.56641,-8.01758,3.12500,1.37305,0.18306,-0.22123,-0.54475
21,9766,3,-0.29730,-0.11621,0.05487,0.94611,-7.55469,-11.65625,6.51953,-7.41406,2.38281,1.07031,0.17696,-0.18838,-0.62569
22,9765,3,-0.33496,-0.10345,0.05212,0.93506,-8.22266,-13.43750,9.89062,-6.68164,0.95898,0.36523,0.16974,-0.15923,-0.70154
23,10743,3,-0.36823,-0.09631,0.04913,0.92340,-7.78906,-14.64453,12.97266,-5.33398,-0.35352,-0.45898,0.16406,-0.14217,-0.77060
24,8789,3,-0.39594,-0.09650,0.04553,0.91205,-5.70703,-14.59766,15.64844,-3.33594,-1.22656,-1.16016,0.16176,-0.14043,-0.83053
25,12695,3,-0.41437,-0.10254,0.04163,0.90338,-0.10938,-12.54297,17.60547,-1.31055,-1.71680,-1.65625,0.16275,-0.15134,-0.87247
26,7812,3,-0.42383,-0.11273,0.03717,0.89795,0.31641,-11.38281,16.77734,0.14844,-1.66797,-1.75391,0.16549,-0.17179,-0.89627
27,10743,3,-0.42517,-0.12457,0.03271,0.89594,-0.80469,-10.45312,15.12891,0.91992,-1.09570,-1.22070,0.16857,-0.19665,-0.90284
28,9765,3,-0.42157,-0.13391,0.02948,0.89636,-2.14844,-9.51172,13.35156,1.37500,-0.43555,-0.40039,0.17056,-0.21691,-0.89785
29,9766,3,-0.41571,-0.13898,0.02832,0.89838,-2.98047,-5.96094,9.52734,1.78320,-0.05078,0.25977,0.17170,-0.22813,-0.88651
30,10742,3,-0.40851,-0.14008,0.02979,0.90143,-2.42188,-4.16797,7.96094,2.13867,0.08789,0.56641,0.17358,-0.23024,-0.87111
31,9766,3,-0.40002,-0.13892,0.03314,0.90533,-1.62500,-2.85938,6.82031,2.40234,0.09766,0.58789,0.17656,-0.22695,-0.85229
32,9765,3,-0.38995,-0.13702,0.03735,0.90979,0.03125,-1.30078,5.22266,2.57031,-0.08008,0.34961,0.18022,-0.22202,-0.83001
33,9766,3,-0.37903,-0.13568,0.04126,0.91443,0.37109,-1.06641,4.39844,2.70508,-0.40625,-0.03906,0.18370,-0.21861,-0.80610
34,10742,3,-0.36694,-0.13605,0.04437,0.91919,0.48438,-0.85547,3.82812,2.95117,-0.76367,-0.43945,0.18695,-0.21929,-0.78028
35,8789,3,-0.35352,-0.13861,0.04645,0.92395,0.69922,-0.78125,3.69531,3.28906,-1.12695,-0.83594,0.18973,-0.22519,-0.75237
36,10742,3,-0.33911,-0.14319,0.04742,0.92859,1.02734,-0.57031,2.97656,3.62305,-1.35352,-1.19336,0.19163,-0.23594,-0.72307
37,12696,3,-0.32129,-0.15009,0.04736,0.93378,1.05469,-0.85938,2.81250,3.93750,-1.28906,-1.42773,0.19215,-0.25255,-0.68724
38,6836,3,-0.30286,-0.15723,0.04639,0.93884,0.99609,-1.30859,2.89453,4.24609,-1.07617,-1.58203,0.19035,-0.27040,-0.65006
39,10742,3,-0.28204,-0.16412,0.04443,0.94421,1.05469,-1.50781,2.54688,4.44531,-0.78711,-1.69727,0.18517,-0.28887,-0.60755
40,9765,3,-0.25879,-0.17017,0.04150,0.94989,0.66016,-1.91406,1.32422,4.55664,-0.42773,-1.65234,0.17600,-0.30659,-0.55923
41,9766,3,-0.25879,-0.17017,0.04150,0.94989,0.52734,-1.92969,0.66797,4.81641,-0.02148,-1.57422,0.17600,-0.30659,-0.55923
42,9766,3,-0.21185,-0.17627,0.03503,0.96063,1.05469,-1.64062,0.53516,5.15234,0.33008,-1.58594,0.15065,-0.32976,-0.45923
43,12695,3,-0.18671,-0.17633,0.03180,0.96594,1.72656,-1.49609,0.29297,5.56445,0.49414,-1.69336,0.13518,-0.33500,-0.40476
44,7812,3,-0.16022,-0.17499,0.02850,0.97101,1.93359,-1.45312,-0.29297,5.69727,0.49023,-1.83984,0.11835,-0.33705,-0.34721
45,9766,3,-0.13147,-0.17316,0.02460,0.97577,1.28516,-2.00781,-1.51562,5.42969,0.51172,-1.82812,0.09930,-0.33785,-0.28480
46,9766,3,-0.10120,-0.17108,0.01996,0.97986,-0.05859,-2.08594,-2.89844,5.32812,0.53125,-1.83594,0.07823,-0.33760,-0.21916
47,10742,3,-0.07446,-0.16895,0.01562,0.98267,0.56250,-0.82422,-2.32422,5.36914,0.32422,-2.05859,0.05921,-0.33601,-0.16131
48,9766,3,-0.04553,-0.16699,0.01031,0.98486,0.42578,-0.78906,-2.56641,5.29492,-0.01562,-2.27148,0.03761,-0.33417,-0.09874
49,11718,3,-0.01740,-0.16638,0.00415,0.98590,0.12891,-1.00781,-3.11719,5.01953,-0.10938,-2.28516,0.01479,-0.33411,-0.03778
50,8789,3,0.00909,-0.16669,-0.00244,0.98596,-0.15625,-1.16406,-3.01172,4.61328,-0.29688,-2.13867,-0.00831,-0.33488,0.01985
51,9766,3,0.03607,-0.16760,-0.00964,0.98517,-0.50781,-1.36719,-3.85938,4.23828,-0.40430,-2.01367,-0.03294,-0.33580,0.07878
52,9766,3,0.05939,-0.16913,-0.01605,0.98370,0.01172,-0.87891,-3.31641,3.93555,-0.42383,-2.01953,-0.05478,-0.33717,0.12992
53,12695,3,0.08093,-0.17084,-0.02246,0.98169,-0.03516,-0.44141,-3.40625,3.59180,-0.37695,-1.94922,-0.07614,-0.33821,0.17752
54,7812,3,0.10046,-0.17230,-0.02893,0.97949,-0.19531,0.34766,-4.17188,3.39062,-0.21094,-1.89648,-0.09692,-0.33812,0.22098
55,9766,3,0.12018,-0.17328,-0.03577,0.97687,0.24219,0.17969,-3.62500,3.19141,0.08008,-1.87109,-0.11842,-0.33624,0.26494
56,9766,3,0.13763,-0.17303,-0.04199,0.97437,0.13672,0.01172,-3.80859,2.78906,0.28125,-1.78320,-0.13735,-0.33168,0.30368
57,9765,3,0.15369,-0.17151,-0.04810,0.97192,-0.33203,0.06641,-4.83984,2.29297,0.38672,-1.66602,-0.15487,-0.32426,0.33904
58,10742,3,0.16803,-0.16907,-0.05420,0.96967,-1.15625,0.88672,-5.87109,1.75977,0.51758,-1.52734,-0.17113,-0.31484,0.37039
