lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1001953,3,0.16467,-0.20874,0.08173,0.96051,-1.90234,0.56250,-2.32031,-1.95508,-0.42773,0.68945,0.09780,-0.44220,0.31758
1,9766,3,0.15601,-0.21198,0.08209,0.96124,-2.41016,0.45703,-2.92578,-2.72070,-0.30469,1.06055,0.10190,-0.44797,0.29855
2,9765,3,0.14368,-0.21545,0.08331,0.96228,-3.34766,0.15625,-3.92578,-3.52734,-0.20508,1.51953,0.10975,-0.45404,0.27105
3,9766,3,0.12726,-0.21893,0.08569,0.96362,-3.89062,0.16797,-4.17969,-4.26758,-0.17578,2.07227,0.12241,-0.45976,0.23393
4,9765,3,0.10669,-0.22260,0.08966,0.96490,-4.39844,-0.08203,-4.65625,-4.87891,0.03320,2.70703,0.14093,-0.46530,0.18680
5,10743,3,0.08203,-0.22620,0.09583,0.96588,-5.26562,-1.09375,-3.14453,-5.18555,0.40039,3.39844,0.16675,-0.46977,0.12946
6,9765,3,0.05365,-0.22876,0.10486,0.96631,-5.27344,-1.21094,-3.15625,-5.21094,0.64258,4.00977,0.20119,-0.47055,0.06255
7,9766,3,0.02411,-0.22980,0.11658,0.96594,-5.46875,-1.72266,-2.38281,-4.90820,0.79297,4.51367,0.24207,-0.46626,-0.00784
8,9766,3,-0.00574,-0.22968,0.13110,0.96436,-5.26953,-1.94141,-1.66016,-4.65234,0.69531,4.77344,0.28876,-0.45726,-0.07954
9,10742,3,-0.03369,-0.22894,0.14703,0.96167,-4.39453,-2.77734,-3.13281,-4.60547,0.40430,4.80664,0.33673,-0.44498,-0.14691
10,9765,3,-0.06311,-0.22876,0.16510,0.95734,-4.26172,-2.78125,-3.46875,-4.46875,0.08984,4.71875,0.38932,-0.43029,-0.21777
11,9766,3,-0.09058,-0.22961,0.18231,0.95172,-3.94531,-3.24609,-1.99609,-3.95703,-0.09766,4.53711,0.43881,-0.41595,-0.28382
12,10742,3,-0.11572,-0.23120,0.19904,0.94525,-2.85547,-3.17578,0.53516,-3.38477,-0.34375,4.19922,0.48588,-0.40176,-0.34448
13,9766,3,-0.13812,-0.23328,0.21539,0.93817,0.94922,-3.21094,2.04688,-3.19141,-0.25586,3.80469,0.53073,-0.38783,-0.39899
14,9765,3,-0.15778,-0.23529,0.23010,0.93103,2.33594,-3.22656,2.55469,-3.06836,-0.03711,3.30078,0.57052,-0.37418,-0.44665
15,9766,3,-0.17657,-0.23663,0.24292,0.92401,3.62109,-3.08984,3.61328,-2.60547,-0.05859,2.68750,0.60505,-0.35920,-0.49085
16,9766,3,-0.19238,-0.23755,0.25269,0.91797,5.74609,-2.85547,5.95312,-2.06836,-0.14258,2.06641,0.63140,-0.34576,-0.52712
17,10742,3,-0.20642,-0.23859,0.26111,0.91229,6.42969,-2.71094,5.83984,-1.57031,-0.18359,1.46094,0.65415,-0.33369,-0.55918
18,9765,3,-0.21661,-0.23981,0.26691,0.90790,6.65234,-2.55469,5.54297,-1.01367,-0.26172,0.87305,0.67027,-0.32555,-0.58269
19,9766,3,-0.22357,-0.24121,0.27075,0.90472,6.76953,-2.61328,5.50781,-0.51172,-0.41992,0.30078,0.68145,-0.32087,-0.59915
20,9766,3,-0.22723,-0.24304,0.27271,0.90277,6.77734,-2.80859,4.09766,-0.16211,-0.62500,-0.24219,0.68813,-0.32031,-0.60881
21,10742,3,-0.22809,-0.24585,0.27289,0.90167,6.66016,-2.89453,3.44141,0.12500,-0.68555,-0.72656,0.69135,-0.32455,-0.61331
22,9766,3,-0.22668,-0.24933,0.27136,0.90155,6.62109,-2.98828,3.27344,0.32227,-0.55664,-1.15234,0.69096,-0.33264,-0.61336
23,9765,3,-0.22369,-0.25287,0.26801,0.90234,6.60156,-3.07031,2.93359,0.44531,-0.39062,-1.53906,0.68635,-0.34313,-0.60967
24,10742,3,-0.21960,-0.25598,0.26294,0.90393,6.30859,-2.82812,1.51172,0.46484,-0.31641,-1.86328,0.67746,-0.35469,-0.60277
25,9766,3,-0.21490,-0.25879,0.25616,0.90619,5.54297,-2.76953,0.42188,0.32422,-0.21094,-2.10156,0.66443,-0.36713,-0.59363
26,9766,3,-0.21014,-0.26160,0.24780,0.90881,4.54297,-2.71484,-0.16016,0.19336,-0.02539,-2.22656,0.64795,-0.38047,-0.58362
27,9765,3,-0.20599,-0.26404,0.23846,0.91156,2.96875,-2.12109,-0.74219,0.11914,0.16406,-2.29102,0.62915,-0.39320,-0.57393
28,10742,3,-0.20239,-0.26581,0.22827,0.91449,2.24609,-1.75391,-1.10156,0.08594,0.29492,-2.30664,0.60801,-0.40471,-0.56417
29,9766,3,-0.19910,-0.26697,0.21765,0.91742,1.66406,-1.39062,-1.31250,0.09961,0.42383,-2.32031,0.58548,-0.41501,-0.55415
