lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,851562,3,0.00055,-0.10089,0.25543,0.96155,2.94141,-0.65625,-0.53906,-0.11719,-0.65430,-0.61719,0.52435,-0.19555,-0.05149
1,9766,3,0.00110,-0.10413,0.25262,0.96191,3.52734,-0.65625,-0.44922,-0.10352,-0.68555,-0.79102,0.51889,-0.20226,-0.05157
2,9765,3,0.00183,-0.10760,0.24902,0.96252,4.99219,-1.00000,-0.12500,-0.07227,-0.68945,-1.00000,0.51172,-0.20958,-0.05121
3,10743,3,0.00269,-0.11090,0.24475,0.96320,5.76172,-1.16016,-0.07812,-0.08203,-0.60742,-1.23242,0.50315,-0.21665,-0.05031
4,9765,3,0.00372,-0.11407,0.23926,0.96423,6.34375,-1.48438,-0.10156,-0.14648,-0.36328,-1.45508,0.49190,-0.22363,-0.04864
5,9766,3,0.00452,-0.11652,0.23267,0.96558,6.82422,-1.73828,-0.00781,-0.20898,-0.04688,-1.70703,0.47828,-0.22910,-0.04673
6,9765,3,0.00482,-0.11768,0.22479,0.96729,7.40625,-2.05078,0.11328,-0.11719,0.11523,-1.87109,0.46190,-0.23188,-0.04479
7,10743,3,0.00507,-0.11768,0.21594,0.96930,6.90234,-2.19922,0.41797,-0.04883,0.35547,-1.99023,0.44332,-0.23239,-0.04214
8,9765,3,0.00549,-0.11652,0.20642,0.97150,6.25781,-2.37500,0.11328,-0.06641,0.59180,-2.14258,0.42318,-0.23069,-0.03846
9,9766,3,0.00592,-0.11432,0.19666,0.97375,5.55469,-1.61719,-0.96875,-0.09961,0.79883,-2.31836,0.40246,-0.22691,-0.03432
10,9765,3,0.00610,-0.11096,0.18579,0.97626,5.07422,-1.60938,-1.32812,-0.14258,0.96289,-2.45898,0.37945,-0.22072,-0.03005
11,10743,3,0.00604,-0.10657,0.17358,0.97900,4.46094,-1.65625,-1.38281,-0.18359,1.13086,-2.53516,0.35371,-0.21236,-0.02575
12,9765,3,0.00562,-0.10144,0.16107,0.98169,3.81250,-1.60938,-1.51953,-0.24805,1.31641,-2.54102,0.32750,-0.20236,-0.02211
13,9766,3,0.00488,-0.09552,0.14844,0.98431,2.05078,-1.71094,-1.58203,-0.32422,1.53711,-2.50781,0.30118,-0.19064,-0.01909
14,10742,3,0.00360,-0.08868,0.13599,0.98669,1.17188,-1.72656,-1.48828,-0.38281,1.77734,-2.46680,0.27545,-0.17692,-0.01729
15,9766,3,0.00183,-0.08075,0.12354,0.98907,0.39453,-1.62109,-1.32031,-0.42578,1.92969,-2.40625,0.24985,-0.16087,-0.01654
16,9765,3,-0.00031,-0.07178,0.11127,0.99121,-1.76953,-1.96484,-1.00781,-0.44141,2.00195,-2.25586,0.22477,-0.14270,-0.01675
17,9766,3,-0.00275,-0.06219,0.09943,0.99310,-2.96875,-1.94922,-0.76562,-0.41602,1.98438,-2.09375,0.20068,-0.12330,-0.01796
18,10742,3,-0.00507,-0.05298,0.08893,0.99463,-3.87891,-2.01172,-0.66406,-0.39844,1.86719,-1.96484,0.17937,-0.10468,-0.01961
19,8789,3,-0.00751,-0.04340,0.07837,0.99597,-4.80078,-1.91797,-0.68750,-0.40625,1.66016,-1.83398,0.15798,-0.08537,-0.02184
20,10742,3,-0.00970,-0.03510,0.06903,0.99695,-6.56250,-1.80859,-0.58203,-0.40820,1.41797,-1.68359,0.13910,-0.06869,-0.02425
21,9766,3,-0.01208,-0.02734,0.05969,0.99774,-7.02734,-1.63281,-0.43359,-0.37305,1.15430,-1.52539,0.12024,-0.05315,-0.02742
22,10742,3,-0.01416,-0.02112,0.05151,0.99835,-7.37500,-1.56250,-0.28125,-0.30469,0.90039,-1.33594,0.10373,-0.04072,-0.03048
23,9766,3,-0.01599,-0.01617,0.04419,0.99878,-7.55078,-1.45703,-0.09766,-0.21289,0.66992,-1.14648,0.08895,-0.03090,-0.03339
24,9765,3,-0.01733,-0.01245,0.03796,0.99902,-7.48047,-1.01172,0.09375,-0.14844,0.48828,-0.95508,0.07638,-0.02357,-0.03560
25,10743,3,-0.01831,-0.00970,0.03265,0.99927,-7.31250,-0.65234,-0.17578,-0.11523,0.33789,-0.74609,0.06567,-0.01820,-0.03724
26,9765,3,-0.01898,-0.00775,0.02832,0.99939,-7.12500,-0.18359,-0.36719,-0.10547,0.23242,-0.53711,0.05694,-0.01442,-0.03839
27,9766,3,-0.01953,-0.00641,0.02515,0.99945,-6.71875,0.58984,-0.86328,-0.12305,0.17383,-0.33789,0.05054,-0.01183,-0.03938
28,9766,3,-0.02014,-0.00549,0.02295,0.99951,-6.38281,0.88281,-1.09375,-0.14062,0.11133,-0.16406,0.04612,-0.01006,-0.04053
29,9765,3,-0.02081,-0.00488,0.02167,0.99951,-6.22266,1.35156,-1.47656,-0.21484,0.03516,0.00586,0.04353,-0.00886,-0.04183
30,9766,3,-0.02173,-0.00452,0.02130,0.99951,-6.28906,1.63281,-1.82422,-0.32227,-0.03516,0.18750,0.04279,-0.00810,-0.04364
31,10742,3,-0.02173,-0.00452,0.02130,0.99951,-6.12891,1.85547,-2.04297,-0.41992,-0.11133,0.36719,0.04279,-0.00810,-0.04364
32,9766,3,-0.02484,-0.00500,0.02319,0.99939,-5.90625,1.84766,-1.96875,-0.51758,-0.14258,0.53906,0.04663,-0.00885,-0.04991
33,9765,3,-0.02728,-0.00568,0.02557,0.99927,-5.60938,1.58984,-1.76953,-0.57422,-0.10938,0.73438,0.05145,-0.00995,-0.05485
34,10742,3,-0.03003,-0.00629,0.02881,0.99908,-5.33984,1.38281,-1.50000,-0.61914,-0.05273,0.94141,0.05798,-0.01083,-0.06041
35,9766,3,-0.03302,-0.00671,0.03308,0.99890,-4.95703,0.90234,-1.10938,-0.62500,0.00977,1.12109,0.06658,-0.01123,-0.06646
36,9766,3,-0.03619,-0.00677,0.03821,0.99860,-4.86328,0.81250,-1.02344,-0.62695,0.04102,1.28711,0.07688,-0.01077,-0.07287
37,10742,3,-0.03937,-0.00653,0.04425,0.99823,-4.89453,0.64453,-1.09375,-0.64844,0.03320,1.47266,0.08898,-0.00955,-0.07926
38,9765,3,-0.04260,-0.00623,0.05115,0.99774,-5.44531,0.24609,-1.28516,-0.67578,-0.02734,1.67578,0.10278,-0.00807,-0.08576
39,9766,3,-0.04602,-0.00610,0.05914,0.99719,-5.53906,0.12500,-1.38281,-0.71875,-0.13281,1.88672,0.11879,-0.00673,-0.09263
40,9766,3,-0.04950,-0.00629,0.06799,0.99646,-5.64453,-0.04297,-1.45312,-0.77344,-0.25195,2.09570,0.13655,-0.00580,-0.09967
41,9765,3,-0.05322,-0.00702,0.07806,0.99548,-5.55078,-0.11719,-1.44531,-0.81641,-0.39062,2.27930,0.15682,-0.00567,-0.10727
42,10743,3,-0.05701,-0.00830,0.08862,0.99438,-4.86328,-0.46875,-1.42969,-0.81445,-0.60156,2.44531,0.17815,-0.00640,-0.11510
43,9765,3,-0.06104,-0.01056,0.10095,0.99298,-4.37891,-0.49609,-1.26953,-0.74023,-0.88086,2.58008,0.20317,-0.00865,-0.12366
44,9766,3,-0.06458,-0.01379,0.11328,0.99139,-3.87500,-0.57812,-1.13672,-0.70898,-1.06055,2.71484,0.22838,-0.01272,-0.13155
45,9765,3,-0.06787,-0.01825,0.12695,0.98944,-3.26953,-1.31250,-0.89453,-0.68750,-1.20898,2.80078,0.25654,-0.01888,-0.13941
46,10743,3,-0.07086,-0.02344,0.14124,0.98718,-1.65625,-1.73438,-0.65625,-0.66602,-1.25195,2.80469,0.28614,-0.02626,-0.14710
