lineno,aX,aY,aZ,gX,gY,gZ
0,0.5700,0.3800,1.8100,0.1614,-0.8149,-0.4298
1,0.6500,0.1000,1.9400,0.2062,-0.8094,-0.3283
2,0.8600,-0.2400,1.8400,0.2487,-0.8029,-0.2247
3,1.0100,1.3300,1.7400,0.3894,-0.8476,-0.3480
4,0.6100,1.2600,1.7200,0.3894,-0.8476,-0.3480
5,0.7000,1.6600,1.6000,0.5018,-0.8727,-0.2651
6,0.9900,2.0200,1.6000,0.5585,-0.8825,-0.1658
7,0.5400,2.9400,1.5200,0.5574,-0.9032,-0.2138
8,0.3300,3.6600,1.4600,0.5945,-0.8792,-0.1778
9,-0.0200,4.0800,1.4000,0.5978,-0.9512,0.0589
10,-0.5100,4.8900,0.9600,0.5018,-1.0407,0.2411
11,-0.7700,5.2300,0.6600,0.3774,-1.1257,0.4363
12,-0.9500,5.4800,0.3800,0.2149,-1.1781,0.6327
13,-1.0200,5.7000,-0.1000,0.0458,-1.2065,0.8356
14,-1.2300,5.6400,-0.3100,-0.1058,-1.2075,1.0068
15,-1.3400,5.5200,-0.5700,-0.1058,-1.2075,1.0068
16,-1.4800,5.5400,-0.8700,-0.2531,-1.1999,1.1497
17,-1.9900,5.4300,-1.4700,-0.3829,-1.1781,1.2959
18,-2.2400,5.3900,-1.8700,-0.4712,-1.1345,1.4421
19,-2.4400,5.3100,-2.3100,-0.5476,-1.1126,1.6057
20,-2.4600,5.0700,-3.5700,-0.8061,-1.0756,1.9220
21,-2.5000,4.8800,-4.1800,-0.9981,-1.0221,2.0704
22,-2.6500,4.4500,-4.7100,-1.1759,-0.9316,2.2297
23,-2.6700,3.4000,-5.6900,-1.3363,-0.8061,2.3976
24,-2.7100,2.9300,-6.0500,-1.4955,-0.6567,2.5318
25,-2.7400,2.6000,-6.3800,-1.4955,-0.6567,2.5318
26,-2.6800,2.3600,-6.7600,-1.5904,-0.5007,2.6354
27,-2.7100,1.4900,-7.2500,-1.6461,-0.3371,2.7184
28,-2.8200,1.3500,-7.3700,-1.6962,-0.1484,2.7816
29,-2.9800,1.3100,-7.4200,-1.7104,0.0927,2.8274
30,-3.4400,0.8700,-7.4300,-1.8173,0.6578,2.8896
31,-3.7500,0.7200,-7.4200,-1.8173,0.6578,2.8896
32,-4.0700,0.4100,-7.3000,-1.9570,0.9294,2.8918
33,-4.6600,-0.5100,-7.0200,-2.0420,1.1705,2.8962
34,-4.6500,-0.9000,-6.7800,-2.0257,1.3788,2.8972
35,-4.4700,-1.1500,-6.6300,-1.9351,1.7148,2.7794
36,-4.3500,-1.6800,-6.1900,-1.9351,1.7148,2.7794
37,-4.1700,-1.2500,-6.1500,-1.8173,1.8533,2.6802
38,-3.8300,-0.8400,-6.1600,-1.6581,1.9919,2.5689
39,-3.6800,-0.5400,-5.9800,-1.5010,2.2951,2.4304
40,-4.1200,0.0300,-5.5900,-1.4279,2.4675,2.4653
41,-4.3700,-0.2300,-5.3200,-1.4279,2.4675,2.4653
42,-4.6300,-0.6800,-4.9300,-1.4246,2.6158,2.5198
43,-5.1500,-2.2300,-4.3200,-1.5468,2.8525,2.5373
44,-5.0000,-3.1300,-3.9400,-1.6330,2.9212,2.4282
45,-4.8800,-3.8900,-3.6500,-1.6330,2.9212,2.4282
46,-5.1400,-5.2000,-3.1000,-1.5490,3.1056,2.1915
47,-5.1900,-6.1600,-2.6600,-1.4334,3.2398,1.9624
48,-5.2800,-7.0100,-2.0600,-1.2239,3.3249,1.7191
49,-5.4600,-7.5800,-1.3500,-1.2239,3.3249,1.7191
50,-6.7200,-8.6300,0.2000,-0.3709,3.2049,1.3515
51,-5.2300,-9.4600,0.6400,-0.3709,3.2049,1.3515
52,-5.8200,-8.5100,0.9400,0.0644,2.9245,1.2032
53,-5.9300,-8.7400,2.0800,0.5694,2.6213,1.1377
54,-5.9100,-8.0000,2.2700,1.0396,2.3518,0.2214
55,-5.7000,-7.0200,2.6900,1.2195,2.0977,-0.1963
56,-5.9200,-6.3200,3.8800,1.1705,1.9460,-0.7003
57,-5.8400,-6.6200,4.5800,1.0679,1.8610,-1.0908
58,-6.3500,-7.1300,5.4800,0.9501,1.7966,-1.4770
59,-6.6700,-7.0800,6.3800,0.9501,1.7966,-1.4770
60,-7.3700,-6.3400,7.7100,0.9534,1.6482,-1.8348
61,-7.1900,-5.8400,7.9400,1.2108,1.0319,-2.3813
62,-6.7900,-5.3400,7.9000,1.4355,0.5781,-2.4598
63,-5.5900,-4.3700,7.4300,1.6624,0.1167,-2.4751
64,-5.2700,-3.9000,7.1100,1.8577,-0.3076,-2.5035
65,-5.0200,-3.2600,6.7700,2.0322,-0.6654,-2.5711
66,-4.8200,-1.6000,6.1900,2.0322,-0.6654,-2.5711
67,-4.8500,-0.4300,5.8000,2.1555,-0.9588,-2.6693
68,-4.8000,0.4400,5.2600,2.2373,-1.2414,-2.7849
69,-4.8400,1.0400,4.8000,2.1609,-1.7922,-3.0489
70,-5.0000,1.8900,3.9800,2.0835,-2.0442,-3.0816
71,-4.7800,2.4500,3.3300,2.0759,-2.3387,-3.0914
72,-4.8100,2.7900,2.6500,2.1053,-2.6289,-3.1001
73,-4.1900,3.7200,0.9000,2.1053,-2.6289,-3.1001
74,-3.9900,4.2800,0.0200,2.1271,-2.8602,-3.0881
75,-3.9500,4.6500,-0.6900,2.2133,-3.0991,-2.9398
76,-3.1800,5.3200,-2.0600,2.2700,-3.1656,-2.7347
77,-3.1400,5.6400,-2.7900,2.2831,-3.2005,-2.3976
78,-2.7700,5.9500,-3.5400,2.2744,-3.2190,-2.1020
79,-2.5300,6.0200,-4.2400,2.2744,-3.2190,-2.1020
80,-1.5200,6.5300,-5.5000,2.0639,-3.0696,-1.6319
81,-0.9800,6.6100,-6.1200,2.0639,-3.0696,-1.6319
82,-0.4200,6.5900,-6.7000,1.7911,-2.7216,-1.0897
83,0.9600,6.9500,-7.8200,1.5675,-2.4162,-0.8072
84,1.2600,6.9800,-8.0500,1.2654,-2.0279,-0.5531
85,1.3000,6.8900,-8.1400,0.9479,-1.5686,-0.2618
86,1.1200,6.4600,-8.1000,0.6087,-1.0952,0.0556
87,0.8900,6.0900,-8.0300,0.2760,-0.6774,0.3338
88,0.6700,5.7100,-7.8900,-0.0131,-0.3262,0.5814
89,0.4500,5.3700,-7.9700,-0.0131,-0.3262,0.5814
90,0.3200,5.1000,-8.0000,-0.2542,-0.0327,0.7996
91,0.1400,4.8100,-7.9400,-0.5203,0.2629,0.9916
92,-0.2400,4.3800,-7.5600,-0.8334,0.6174,1.2054
93,-0.9700,3.5200,-7.0200,-1.1105,1.0374,1.4868
94,-1.0200,3.1700,-6.8900,-1.3112,1.6952,2.1598
95,-1.0900,2.8500,-6.9300,-1.3854,1.9057,2.4096
96,-1.6700,2.0800,-6.7100,-1.3854,1.9057,2.4096
97,-1.8700,1.7200,-6.6900,-1.5086,2.1217,2.5515
98,-2.1400,1.0900,-6.4500,-1.7781,2.6365,2.7500
99,-3.2600,-0.3100,-5.8500,-1.7781,2.6365,2.7500
100,-3.4200,-0.9100,-5.6100,-1.8970,2.8885,2.8187
101,-3.5500,-1.8900,-5.2700,-1.9482,3.0576,2.8198
102,-3.6200,-2.8600,-4.8900,-2.0159,3.1961,2.7554
103,-4.6800,-5.7900,-3.2500,-2.0868,3.5288,2.4260
104,-4.9400,-7.1100,-2.1100,-1.8162,3.6237,2.1893
105,-5.3000,-8.2900,-0.8900,-1.8162,3.6237,2.1893
106,-4.1800,-10.1700,0.9800,-0.9436,3.4765,1.4803
107,-7.4400,-9.3400,2.1900,-0.4298,3.0205,1.2588
108,-6.5300,-9.4100,2.5700,-0.0022,2.9562,0.8018
109,-6.4400,-7.9500,2.2900,0.2967,2.4053,0.1102
110,-5.5500,-7.6600,2.3000,0.6556,1.8970,-0.2967
111,-5.6300,-7.4600,2.5700,0.6556,1.8970,-0.2967
112,-5.4000,-7.3900,2.7500,0.8508,1.5610,-0.7341
113,-4.6300,-6.0500,3.1000,1.0243,1.3701,-0.9676
114,-4.9000,-5.4200,3.4300,1.2883,1.0614,-1.2097
115,-4.9600,-4.4600,3.6000,1.5021,0.9403,-1.5184
116,-5.0900,-2.0300,4.0500,1.6319,0.8192,-1.8195
117,-5.1800,-1.0500,4.2400,1.7748,0.3883,-2.3071
118,-4.8700,-0.2400,4.2000,1.7115,-0.1887,-2.4631
119,-4.2200,0.7100,3.8800,1.6799,-0.4058,-2.4151
120,-3.9000,1.1700,3.6300,1.6799,-0.4058,-2.4151
121,-3.5900,1.6000,3.3400,1.7028,-0.5901,-2.3202
122,-3.2200,2.0200,2.9600,1.7061,-0.7919,-2.2046
123,-2.1700,1.9800,2.1600,1.6090,-0.9817,-2.0704
124,-1.1700,1.5700,1.5500,1.6722,-1.1443,-1.6112
125,-0.6800,2.9600,0.6200,1.5686,-1.1803,-1.6624
126,0.1600,3.7300,-0.1700,1.1934,-1.1999,-1.8206
127,0.6700,3.8800,-0.5200,0.8967,-1.0701,-1.8108
128,0.6500,3.8400,-0.6700,0.4963,-0.8738,-1.7813
129,0.7800,2.6100,-0.5800,0.1854,-0.6970,-1.7082
130,0.5500,2.4300,-0.4600,0.1854,-0.6970,-1.7082
131,0.3800,2.4400,-0.2800,0.2160,-0.4527,-1.4628
132,0.0900,2.3500,-0.0100,0.2825,-0.4429,-1.2752
133,-0.0500,2.1700,0.0900,0.3872,-0.4821,-1.0690
