lineno,aX,aY,aZ,gX,gY,gZ
0,-3.0100,0.6400,-2.5300,-1.7322,-2.7031,-0.3665
1,-2.9500,-0.2400,-3.0900,-1.7322,-2.7031,-0.3665
2,-2.5300,-0.2800,-3.2000,-1.6668,-2.6627,-0.4603
3,-2.5400,-0.4100,-3.6000,-1.4159,-2.5907,-0.3992
4,-2.9000,-0.2800,-3.6100,-1.1977,-2.4838,-0.3949
5,-2.0700,-0.4300,-4.3800,-1.0341,-2.3638,-0.3349
6,-2.0300,-0.6200,-4.6100,-0.9359,-2.2482,-0.3251
7,-1.8200,-0.7700,-4.9700,-0.8988,-2.0497,-0.3796
8,-1.4700,-0.5700,-5.5000,-0.8399,-1.8119,-0.3403
9,-1.4400,-0.3300,-5.6500,-0.7658,-1.5075,-0.2934
10,-1.4100,-0.5500,-5.8400,-0.6763,-0.8934,-0.1887
11,-1.1500,-0.9300,-6.2700,-0.6763,-0.8934,-0.1887
12,-1.1700,-0.9600,-6.4600,-0.5825,-0.2880,-0.1396
13,-1.2000,-0.8700,-6.7500,-0.5421,0.0338,-0.1462
14,-1.3100,-0.8100,-7.0400,-0.5585,0.3589,-0.1342
15,-1.6800,-0.8200,-7.3900,-0.5454,0.6818,-0.1211
16,-1.6400,-0.3700,-7.7100,-0.5301,0.9796,-0.1156
17,-1.6900,-0.6600,-7.8300,-0.5432,1.2981,-0.0949
18,-1.8800,-0.4700,-8.0600,-0.4527,1.6002,-0.0196
19,-1.8800,-0.3900,-8.2300,-0.4527,1.6002,-0.0196
20,-1.7900,-0.2600,-8.3700,-0.3763,1.8817,0.0556
21,-1.7900,0.2000,-8.4500,-0.3065,2.1598,0.1036
22,-2.0200,-0.0200,-8.3400,-0.2422,2.4511,0.1582
23,-1.6500,0.8600,-8.6300,-0.2280,2.7631,0.2760
24,-1.5300,1.2000,-8.8700,-0.1407,3.0674,0.3698
25,-2.1000,1.7400,-8.6500,-0.1691,3.4961,0.4854
26,-2.3400,1.9500,-8.7400,-0.1985,3.9870,0.6643
27,-2.6700,2.0500,-8.8700,-0.2520,4.4920,0.8661
28,-3.9800,2.0700,-8.8900,-0.4014,5.5938,1.2370
29,-4.7000,2.1600,-8.6200,-0.4385,6.1621,1.4028
30,-5.4000,2.1200,-8.3300,-0.4211,6.6290,1.6112
31,-6.1700,2.4900,-7.9200,-0.4211,6.6290,1.6112
32,-6.8700,2.6000,-8.1100,-0.3272,6.9366,1.7650
33,-6.6600,2.8900,-8.2900,-0.3382,7.3435,1.7551
34,-8.5700,3.2700,-7.6200,-0.6523,8.0263,2.0420
35,-9.8200,3.7000,-6.4500,-0.6741,8.2074,2.1620
36,-10.4200,3.6300,-5.2100,-0.6741,8.2074,2.1620
37,-10.6000,2.6400,-4.0300,-0.7898,8.2052,2.2635
38,-12.3700,0.1100,-0.1800,-0.9599,8.0252,2.2897
39,-12.0100,-0.4600,1.6200,-0.6120,7.1700,2.3966
40,-11.6500,-1.8000,3.0700,-0.2902,6.5570,2.3333
41,-11.4800,-2.3400,4.8900,0.1494,5.8959,2.2242
42,-10.8900,-1.4100,5.2700,0.5345,5.1945,2.0911
43,-9.6900,-0.2100,4.9800,0.6305,4.4724,1.9395
44,-8.0200,0.8300,4.0900,0.4767,3.8997,1.7791
45,-7.1300,1.2500,3.8600,0.3065,3.4656,1.6155
46,-6.0700,0.7000,3.7700,0.0469,3.1569,1.3897
47,-5.9500,-0.0800,4.0400,-0.0851,2.9725,1.1912
48,-6.1800,-0.5900,4.6100,-0.0851,2.9725,1.1912
49,-5.8800,-0.8600,4.8700,-0.0840,2.5831,0.8203
50,-5.9400,-1.1700,5.3300,-0.0840,2.5831,0.8203
51,-6.5900,-0.8500,6.2500,-0.1265,2.3595,0.6196
52,-7.3000,-1.6100,6.6800,-0.1593,2.1271,0.4527
53,-7.4400,-1.9900,7.2900,-0.2422,1.8784,0.3523
54,-8.1400,-3.3100,8.2400,-0.2727,1.5359,0.2171
