lineno,aX,aY,aZ,gX,gY,gZ
0,-0.7100,4.7900,-1.2100,1.7399,-0.3087,0.4374
1,-0.8000,5.0000,-1.3000,1.7399,-0.3087,0.4374
2,-1.0900,5.1100,-1.5200,1.3210,-0.2596,0.9196
3,-1.0200,5.5600,-2.1800,1.0068,-0.2487,1.1323
4,-1.2400,5.6400,-2.5200,0.7516,-0.2116,1.3592
5,-1.5300,5.4900,-2.6800,0.4712,-0.1156,1.6472
6,-1.8300,4.6700,-2.8400,0.1767,-0.0196,1.9722
7,-1.9800,4.9200,-3.0800,-0.0993,0.0425,2.1915
8,-2.0400,4.9300,-3.2600,-0.2138,0.0502,2.4195
9,-2.5000,3.7300,-3.5300,-0.4265,0.0611,2.6464
10,-2.7700,3.1200,-3.6900,-0.6578,0.0796,2.8929
11,-2.9900,2.4900,-3.8300,-0.8334,0.1320,3.1274
12,-3.2000,1.8400,-3.9200,-1.0177,0.2018,3.3009
13,-3.3400,0.5900,-4.0400,-1.2032,0.3054,3.3990
14,-3.4200,0.4800,-3.9900,-1.3439,0.4342,3.4688
15,-3.5700,0.3100,-3.9500,-1.3439,0.4342,3.4688
16,-3.9000,0.0600,-3.9800,-1.4410,0.5967,3.5507
17,-4.3300,-0.1300,-3.9000,-1.5392,0.7592,3.6477
18,-4.7200,-0.4900,-3.9100,-1.8751,1.0221,3.8299
19,-5.6500,-1.9400,-3.7700,-1.8751,1.0221,3.8299
20,-5.9800,-2.3000,-3.5300,-2.1838,1.0821,3.9924
21,-5.8200,-2.2900,-3.6300,-2.3115,0.9523,3.9019
22,-5.6500,-2.4700,-3.8100,-2.5700,0.8705,3.7437
23,-5.6400,-3.6200,-3.8200,-2.5700,0.8705,3.7437
24,-5.4800,-3.7000,-3.9300,-2.6682,0.7778,3.4274
25,-5.2500,-3.6600,-4.0000,-2.5525,0.7559,3.3281
26,-4.6400,-4.3200,-4.1500,-2.4642,0.7123,3.3030
27,-4.9800,-4.1800,-3.9500,-2.3900,0.7930,3.2310
28,-4.2400,-4.2000,-4.1600,-2.2940,0.8279,3.1089
29,-4.3500,-4.9800,-3.8800,-2.0715,0.8825,3.0391
30,-4.1000,-4.6900,-3.7800,-1.7933,0.9010,2.9376
31,-3.8500,-5.0100,-3.5200,-1.6297,0.9119,2.7871
32,-3.6500,-4.5900,-3.3400,-1.3461,0.9010,2.6027
33,-3.5100,-4.1700,-3.2300,-1.1225,0.8988,2.4456
34,-3.4200,-3.7800,-3.1500,-0.9927,0.9098,2.3158
35,-3.3500,-3.6400,-2.8400,-0.8825,0.9348,2.2417
36,-3.5800,-3.4100,-2.7800,-0.7712,0.9708,2.1849
37,-3.0800,-3.3300,-2.7700,-0.7134,0.9545,2.1151
38,-2.9900,-3.1800,-2.7200,-0.6861,0.9817,2.0420
39,-3.4300,-3.6200,-2.4900,-0.6163,1.0516,2.0148
40,-3.1200,-3.5800,-2.4100,-0.6163,1.0516,2.0148
