lineno,aX,aY,aZ,gX,gY,gZ
0,1.5200,0.0500,-3.2300,-0.2585,-0.2116,-0.2607
1,1.5900,-0.4100,-3.1200,-0.2771,-0.0960,-0.2651
2,1.4700,-0.2200,-2.9500,-0.2771,-0.0960,-0.2651
3,1.3200,0.1400,-2.7100,-0.2400,0.0196,-0.2782
4,1.8000,-0.6200,-2.6000,-0.2269,0.1134,-0.2345
5,1.1900,-1.1900,-1.5500,-0.3109,0.1942,-0.1724
6,1.4800,0.4500,-1.0100,0.0589,0.3163,-0.2694
7,1.7800,-0.1800,-0.6500,0.4112,0.3414,-0.3818
8,2.3000,1.1600,0.3900,0.5781,0.3491,-0.3927
9,2.6700,1.7400,1.1100,0.6480,0.3883,-0.3240
10,2.6700,2.3000,1.8200,0.6840,0.4440,-0.2607
11,2.6700,4.2300,3.1700,0.6840,0.4440,-0.2607
12,2.4100,5.0900,3.8700,0.5880,0.4636,-0.2247
13,1.9800,5.5900,4.5900,0.0109,0.4211,-0.0764
14,1.4200,5.6500,5.3000,-0.3534,0.3796,0.0338
15,-0.0700,5.1200,6.4700,-0.3534,0.3796,0.0338
16,-0.7300,5.2100,6.8000,-0.8759,0.1124,0.2520
17,-1.3400,5.2600,6.8500,-1.0363,-0.0949,0.3196
18,-2.3500,5.1100,6.5900,-1.0363,-0.0949,0.3196
19,-2.7000,5.1200,6.1000,-1.1530,-0.3447,0.4134
20,-2.8400,5.3400,5.2900,-1.2435,-0.8923,0.6392
21,-2.5900,5.2700,3.3500,-1.3199,-1.1345,0.7789
22,-2.4400,4.9600,2.2800,-1.3199,-1.1345,0.7789
23,-2.2900,4.5300,1.1100,-1.4312,-1.3265,0.9665
24,-1.7600,3.2800,-1.2000,-1.5664,-1.4693,1.1432
25,-1.4900,2.8300,-2.3300,-1.7901,-1.5643,1.3352
26,-1.2400,2.5000,-3.2900,-1.8446,-1.4955,1.3832
27,-1.2400,2.1200,-4.0800,-1.8424,-1.3494,1.4454
28,-1.0800,1.5500,-5.0800,-1.8424,-1.3494,1.4454
29,-1.2700,1.4900,-5.4800,-1.7890,-1.1770,1.5130
