lineno,aX,aY,aZ,gX,gY,gZ
0,-1.9300,-2.0500,-0.7500,0.1538,0.3076,-0.3043
1,-1.8100,-2.7200,-0.8100,0.1538,0.3076,-0.3043
2,-1.7900,-2.2100,-0.8300,0.1473,0.2738,-0.2956
3,-1.6500,-2.4200,-0.8000,0.2029,0.2607,-0.4843
4,-1.6900,-2.9200,-0.7700,0.2760,0.2913,-0.6621
5,-1.6300,-2.3400,-0.7700,0.5356,0.3643,-0.8607
6,-1.5100,-2.2900,-0.8000,0.6240,0.3567,-0.9152
7,-1.4300,-2.2300,-0.9100,0.6240,0.3567,-0.9152
8,-1.3300,-2.4800,-0.9400,0.6774,0.3523,-0.9327
9,-1.6700,-2.0900,-0.9400,0.7069,0.3534,-0.9294
10,-0.8700,-2.2000,-1.2100,0.7887,0.3611,-0.9796
11,-0.9800,-2.0800,-1.3300,0.7636,0.3731,-1.0548
12,-1.1200,-2.6200,-1.2800,0.7210,0.4680,-1.1454
13,-1.0600,-2.7300,-1.2700,0.7778,0.5225,-1.1737
14,-1.2100,-2.8400,-1.1600,0.8290,0.5432,-1.2348
15,-1.4700,-3.1600,-0.8300,0.8290,0.5432,-1.2348
16,-1.5100,-3.2900,-0.7100,0.9032,0.5181,-1.2948
17,-1.5800,-3.4100,-0.5600,1.0199,0.4996,-1.3690
18,-1.5800,-3.1600,-0.3100,1.1377,0.4920,-1.4432
19,-1.6800,-3.0400,-0.1100,1.2795,0.4647,-1.5206
20,-1.8300,-2.6600,0.0900,1.4344,0.4516,-1.6046
21,-1.9800,-2.3800,0.4400,1.5959,0.4538,-1.6832
22,-2.4500,-1.8100,1.0800,1.7290,0.4352,-1.7486
23,-2.5700,-1.5600,1.4600,2.0148,0.2793,-1.7671
24,-2.6700,-1.1400,1.6700,2.0988,0.1167,-1.7911
25,-2.5500,-0.0700,1.7000,2.1249,-0.0578,-1.8533
26,-2.3700,0.1600,1.7800,2.1118,-0.2040,-1.9046
27,-2.2300,0.4700,1.8500,2.1097,-0.3076,-1.9537
28,-1.9400,1.6100,1.8400,2.1075,-0.3916,-2.0006
29,-1.7500,2.2000,1.8600,2.0617,-0.4756,-2.0409
30,-1.5000,3.1600,1.8400,1.9602,-0.5443,-2.0846
31,-1.2600,3.8700,1.8500,1.7475,-0.6010,-2.1228
32,-1.1200,5.0000,1.9300,1.5097,-0.6261,-2.1151
33,-0.9200,5.2900,2.0500,1.2545,-0.6698,-2.0998
34,-0.9000,5.6100,2.1800,0.9992,-0.7134,-2.0868
35,-1.1300,6.0700,2.7000,0.8159,-0.7592,-2.0486
36,-1.2800,6.3500,3.0500,0.7014,-0.8170,-1.9340
37,-1.2900,6.7900,3.2300,0.6272,-0.9261,-1.7573
38,-0.8000,6.9400,3.0900,0.5007,-1.0843,-1.5403
39,-0.3500,6.8400,2.7900,0.3589,-1.2577,-1.3188
40,-0.0100,6.7100,2.5300,0.2563,-1.3788,-1.1126
41,0.2100,6.6500,2.4300,0.1713,-1.4432,-0.9228
42,0.3800,6.6300,2.1700,0.0698,-1.4955,-0.7636
43,0.2900,6.4300,2.0700,-0.0807,-1.5512,-0.6196
44,0.2200,6.2600,1.8700,-0.2171,-1.6352,-0.4636
45,0.2900,6.0500,1.3400,-0.3272,-1.7279,-0.2814
46,0.2200,5.5800,1.0600,-0.5280,-1.7802,-0.1014
47,0.2100,5.0400,0.8000,-0.5280,-1.7802,-0.1014
48,-0.0700,4.3700,0.5900,-0.7341,-1.7879,0.0862
49,-0.3600,4.4300,0.4300,-0.9065,-1.7879,0.3632
50,-0.4600,4.5700,0.3100,-0.9065,-1.7879,0.3632
51,-0.6200,4.5800,0.1500,-0.9741,-1.8315,0.4374
52,-0.4800,4.5300,-0.2100,-1.0745,-1.9090,0.5072
53,-0.5500,4.4500,-0.3500,-1.1846,-1.9897,0.5760
54,-0.7500,4.2100,-0.4900,-1.2992,-2.0562,0.6501
55,-1.0300,3.4400,-0.7900,-1.4104,-2.1358,0.7385
56,-1.1900,3.3200,-0.9900,-1.4759,-2.2155,0.8192
57,-1.2200,3.1800,-1.1700,-1.4628,-2.2853,0.8912
58,-1.4800,3.2500,-1.5700,-1.2610,-2.4064,1.0712
59,-1.7700,3.5700,-1.8200,-1.1934,-2.4664,1.1541
60,-1.8700,4.0300,-2.1800,-1.1748,-2.5155,1.2446
61,-1.5400,3.8300,-2.8500,-1.2752,-2.5351,1.3243
62,-1.5200,3.6200,-3.1100,-1.4170,-2.4751,1.4388
63,-1.5300,3.5400,-3.2700,-1.5163,-2.3780,1.5730
64,-1.4900,3.3500,-3.5400,-1.6657,-2.2766,1.6766
65,-1.3700,2.5700,-3.9500,-1.8730,-2.1533,1.7115
66,-1.5400,2.2500,-4.0000,-2.0159,-2.0180,1.7061
67,-1.7400,1.9600,-4.0000,-2.0159,-2.0180,1.7061
68,-1.9000,1.6400,-3.8700,-2.0584,-1.8730,1.7170
69,-2.0500,1.6500,-3.9700,-1.9984,-1.7366,1.7671
70,-2.1200,1.7200,-4.2000,-1.9297,-1.6330,1.8228
71,-2.0800,1.8000,-4.6400,-1.8642,-1.4672,1.9439
72,-1.9800,1.8100,-4.9900,-1.8991,-1.3646,1.9831
73,-1.9800,1.6200,-5.2000,-1.9689,-1.2337,2.0017
74,-1.9900,1.4200,-5.3000,-2.0257,-1.0723,2.0268
75,-2.0100,0.7200,-5.3900,-2.0257,-1.0723,2.0268
76,-2.2400,0.4200,-5.4100,-2.0464,-0.8967,2.0475
77,-2.4700,0.1400,-5.3500,-2.0082,-0.7134,2.0857
78,-2.7000,-0.0700,-5.3400,-1.9199,-0.5443,2.1348
79,-2.7600,-0.2000,-5.4700,-1.7955,-0.4025,2.1828
80,-2.7000,-0.2300,-5.6200,-1.5108,-0.1898,2.3224
81,-2.8300,-0.1200,-5.6900,-1.3548,-0.0785,2.4096
82,-2.6800,0.1900,-5.7800,-1.2414,0.0316,2.4980
83,-2.4200,0.1100,-6.0000,-1.2501,0.1320,2.5547
84,-2.3700,-0.1100,-6.1300,-1.3526,0.2727,2.5700
85,-2.7800,-1.1500,-6.0700,-1.4497,0.4581,2.5482
86,-3.1200,-1.5500,-5.8200,-1.4770,0.6589,2.4947
87,-3.4700,-1.8300,-5.5400,-1.3657,0.8301,2.4456
88,-4.2700,-2.6100,-4.8700,-1.1934,0.9523,2.3584
89,-4.2600,-2.6400,-4.7100,-0.9676,0.9872,2.2493
90,-3.9300,-2.3900,-4.8600,-0.9676,0.9872,2.2493
91,-3.4500,-1.6500,-5.2100,-0.6785,0.9501,2.1097
92,-3.1800,-1.0900,-5.3700,-0.3796,0.9250,1.9657
93,-2.9100,-0.3700,-5.5000,-0.0829,0.9676,1.8653
94,-2.7400,0.0700,-5.5900,0.1353,1.0734,1.8228
95,-3.2800,-0.1400,-5.3800,0.1516,1.3854,1.8119
96,-3.4500,-0.6100,-5.2500,0.0851,1.5086,1.8424
97,-3.5500,-1.1700,-5.1100,-0.0240,1.6024,1.7781
98,-3.9400,-1.6400,-4.4200,-0.0851,1.6722,1.6308
99,-1.9000,-2.7500,-5.1800,-0.0851,1.6722,1.6308
100,-3.1300,-2.1100,-4.8200,-0.0916,1.5719,1.5250
101,-2.4100,-2.5300,-4.6200,0.0295,1.7988,1.6712
102,-2.4800,-2.9300,-4.4500,0.2171,2.1260,1.2970
103,-2.2700,-3.0500,-4.2000,0.3087,2.2831,1.2032
104,-2.0200,-3.2900,-4.0200,0.4560,2.3627,1.1508
105,-2.4100,-3.5700,-3.2500,0.4560,2.3627,1.1508
106,-2.7100,-3.4300,-2.5900,0.5781,2.4576,1.0657
107,-2.9700,-3.3600,-1.7600,0.6676,2.5405,0.8727
108,-3.7500,-3.7500,-0.2100,0.6894,2.6485,0.4931
109,-3.8600,-4.0600,0.3600,0.6643,2.6584,0.3109
110,-4.1300,-4.6100,0.9300,0.6796,2.6136,0.1113
111,-3.4500,-5.3100,1.0600,0.6796,2.6136,0.1113
112,-3.4500,-5.6500,1.0900,0.7767,2.4129,-0.0436
113,-3.2700,-5.4600,0.9900,0.9588,2.3638,-0.2345
114,-2.7200,-4.4000,0.3800,1.1628,2.3584,-0.4996
115,-1.5900,-3.8100,0.0000,1.7508,2.1042,-0.8181
116,-1.5300,-3.8800,-0.0600,1.8380,2.0159,-0.9523
117,-0.8900,-3.4600,-0.3200,1.8370,1.8970,-1.0941
118,-0.8000,-3.3300,-0.2100,1.8370,1.8970,-1.0941
119,-0.9800,-3.4000,0.1800,1.7246,1.9155,-1.2741
120,-1.4600,-3.8200,0.6200,1.4683,2.1686,-1.5021
121,-2.9400,-4.0700,1.8000,1.3810,2.2657,-1.5446
122,-2.9800,-4.0100,2.1200,1.4944,2.2471,-1.7475
123,-2.8500,-3.6700,2.2800,1.4944,2.2471,-1.7475
124,-2.4100,-2.9700,2.0800,1.6428,1.9995,-1.9340
125,-2.3100,-2.6900,2.0600,1.8075,1.7726,-2.0169
126,-2.5800,-2.7000,2.2800,1.9253,1.5915,-2.0475
127,-2.4500,-2.3400,2.5000,2.1173,1.5632,-2.2558
128,-3.0400,-1.2800,2.9500,2.1173,1.5632,-2.2558
129,-3.0500,-0.9400,3.1100,2.3017,1.4824,-2.2624
