lineno,aX,aY,aZ,gX,gY,gZ
0,-1.2900,2.0300,2.4300,0.3992,-1.9024,-0.2367
1,-1.1300,2.8500,2.0500,0.4625,-2.0191,-0.1844
2,-1.0800,2.8900,1.8000,0.2553,-2.1260,-0.1516
3,-0.8200,3.0400,1.5300,0.1145,-2.1718,-0.0567
4,-0.7100,2.7100,1.7300,0.0589,-2.1751,0.0262
5,-0.6600,2.7100,1.7500,0.0676,-2.1980,0.0698
6,-0.7600,2.9400,1.7800,0.0076,-2.2351,0.1549
7,-0.6400,2.7900,1.7200,-0.0894,-2.2820,0.3033
8,-0.7100,2.9800,1.5500,-0.0894,-2.2820,0.3033
9,-0.8700,3.4100,1.4100,-0.1353,-2.2973,0.4069
10,-0.7700,4.0900,1.1700,-0.1876,-2.2940,0.4472
11,-0.4500,4.0500,0.9600,-0.2760,-2.3322,0.5258
12,-0.8400,3.5400,0.7300,-0.4036,-2.3987,0.6381
13,-0.9800,3.4600,0.5500,-0.5705,-2.3726,0.7287
14,-0.3200,2.9400,0.2900,-0.7232,-2.3573,0.7374
15,-0.1600,3.0600,0.0800,-0.7112,-2.2787,0.7767
16,-0.6100,2.9100,-0.0400,-0.6905,-2.1773,0.8476
17,-1.0500,3.1800,-0.4700,-0.6381,-2.0791,0.9098
18,-1.7500,3.2200,-0.5500,-0.6425,-1.9384,0.9741
19,-2.4300,3.6200,-0.6500,-0.7221,-1.8631,1.0319
20,-3.0400,3.9500,-1.2800,-0.9741,-1.8631,1.1006
21,-3.3400,3.4800,-1.8500,-1.3330,-1.8893,1.1737
22,-3.3600,2.8400,-2.3400,-1.6384,-1.8413,1.2392
23,-3.3600,2.1600,-2.9300,-1.6384,-1.8413,1.2392
24,-3.2300,0.9600,-3.8700,-1.8882,-1.7519,1.2632
25,-2.9900,0.6200,-4.3800,-2.0486,-1.6133,1.2752
26,-2.8000,0.0000,-4.9300,-2.1882,-1.4879,1.2828
27,-2.6400,-2.1000,-5.8700,-2.3409,-1.2708,1.2970
28,-2.3500,-2.3200,-6.3000,-2.3835,-1.0461,1.2926
29,-2.3900,-2.7100,-6.5800,-2.3115,-0.4102,1.1192
30,-2.6500,-3.4600,-6.9900,-2.2733,-0.0698,1.0123
31,-3.0300,-3.6100,-7.0300,-2.2198,0.2705,0.9119
32,-3.4900,-3.5000,-7.0300,-2.0617,0.5858,0.8399
33,-4.1500,-3.2600,-6.9400,-1.8828,0.8628,0.8258
34,-4.3400,-3.1300,-6.9300,-1.7944,1.0734,0.8116
35,-4.4600,-2.7800,-6.9600,-1.7944,1.0734,0.8116
