lineno,aX,aY,aZ,gX,gY,gZ
0,-4.3900,4.0000,-6.1100,-0.2378,-0.9468,1.2850
1,-4.2900,3.6900,-6.6100,-0.2923,-0.8149,1.4486
2,-4.2200,3.4000,-7.0100,-0.3207,-0.6643,1.5970
3,-3.9900,2.9700,-7.3900,-0.3578,-0.4920,1.7301
4,-3.7000,2.9300,-8.2900,-0.3425,-0.3142,1.8261
5,-3.5000,3.0800,-8.6700,-0.3251,-0.1156,1.9013
6,-3.4100,3.2900,-8.9000,-0.3447,0.1069,1.9613
7,-3.3100,3.3500,-8.8800,-0.4003,0.3611,2.0486
8,-3.4500,3.4000,-8.7600,-0.5563,0.6480,2.1773
9,-3.4500,3.2800,-8.6500,-0.7832,0.9676,2.3267
10,-3.9200,2.4900,-7.9700,-1.0799,1.2643,2.4587
11,-4.2100,2.1000,-7.4600,-1.3941,1.5512,2.5580
12,-4.5400,1.6900,-6.8700,-1.6941,1.8195,2.6300
13,-4.7600,1.2800,-6.3600,-1.9820,2.0409,2.6442
14,-4.9600,-0.0400,-5.4100,-2.3017,2.1729,2.5591
15,-5.1500,-0.7500,-4.7800,-2.6616,2.2427,2.3987
16,-5.0900,-1.4000,-4.0100,-3.0194,2.2286,2.1620
17,-5.0700,-2.8600,-2.6000,-3.3379,2.1424,1.8577
18,-4.8800,-3.5700,-1.8600,-3.5365,2.0551,1.5653
19,-4.5200,-4.4900,-1.1300,-3.6096,1.9744,1.3548
20,-3.7000,-6.6700,0.2000,-3.5245,1.8937,1.2697
21,-3.1500,-7.9000,0.8500,-3.2736,1.8162,1.2545
22,-2.7200,-9.0900,1.4400,-2.4075,1.7322,1.0821
23,-2.4200,-9.8400,2.0000,-1.7061,1.7268,0.9403
24,-1.9200,-10.2900,2.7100,-0.9567,1.7290,0.7690
25,-1.6300,-10.0600,3.0300,-0.9567,1.7290,0.7690
26,-1.5300,-9.4900,3.2000,-0.2476,1.7377,0.5901
27,-1.3800,-7.6200,3.3600,0.3622,1.7519,0.4189
28,-1.0300,-7.0600,3.4000,0.7570,1.7246,0.2400
29,-0.7700,-6.6900,3.6100,0.8432,1.6766,0.0022
30,-0.6500,-5.7500,4.6800,0.7658,1.6581,-0.2705
31,-0.7600,-5.5800,5.2000,0.6796,1.6297,-0.5127
32,-0.7800,-5.6100,5.7200,0.5181,1.6177,-0.8694
33,-0.5100,-4.8500,6.4500,0.3534,1.5272,-1.1203
34,-0.3200,-4.6900,6.6900,0.3011,1.3810,-1.3483
35,-0.4400,-4.3800,6.9600,0.2989,1.2654,-1.5119
36,-0.6300,-3.8100,7.2400,0.4123,1.1912,-1.5959
37,-1.6300,-2.2100,7.8000,0.5956,1.1148,-1.6602
38,-1.8800,-1.2500,7.8000,0.8094,1.0068,-1.7301
39,-2.1400,-0.4500,7.6500,0.9730,0.7723,-1.8097
40,-2.4700,1.4900,6.9800,1.0537,0.4658,-1.8271
41,-2.4500,2.2100,6.4500,1.0996,0.1189,-1.7857
42,-2.7800,2.8400,5.9600,1.0450,-0.2280,-1.7606
43,-2.5900,3.8300,4.5900,0.8378,-0.8116,-1.7824
44,-2.7400,4.1500,3.9300,0.7298,-1.0134,-1.7453
45,-2.7800,4.2400,3.3300,0.6349,-1.1956,-1.7246
46,-2.8700,4.3100,2.6500,0.6032,-1.3341,-1.6035
47,-2.8500,4.4600,1.2600,0.6130,-1.4137,-1.4683
48,-3.0000,4.5500,0.5800,0.6458,-1.4497,-1.3559
49,-3.0000,4.8100,-0.1000,0.6763,-1.4879,-1.2708
50,-2.7400,4.6400,-1.2700,0.6763,-1.4879,-1.2708
51,-2.8100,4.2300,-1.7200,0.6283,-1.5239,-1.1781
52,-2.8000,3.9100,-2.1700,0.5672,-1.5304,-1.0657
53,-2.7100,3.5100,-3.0500,0.5651,-1.5010,-0.9545
54,-2.7000,3.2300,-3.4600,0.6141,-1.3483,-0.8410
55,-2.7300,3.1900,-3.9600,0.6567,-1.2577,-0.8181
56,-2.6600,3.3700,-4.4300,0.7145,-1.1519,-0.7592
57,-2.4900,3.5200,-5.2800,0.7505,-1.0232,-0.6589
58,-2.3600,3.5600,-5.6300,0.7636,-0.8727,-0.5269
59,-2.2100,3.5400,-5.9100,0.7167,-0.7243,-0.4014
60,-1.8200,3.3800,-6.4600,0.6196,-0.5749,-0.2967
61,-1.7500,3.1600,-6.5500,0.5160,-0.3883,-0.1963
62,-1.7700,2.9100,-6.5200,0.4483,-0.1789,-0.0949
63,-1.6500,2.6200,-6.5700,0.4145,0.0262,-0.0142
64,-1.5300,2.7500,-6.5500,0.3927,0.2345,0.0502
65,-1.4200,2.8800,-6.4700,0.3382,0.4461,0.1167
