lineno,aX,aY,aZ,gX,gY,gZ
0,-1.5800,1.4300,-4.8800,-0.2934,-0.8814,-0.0818
1,-1.4800,1.9100,-5.1900,-0.2934,-0.8814,-0.0818
2,-1.7000,2.4200,-5.4400,-0.2127,-0.7527,-0.0218
3,-1.4200,1.0200,-5.6000,-0.2945,-0.3818,0.3000
4,-1.5400,0.8300,-5.9200,-0.2760,-0.1560,0.4974
5,-1.1400,1.2400,-5.8800,-0.0818,0.0785,0.4472
6,-1.9900,1.8200,-6.1500,-0.0338,0.2607,0.2138
7,-2.0900,2.2400,-6.4100,0.0469,0.5083,0.2258
8,-2.5100,2.2600,-6.6200,0.0164,0.7767,0.3262
9,-2.7700,2.7700,-6.8400,0.0164,0.7767,0.3262
10,-3.1000,3.4700,-6.7000,-0.0513,1.0745,0.4483
11,-2.9600,4.2200,-7.0100,-0.1778,1.3919,0.6120
12,-2.8900,4.1300,-7.0200,-0.3076,1.6984,0.7876
13,-3.2100,4.2400,-6.4300,-0.6141,2.0791,1.0167
14,-3.1600,4.4900,-6.3800,-0.7232,2.4358,1.2752
15,-3.4600,4.4300,-6.2400,-0.5858,2.7064,1.6057
16,-3.4800,4.3300,-6.0200,-0.4767,3.0063,1.9722
17,-3.4200,3.9600,-5.9100,-0.4396,3.1863,2.2897
18,-3.4700,3.8500,-5.8000,-0.4887,3.3576,2.5547
19,-4.0100,3.7100,-5.5300,-0.4549,3.5223,2.8133
20,-4.0500,3.9500,-5.7100,-0.3632,3.6521,3.0140
21,-4.0500,3.5800,-5.5300,-0.3720,3.9390,3.2561
22,-4.0900,3.3400,-5.1200,-0.3720,3.9390,3.2561
23,-4.6500,2.7200,-4.4600,-0.4058,4.1048,3.3358
24,-4.5400,2.9600,-4.2100,-0.2520,4.1768,3.4045
25,-4.0900,3.7900,-4.1400,-0.0567,4.1561,3.3914
26,-3.6800,4.3400,-3.8500,-0.0611,4.1081,3.3107
27,-3.5900,5.0600,-3.6900,-0.6218,4.2019,3.0729
28,-3.9800,5.3300,-3.3000,-0.7865,4.2106,3.1634
29,-4.9300,4.6900,-2.6900,-1.0047,4.1659,3.3401
30,-4.8100,4.2000,-2.6900,-1.1890,4.0601,3.5430
31,-4.6100,3.8800,-2.9600,-1.3319,4.0143,3.7546
32,-4.4200,3.0600,-2.8600,-1.3319,4.0143,3.7546
33,-5.1600,0.9200,-1.6600,-1.4508,4.1452,3.9979
34,-6.5500,-0.7200,0.1500,-1.3875,4.4484,4.2662
35,-5.4700,-1.0800,0.9700,-1.0548,4.7942,4.5259
36,-7.3600,-1.4500,3.7500,-0.4614,4.4702,4.5891
37,-7.1900,-1.2300,4.6300,0.1756,4.2172,4.2531
38,-6.9000,-2.0600,4.9900,-0.0654,3.9586,3.8539
39,-6.3000,-3.4900,4.9500,-0.4309,3.6554,3.4568
40,-6.8000,-3.3200,5.2700,-0.5225,3.3859,3.0652
41,-6.6500,-3.1100,5.4000,-0.6349,3.1121,2.6169
42,-5.6700,-3.0400,5.1400,-0.6349,3.1121,2.6169
43,-5.6900,-3.4500,4.9300,-0.7276,2.7194,2.2046
44,-5.3700,-3.7100,4.9800,-0.7799,2.4642,1.9548
45,-5.3400,-3.5800,5.0200,-0.4734,2.0584,1.7868
46,-5.5800,-3.9500,4.6800,-0.3752,1.8315,1.7257
47,-5.3100,-4.8300,4.4400,-0.2989,1.5272,1.7039
48,-5.3200,-5.7300,4.2300,-0.0982,1.2174,1.7497
49,-4.6200,-5.6600,3.3200,0.2182,0.9774,1.7922
50,-3.8500,-5.3800,2.5400,0.4429,0.8388,1.7464
51,-3.2100,-5.2300,1.7400,0.3611,0.8225,1.5413
52,-2.9900,-4.9500,1.2800,0.3611,0.8225,1.5413
53,-2.6000,-5.3400,0.1500,0.1560,0.9250,1.2992
54,-2.7600,-6.2500,0.0800,0.0622,1.0167,1.1148
55,-3.4700,-6.9500,0.5700,0.0153,1.1465,1.0232
56,-5.1100,-7.0000,2.1900,0.2171,1.2872,1.0559
57,-6.0400,-7.0200,3.1700,0.5116,1.3046,1.0505
58,-7.0700,-7.6000,4.2800,0.5618,1.2054,0.8029
59,-9.2500,-10.6400,6.5800,0.3807,0.9599,0.3567
60,-9.8500,-11.1200,7.0600,-0.0927,-0.0087,-0.9065
61,-9.9200,-10.6500,6.5800,0.0425,-0.8094,-1.5915
62,-10.0200,-10.0200,5.9100,0.1625,-1.5457,-2.3137
63,-9.3300,-8.8300,4.4800,0.2487,-2.1893,-3.0423
64,-9.3300,-7.8400,4.0000,0.3709,-2.6671,-3.7285
65,-9.4900,-6.6600,3.7200,0.4603,-3.0445,-4.3382
66,-9.1600,-4.1200,2.8100,0.5181,-3.4667,-4.8629
67,-9.2400,-2.8200,2.3100,0.5181,-3.4667,-4.8629
68,-9.2300,-1.7900,1.7900,0.5814,-3.8506,-5.2480
69,-8.5300,-0.9400,0.9200,0.5672,-4.1681,-5.5469
70,-8.3100,-0.1900,0.2500,0.5443,-4.4026,-5.7836
71,-7.9400,0.6400,-0.4000,0.5934,-4.5859,-5.9254
72,-7.0100,1.9500,-1.4000,0.8072,-4.7408,-6.0083
73,-6.1000,2.9800,-2.7700,1.4999,-4.9513,-5.7487
74,-5.2800,3.4600,-4.0200,1.7322,-4.9862,-5.6232
75,-4.6200,4.1000,-5.0100,1.8359,-4.8335,-5.4945
76,-2.9900,5.3300,-6.0500,1.9373,-4.5749,-5.3233
77,-2.6000,5.9000,-6.5100,1.9373,-4.5749,-5.3233
78,-2.2000,6.3700,-6.9800,1.8828,-4.2750,-5.1116
79,-1.1400,6.3200,-7.4500,1.7715,-3.9674,-4.8946
80,-0.9500,6.2100,-7.6600,1.6177,-3.2889,-4.2826
81,-0.7200,5.8200,-7.9100,1.5937,-2.9103,-3.9663
82,-0.3300,6.3800,-7.9200,1.5937,-2.9103,-3.9663
83,-0.1700,6.5700,-8.0500,1.5566,-2.5220,-3.6728
84,0.1000,6.6800,-8.3500,1.5490,-2.1609,-3.3838
85,0.5300,6.8800,-8.6100,1.4443,-1.5839,-2.7074
86,1.1500,7.2600,-8.8400,1.3668,-1.2414,-2.3322
87,1.2500,7.1700,-8.9700,1.2425,-0.8585,-1.9548
88,1.3000,7.0000,-9.0300,1.0592,-0.4560,-1.5817
89,1.2500,6.2000,-9.0000,0.8650,-0.0480,-1.2381
90,1.2900,6.1200,-8.9400,0.7538,0.3600,-0.9043
91,1.2800,6.1100,-8.8800,0.7330,0.7679,-0.5880
92,1.1800,6.6200,-8.7200,0.6981,1.1639,-0.2989
93,0.9300,6.7300,-8.3600,0.6338,1.5413,-0.0131
94,0.6300,6.8200,-7.8600,0.6174,1.9144,0.3949
95,0.4000,7.1300,-7.4800,0.7549,2.2482,0.9567
96,0.1900,7.7700,-7.1700,0.7919,2.4936,1.4726
97,0.3700,8.0500,-7.2800,0.7919,2.4936,1.4726
98,0.3800,8.1700,-7.2200,0.1647,2.9463,2.0475
99,-0.5500,8.0600,-6.2500,-0.2607,3.2965,2.2929
100,-1.2700,7.9000,-5.5500,-0.5280,3.6172,2.6289
101,-2.1000,7.6800,-4.7400,-0.5280,3.6172,2.6289
102,-4.2500,6.1000,-3.1700,-0.9588,3.9455,3.2398
103,-4.7200,6.1000,-2.6900,-1.1279,3.9052,3.4896
104,-4.9600,4.7500,-2.1000,-1.3919,3.7612,3.5670
105,-5.1900,3.3000,-1.3600,-1.3919,3.7612,3.5670
106,-5.4900,1.7600,-0.6800,-1.7977,3.5517,3.4885
107,-5.6300,1.2300,0.0000,-1.8926,3.2529,3.4427
108,-5.2200,0.3000,0.5000,-1.8926,3.0991,3.3390
109,-4.7000,-1.3400,0.3700,-1.9133,3.0445,3.1809
110,-4.4300,-1.8200,0.6900,-1.4334,2.7347,3.1765
111,-3.9900,-2.1200,0.7500,-0.9861,2.6660,3.2594
112,-3.7700,-1.9500,0.7300,-0.5716,2.6736,3.3510
113,-3.7800,-1.7900,0.7400,-0.2225,2.7205,3.3947
114,-3.8100,-2.0800,0.6500,-0.0611,2.8220,3.3674
115,-3.6000,-2.5600,0.9200,-0.0611,2.8220,3.3674
116,-2.9700,-2.9000,0.9700,-0.0589,2.7325,3.2529
117,-2.8300,-3.0100,0.8400,0.4036,2.5416,3.0467
118,-2.0700,-2.9900,0.6500,0.4996,2.5209,2.8122
119,-2.5300,-3.2000,0.5900,0.5138,2.5613,2.4958
