lineno,aX,aY,aZ,gX,gY,gZ
0,0.1600,1.0400,-1.6100,-0.4571,-1.0210,-0.2487
1,0.0200,0.4600,-2.0100,-0.4571,-1.0210,-0.2487
2,-0.1000,0.9700,-2.3800,-0.4232,-0.9676,-0.2138
3,-0.1800,0.7500,-2.5300,-0.2716,-0.8999,-0.1767
4,-0.2600,1.3600,-3.2300,-0.0327,-0.7854,-0.1593
5,-0.1000,1.3500,-3.5700,0.0109,-0.7385,-0.1505
6,0.0500,1.3700,-3.8600,-0.0556,-0.6534,-0.1429
7,0.0100,1.5100,-4.1100,-0.0993,-0.5105,-0.1549
8,-0.1300,1.6600,-4.0800,-0.1396,-0.3251,-0.1462
9,-0.1900,1.3200,-4.1300,-0.1440,-0.1440,-0.0774
10,-0.3600,1.3400,-4.1800,-0.1145,0.0262,0.0022
11,-0.4500,1.1200,-4.2000,-0.1058,0.1909,0.0480
12,-0.4700,1.2300,-4.2200,-0.0905,0.3491,0.0480
13,-0.3700,1.3000,-4.2600,-0.0905,0.3491,0.0480
14,-0.4500,1.2600,-4.0700,-0.0022,0.7058,0.1134
15,-0.5500,1.3600,-3.9300,0.0305,0.8978,0.1440
16,-0.6300,1.1900,-3.9300,0.0305,0.8978,0.1440
17,-0.7700,1.1600,-3.8200,0.1014,1.0974,0.1909
18,-1.3700,1.2800,-3.4000,0.1789,1.2948,0.2313
19,-1.5300,1.2800,-3.3800,0.2880,1.4737,0.2869
20,-1.4800,1.2000,-3.5400,0.3763,1.5839,0.3382
21,-1.2400,1.3500,-4.2700,0.4712,1.6188,0.3742
22,-1.0700,1.6900,-4.7300,0.5007,1.6842,0.3480
23,-0.9100,1.6300,-5.1200,0.5116,1.8097,0.3229
24,-1.0100,1.8800,-5.7100,0.5716,1.9897,0.3665
25,-0.9200,1.9500,-5.9500,0.6709,2.2449,0.4331
26,-1.0300,2.1900,-6.0300,0.7439,2.4947,0.4734
27,-1.3900,2.7300,-5.7100,0.8007,2.7380,0.5094
28,-1.8400,2.5400,-5.2100,0.7843,2.9736,0.5640
29,-2.5100,2.1900,-4.6300,0.6840,3.1950,0.6294
30,-3.0500,1.6300,-3.9400,0.6000,3.3685,0.7003
31,-4.0200,0.4300,-2.9400,0.7025,3.3968,0.7276
32,-3.9100,0.0800,-2.6800,0.7025,3.3968,0.7276
33,-3.7600,0.2100,-2.5800,1.0647,3.2736,0.5509
34,-3.3600,1.0700,-2.5200,1.0647,3.2736,0.5509
35,-3.2100,1.5900,-2.5400,1.2806,3.2594,0.4985
36,-3.1900,2.1100,-2.2900,1.5621,3.4776,0.5083
37,-3.7000,3.5800,-1.4100,1.6221,3.5659,0.5498
38,-3.7800,4.2700,-1.1900,1.5555,3.6488,0.5694
39,-3.7500,4.6400,-0.8500,1.5555,3.6488,0.5694
40,-3.3500,4.6700,-0.7600,1.3155,3.6608,0.5541
41,-4.1100,4.2300,0.1700,1.0832,3.6750,0.5738
42,-4.8100,3.0200,0.6100,0.8923,3.7110,0.6229
43,-2.4800,2.6100,0.2800,0.7887,3.7426,0.6981
44,-3.9200,1.9200,1.1300,0.8345,3.9412,0.5498
45,-3.7300,1.6600,0.9500,0.8345,3.9412,0.5498
46,-3.0400,1.3900,0.7100,0.8498,3.6826,0.6654
47,-2.8600,1.5700,0.8400,0.9512,3.6728,0.7025
48,-3.4300,1.2400,1.4300,1.1148,3.7666,0.8978
49,-3.5500,1.6800,2.1100,1.3123,3.8724,1.0254
50,-3.3500,1.6200,2.3300,1.2785,3.8397,1.1443
51,-3.1900,1.3000,2.7000,1.2785,3.8397,1.1443
52,-3.6900,1.2300,3.1300,1.2545,3.8048,1.1966
53,-3.5400,1.7200,3.9000,1.3450,3.7863,1.2054
54,-4.3900,1.2400,4.6900,1.2479,3.7917,1.0439
55,-4.3900,0.6200,4.9600,1.0505,3.6292,1.0897
56,-4.1200,0.1100,5.1300,0.4363,3.2289,0.8225
57,-5.4000,0.0000,6.5900,0.4363,3.2289,0.8225
58,-6.6400,-0.5300,8.1900,0.2040,2.7849,0.4440
59,-6.9900,-1.2300,9.2200,0.0873,2.2242,0.3382
60,-6.8500,-1.4700,9.5900,0.0873,2.2242,0.3382
61,-5.8100,-0.8200,9.4600,-0.0098,1.0101,0.0535
62,-5.6000,-0.5400,9.7400,-0.0055,0.6490,0.0371
63,-5.6100,-0.4900,10.1200,-0.0196,0.3447,0.1200
64,-5.3900,-1.0200,10.2800,-0.1058,-0.0240,0.1625
65,-5.2200,-1.1700,10.0800,-0.1058,-0.0240,0.1625
66,-5.0000,-1.5200,9.7400,-0.3632,-0.8978,-0.0425
67,-4.4600,-0.7000,8.9600,-0.4789,-1.2697,-0.2269
68,-4.1700,-0.6100,8.4900,-0.6687,-1.5784,-0.4581
69,-4.0500,-0.5900,7.9700,-0.8301,-1.8446,-0.6360
70,-3.6600,-0.4200,7.2400,-0.9676,-2.0889,-0.7865
71,-3.7400,-0.4800,6.6200,-1.0723,-2.3486,-0.8487
72,-3.8300,-0.4100,6.1800,-1.1072,-2.5984,-0.9719
73,-3.7700,-0.0500,5.6700,-1.0963,-2.8351,-1.0723
74,-3.0700,0.2600,4.3500,-1.0799,-3.0467,-1.0996
75,-3.0100,0.5100,3.6100,-1.0799,-3.0467,-1.0996
76,-2.9800,1.0200,3.0600,-0.9316,-3.3641,-0.8716
77,-2.4400,1.2200,2.0600,-0.8607,-3.5332,-0.7396
78,-2.4400,1.3700,1.6500,-0.8279,-3.6848,-0.6665
79,-2.6800,1.4200,1.3400,-0.8279,-3.6848,-0.6665
80,-2.0800,1.6600,0.8200,-0.8650,-3.9619,-0.6458
81,-2.8000,1.6600,0.5200,-0.8650,-3.9619,-0.6458
82,-2.2900,1.5700,-0.1800,-0.9850,-4.0808,-0.6043
83,-2.1500,1.4800,-0.9200,-1.0712,-4.2924,-0.7003
84,-2.0800,1.4100,-1.4000,-1.0494,-4.3437,-0.7527
85,-2.0500,1.3800,-1.7000,-1.0134,-4.2281,-0.8029
86,-2.1900,1.4400,-1.9200,-1.0156,-3.9521,-0.8978
87,-1.7800,1.3900,-2.2000,-0.9752,-3.8703,-0.9152
88,-1.6400,1.6700,-2.4300,-0.9752,-3.8703,-0.9152
89,-1.6800,2.0500,-2.5100,-0.7930,-3.7066,-0.8465
90,-1.8900,2.4100,-1.8900,-0.7549,-3.5583,-0.7909
91,-2.0900,2.3800,-1.6900,-0.7549,-3.5583,-0.7909
92,-2.0600,2.3200,-1.5800,-0.7439,-3.4590,-0.6938
93,-2.4900,2.0600,-1.3600,-0.8050,-3.4067,-0.6272
94,-2.7500,1.9400,-1.1700,-0.8945,-3.3238,-0.5989
95,-2.9200,1.6800,-1.2100,-0.9272,-3.3554,-0.6327
96,-2.7700,1.6000,-1.3900,-0.9272,-3.3554,-0.6327
97,-2.3600,1.3900,-1.8600,-0.9054,-3.4427,-0.6960
98,-2.1700,1.3300,-2.1000,-0.8454,-3.4787,-0.7429
99,-2.0400,1.2400,-2.2600,-0.7778,-3.4656,-0.7472
100,-1.3200,1.7100,-2.6600,-0.7123,-3.3903,-0.7243
101,-1.2400,1.8600,-2.7400,-0.6196,-3.1514,-0.6807
102,-1.3300,1.8000,-2.6900,-0.6196,-3.1514,-0.6807
103,-1.4900,1.8600,-2.6200,-0.6654,-2.9267,-0.6501
104,-1.3400,1.9900,-2.6200,-0.7439,-2.8525,-0.6632
105,-1.1200,1.9100,-2.7800,-0.8476,-2.8143,-0.6796
106,-1.0900,1.7800,-2.8400,-0.8476,-2.8143,-0.6796
107,-1.1900,1.7900,-2.6900,-0.9174,-2.7358,-0.6796
108,-1.5700,1.6600,-2.3200,-0.9348,-2.5678,-0.6829
109,-1.7300,1.6600,-2.1000,-0.9108,-2.3638,-0.6654
110,-1.3000,1.6100,-2.0900,-0.8683,-2.2177,-0.6283
111,-1.1400,1.5400,-2.0400,-0.8683,-2.1358,-0.6261
112,-1.1000,1.4900,-1.9700,-0.8759,-2.0671,-0.6174
113,-0.6700,1.4100,-2.2400,-0.8683,-1.9711,-0.5967
114,-0.7000,1.4100,-2.2600,-0.8650,-1.8675,-0.5912
115,-0.7600,1.1700,-2.3700,-0.8312,-1.7366,-0.5760
116,-0.7300,1.1200,-2.6000,-0.7843,-1.5937,-0.5465
117,-0.5900,0.7600,-3.1100,-0.7374,-1.4606,-0.5040
118,-0.5100,0.6300,-3.3400,-0.7079,-1.3035,-0.4821
119,-0.3200,0.7000,-3.5100,-0.6621,-1.1246,-0.4669
120,-0.2600,0.2700,-3.7900,-0.5574,-0.9228,-0.4418
121,-0.1300,0.3900,-4.0400,-0.4592,-0.7178,-0.3894
122,0.0000,0.3400,-4.2800,-0.3360,-0.5367,-0.3382
123,0.3400,0.2100,-4.8500,-0.2138,-0.1505,-0.3163
124,0.4500,0.2200,-5.0900,-0.1462,0.0676,-0.3109
125,0.5800,0.1600,-5.2700,-0.0840,0.3076,-0.3011
126,0.7100,0.1300,-5.5100,0.0076,0.5607,-0.2596
127,0.8500,-0.3000,-5.9900,0.0076,0.5607,-0.2596
128,0.9200,-0.6200,-6.0800,0.0818,0.8334,-0.2345
129,0.9000,-0.6900,-6.0800,0.1800,1.1421,-0.2236
130,0.7300,-0.4600,-5.7800,0.3567,1.4715,-0.2105
131,0.8100,-0.1800,-5.8000,0.5618,1.7835,-0.2083
132,0.7900,0.3100,-5.7000,0.7276,2.0453,-0.2160
133,0.7800,1.6000,-5.6000,0.9010,2.2984,-0.1920
134,0.7800,1.9000,-5.6600,0.9850,2.7794,-0.0774
135,0.7700,2.0200,-5.6800,0.8334,3.0303,-0.0371
136,0.8100,2.1000,-5.7300,0.6501,3.3172,0.0011
137,0.0800,2.0100,-5.4400,0.4821,3.6914,0.1014
138,-0.5200,1.7600,-5.0300,0.3185,4.1233,0.2160
