lineno,aX,aY,aZ,gX,gY,gZ
0,-0.4800,5.1400,0.8600,0.2411,-0.5160,-0.1844
1,-0.1900,4.9000,0.4400,0.3534,-0.4156,-0.0360
2,0.7500,5.4700,-0.7500,0.3534,-0.4156,-0.0360
3,0.4100,6.0700,-0.4000,0.4309,-0.2411,0.0415
4,0.4900,6.4400,-0.4400,0.2203,0.3185,-0.1985
5,0.3400,6.8000,-0.7400,0.1222,0.5236,-0.1407
6,0.0000,6.6000,-0.8000,0.1222,0.5236,-0.1407
7,-0.3200,6.0100,-0.7200,-0.0098,0.7276,0.0676
8,-0.5800,5.7500,-0.6400,-0.0491,0.9687,0.3840
9,-1.2200,5.1900,-0.5400,0.0633,1.2119,0.6305
10,-1.4500,5.8600,-0.6700,0.1778,1.4072,0.7941
11,-1.5500,5.8800,-0.7400,0.2400,1.5959,0.8618
12,-1.8200,5.9200,-1.2400,0.1931,1.7595,0.9425
13,-1.9300,6.2300,-1.5300,0.2171,1.9319,1.0799
14,-2.0500,6.8400,-1.7400,0.3120,2.1195,1.2283
15,-2.1000,7.4500,-1.8500,0.3752,2.3027,1.3461
16,-3.1800,7.9600,-1.3800,0.3796,2.4925,1.4595
17,-3.7000,8.1000,-1.1600,0.3403,2.7533,1.6166
18,-4.1200,8.2800,-1.0100,0.3196,3.0151,1.7944
19,-5.9000,8.7100,0.2400,0.3414,3.4961,2.1108
20,-6.5900,8.7600,0.6300,0.3120,3.6946,2.3235
21,-7.5100,8.1800,1.2000,0.3120,3.6946,2.3235
22,-8.4100,7.0300,1.9000,0.2193,3.8528,2.7238
23,-8.4500,6.7900,2.2900,0.2193,3.8528,2.7238
24,-8.7800,5.8900,2.9500,0.2094,3.9183,2.9594
25,-9.1100,4.8300,3.5100,0.2094,3.9183,2.9594
26,-9.7000,3.4500,4.6600,0.2214,3.9630,3.0609
27,-10.0200,3.0000,5.5100,0.3851,3.8997,3.0140
28,-10.0800,2.7300,6.2700,0.5890,3.7863,2.9703
29,-10.5400,3.4600,7.2700,0.7745,3.6259,2.9136
30,-10.7400,3.6800,8.0200,0.8792,3.4983,2.8318
31,-10.4700,4.4000,8.3100,0.9708,3.3150,2.7914
32,-10.0300,4.3300,8.8400,0.9708,3.3150,2.7914
33,-9.5300,3.9100,8.7400,0.8356,3.1307,2.7794
34,-9.0000,2.9500,8.6100,0.6687,2.9191,2.7576
35,-7.9700,2.0400,8.2600,0.5465,2.7358,2.7402
36,-7.8000,-0.6800,8.3100,0.4254,2.6409,2.6551
37,-7.9700,-0.8500,8.4200,0.4505,2.4860,2.3507
38,-8.3100,-0.9100,8.9100,0.5007,2.4533,1.9242
39,-8.4100,0.0900,9.3200,0.5683,2.1457,1.7453
40,-8.0300,0.7800,9.4400,0.5672,1.8391,1.5577
41,-7.7000,1.2800,9.6300,0.4276,1.5359,1.4257
42,-7.6700,2.2900,10.0800,0.4276,1.5359,1.4257
43,-7.4400,2.4600,10.2700,0.3109,1.3079,1.3232
44,-7.2200,2.7900,10.2200,0.1767,1.0330,1.2795
45,-6.7600,3.0300,9.9100,0.1102,0.6927,1.2828
46,-5.7100,3.6700,9.1000,0.0142,0.2989,1.2086
47,-5.4700,4.3000,8.9700,-0.1680,-0.2345,0.9741
48,-5.2500,3.8000,8.8000,-0.3392,-0.4549,0.9305
49,-4.9200,1.5900,8.2800,-0.3392,-0.4549,0.9305
50,-4.7800,1.2300,8.2700,-0.4658,-0.6469,0.9807
51,-5.1100,0.7600,8.4200,-0.4920,-0.7963,0.9839
52,-5.4200,0.2000,8.5800,-0.5247,-0.9458,0.8858
53,-5.4100,-0.2500,8.4600,-0.5520,-1.1192,0.7614
54,-4.8900,-0.5300,8.1600,-0.5520,-1.3592,0.6403
55,-5.2400,-0.2700,7.8900,-0.5061,-1.6264,0.5269
56,-4.8500,0.2800,7.3400,-0.4625,-1.8108,0.4276
57,-4.9500,0.8500,6.9600,-0.4516,-2.0137,0.1364
58,-4.4700,0.9900,6.2800,-0.4200,-2.2417,-0.0982
59,-3.7700,1.6200,5.1200,-0.4538,-2.5307,-0.3371
60,-3.9600,2.3400,4.9600,-0.5040,-2.7380,-0.5531
61,-4.2500,2.8100,4.7900,-0.5127,-2.7903,-0.7919
62,-4.4800,2.3600,4.6500,-0.6207,-2.9278,-1.1126
63,-4.7200,2.5300,4.5300,-0.6480,-3.0576,-1.2381
64,-4.7500,2.6800,4.2600,-0.6480,-3.0576,-1.2381
65,-4.3900,3.0100,3.5700,-0.6807,-3.2539,-1.4334
66,-4.4000,3.3700,3.1600,-0.7112,-3.4645,-1.6330
67,-4.0300,3.9800,2.5100,-0.7483,-3.6488,-1.8282
68,-3.5300,3.9200,1.9800,-0.8203,-3.8092,-2.0191
69,-1.9100,3.9700,0.7300,-1.2174,-3.8463,-2.2068
70,-1.6700,4.0200,0.7200,-1.3777,-3.6837,-2.1893
71,-1.6900,3.4300,1.2200,-1.3777,-3.6837,-2.1893
72,-1.8900,4.3900,1.4500,-1.5021,-3.4274,-2.2220
73,-2.0300,4.2000,1.6700,-1.3766,-3.2878,-2.2962
74,-1.8400,4.1100,1.6200,-1.3734,-3.2245,-2.3453
75,-1.4200,4.2200,1.6100,-1.3341,-3.2376,-2.3158
76,-1.2800,4.3700,1.5400,-1.2555,-3.2147,-2.3137
77,-1.2400,4.7300,1.6200,-0.9338,-3.0674,-2.3224
78,-1.0800,5.2500,1.6300,-0.7832,-2.9867,-2.3486
79,-0.6000,5.7300,1.6800,-0.7832,-2.9867,-2.3486
80,-0.4500,5.9000,1.6600,-0.7199,-2.9103,-2.3791
81,-0.2700,6.2400,1.4300,-0.7069,-2.8165,-2.3758
82,0.1900,5.8800,1.4000,-0.9283,-2.5067,-2.3333
83,-0.0100,5.8100,1.5700,-0.9708,-2.2820,-2.2624
84,-0.2200,5.9100,1.7800,-0.9447,-2.0824,-2.1751
85,-0.4100,6.3800,2.0100,-0.9294,-1.9362,-2.1260
86,-0.6400,6.3400,2.2100,-0.9218,-1.8391,-2.0442
87,-0.6600,6.4700,2.3400,-0.8727,-1.7955,-1.8828
88,-0.5500,6.2400,2.4700,-0.8727,-1.7955,-1.8828
89,-0.0400,5.8200,1.8400,-0.9272,-1.8599,-1.5970
90,0.3700,5.6900,1.7200,-0.9108,-1.8500,-1.5053
91,0.5300,5.6300,1.7500,-0.8476,-1.7290,-1.4235
92,0.3600,5.2800,2.0500,-0.8476,-1.7290,-1.4235
93,0.3300,5.1600,2.3500,-0.7287,-1.5195,-1.2937
94,0.3500,5.2800,2.5400,-0.5738,-1.3177,-1.1345
95,0.3200,5.0900,2.6200,-0.4505,-1.1541,-1.0472
96,0.3600,4.9000,2.8100,-0.3785,-1.0330,-0.9665
97,0.5600,4.4400,2.9100,-0.4058,-0.8945,-0.8759
98,0.5000,4.2600,3.0300,-0.4374,-0.7734,-0.7767
99,0.7400,4.4200,3.1900,-0.3949,-0.6643,-0.7123
100,0.9800,4.2500,3.1200,-0.3360,-0.5847,-0.6720
101,1.1800,3.9100,2.9500,-0.3578,-0.5454,-0.6196
102,1.4100,3.5900,2.8100,-0.3938,-0.4309,-0.4418
103,1.4300,3.3700,2.9200,-0.3512,-0.3087,-0.3556
104,1.2800,2.9100,3.0700,-0.3512,-0.3087,-0.3556
105,0.8000,2.8500,3.3400,-0.3371,-0.1920,-0.2902
106,0.6800,3.1100,3.2600,-0.2465,-0.0764,-0.2596
107,0.8200,3.4900,3.0200,-0.1462,0.0109,-0.2531
108,1.1300,3.4000,2.7600,-0.0687,0.0404,-0.2400
109,1.8300,3.1600,2.0000,-0.1069,0.0589,-0.2018
110,2.1400,3.1500,1.7000,-0.1353,0.0960,-0.1516
111,2.3300,3.1500,1.4000,-0.1374,0.1647,-0.1320
112,2.5800,2.8800,0.9400,-0.1538,0.2651,-0.1374
113,2.6600,2.6800,0.5200,-0.1865,0.3938,-0.1102
114,2.6400,2.5200,0.2600,-0.2411,0.5323,-0.0829
115,2.4400,2.4800,-0.0800,-0.2738,0.6992,-0.0535
116,2.2800,2.3600,-0.2600,-0.2454,0.9043,-0.0087
117,2.1600,2.5000,-0.4500,-0.1233,1.1083,0.0415
118,1.5400,2.9400,-0.2700,-0.0295,1.5163,0.0611
119,1.3200,3.2800,-0.3400,-0.0295,1.5163,0.0611
120,1.3600,3.4700,-0.4600,0.0349,1.7039,0.0905
121,1.4800,3.8100,-0.5800,-0.0044,2.0300,0.1080
122,1.1000,3.6100,-0.3000,-0.0480,2.2329,0.1494
123,0.5200,3.7800,0.0600,-0.0502,2.4915,0.2367
124,-0.1000,3.3100,0.5700,-0.0502,2.4915,0.2367
125,-1.5800,2.3900,1.5600,-0.0556,2.7511,0.3545
126,-2.4800,1.8300,1.9500,-0.0731,2.9365,0.4658
