lineno,aX,aY,aZ,gX,gY,gZ
0,-1.3500,1.5600,-5.8800,-0.9817,-1.6635,-1.0025
1,-1.4600,1.7100,-5.9000,-0.9817,-1.6635,-1.0025
2,-1.5100,1.9600,-5.9000,-0.7570,-1.1410,-0.8683
3,-1.6300,2.0100,-5.9500,-0.6763,-0.8803,-0.7767
4,-1.8500,1.9500,-5.9300,-0.5694,-0.6305,-0.6381
5,-1.9100,2.3300,-6.0800,-0.3851,-0.3807,-0.5051
6,-2.2100,2.9100,-6.0500,-0.2923,-0.1167,-0.4014
7,-2.1600,3.2300,-6.2300,-0.2923,-0.1167,-0.4014
8,-2.1700,3.2800,-6.4400,-0.1822,0.1429,-0.2171
9,-2.2100,3.5300,-6.5100,-0.0785,0.4047,-0.0098
10,-2.1900,3.9200,-6.5000,-0.0175,0.7112,0.1942
11,-2.1600,4.0800,-6.4800,0.0295,1.0494,0.3622
12,-2.2700,4.0400,-6.3000,0.0415,1.3941,0.5912
13,-2.5000,3.5000,-6.1500,-0.0164,1.7202,0.8039
14,-2.3100,3.3400,-6.1300,-0.1287,2.0169,1.0199
15,-2.3200,2.8200,-6.0200,-0.1647,2.3093,1.2315
16,-3.1300,2.5000,-5.5600,0.0916,3.0020,1.7399
17,-3.4900,2.2900,-5.0600,0.3687,3.3358,1.9886
18,-4.0000,2.1800,-4.4800,0.3687,3.3358,1.9886
19,-4.2100,2.2100,-4.1000,0.6578,3.5692,2.1653
20,-4.3400,2.3000,-3.4200,0.8868,3.6892,2.2646
21,-4.0100,2.4900,-3.3500,1.1017,3.7252,2.3300
22,-3.7700,2.7800,-3.3800,1.0756,3.7448,2.3387
23,-3.8800,2.9600,-3.1000,0.9381,3.8092,2.3311
24,-3.9200,2.7500,-2.7700,0.8039,3.9259,2.3758
25,-3.8900,2.4300,-2.5700,0.7559,4.0688,2.4598
26,-4.3500,1.5900,-1.8900,0.7559,4.0688,2.4598
27,-4.6800,0.4900,-0.9700,0.6861,4.2150,2.5111
28,-4.9100,-0.0500,-0.2600,0.5345,4.3502,2.4969
29,-4.9700,-0.2700,0.3200,0.9043,4.2095,2.4805
30,-4.7800,0.3000,1.1600,1.0679,4.0219,2.3856
