lineno,aX,aY,aZ,gX,gY,gZ
0,0.1300,0.5200,-3.2600,0.2716,0.9839,0.1898
1,0.1500,0.7100,-3.4800,0.2716,0.9839,0.1898
2,0.1700,0.9000,-3.7800,0.3153,1.0243,0.1953
3,0.2300,1.2100,-4.4200,0.3283,1.0832,0.1920
4,0.1400,1.3100,-4.5200,0.3709,1.3286,0.2367
5,0.0900,1.4400,-4.6400,0.3982,1.4835,0.2902
6,0.2600,1.3600,-4.8500,0.3818,1.6221,0.3240
7,0.6900,1.5600,-5.5000,0.3818,1.6221,0.3240
8,0.8500,1.5400,-5.5600,0.3818,1.7606,0.3632
9,0.8400,1.6400,-5.5600,0.3872,1.9493,0.4156
10,0.7400,1.4500,-5.8000,0.4691,2.1708,0.5247
11,0.7000,1.3500,-5.9300,0.5880,2.5624,0.7396
12,0.8800,1.0600,-6.4300,0.5880,2.5624,0.7396
13,0.5800,0.9000,-6.7500,0.6883,2.7893,0.8388
14,0.2600,0.7000,-6.6300,0.8847,3.1067,0.9697
15,0.1000,0.9600,-6.5400,1.3734,3.7786,1.2185
16,0.2900,1.4200,-6.6400,1.5632,3.9924,1.2861
17,0.9600,1.9900,-6.8600,1.7213,4.2193,1.3515
18,1.3800,2.5400,-6.8900,1.8053,4.5291,1.4246
19,1.3900,2.7200,-6.6900,1.8413,4.8967,1.5490
20,-0.0400,3.4700,-5.6100,1.8413,4.8967,1.5490
21,-0.8500,3.2200,-5.0400,1.9013,5.2349,1.7791
22,-2.6500,2.1300,-3.5700,1.8555,5.5032,1.9700
23,-5.1100,0.9500,-0.7300,1.6897,5.6592,2.0726
24,-4.6100,-0.5800,-0.5500,1.6046,5.6516,2.1173
25,-3.9600,-1.8300,-0.6400,1.1236,5.0745,1.6122
26,-3.4500,-1.0800,-0.5600,1.2643,4.8727,1.3330
27,-2.8100,-0.0600,-0.6700,1.5261,4.7964,1.1050
28,-2.2100,0.4200,-1.0200,1.6068,4.7833,0.9621
29,-2.1800,0.6700,-0.6800,1.5959,4.8367,0.9250
30,-2.2800,1.4800,0.2000,1.6908,4.8313,1.0254
31,-2.7400,0.9800,0.7300,1.6908,4.8313,1.0254
32,-3.7000,1.0000,2.0900,1.6264,4.7571,1.1039
33,-4.3200,1.1100,3.4100,1.6472,4.4997,1.0777
34,-4.3500,0.7400,3.8800,1.4748,4.1462,0.8847
35,-4.3900,0.5600,4.2600,1.4748,4.1462,0.8847
36,-4.6300,-0.0300,4.0600,1.2774,3.8779,0.6600
37,-2.8200,1.1500,3.9100,1.0112,3.5168,0.3207
38,-2.7800,0.6900,3.6700,0.9239,3.3063,0.0153
39,-2.4000,1.3700,3.4000,0.8268,3.1983,0.0676
40,-2.3800,1.5700,3.4900,0.7799,3.1405,0.1276
41,-2.3000,1.3800,3.4100,0.8127,2.9758,0.3262
42,-1.5900,1.9100,3.3900,0.9403,2.8253,0.4331
43,-1.7400,1.7000,3.7100,0.9621,2.7107,0.5007
44,-1.5600,1.6400,3.6900,0.9152,2.5362,0.5705
45,-1.2100,1.3100,3.5800,0.8268,2.3813,0.6196
46,-0.9000,0.8000,3.2800,0.7112,2.2678,0.6425
47,-0.8300,0.8000,3.3400,0.6261,2.1751,0.6152
48,-0.7400,0.9000,3.2900,0.5400,2.1031,0.5803
49,-0.4200,0.6600,3.0800,0.4276,2.0519,0.5651
50,-0.2000,0.3900,2.6000,0.3305,2.0573,0.5749
51,-0.4000,0.1100,2.8800,0.2694,2.1380,0.6043
52,-0.4400,-0.0500,2.9400,0.2389,2.2220,0.6403
53,-1.0800,-0.3600,3.4500,0.2542,2.2515,0.6687
54,-1.3700,-0.3900,3.8600,0.3534,2.2482,0.7352
55,-1.5800,-0.4600,4.3100,0.4276,2.1424,0.7745
56,-1.7100,-0.4700,4.6000,0.4036,1.9657,0.7647
57,-1.6500,-0.4800,4.6700,0.3262,1.7442,0.7298
58,-1.4700,-0.5200,4.5100,0.2716,1.5173,0.7101
59,-1.3800,-0.6000,4.4900,0.1876,1.3439,0.6763
60,-1.6700,-0.6800,4.7500,0.0894,1.2108,0.6109
61,-1.7200,-0.7700,4.8800,-0.0185,1.0712,0.5421
62,-1.7600,-1.0200,4.9100,-0.1276,0.9261,0.4461
63,-1.9000,-0.8400,5.0200,-0.1887,0.7799,0.3447
64,-1.9000,-0.7700,5.1300,-0.2760,0.6512,0.2782
65,-1.8400,-1.0600,4.9400,-0.4102,0.5018,0.2214
66,-1.4700,-1.3100,4.6700,-0.4811,0.3545,0.1724
67,-1.5900,-1.5700,4.6600,-0.4309,0.2618,0.1385
68,-1.7800,-1.9100,4.7900,-0.3862,0.1647,0.1309
69,-1.4500,-2.4600,4.9500,-0.3556,-0.0109,0.0327
70,-1.4400,-2.4200,4.6200,-0.3316,-0.2716,-0.1527
71,-1.7800,-1.1600,4.5800,-0.1451,-0.4865,-0.4309
72,-1.6600,-1.4100,4.6900,-0.1451,-0.4865,-0.4309
73,-1.2100,-1.5800,4.0300,-0.1374,-0.6654,-0.4625
74,-1.0600,-1.9300,3.6200,-0.2422,-0.9305,-0.4603
75,-0.8300,-1.6100,3.3800,-0.2934,-1.2250,-0.5498
76,-1.0600,-0.6000,3.8700,-0.1287,-1.2119,-0.5334
77,-1.2800,-0.8000,3.9100,-0.1287,-1.2119,-0.5334
78,-1.2600,-0.9900,3.9600,-0.1745,-1.2043,-0.4723
79,-1.2800,-1.2500,3.9100,-0.3196,-1.2883,-0.4680
80,-1.2900,-1.1100,3.8000,-0.4287,-1.6112,-0.5683
