lineno,aX,aY,aZ,gX,gY,gZ
0,1.2700,3.9800,-6.4000,0.0927,-0.5716,0.5683
1,1.3200,4.0700,-6.3700,0.2258,-0.1865,0.8738
2,1.1600,4.4700,-6.5900,0.2531,0.2127,1.1159
3,1.3500,4.7900,-6.8800,0.1320,0.5989,1.3057
4,1.5400,4.4600,-6.9700,-0.0262,0.9403,1.4028
5,1.5700,4.3600,-7.1100,-0.3163,1.2621,1.4443
6,1.3700,4.6700,-7.2500,-0.5934,1.6428,1.4552
7,1.0600,4.5700,-6.9800,-0.6676,2.1315,1.6035
8,0.7000,4.3700,-6.7100,-0.7909,2.7314,1.8588
9,-0.2600,4.1600,-6.3400,-0.8628,3.3074,2.2297
10,-0.3700,3.9200,-6.2000,-0.7745,3.7961,2.7565
11,-0.3400,3.3700,-5.9100,-0.6709,4.6131,3.6914
12,-0.4300,3.0100,-6.0400,-0.6709,4.6131,3.6914
13,-0.4400,2.0800,-6.0300,-0.2378,5.1225,4.2444
14,-0.6800,1.2100,-5.7900,-0.1963,5.5872,4.3131
15,-0.5800,1.0500,-5.6400,-0.0229,6.0508,4.2782
16,-4.3500,1.6800,-3.9900,-0.0229,6.0508,4.2782
17,-5.5600,1.6700,-1.9900,0.2160,6.6224,4.1059
18,-7.0000,1.3200,0.5000,0.2073,7.2278,3.6063
19,-9.2200,-1.0600,4.2700,0.3512,6.8701,3.6052
20,-9.4700,-3.1100,6.3300,0.2531,6.3257,3.3925
21,-10.4000,-4.0500,8.4900,0.1582,5.6341,2.9954
22,-11.1300,-5.4500,10.9000,0.3305,3.9128,2.0824
23,-11.8000,-5.7000,11.2600,0.3305,3.9128,2.0824
24,-10.6300,-5.1800,10.3400,0.2563,2.7991,1.6035
25,-9.3400,-5.0000,9.1200,-0.0764,0.0676,0.5312
26,-7.4500,-5.1400,7.2000,-0.1058,-0.8639,0.0633
27,-6.5600,-5.1000,6.1900,-0.1058,-0.8639,0.0633
28,-5.9200,-5.3900,5.2800,-0.2225,-1.4617,-0.3785
29,-5.7300,-5.6600,4.9700,-0.3982,-1.7311,-0.8356
30,-6.1700,-6.1200,5.1100,-0.3174,-1.8664,-1.2195
31,-6.6100,-6.3200,5.2300,0.3403,-2.2962,-1.8217
32,-6.2900,-5.1500,4.6500,0.7854,-2.7663,-2.1784
33,-5.6800,-4.0300,3.5700,1.0876,-3.2921,-2.6104
34,-5.0900,-3.1700,2.4700,1.2065,-3.6325,-2.9911
35,-4.4400,-2.2900,1.4600,1.2577,-3.8081,-3.2463
36,-3.0100,-0.2300,-0.4600,1.1977,-3.8365,-3.4165
37,-2.3900,0.3700,-1.5000,0.9981,-3.7481,-3.5103
38,-1.5200,0.7500,-2.4500,0.9981,-3.7481,-3.5103
39,-0.3700,1.2700,-3.2300,0.9381,-3.5572,-3.4667
40,-0.2000,1.5700,-3.3800,0.9752,-3.2158,-3.3161
41,-0.2000,1.6700,-3.2800,1.0352,-2.8373,-3.1252
42,0.3600,2.0200,-3.7000,1.1170,-2.5340,-2.9660
43,0.6500,2.4000,-4.2200,1.2446,-2.3496,-2.8994
44,0.8300,3.1100,-4.7100,1.3875,-2.1991,-2.9158
45,1.0000,3.9200,-5.0900,1.5490,-1.9995,-2.9376
46,2.1500,5.6900,-5.9400,1.5828,-1.7202,-2.9714
47,2.6800,6.3300,-6.4400,1.5413,-1.3919,-2.9060
48,3.0700,6.4100,-6.6200,1.1028,-0.3862,-2.5111
49,3.5900,7.2100,-6.8400,1.0297,0.1582,-2.1773
50,3.6500,7.5400,-6.8700,0.8912,0.7232,-1.8086
51,3.7700,7.5800,-6.6800,0.8912,0.7232,-1.8086
52,3.8600,7.7500,-6.3700,0.7505,1.2632,-1.4181
53,3.6600,7.9600,-6.0700,0.6272,1.7846,-1.0428
54,3.5000,8.2400,-5.7000,0.5596,2.2395,-0.6796
55,2.9400,9.4000,-5.5800,0.5312,2.6224,-0.2542
56,2.7800,9.5700,-5.2400,0.3851,2.9812,0.1691
57,2.8300,9.9800,-5.2400,0.1484,3.3652,0.6447
58,2.7000,10.1400,-5.2100,0.0142,3.7426,1.2185
59,0.2200,8.5100,-3.3700,-0.3011,4.2575,1.7464
60,-0.5100,7.0200,-2.1600,-0.5247,4.7058,2.2035
61,-1.1900,4.8300,-0.8000,-0.6261,4.9000,2.5318
62,-3.5500,2.5600,1.5500,-0.6720,4.8738,2.6933
63,-4.2200,2.1500,2.7700,-0.5869,4.5935,2.3715
64,-4.8700,1.5500,3.8400,-0.6567,4.2346,2.0366
65,-6.9100,-0.7500,6.0100,-0.8465,3.8081,1.7639
66,-7.4900,-1.7900,7.0600,-0.9283,3.2343,1.5730
67,-8.0900,-2.8900,8.1500,-0.9916,2.5667,1.3461
68,-8.6700,-4.5400,9.1600,-0.9916,2.5667,1.3461
69,-9.6000,-7.4300,10.4300,-1.0712,1.9002,1.1083
70,-9.7100,-8.3100,10.6500,-1.0297,1.1225,0.8650
71,-9.7300,-8.7100,10.4500,-0.8552,0.2989,0.5607
72,-8.1300,-8.0800,8.4900,-0.5541,-0.5465,0.1669
73,-7.3400,-7.2900,7.3400,-0.0698,-1.9406,-0.8792
74,-6.8000,-6.5400,6.5600,0.1320,-2.3551,-1.3832
75,-6.1800,-5.1500,5.6500,0.1320,-2.3551,-1.3832
76,-5.7100,-4.0000,4.9500,0.3676,-2.7293,-1.7966
77,-5.5300,-3.1000,4.3500,0.6054,-3.1383,-2.1544
78,-5.5800,-2.3100,3.7500,0.7974,-3.7819,-2.7184
79,-4.3100,-1.1800,1.7200,0.8388,-4.0884,-2.9256
80,-3.8100,-0.7800,0.7300,0.9381,-4.2466,-2.9823
81,-3.4600,-0.2700,-0.0800,1.0592,-4.2673,-2.9605
82,-1.9000,0.6800,-1.5700,1.0592,-4.2673,-2.9605
83,-1.5500,1.4000,-2.2700,1.0396,-4.2139,-2.9191
84,-1.3700,1.7300,-2.6500,0.9250,-4.0546,-2.9027
85,-0.5600,2.0800,-3.2700,0.8127,-3.8212,-2.8667
86,-0.4200,2.5000,-3.6900,0.8738,-3.3761,-2.6725
87,-0.2200,2.6600,-3.9600,0.8868,-3.1689,-2.6682
88,0.2100,3.0200,-4.3400,0.8847,-2.9496,-2.7205
89,0.2400,3.2600,-4.6500,0.9207,-2.7522,-2.7533
90,0.1200,3.4900,-4.8400,0.9152,-2.5449,-2.7456
91,0.2300,3.7500,-5.0600,0.8847,-2.3377,-2.7096
92,0.4700,4.2400,-5.1200,0.8934,-2.1151,-2.5700
93,0.6600,4.3000,-5.2900,0.8934,-2.1151,-2.5700
94,0.8900,4.2400,-5.6200,0.8759,-1.8904,-2.3889
95,1.7000,4.2300,-6.1900,0.8105,-1.6646,-2.2231
96,2.0200,3.7600,-6.4900,0.6774,-1.0068,-1.9504
97,2.1400,3.4400,-6.6600,0.6229,-0.5541,-1.8959
98,1.8500,3.6200,-6.5900,0.6229,-0.5541,-1.8959
99,1.5700,4.0500,-6.5700,0.7352,0.3600,-1.7846
100,1.4300,4.3400,-6.5500,0.8258,0.7625,-1.5893
101,1.3100,4.5000,-6.4900,0.9043,1.1301,-1.3232
102,1.5500,4.9500,-6.7800,0.9588,1.4988,-1.0603
103,1.8500,5.0600,-6.9500,0.9588,1.4988,-1.0603
104,2.3000,5.4200,-7.1800,0.8759,1.9242,-0.8487
105,2.5100,5.7500,-7.5200,0.7581,2.3900,-0.6370
106,3.0200,5.5700,-7.6400,0.3960,3.5016,-0.0993
107,3.1200,6.0800,-8.0700,0.4451,4.0557,0.1025
108,2.3100,6.2000,-8.1900,0.3665,4.6720,0.2760
109,1.8200,6.2900,-8.1800,0.3676,5.3309,0.5258
110,0.8200,6.7100,-8.2000,0.5323,5.9636,0.9207
111,-0.6300,6.9700,-7.4900,0.5465,6.5079,1.1868
112,-4.5500,6.0200,-4.1100,0.5465,6.5079,1.1868
113,-5.9300,5.8300,-2.2000,0.4931,6.8744,1.7770
114,-6.8700,5.2900,-0.5100,0.4811,6.5755,2.0639
115,-7.4600,3.1200,1.7100,0.3305,6.0454,2.0966
116,-7.6000,2.1900,2.8200,0.3305,6.0454,2.0966
117,-7.5900,2.0200,3.7900,0.1844,5.5436,1.9842
118,-7.1800,1.6000,4.7500,0.0131,4.4266,1.5228
119,-7.1300,1.2200,5.3600,0.0131,4.4266,1.5228
120,-7.2800,0.4900,5.8800,-0.1233,3.9412,1.2937
121,-7.2100,-0.0100,6.3100,-0.2094,3.4765,1.1410
122,-7.6900,-0.4000,7.5700,-0.2574,2.9136,0.9981
123,-7.6600,-0.4500,7.8600,-0.2367,1.8380,0.7112
124,-7.2000,-0.3900,7.8400,-0.2367,1.8380,0.7112
125,-5.8900,0.0800,7.1200,-0.1942,1.2141,0.6360
126,-5.1200,0.2400,6.6000,-0.0971,0.6534,0.5672
127,-4.3900,0.3900,6.1200,0.0000,0.1800,0.5203
128,-3.4600,0.5400,5.4900,0.0098,-0.4734,0.4287
