lineno,aX,aY,aZ,gX,gY,gZ
0,-4.8700,-0.9100,-1.2800,-0.0240,-1.7170,-0.3229
1,-4.5100,-0.8600,-1.5600,0.0098,-1.4214,-0.1942
2,-4.3600,-0.8400,-1.5900,0.0098,-1.4214,-0.1942
3,-4.3400,-0.8400,-1.6200,0.0295,-1.1170,-0.0840
4,-4.2200,-0.8000,-1.7400,0.0360,-0.8083,0.0229
5,-4.1500,-0.7600,-2.1100,0.0556,-0.2247,0.2476
6,-4.2300,-0.7800,-2.1300,0.0753,0.0949,0.3632
7,-4.4000,-0.8000,-2.0700,0.0753,0.0949,0.3632
8,-4.7000,-0.8000,-1.7000,0.1265,0.4287,0.5007
9,-4.7300,-0.7000,-1.6100,0.1865,0.7396,0.6360
10,-4.6900,-0.5900,-1.6300,0.2760,1.2665,0.8879
11,-4.1400,-0.3800,-1.9000,0.2967,1.5708,1.0450
12,-3.8800,-0.2400,-2.0800,0.2934,1.9799,1.2065
13,-3.8100,-0.1800,-2.1600,0.2956,2.4566,1.4159
14,-3.8700,-0.0400,-2.1900,0.3458,2.9256,1.6515
15,-4.1800,0.3600,-1.8300,0.4298,3.3619,1.9079
16,-4.2000,-1.0100,-1.6500,0.6054,3.7863,2.2613
17,-4.2800,-0.7600,-2.1200,0.6054,3.7863,2.2613
18,-5.8800,1.0700,-2.0000,0.9959,4.2673,2.6245
19,-6.1100,1.4400,-2.1300,1.1486,4.7746,2.7293
20,-6.8900,2.1700,-2.3300,1.2643,5.1694,2.9147
21,-8.8900,3.1000,-2.7600,1.4017,5.5861,3.2245
22,-9.5700,2.6200,-2.6400,0.8956,6.3606,3.5616
23,-10.5500,2.8500,-2.3800,1.0941,6.6126,3.7470
24,-11.3700,3.9300,-2.0400,1.4148,6.6606,4.0153
25,-12.5700,5.8600,-1.2100,1.3057,6.7184,4.1244
26,-13.1600,5.1600,-1.5500,0.7549,6.7446,4.0928
27,-13.7800,3.2100,-1.8300,0.7549,6.7446,4.0928
28,-12.7700,1.5700,-2.5100,-0.0447,6.6421,3.7405
29,-12.9300,2.1600,-2.3800,-0.0698,6.9257,3.5845
30,-12.4600,2.6300,-2.3100,-0.2149,7.0729,3.4132
31,-13.2300,1.8800,-2.0300,-0.3774,7.0119,3.3412
32,-12.2500,1.9000,-2.6300,-0.3774,7.0119,3.3412
33,-11.4500,2.3200,-3.2600,-0.3622,6.6355,3.3619
34,-11.3500,1.7700,-3.1600,-0.3272,6.4304,3.3303
35,-12.4400,1.7600,-2.7100,0.0578,6.1348,3.1863
36,-12.7000,0.9400,-2.0500,0.1789,5.8676,3.0543
37,-12.7300,0.3500,-1.2400,0.4581,5.4792,2.8493
38,-14.4300,0.1400,0.7000,0.4581,5.4792,2.8493
39,-14.6300,0.2100,1.7400,0.7669,5.0495,2.5798
40,-14.9700,-0.0900,2.5800,0.7079,3.8365,1.7093
41,-15.5800,-0.5600,3.3700,0.7079,3.8365,1.7093
42,-15.4600,-1.1200,3.3900,0.1996,2.2220,0.8847
43,-15.0000,-1.0300,2.8500,-0.0055,1.4224,0.5105
44,-14.3400,-1.2200,2.0400,-0.1876,0.7134,0.1549
45,-13.3700,-1.4000,1.5600,-0.1876,0.7134,0.1549
46,-13.9900,-1.8300,1.6300,-0.2694,0.0742,-0.1658
47,-13.4600,-1.8500,1.3300,-0.0033,-1.2588,-0.7123
48,-12.3400,-1.5000,0.5500,-0.0153,-1.8784,-1.0483
49,-11.9000,-1.4700,0.0800,-0.0153,-1.8784,-1.0483
