lineno,aX,aY,aZ,gX,gY,gZ
0,0.7600,2.1700,0.8200,0.9916,-1.2272,-0.9948
1,0.7800,2.5100,0.5900,0.9916,-1.2272,-0.9948
2,0.5200,3.4200,0.4800,0.8050,-1.1999,-1.0210
3,0.1100,3.8200,0.5900,0.6043,-1.1137,-1.0134
4,-0.0900,4.2700,0.6900,0.3458,-1.0036,-0.9556
5,-0.4300,4.1300,0.7700,0.2574,-0.9043,-0.8170
6,-0.8000,5.0800,0.5900,0.2247,-0.8388,-0.6141
7,-0.8600,5.3600,0.3400,0.2203,-0.8138,-0.4145
8,-0.8600,5.8100,0.0600,0.1298,-0.8007,-0.2051
9,-0.9400,6.0900,-0.2100,0.0338,-0.7898,0.0360
10,-1.2200,6.1600,-0.8500,-0.1167,-0.7516,0.5552
11,-1.2900,6.2300,-1.2800,-0.1876,-0.7287,0.7887
12,-1.4100,6.4100,-1.6800,-0.3054,-0.6927,0.9588
13,-1.6600,6.6100,-2.2000,-0.4407,-0.6403,1.1181
14,-1.8000,6.7000,-2.6400,-0.5912,-0.6141,1.3090
15,-1.9600,6.8300,-3.1200,-0.5912,-0.6141,1.3090
16,-2.2500,6.6900,-3.9400,-0.7658,-0.5803,1.5206
17,-2.3900,6.2700,-4.3200,-0.9687,-0.5269,1.7573
18,-2.5500,5.8700,-4.7500,-1.2326,-0.4647,1.9995
19,-2.6800,5.3900,-5.1100,-1.4792,-0.3862,2.2275
20,-2.9100,4.0900,-5.6900,-1.9057,-0.1702,2.6420
21,-2.9900,3.6300,-5.9200,-2.0944,-0.0371,2.8187
22,-3.1600,2.9300,-6.0700,-2.2951,0.1091,2.9758
23,-3.6900,0.7900,-6.0800,-2.4347,0.2705,3.1110
24,-3.9500,-0.0800,-6.0500,-2.5056,0.4374,3.2081
25,-4.1000,-0.7100,-6.0300,-2.5056,0.4374,3.2081
26,-4.6700,-1.8400,-5.8400,-2.4795,0.7298,3.1798
27,-5.0700,-1.8900,-5.6000,-2.4489,0.8847,3.1056
28,-4.7800,-1.8300,-5.3900,-2.4249,0.9937,3.1121
29,-5.9600,-2.2500,-4.9500,-2.3529,1.1672,3.2758
30,-5.4800,-2.5400,-4.9200,-2.2635,1.2217,3.3401
31,-5.8200,-2.9800,-4.8000,-2.2635,1.2217,3.3401
32,-5.6500,-3.2500,-4.7000,-2.0409,1.3166,3.4678
33,-5.8500,-4.2000,-4.2800,-2.0409,1.3166,3.4678
34,-5.7000,-4.8200,-4.0500,-1.8708,1.3854,3.4536
35,-5.5800,-5.3900,-3.8400,-1.7028,1.4846,3.3728
36,-5.1700,-6.0700,-3.4700,-1.4923,1.5795,3.2310
37,-5.1400,-6.1600,-3.3200,-0.9807,1.7279,2.7085
38,-5.2600,-5.9500,-3.0500,-0.9807,1.7279,2.7085
39,-4.5400,-5.6500,-3.1100,-0.7298,1.7802,2.3758
40,-4.4200,-5.3300,-3.2000,-0.2989,1.7606,1.9199
41,-4.0700,-4.9500,-3.3800,-0.1396,1.8173,1.7279
42,-3.4900,-4.8400,-3.5000,0.0175,1.9220,1.6264
43,-3.4500,-4.6100,-3.2300,0.2956,2.0966,1.6188
44,-3.4100,-4.4600,-3.1300,0.6392,2.2035,1.6308
45,-3.4400,-4.6000,-3.0800,0.6392,2.2035,1.6308
46,-3.6400,-4.9400,-2.9500,0.8508,2.2875,1.5457
47,-3.6400,-4.9900,-2.8300,0.9872,2.4042,1.3624
48,-3.6700,-4.8000,-2.6200,1.1606,2.5165,1.1519
49,-3.8600,-4.2600,-1.5500,1.4148,2.9245,0.6709
50,-4.9900,-4.4100,-0.4800,1.5523,3.1416,0.4996
51,-4.0200,-3.9200,-0.2800,1.7257,2.8602,0.3752
52,-4.7200,-3.7200,0.2100,1.8119,2.6442,0.2531
53,-4.1000,-3.1600,-0.1400,1.8773,2.3486,0.1004
54,-4.3800,-3.0400,-0.1400,1.9439,2.3300,-0.1527
55,-4.4900,-2.9600,-0.0100,2.0224,2.4151,-0.4189
56,-5.1300,-2.2300,0.6700,2.1500,2.4500,-0.6425
57,-4.7200,-1.9500,0.8400,2.1500,2.4500,-0.6425
58,-4.3500,-1.7300,0.8600,2.2057,2.2198,-1.1279
59,-3.8700,-1.1900,0.9000,2.1435,2.0802,-1.3624
60,-3.8000,-1.0600,1.2000,2.1435,2.0802,-1.3624
61,-3.5500,-1.0500,1.5700,2.0671,2.0224,-1.6013
62,-4.1200,-0.6400,2.4200,2.0191,1.9820,-1.7791
63,-4.1700,-0.6500,3.1100,1.9493,2.0540,-1.9755
64,-4.1200,-0.8500,3.5300,1.9493,2.0540,-1.9755
65,-4.0400,-0.9700,3.7900,1.9340,1.8348,-2.1042
66,-4.1800,-0.4000,4.4100,1.9406,1.5381,-2.2133
67,-4.1500,-0.3100,4.6500,1.9766,1.2294,-2.3736
68,-4.1400,-0.1700,4.8700,2.0431,0.5792,-2.6420
69,-3.9600,0.4900,4.8100,2.0573,0.2411,-2.6878
70,-3.9700,0.5000,4.7900,2.0104,-0.0840,-2.7314
71,-4.0700,0.5600,4.8500,2.0104,-0.0840,-2.7314
72,-4.3900,0.3000,4.9000,1.9929,-0.3894,-2.7751
73,-4.4600,0.6100,4.6700,2.0180,-0.6927,-2.7827
74,-4.4900,1.2000,4.4200,2.0879,-1.0199,-2.7729
75,-4.4400,1.5600,4.0900,2.1708,-1.3679,-2.8362
76,-3.9300,2.4500,3.2200,2.1751,-1.7366,-2.9387
77,-3.6200,2.9300,2.5600,1.9406,-2.4042,-3.0827
78,-3.1400,3.2800,1.9400,1.9406,-2.4042,-3.0827
79,-2.4600,3.4800,1.3700,1.8130,-2.6431,-3.0620
80,-2.1800,3.6500,1.1400,1.6362,-2.7434,-2.9627
81,-2.0300,3.5800,1.0700,1.5283,-2.7794,-2.7860
82,-1.5700,3.8900,0.9200,1.4606,-2.8034,-2.5678
83,-1.4900,4.1300,0.7100,1.4235,-2.7838,-2.1293
84,-1.3700,4.7800,0.4000,1.4094,-2.7391,-1.8675
85,-0.8500,4.9400,0.1300,1.2479,-2.6605,-1.5523
86,-0.9200,5.0600,0.1000,1.2479,-2.6605,-1.5523
87,-0.9200,5.2800,-0.1500,1.0505,-2.5449,-1.1759
88,-0.8800,5.3000,-0.2900,0.9272,-2.5078,-0.8192
89,-0.8500,5.8700,-0.8500,0.7559,-2.4849,-0.6076
90,-0.9300,6.0400,-1.0700,0.3992,-2.4064,-0.3065
91,-1.0300,5.8400,-1.2600,0.1549,-2.3431,-0.1418
92,-0.9400,5.3700,-1.6500,-0.0480,-2.2951,0.0960
93,-0.9300,5.1100,-1.9100,-0.1974,-2.2602,0.3785
94,-0.9900,4.6900,-2.1000,-0.3349,-2.2111,0.6512
95,-1.0400,4.3400,-2.3800,-0.3349,-2.2111,0.6512
96,-0.8300,3.8600,-3.0600,-0.4461,-2.1675,0.9065
97,-0.9200,3.4600,-3.3800,-0.5378,-2.1173,1.1345
98,-0.9900,3.1400,-3.7300,-0.6861,-2.0082,1.3003
99,-1.3500,2.0900,-4.0600,-0.8487,-1.8479,1.4573
100,-1.7800,1.4500,-4.1500,-1.2054,-1.3614,1.7748
101,-2.0400,0.7800,-4.2600,-1.2665,-1.1628,1.9450
102,-2.4300,-0.1700,-4.3400,-1.2545,-1.0014,2.0868
103,-2.6300,-0.5000,-4.3600,-1.2086,-0.8759,2.1686
104,-2.5600,-0.8600,-4.4800,-1.2043,-0.7952,2.2046
105,-2.2000,-1.9400,-4.6300,-1.2283,-0.7396,2.1740
106,-2.0300,-2.3700,-4.6800,-1.2479,-0.6665,2.0966
107,-1.9300,-2.6200,-4.7400,-1.2479,-0.6665,2.0966
108,-2.1200,-2.7600,-4.6600,-1.2523,-0.5651,1.9788
109,-2.5900,-3.4100,-4.3800,-1.2425,-0.4036,1.8282
110,-2.8900,-3.7000,-4.1200,-1.2185,-0.2378,1.7137
111,-3.2400,-3.6600,-3.7600,-1.1923,-0.0851,1.6122
112,-3.5500,-3.6500,-2.9700,-0.8923,0.1233,1.5337
113,-3.5800,-4.0300,-2.7900,-0.7909,0.0873,1.5086
114,-3.5400,-4.3100,-2.5400,-0.7047,0.0044,1.4366
115,-2.2500,-5.1700,-2.4900,-0.5607,-0.1745,1.3646
116,-2.2100,-4.3300,-2.4200,-0.3709,-0.2171,1.2839
117,-2.2800,-3.9800,-2.2000,-0.1331,-0.1516,1.1541
118,-2.2600,-4.0200,-1.9600,-0.0905,-0.0600,1.0145
119,-2.3500,-4.2900,-1.3400,-0.0698,0.0480,0.9218
120,-2.3400,-4.5100,-0.9400,-0.0415,0.1276,0.8149
121,-2.2600,-4.6800,-0.5300,-0.0415,0.1276,0.8149
122,-2.2000,-4.3300,0.0800,0.0076,0.1778,0.6621
123,-2.1300,-4.2300,0.3600,0.1473,0.1920,0.5334
124,-2.0000,-4.2100,0.6300,0.2891,0.1647,0.4058
125,-1.7900,-3.7000,0.7600,0.3862,0.1385,0.2814
126,-1.7800,-3.0300,0.8100,0.6196,0.0731,0.0185
