lineno,aX,aY,aZ,gX,gY,gZ
0,-5.3000,3.3000,-5.7300,-0.7298,0.3229,0.2138
1,-4.8300,1.8100,-5.7400,-0.8039,0.8945,0.3643
2,-4.8900,2.3600,-5.9800,-0.8039,0.8945,0.3643
3,-4.7200,3.8300,-6.2500,-0.6196,1.5315,0.4167
4,-4.5700,3.3300,-6.4200,-0.6196,1.5315,0.4167
5,-4.5000,3.7300,-6.6100,-0.6196,1.8719,0.6436
6,-4.3400,3.6500,-6.6600,-0.5138,2.5198,1.1017
7,-4.5800,3.3700,-6.6600,-0.4189,2.8645,1.3548
8,-4.5000,3.4100,-6.8700,-0.2476,3.1841,1.6428
9,-4.5200,3.2400,-6.9500,-0.1320,3.4994,1.8970
10,-4.8800,2.7800,-6.2300,0.0218,3.7797,2.0540
11,-5.0400,3.0200,-5.8300,0.0218,3.7797,2.0540
12,-5.1700,3.0700,-5.4100,0.2138,4.0273,2.1697
13,-5.2800,3.5000,-4.9600,0.3840,4.2106,2.2744
14,-5.9700,4.1300,-3.8300,0.7974,4.3666,2.5002
15,-6.0600,4.5600,-3.5800,0.7974,4.3666,2.5002
16,-5.9600,5.0600,-3.3500,0.9239,4.3775,2.6245
17,-5.5700,5.3500,-2.5500,0.9479,4.3546,2.7260
18,-5.5400,4.7500,-2.2500,0.8956,4.3131,2.8493
19,-5.2500,3.8800,-2.2900,0.6600,4.0961,3.0576
20,-3.9900,1.2900,-1.7100,0.7516,4.0535,3.1776
21,-5.3300,0.9000,-1.1400,1.0810,4.2608,3.4427
22,-5.4100,0.5100,-0.3200,1.5206,4.5106,3.3183
23,-5.3500,1.7100,0.6300,1.7562,4.6611,3.0511
24,-5.7100,3.3300,2.0000,1.7562,4.6611,3.0511
25,-5.7100,3.1600,2.6800,1.3417,4.6262,2.8754
26,-5.1800,2.8200,3.2700,1.3417,4.6262,2.8754
27,-6.1200,1.5100,4.4400,1.0614,4.6131,2.8940
28,-6.7300,-0.0200,5.0800,0.7538,4.5880,2.8689
29,-6.0500,-1.2400,5.4200,0.3905,4.4910,2.8165
30,-10.8100,-3.9800,8.0300,0.0927,4.3742,2.5907
31,-6.5000,-1.8700,8.3400,-0.0175,4.1910,1.8817
32,-7.3900,-2.0500,9.0800,-0.2258,3.8463,1.7104
33,-7.8900,-2.5100,9.7500,-0.6087,3.4121,1.5806
