lineno,aX,aY,aZ,gX,gY,gZ
0,-1.3000,-0.5800,1.0000,-0.4047,-2.3791,-0.6927
1,-1.2900,-0.2600,0.5800,-0.4047,-2.3791,-0.6927
2,-1.4900,0.0100,0.1500,-0.2956,-2.4042,-0.6938
3,-1.6200,1.1500,-0.6800,-0.1778,-2.3693,-0.7221
4,-1.7800,1.5800,-1.0900,-0.0567,-2.3213,-0.7341
5,-1.8000,1.7400,-1.4700,0.0338,-2.2580,-0.7210
6,-1.8500,1.6600,-1.7000,0.0164,-2.1664,-0.6381
7,-2.0400,3.1000,-2.4400,-0.0589,-2.0475,-0.5192
8,-2.2400,2.9000,-2.6200,-0.0120,-1.9024,-0.4102
9,-2.4200,2.6200,-2.7700,-0.0753,-1.7388,-0.2618
10,-2.7400,2.6400,-3.1000,-0.1953,-1.5839,-0.0884
11,-2.8600,2.6800,-3.2200,-0.2193,-1.4203,0.0927
12,-3.0700,2.7100,-3.3200,-0.1953,-1.2610,0.2553
13,-3.6900,3.0000,-3.3800,-0.2062,-1.1050,0.3698
14,-4.0200,3.1300,-3.3700,-0.2563,-0.8247,0.5912
15,-4.3700,3.2000,-3.4000,-0.2563,-0.8247,0.5912
16,-4.6500,3.2600,-3.5200,-0.2836,-0.7581,0.7385
17,-4.8100,3.1900,-4.1100,-0.3327,-0.7287,0.9108
18,-4.7900,3.2300,-4.4000,-0.4091,-0.7298,1.0810
19,-4.7500,3.3800,-4.6600,-0.5203,-0.7079,1.2337
20,-4.6500,3.4900,-5.2300,-0.5945,-0.6305,1.3821
21,-4.6400,3.5200,-5.5000,-0.6523,-0.4985,1.5435
22,-4.7000,3.4300,-5.6100,-0.7298,-0.3578,1.7050
23,-4.9400,2.7900,-5.6500,-0.8476,-0.1898,1.8500
24,-5.1000,2.2100,-5.5900,-0.9741,-0.0087,1.9940
25,-5.2800,1.7700,-5.4600,-1.0876,0.1734,2.1468
26,-5.2500,1.2600,-5.3100,-1.1836,0.3589,2.2918
27,-5.2000,0.0700,-5.0700,-1.2228,0.5432,2.4151
28,-5.1300,-0.0100,-4.9600,-1.2425,0.7112,2.4816
29,-4.9200,-0.2000,-4.8700,-1.2446,0.8705,2.4827
30,-4.7400,-0.7200,-4.4500,-1.2446,1.0112,2.4478
31,-4.6000,-0.8200,-4.3200,-1.2588,1.1650,2.4249
32,-4.6500,-1.0200,-4.0300,-1.2381,1.3286,2.4020
33,-5.0100,-1.6800,-3.2300,-1.1934,1.4530,2.3736
34,-4.6300,-1.7700,-3.0000,-1.1192,1.5337,2.3595
35,-4.5700,-2.2600,-2.9200,-0.9992,1.5413,2.3747
36,-3.8000,-2.6200,-2.9800,-0.9425,1.4486,2.4576
37,-2.7300,-3.1300,-3.3000,-0.8858,1.2937,2.4184
38,-2.2600,-3.3000,-3.3700,-0.9119,1.3668,2.3355
39,-1.9200,-3.7300,-3.1900,-1.0057,1.5064,2.2482
40,-2.0900,-5.3000,-2.3400,-1.1214,1.6701,2.1740
41,-1.9400,-6.0100,-2.0000,-1.1836,1.7846,2.0802
42,-1.7900,-7.1500,-1.5000,-1.2261,1.8599,1.9504
43,-1.4900,-9.6000,-0.5300,-1.2348,1.9035,1.8097
44,-1.1700,-10.6500,0.0000,-1.1214,1.9275,1.6373
45,-0.8300,-11.6300,0.5900,-0.9272,1.9537,1.4301
46,-0.4800,-12.5300,1.2200,-0.7025,1.9809,1.1650
47,-0.0700,-13.5700,2.6700,-0.4494,1.9951,0.8585
48,0.0300,-13.7200,3.6300,-0.4494,1.9951,0.8585
49,-0.0600,-13.7400,4.6300,-0.1767,2.0093,0.5312
50,-1.1000,-13.0500,6.8800,0.0698,2.0071,0.1702
51,-1.5300,-12.8300,7.7300,0.2825,1.9559,-0.2182
52,-1.5400,-11.9000,8.1200,0.4003,1.8141,-0.6469
53,-2.3100,-9.1000,8.7000,0.4821,1.5544,-1.1574
54,-2.7200,-7.5500,8.6900,0.6785,1.2686,-1.5937
55,-3.1400,-6.1700,8.6100,0.8934,0.9796,-1.9624
56,-3.6500,-3.2000,7.6900,1.0821,0.6807,-2.2602
57,-3.6800,-1.9100,6.8900,1.2425,0.3403,-2.4980
58,-3.6300,-0.6000,6.0600,1.3908,-0.0305,-2.6769
59,-3.6800,0.6700,5.3300,1.4977,-0.3916,-2.8067
60,-3.2900,2.8300,3.7000,1.5566,-0.6905,-2.8820
61,-3.2700,3.6100,2.8300,1.5632,-0.9501,-2.8907
62,-3.3100,4.0000,2.0900,1.4824,-1.1781,-2.8394
63,-3.2800,4.6500,0.8300,1.3275,-1.3352,-2.7533
64,-3.4100,4.5200,0.3300,1.1432,-1.4432,-2.6474
65,-3.4500,4.3900,-0.2400,1.0003,-1.5195,-2.5176
66,-3.2200,4.3600,-1.6400,0.8225,-1.5664,-2.3955
67,-3.2900,4.3400,-2.1000,0.7232,-1.5970,-2.2635
68,-3.2300,4.2700,-2.5400,0.7047,-1.4617,-1.9689
69,-3.4100,4.4400,-2.9200,0.7461,-1.3624,-1.7791
70,-3.0800,4.2800,-4.0200,0.7461,-1.3624,-1.7791
71,-2.9200,4.3900,-4.5800,0.7974,-1.2806,-1.5675
72,-2.7800,4.4200,-5.1000,0.8912,-1.1279,-1.1672
73,-2.4100,4.4600,-5.8900,0.8836,-1.0276,-1.0036
74,-2.4500,4.2800,-6.1300,0.8574,-0.8934,-0.8487
75,-2.4700,4.5000,-6.3800,0.8738,-0.7199,-0.6850
76,-2.0500,4.7300,-6.8300,0.8945,-0.5498,-0.5072
77,-1.9000,4.8300,-7.0100,0.8443,-0.3763,-0.3523
78,-1.7200,5.0100,-7.1300,0.6665,0.0218,-0.0654
79,-1.5200,5.1300,-7.2100,0.5247,0.2345,0.1167
80,-1.5200,4.9400,-7.0300,0.3131,0.4505,0.3851
81,-1.6900,4.3300,-6.8800,0.1113,0.6621,0.6250
82,-1.7900,3.4400,-6.7300,0.1113,0.6621,0.6250
83,-2.4700,2.4300,-5.9500,0.0196,0.8650,0.7887
84,-2.7300,1.9700,-5.5900,0.0196,1.0592,0.9174
85,-2.9800,1.7500,-5.3100,0.2007,1.3384,1.0712
86,-3.4200,1.4100,-4.6400,0.3545,1.4268,1.1116
87,-3.2700,1.5800,-4.4800,0.3545,1.4268,1.1116
88,-2.9200,1.9500,-4.3500,0.5498,1.4977,1.1410
89,-2.5500,2.3100,-4.0700,0.6818,1.5577,1.1737
90,-2.3100,2.0500,-3.9200,0.6523,1.7039,1.3003
91,-2.0800,1.7600,-3.7400,0.5541,1.8021,1.3603
92,-2.1400,1.5300,-3.3800,0.4614,1.9242,1.4061
93,-2.5200,0.0800,-2.4700,0.4614,1.9242,1.4061
94,-2.4900,-0.7200,-2.2900,0.4200,1.9929,1.4595
95,-2.6400,-1.3500,-1.9500,0.5116,2.1162,1.5664
96,-2.5400,-1.5400,-1.1800,0.7221,2.2929,1.5272
97,-2.2600,-1.3500,-0.9300,1.0232,2.3966,1.4693
98,-2.0200,-1.3700,-0.7300,1.3166,2.4773,1.4312
99,-2.1200,-1.4800,-0.1700,1.5250,2.5471,1.4159
100,-1.8000,-1.3700,-0.0300,1.6592,2.6256,1.3679
101,-1.8500,-1.2200,0.2100,1.7671,2.6802,1.2621
102,-1.7300,-0.4200,0.4200,1.8457,2.7293,1.1552
103,-1.6100,1.4200,1.2300,1.6461,2.8002,1.0221
104,-2.1400,1.3400,2.0100,1.2337,2.8842,0.9807
105,-2.5700,1.2200,3.0100,1.2337,2.8842,0.9807
106,-3.7500,-0.3500,4.8000,0.8378,2.9158,0.9523
107,-3.8200,-1.0800,5.4400,0.4756,2.8482,0.9567
108,-3.0100,-2.3300,5.4000,0.2334,2.6813,0.9054
109,-2.2400,-3.2100,5.8700,0.1942,2.3366,0.5563
110,-2.4800,-3.8900,5.7400,0.1942,2.3366,0.5563
111,-2.5900,-4.2800,5.8400,0.2313,2.0857,0.4832
112,-1.2400,-4.6400,5.4100,0.6283,1.7431,0.5192
113,-1.1200,-5.0200,5.1000,0.8388,1.6788,0.5465
114,-0.7700,-4.7600,4.9300,0.9697,1.5741,0.4385
115,-0.5500,-4.7900,4.7500,0.9261,1.4344,0.2978
116,-0.1500,-5.5600,4.1500,0.7494,1.2588,0.1189
117,0.2200,-6.3300,3.6800,0.5454,1.1028,-0.0796
118,0.3800,-6.7300,3.2700,0.5454,1.1028,-0.0796
119,0.7500,-7.9600,2.4400,0.3927,0.9883,-0.3022
120,0.9200,-8.2500,2.1000,0.2847,0.8574,-0.5312
121,1.0800,-8.3500,1.8300,0.2803,0.7679,-0.7996
122,1.1300,-8.3600,1.5900,0.3840,0.7069,-1.0428
123,0.9900,-7.1400,1.4400,0.6283,0.6796,-1.2032
124,0.0700,-6.5200,1.9200,1.2075,0.8116,-1.3832
125,-0.6200,-6.3900,2.3100,1.4737,0.7974,-1.3679
126,-1.4600,-5.0300,2.2800,1.4737,0.7974,-1.3679
127,-1.4000,-4.3800,1.9600,1.6275,0.4592,-1.5686
128,-1.3100,-3.5800,1.6200,1.5283,0.2683,-1.7519
129,-1.7400,-1.9900,1.7200,1.3352,0.1800,-1.9679
130,-2.3000,-1.2900,2.1200,1.1803,0.1342,-2.1238
131,-2.9500,-0.6600,2.6100,1.1465,0.0796,-2.1544
132,-3.6700,0.0100,3.2500,1.2075,0.0022,-2.0595
133,-5.2400,1.9400,4.4800,1.2675,-0.1134,-1.9111
134,-5.9400,2.3700,5.1200,1.3057,-0.2847,-1.7061
135,-6.3600,2.9900,5.3800,1.4192,-0.5291,-1.4246
136,-6.6100,4.2000,5.4500,1.4879,-0.8247,-1.1137
137,-6.4500,4.8500,5.1500,1.4879,-0.8247,-1.1137
138,-6.1400,5.4400,4.6000,1.4923,-1.1432,-0.8236
139,-5.0100,5.4500,3.1900,1.3930,-1.4377,-0.5825
140,-4.3100,5.1400,2.3200,1.1977,-1.7191,-0.3174
141,-3.6100,4.5400,1.4700,0.9392,-1.9602,-0.0535
142,-2.8100,3.8900,0.3700,0.5978,-2.1566,0.1222
143,-1.6200,3.1700,-1.7500,-0.3163,-2.3900,-0.0938
144,-1.2700,0.5800,-1.0400,-0.6665,-2.1948,-0.1287
