lineno,aX,aY,aZ,gX,gY,gZ
0,-1.7200,0.0900,-8.3100,0.2716,2.1413,0.4669
1,-1.1900,0.5600,-8.6900,0.2716,2.1413,0.4669
2,-1.6400,1.7200,-8.8600,0.4723,2.6365,0.6545
3,-1.5200,1.8500,-8.7100,0.5367,3.3292,0.9119
4,-1.7400,1.3400,-8.5200,0.5061,3.9695,1.2348
5,-2.2600,0.8000,-7.9800,0.4985,4.5062,1.5784
6,-2.1700,0.2300,-7.9000,0.6425,4.8640,1.9253
7,-2.0300,0.2000,-7.9300,0.7570,5.4978,2.2297
8,-2.9100,0.4600,-7.5300,0.8683,5.8730,2.3017
9,-3.6600,1.4100,-6.6800,1.1301,6.2810,2.4511
10,-4.8200,1.7700,-5.4800,1.3963,6.5352,2.7402
11,-6.6500,2.4300,-3.5700,1.3963,6.5352,2.7402
12,-6.4400,2.2400,-2.9500,1.6842,6.5134,3.0598
13,-6.0900,2.1900,-2.6000,1.8380,6.2723,3.3085
14,-5.7600,1.2900,-2.2600,1.8380,5.9505,3.5310
15,-5.1400,1.0500,-2.7000,1.7268,5.6789,3.7110
16,-4.6400,1.7600,-2.8600,1.8730,5.4432,3.8877
17,-4.4300,2.2100,-2.6100,1.9428,5.3145,4.0459
18,-3.8800,2.4400,-2.4000,1.8402,5.2545,4.0710
19,-5.9400,1.6600,-1.3300,1.8402,5.2545,4.0710
20,-4.8700,1.5400,-0.9200,1.6919,5.2818,4.0601
21,-4.6600,0.8000,-0.3900,1.4334,4.9349,3.9946
22,-4.0500,0.4100,-1.0300,0.8923,4.2128,3.7579
23,-3.4300,-0.4600,-1.4900,0.8923,4.2128,3.7579
24,-3.2100,-0.6300,-1.8000,0.5683,4.1855,3.6248
25,-2.9200,0.2400,-2.7700,0.2105,4.8880,3.5463
26,-3.1700,0.4900,-2.1500,-0.0884,5.4345,3.5997
27,-4.8000,-0.4600,-0.5100,0.1025,5.6309,3.7110
28,-6.7200,-2.2100,2.2000,0.4778,5.3800,3.7579
29,-6.9400,-1.8600,3.1700,0.9567,4.8302,3.7655
30,-6.7400,-1.3800,3.4900,1.2555,4.2444,3.6696
31,-6.2400,-0.0400,3.2100,1.0756,3.8724,3.5190
32,-6.4800,-0.5900,3.9900,1.0756,3.8724,3.5190
33,-6.7500,-0.6800,4.4500,0.7843,3.6336,3.4972
34,-6.8600,-1.4600,4.6300,0.6567,3.3041,3.5507
35,-6.8000,-2.3200,4.3900,0.4734,2.3333,3.3314
36,-6.4300,-2.4700,3.9800,0.3883,1.9122,3.1252
37,-6.2200,-2.8100,3.6800,0.3883,1.9122,3.1252
38,-6.4700,-3.2300,3.6400,0.2727,1.6341,2.9245
39,-6.5600,-3.8100,3.7000,0.2411,1.4301,2.7391
40,-6.9300,-4.0800,3.9600,0.1745,0.8836,2.2122
41,-7.1800,-4.7100,4.1800,0.0938,0.5923,1.8380
42,-7.3600,-5.3500,4.3500,-0.0207,0.2487,1.4421
43,-7.3900,-5.3800,4.2900,0.0011,-0.1298,1.0636
44,-7.5600,-5.5300,3.9900,0.0240,-0.5683,0.7069
45,-6.0700,-5.3300,2.5400,-0.0338,-0.9916,0.3360
46,-5.8800,-5.0800,2.2200,-0.1702,-1.1901,0.0240
47,-5.7800,-4.6500,2.1700,-0.2498,-1.3472,-0.2989
48,-5.4400,-4.9300,1.9100,-0.3709,-1.5872,-0.6120
49,-5.0700,-4.8000,1.6000,-0.4080,-1.8533,-0.8661
50,-4.8600,-4.6700,1.3400,-0.3840,-2.1053,-1.0527
51,-4.0600,-4.0400,0.6000,-0.3469,-2.3409,-1.2610
52,-4.0300,-3.6500,0.4800,-0.3469,-2.3409,-1.2610
53,-3.9900,-3.7300,0.4100,-0.3534,-2.5176,-1.4824
54,-3.9100,-3.9600,0.3300,-0.3862,-2.8416,-1.9199
55,-3.8900,-3.6300,0.5100,-0.3229,-3.0347,-2.1413
56,-3.7200,-3.5100,0.1700,-0.3109,-3.2692,-2.3867
57,-3.5000,-3.2100,-0.4300,-0.3109,-3.2692,-2.3867
58,-3.4300,-2.6500,-0.6200,-0.2836,-3.4874,-2.6114
59,-3.1300,-2.3600,-1.0800,-0.2313,-3.6281,-2.8002
60,-3.0000,-2.5600,-1.3000,-0.1484,-3.8703,-3.0107
61,-2.8800,-1.6500,-1.3200,-0.0382,-3.8943,-2.9921
62,-2.8000,-1.2700,-1.6400,0.0491,-3.8921,-2.9256
63,-2.4700,-0.7600,-2.0900,-0.0436,-3.8365,-2.8514
64,-2.0500,-0.6400,-2.2700,-0.1353,-3.7241,-2.8023
65,-2.1400,-0.7600,-2.1100,-0.1353,-3.7241,-2.8023
66,-2.3700,-0.7200,-1.8300,-0.1713,-3.5627,-2.7129
67,-2.6300,-0.9900,-1.3800,-0.0218,-3.4328,-2.5580
68,-3.2700,-2.6200,-0.5700,0.1876,-3.3608,-2.3507
69,-2.9600,-2.8200,-0.9400,0.3665,-3.4634,-2.1762
70,-2.7200,-3.0300,-1.5100,0.9141,-3.9750,-2.1031
71,-1.9600,-2.9900,-1.9200,0.9141,-3.9750,-2.1031
72,-2.6700,-3.2200,-1.7800,1.3232,-4.1637,-2.0475
73,-2.6800,-3.2900,-1.8700,1.4104,-4.2215,-1.9875
74,-2.4200,-3.7500,-2.2300,1.4868,-4.3208,-1.9864
75,-2.5100,-4.0300,-2.4400,1.4497,-4.3895,-2.1391
76,-2.6000,-3.8500,-2.5800,1.4497,-4.3895,-2.1391
77,-2.5400,-3.7600,-2.7800,1.4901,-4.2477,-2.4326
78,-1.7500,-3.8000,-2.9900,1.5283,-4.1048,-2.4860
79,-2.0900,-3.9600,-2.6800,1.5283,-4.1048,-2.4860
80,-2.3900,-4.2100,-2.3900,1.5228,-3.8834,-2.5427
81,-2.6400,-4.2400,-1.9300,1.5075,-3.5168,-2.8100
82,-2.7600,-4.1100,-1.8800,1.5075,-3.5168,-2.8100
83,-2.4700,-3.6800,-2.1100,1.6690,-3.4405,-2.8896
84,-1.3600,-2.3000,-2.7000,1.9090,-3.4045,-2.9038
85,-0.8300,-1.8800,-3.0200,2.1838,-3.3052,-2.8231
86,-0.9700,-1.5800,-3.2000,2.1795,-3.1121,-2.5067
87,-0.7100,-0.8800,-2.9200,2.1795,-3.1121,-2.5067
88,-0.2200,-0.1300,-2.9200,2.1391,-2.9092,-2.3976
89,0.0100,0.1800,-2.9000,1.9482,-2.7053,-2.4053
90,0.1700,0.2900,-2.8700,1.7726,-2.5144,-2.3496
91,-0.2900,-0.0200,-1.8200,1.5752,-2.3431,-2.2286
92,-0.5600,-0.4900,-1.5100,1.3199,-2.1478,-2.0944
93,-0.4600,-0.3600,-1.4100,0.9741,-2.0071,-2.0617
94,0.3000,0.0500,-1.7600,0.6992,-1.9428,-2.0333
95,0.4700,-0.0400,-1.7300,0.6992,-1.9428,-2.0333
96,0.4000,-0.1700,-1.5100,0.6207,-1.8664,-1.9657
97,-0.5700,-0.1500,-0.5600,0.4952,-1.5555,-1.6919
98,-1.2200,-0.4800,-0.1500,0.4440,-1.4770,-1.5097
99,-1.1800,-0.6500,-0.3700,0.3142,-1.5479,-1.4464
100,-0.8400,-0.5800,-0.6700,0.3120,-1.6952,-1.4017
101,0.6300,-0.1300,-1.7600,0.3120,-1.6952,-1.4017
102,1.0500,0.2500,-2.0700,0.4560,-1.7039,-1.2490
103,1.0800,0.5400,-2.0300,0.4647,-1.4835,-1.1890
104,0.6200,0.9500,-1.8300,0.4025,-1.2534,-1.1137
105,0.6100,1.0500,-1.8200,0.2945,-1.1061,-1.0057
106,0.5200,1.2600,-1.8500,0.1189,-1.0319,-0.9272
107,0.7500,1.7600,-2.0700,-0.0884,-0.9872,-0.8607
108,1.0900,2.0900,-2.3000,-0.2356,-0.9577,-0.7439
109,1.3300,2.4000,-2.4100,-0.3611,-0.9327,-0.5814
110,1.3200,2.7600,-2.3600,-0.5258,-0.8672,-0.3851
111,1.5900,2.7600,-2.1800,-0.6687,-0.7679,-0.1429
112,1.4000,2.3100,-2.1100,-0.7985,-0.6436,0.1625
113,1.0400,2.0500,-2.0300,-0.9534,-0.5356,0.4625
114,0.6600,0.8400,-1.7700,-1.1476,-0.4189,0.6294
115,0.3900,0.1100,-1.5800,-1.2795,-0.3294,0.6796
116,1.3000,-3.8500,-0.5400,-1.2959,-0.2662,0.5890
117,-0.5100,2.2800,-1.1800,-0.7003,-0.2596,0.1625
118,0.0100,1.1300,-0.9100,-0.2563,-0.1451,-0.0425
