lineno,aX,aY,aZ,gX,gY,gZ
0,-2.3600,4.7800,-1.1200,0.9643,-0.4931,0.1484
1,-2.4500,4.4900,-1.1400,0.5083,-0.2389,0.4745
2,-2.5400,4.0300,-1.2500,0.2171,0.0000,0.9098
3,-2.8800,3.8100,-1.4500,-0.0338,0.1516,1.1585
4,-2.7600,3.4500,-1.8700,-0.4723,0.2771,1.2752
5,-2.6100,3.0900,-2.3700,-0.6861,0.3545,1.3908
6,-2.4300,2.7400,-2.6700,-0.9141,0.4865,1.4803
7,-1.9900,2.4500,-3.1300,-1.0777,0.6545,1.5610
8,-1.9500,2.3200,-3.3800,-1.2730,0.8498,1.6526
9,-2.0000,1.9200,-3.4800,-1.5250,1.0767,1.7650
10,-2.2100,1.3400,-3.5800,-1.7028,1.3145,1.8697
11,-2.3600,0.9500,-3.6700,-1.8882,1.5839,1.9766
12,-2.7200,0.7300,-3.8200,-2.1064,1.8850,2.0813
13,-3.5100,-0.2500,-3.5100,-2.1064,1.8850,2.0813
14,-4.2100,-0.5400,-3.3200,-2.3322,2.1762,2.1838
15,-4.7600,-0.7200,-3.2400,-2.5089,2.4086,2.2842
16,-5.4900,-1.4900,-3.0700,-2.8111,2.6005,2.4151
17,-5.5100,-1.5300,-3.2800,-2.9998,2.6180,2.4238
18,-5.4600,-1.7700,-3.4200,-2.9998,2.6180,2.4238
19,-5.5200,-1.9600,-3.6000,-3.1972,2.6605,2.4304
20,-5.6200,-2.7300,-3.7100,-3.3576,2.7293,2.4435
21,-5.7700,-2.9300,-3.7800,-3.5507,2.8536,2.4260
22,-5.9400,-3.0800,-3.7400,-3.5932,2.9365,2.3889
23,-6.6900,-4.1800,-3.1300,-3.6237,2.9976,2.2995
24,-6.7300,-4.6200,-2.9700,-3.6074,2.9911,2.1795
25,-6.6700,-5.0200,-2.8300,-3.5627,2.9147,1.9929
26,-7.1200,-5.9000,-2.4600,-3.5627,2.9147,1.9929
27,-5.3800,-5.5400,-2.2800,-3.4830,2.8023,1.7737
28,-7.2400,-6.2700,-2.4600,-3.1296,2.5209,1.6952
29,-6.9800,-5.8700,-1.9500,-2.7358,2.5296,1.5992
30,-6.3800,-6.4500,-2.0500,-2.4315,2.2809,1.4421
31,-6.2800,-6.9100,-1.8800,-2.0693,2.2362,1.3919
32,-6.0500,-6.6800,-1.7800,-2.0693,2.2362,1.3919
33,-6.2300,-6.3200,-1.6400,-1.5413,2.1249,1.2992
34,-5.9400,-5.9300,-1.7000,-1.0690,2.0475,1.1836
35,-5.7300,-5.7000,-1.8300,-0.6752,1.9319,0.9828
36,-5.2300,-5.6500,-2.0500,-0.1374,1.6744,0.6676
37,-4.9300,-5.7400,-2.2000,0.0796,1.5664,0.5181
38,-4.6700,-5.8100,-2.3600,0.2847,1.5053,0.3262
39,-4.6800,-5.8100,-2.4600,0.4265,1.4824,0.0796
40,-4.9800,-5.3900,-2.6200,0.5236,1.4595,-0.2247
41,-4.9900,-5.2900,-2.5900,0.5236,1.4595,-0.2247
42,-5.0800,-5.2300,-2.4800,0.6196,1.4214,-0.5225
43,-5.0900,-4.9600,-2.4400,0.7156,1.4061,-0.7799
44,-5.0100,-4.8000,-2.4000,0.8290,1.3548,-1.0145
45,-4.8900,-4.7400,-2.3500,0.9381,1.3090,-1.2294
46,-5.1600,-4.4700,-1.8300,1.2643,1.3679,-1.5119
47,-5.3000,-4.3800,-1.3600,1.5730,1.4083,-1.5653
48,-5.5500,-4.1200,-0.8800,1.9330,1.3570,-1.5970
49,-5.8300,-3.8500,-0.3800,2.2318,1.2174,-1.6450
50,-5.5000,-2.5800,-0.2400,2.4358,0.9937,-1.7344
51,-5.2000,-2.0600,-0.3000,2.5438,0.8290,-1.8653
52,-5.0400,-1.5000,-0.3700,2.6322,0.6829,-1.9897
53,-4.4600,-0.2400,-0.4800,2.6933,0.6141,-2.1075
54,-4.1700,0.2500,-0.6100,2.7260,0.5923,-2.1729
55,-3.6400,0.6900,-0.7200,2.7260,0.5923,-2.1729
56,-3.2200,1.3300,-0.5900,2.7380,0.6000,-2.2002
57,-2.8800,1.3900,-0.5200,2.7064,0.6381,-2.1718
58,-2.7900,1.2600,-0.3800,2.6322,0.6796,-2.1162
59,-3.0600,0.7600,-0.5000,2.5231,0.7112,-2.0529
60,-2.1800,2.1600,-0.2100,2.4435,0.8345,-1.8206
61,-2.7000,1.4700,0.0300,2.3747,1.0112,-1.9297
62,-2.6400,1.8400,0.0800,2.3398,1.0876,-1.6297
63,-2.7500,2.0200,0.3300,2.3224,1.1334,-1.4443
64,-2.6800,2.2200,0.3200,2.2820,1.0625,-1.1781
65,-2.2000,2.9000,0.1600,2.2384,0.9894,-1.0516
66,-2.0300,3.5200,0.2600,2.0191,1.0188,-1.0581
67,-1.8700,3.5800,0.4300,1.7039,1.0559,-1.0188
68,-1.7500,3.2100,0.6400,1.3526,1.0734,-0.9839
69,-1.8000,2.1600,0.9700,1.0177,1.0952,-0.9261
70,-1.7400,1.7300,1.1400,0.8105,1.0974,-0.8378
71,-1.7300,1.2800,1.4500,0.7221,1.0952,-0.7450
72,-1.7400,0.9600,1.7100,0.7221,1.0952,-0.7450
73,-1.8800,1.1600,2.1300,0.7396,1.0963,-0.6414
74,-2.0000,1.5300,2.3400,0.8563,1.0788,-0.5258
75,-2.0700,1.9800,2.5500,1.0428,1.0439,-0.3916
76,-1.7400,3.2600,2.3900,1.2348,0.9937,-0.2334
77,-1.3900,3.7800,2.2000,1.3657,0.8999,-0.0600
78,-1.0700,4.1200,2.0100,1.3908,0.7799,0.0753
79,-0.4900,4.3700,1.5900,1.2752,0.6872,0.1953
80,-0.3200,4.1100,1.5100,1.0734,0.6512,0.3294
81,-0.1200,3.6800,1.5100,0.8072,0.6567,0.4560
82,-0.0100,3.1500,1.5200,0.5192,0.6872,0.5640
83,-0.4300,2.1100,1.8700,0.2618,0.7341,0.6676
84,-0.7400,1.8500,2.1300,0.0818,0.8083,0.7887
85,-1.1100,1.6800,2.5100,0.0142,0.8508,0.9098
86,-1.8000,1.5200,3.1300,-0.0185,0.8923,1.0177
87,-1.8300,1.3000,3.1600,-0.0142,0.8618,1.1585
88,-1.8600,0.8500,3.2100,-0.0458,0.7581,1.3101
89,-2.1200,-0.2000,3.3300,-0.1625,0.5989,1.4214
90,-2.4000,-0.9200,3.3800,-0.3043,0.4483,1.4966
91,-2.4900,-1.5900,3.4300,-0.4407,0.3589,1.5446
92,-2.7000,-2.7400,3.4600,-0.5400,0.2727,1.5686
93,-2.9100,-2.9500,3.6100,-0.5880,0.1647,1.5272
94,-3.4300,-3.2400,3.9100,-0.5945,0.0709,1.4464
95,-3.6400,-3.1000,4.0300,-0.5225,0.0055,1.3330
96,-3.9900,-3.2400,4.0200,-0.4200,-0.0949,1.2555
97,-3.8800,-3.0400,3.7500,-0.3392,-0.2509,1.1737
98,-3.9700,-3.0900,3.4900,-0.3043,-0.4560,1.1268
99,-3.8600,-2.3500,2.9200,-0.2247,-0.6370,1.0832
100,-3.7500,-2.1400,2.5300,-0.1451,-0.7679,1.0690
101,-3.7900,-2.2600,2.2600,-0.1047,-0.8596,1.0287
102,-3.9200,-2.6500,2.0200,-0.1625,-0.9305,1.0243
103,-3.8700,-2.7600,1.7800,-0.2345,-0.9927,1.0330
104,-4.0700,-2.9300,1.6200,-0.3087,-1.0090,1.0352
105,-4.3900,-3.0200,1.6000,-0.3534,-1.0461,1.0352
106,-4.4100,-3.0500,1.1900,-0.3829,-1.0723,1.0134
107,-4.3700,-3.1100,0.8800,-0.3600,-1.1377,1.0352
108,-4.4200,-2.9200,0.6300,-0.3567,-1.2261,1.0417
109,-4.1300,-2.6600,0.1100,-0.3458,-1.3025,1.0570
110,-3.8700,-3.0200,-0.3400,-0.3240,-1.3548,1.0897
111,-3.6000,-3.5400,-0.7400,-0.3469,-1.3995,1.1497
112,-2.3200,-4.1200,-1.6700,-0.4385,-1.4508,1.1661
113,-3.6700,-4.1100,-1.4200,-0.5192,-1.4464,1.1083
114,-3.3500,-3.6300,-1.5300,-0.5672,-1.2141,0.5596
115,-3.3100,-3.5300,-1.5400,-0.5672,-1.2141,0.5596
116,-3.2900,-3.6800,-1.6200,-0.4167,-1.0472,0.5520
117,-3.1300,-3.6900,-1.7700,-0.2618,-0.8879,0.5291
