lineno,aX,aY,aZ,gX,gY,gZ
0,-1.0000,-2.8400,0.5900,-1.0581,-2.1762,-0.5749
1,-1.0300,-2.0700,0.2900,-1.0581,-2.1762,-0.5749
2,-0.8100,-1.0300,-0.1700,-0.9196,-2.1958,-0.5629
3,-0.7300,-1.6300,-0.3200,-0.6829,-2.2089,-0.6065
4,-0.6800,-2.2900,-0.3300,-0.7930,-2.2024,-0.6501
5,-0.7500,-2.5700,-0.4400,-0.9348,-2.1642,-0.6185
6,-0.9100,-1.9400,-0.8800,-0.9054,-2.1304,-0.5716
7,-0.9400,-1.5500,-1.0300,-0.7821,-2.0529,-0.7243
8,-1.2200,-1.4900,-1.0800,-0.6349,-1.9504,-0.8192
9,-1.5500,-1.1700,-1.4300,-0.5825,-1.8424,-0.8203
10,-1.8800,-1.0900,-1.5400,-0.5770,-1.7050,-0.7472
11,-2.1000,-0.9600,-1.5900,-0.5203,-1.5566,-0.6512
12,-2.3400,-0.6600,-1.7100,-0.4658,-1.3864,-0.5945
13,-2.5000,-0.1800,-2.3700,-0.4352,-1.2272,-0.5334
14,-2.5600,-0.2300,-2.6600,-0.4483,-1.0734,-0.4669
15,-2.6000,-0.3100,-3.0100,-0.5072,-0.9185,-0.3938
16,-2.6100,0.1000,-3.7600,-0.5094,-0.7374,-0.2738
17,-2.6800,0.3300,-4.0300,-0.3545,-0.5236,-0.0753
18,-2.8500,0.4200,-4.1500,-0.1309,-0.2847,0.1516
19,-3.2900,0.2000,-4.4300,0.0109,-0.0251,0.3534
20,-3.3700,-0.4200,-4.5700,0.0513,0.2105,0.5280
21,-3.4600,-0.4900,-4.6700,0.0884,0.4549,0.6818
22,-3.0700,-0.7400,-5.1700,0.1233,0.6741,0.8443
23,-2.8600,-0.6100,-5.5900,0.2531,0.9316,1.0047
24,-2.8600,-0.8600,-5.8600,0.3043,1.1988,1.1454
25,-2.4400,-1.1800,-6.1800,0.2629,1.6079,1.2315
26,-2.5400,-1.0700,-6.0300,0.2236,2.0464,1.3537
27,-2.4300,-0.5300,-6.1500,0.3218,2.5176,1.4563
28,-2.3800,-0.2200,-6.1600,0.5781,2.9878,1.5882
29,-3.0100,-0.1200,-5.6100,0.8912,3.6837,1.8119
30,-3.0300,0.0700,-5.6500,1.0810,3.8768,1.9733
31,-2.9100,0.2600,-5.7700,1.2926,4.0033,2.1380
32,-3.7500,-0.1200,-5.0300,1.3548,4.1844,2.2537
33,-4.1600,0.4900,-4.7800,1.3548,4.1844,2.2537
34,-3.7000,1.3000,-4.7800,1.4279,4.4059,2.3355
35,-3.8100,0.7300,-4.2300,1.6624,4.5389,2.4096
36,-4.1300,1.3900,-3.2800,1.6221,4.6786,2.4195
37,-4.0500,1.9200,-3.0300,1.7901,4.8836,2.5558
38,-4.2900,2.2000,-2.4700,1.6766,4.9993,2.5187
39,-4.5600,2.6100,-2.1600,1.3963,5.0385,2.4500
40,-4.4000,2.0100,-1.7400,0.8388,5.1160,2.3955
41,-4.5400,1.9000,-1.1700,0.5236,5.1236,2.4031
42,-5.0300,0.6600,-0.3800,0.5236,5.0833,2.5776
43,-5.6700,0.1900,0.5800,0.7221,4.9426,2.7893
44,-4.5500,0.4100,0.4900,0.7221,4.9426,2.7893
45,-4.7500,0.5200,0.7100,0.8999,4.6469,2.7980
46,-5.2300,1.5900,1.0000,0.9948,4.5662,2.7325
47,-5.7000,1.9600,1.1000,0.9948,4.5662,2.7325
48,-5.9800,1.1500,1.2200,0.8639,4.5848,2.7194
49,-6.8000,-0.1300,1.1700,0.7647,4.5095,2.7096
50,-6.6600,-1.0400,1.2100,0.7505,4.4746,2.6344
51,-6.6400,-1.6400,1.5500,0.7505,4.4746,2.6344
52,-6.6300,-1.8500,1.1500,0.8432,4.4440,2.4947
53,-6.3400,-2.1100,0.9100,0.6654,4.2324,2.0911
54,-5.9800,-2.5900,0.7600,0.5367,4.1801,1.9657
55,-6.2900,-3.0500,1.3000,0.5367,4.1801,1.9657
56,-5.8300,-3.9300,1.1800,1.0319,3.6936,2.0944
57,-5.8200,-4.3300,1.1400,1.0319,3.6936,2.0944
58,-5.8500,-4.4900,1.1600,1.1410,3.5081,2.0431
59,-6.2300,-4.5100,1.0400,1.1399,3.3052,1.8271
60,-6.3000,-4.5700,0.9600,1.2566,3.0598,1.5817
61,-6.1700,-5.0100,1.1600,1.1159,2.6976,0.9218
62,-6.8900,-5.4600,2.2400,1.1017,2.5405,0.4996
63,-7.4600,-5.5400,3.3500,1.1017,2.5405,0.4996
64,-7.8300,-5.5500,4.3100,1.0341,2.3529,0.0065
65,-8.0700,-5.1800,4.9000,0.8923,2.0115,-0.4920
66,-7.9300,-4.1400,4.9000,0.2989,1.0047,-1.5348
67,-7.9700,-3.9800,4.9700,0.0491,0.4745,-2.0344
68,-7.9100,-3.1600,4.9300,-0.0153,-0.1451,-2.5482
69,-7.8500,-1.8100,4.6900,-0.2018,-0.7047,-2.9703
70,-7.8100,-1.0900,4.6500,-0.3992,-1.2185,-3.2769
71,-8.0500,-0.5000,4.7400,-0.4821,-1.7541,-3.4318
72,-8.5600,1.0200,4.9100,-0.5051,-2.3507,-3.4699
73,-8.7200,1.5800,4.7400,-0.5051,-2.3507,-3.4699
74,-8.7800,2.1400,4.4100,-0.5541,-2.9954,-3.4339
75,-7.7000,3.5400,3.0200,-0.5727,-3.6117,-3.2899
76,-7.1600,3.3500,2.4200,-0.9108,-4.3470,-2.7118
77,-6.6600,3.8200,1.6400,-0.9218,-4.5368,-2.3017
78,-5.8900,4.6700,0.7200,-0.9218,-4.5368,-2.3017
79,-4.2400,4.2300,0.1900,-0.9523,-4.6578,-1.9351
80,-3.9700,3.8700,0.0000,-1.0232,-4.7549,-1.3210
81,-3.8100,3.6400,-0.2400,-1.0363,-4.9327,-1.2141
82,-2.9500,3.1600,-1.1000,-1.1596,-5.1160,-1.3363
83,-2.9300,2.4400,-1.4400,-1.2588,-5.2065,-1.4573
84,-3.1500,2.1400,-1.5700,-1.1770,-5.2458,-1.4781
85,-2.7400,1.7500,-1.9200,-1.0865,-5.3462,-1.4334
86,-2.6600,1.9000,-2.2600,-1.0723,-5.4356,-1.4475
87,-2.3400,1.8800,-2.8100,-1.0723,-5.4356,-1.4475
88,-1.7900,2.3200,-3.6100,-1.1879,-5.4749,-1.4617
89,-0.9400,1.0100,-4.1100,-1.4726,-5.2818,-1.4159
90,-0.9000,1.0500,-4.1700,-1.8348,-4.8487,-1.3526
91,-0.9900,1.3400,-3.9600,-1.7104,-4.3699,-1.2141
92,-1.7500,1.6000,-3.1500,-1.4017,-3.9117,-1.0210
93,-2.0100,1.5700,-2.9600,-1.1792,-3.5899,-0.8072
94,-2.2200,1.3200,-2.9700,-1.0734,-3.4623,-0.6501
95,-1.7800,1.5600,-3.3500,-1.0188,-3.4383,-0.5389
96,-2.5300,1.5000,-3.1300,-0.9032,-3.4579,-0.4407
97,-2.2900,1.4200,-3.3300,-0.8465,-3.3794,-0.2814
98,-2.1700,1.4800,-3.7100,-0.9130,-3.3379,-0.1538
99,-1.5200,1.6000,-4.5800,-0.9130,-3.3379,-0.1538
100,-1.4100,1.5600,-4.7500,-0.9032,-3.1187,-0.0273
101,-1.5700,1.3600,-4.6600,-0.9468,-2.3431,0.3752
102,-1.8300,1.2100,-4.4200,-1.0276,-2.0159,0.5443
103,-2.0500,0.3600,-4.2200,-1.0276,-2.0159,0.5443
104,-2.5900,-0.0600,-3.9000,-1.2523,-1.7257,0.6425
105,-2.9400,-0.2800,-3.6900,-1.1236,-1.3875,0.9130
106,-2.8600,-0.3900,-3.8300,-0.9861,-1.2872,1.0734
107,-2.7200,-0.5000,-4.0400,-0.8847,-1.1672,1.1934
108,-2.5400,-0.8700,-4.4900,-0.8847,-1.1672,1.1934
109,-2.5100,-1.2100,-4.6500,-0.8367,-0.9807,1.2490
110,-2.4100,-1.5600,-4.9100,-0.8399,-0.7483,1.2785
111,-2.4000,-1.8400,-5.0600,-0.8465,-0.4931,1.3035
112,-2.7800,-2.4100,-5.1800,-0.8356,-0.1963,1.3112
113,-3.2200,-2.9700,-4.9400,-0.8705,0.4603,1.1988
114,-3.7300,-3.5400,-4.6300,-0.8323,0.7298,1.1399
115,-4.5700,-4.8800,-3.8700,-0.7221,0.9261,1.1137
116,-4.7800,-5.8200,-3.5200,-0.5334,1.0461,1.1039
117,-4.9400,-6.4500,-3.3200,-0.2040,1.0876,1.0865
118,-4.7300,-7.6600,-3.3100,-0.2040,1.0876,1.0865
119,-4.5500,-8.1600,-3.4100,0.0764,1.0777,0.9523
120,-4.2300,-8.3300,-3.5900,0.2367,1.0505,0.6501
121,-4.2300,-8.2700,-3.7100,0.6480,1.1028,-0.1571
122,-3.7000,-7.2900,-4.0100,0.8585,1.1988,-0.5301
123,-3.7700,-6.9500,-3.8700,0.9708,1.3712,-0.8563
124,-3.7600,-6.5800,-3.6400,1.0734,1.5457,-1.1366
125,-3.9600,-5.6900,-3.0600,1.2326,1.6592,-1.3723
126,-3.9800,-5.5200,-2.8100,1.3734,1.7104,-1.5839
127,-3.9200,-5.2900,-2.6600,1.5152,1.7301,-1.7999
128,-4.3200,-4.4900,-2.1900,1.6188,1.7726,-2.0519
129,-4.3700,-3.8100,-2.0700,1.6930,1.8293,-2.3147
130,-4.3800,-3.0900,-1.8300,1.7770,1.8708,-2.5078
131,-4.5500,-2.2000,-1.4100,1.9133,1.8915,-2.5602
132,-4.8700,0.0000,-0.3400,2.0289,1.8762,-2.5002
133,-4.7300,0.5600,0.0000,2.0289,1.8762,-2.5002
134,-4.5200,0.7600,0.1300,1.9940,1.8086,-2.4129
135,-4.1300,1.4600,0.5500,1.8130,1.7181,-2.3584
136,-4.2400,1.8700,0.9100,1.5632,1.6101,-2.2929
137,-4.2900,2.3400,1.3700,1.5315,1.5872,-2.2133
138,-4.5300,2.9100,2.2400,1.4628,1.5424,-2.1086
139,-4.5200,3.0200,2.4800,1.3701,1.4464,-1.9711
140,-4.5700,3.2400,2.6600,1.3701,1.4464,-1.9711
141,-4.4900,3.0600,2.9500,1.1901,1.2185,-1.6657
142,-4.4100,3.3600,3.5500,1.1901,1.2185,-1.6657
143,-4.0700,3.8300,3.7100,1.1901,1.0876,-1.4672
144,-3.6800,4.2800,3.6800,1.1748,0.9196,-1.2566
145,-3.1600,4.5300,3.2900,0.9894,0.7189,-1.1279
146,-3.0700,4.3800,3.2200,0.6720,0.4920,-0.9970
147,-3.0800,4.1900,3.2200,0.1822,0.1680,-0.5585
148,-2.9500,3.2200,3.2400,0.1822,0.1680,-0.5585
149,-2.9100,2.6500,3.0800,0.0349,0.0425,-0.2803
150,-2.6100,2.0600,2.6700,-0.3807,-0.3425,0.0415
151,-2.3800,1.2900,2.2200,-0.5214,-0.5585,0.1014
152,-2.3000,-0.1800,1.6900,-0.5105,-0.7396,0.1549
153,-1.5100,-1.1500,1.2700,-0.3916,-0.9403,0.2400
154,-1.2600,-1.4100,0.7300,-0.0764,-1.0167,0.2531
155,-1.1800,-0.0300,-0.2100,-0.0764,-1.0167,0.2531
156,-1.1800,-0.4400,-0.2500,0.1680,-0.9512,0.2269
157,-1.4600,-0.7400,-0.0900,-0.0295,-0.9065,0.1484
158,-2.0700,-1.2200,0.4300,-0.1854,-0.7810,0.1353
159,-2.3200,-1.4300,0.6300,-0.2302,-0.6665,0.1734
