lineno,aX,aY,aZ,gX,gY,gZ
0,-0.8100,-1.2200,-6.4900,0.0316,-0.6981,0.2127
1,-0.9100,-1.8400,-6.5800,-0.0055,-0.5367,0.2367
2,-1.4600,-1.8700,-6.8300,0.1996,-0.3251,0.2836
3,-1.5200,-1.5100,-7.0500,0.4723,-0.1156,0.1789
4,-1.4400,-0.9000,-7.5300,0.5247,0.0185,-0.0567
5,-1.1200,-0.1300,-8.0300,0.5051,0.1789,-0.2062
6,-0.8500,0.4100,-8.3100,0.5858,0.4767,-0.1102
7,-0.8200,0.7000,-8.6300,0.6872,0.9021,0.1014
8,-0.7700,1.4400,-8.7800,0.6872,0.9021,0.1014
9,-0.4800,1.8200,-8.7200,0.6960,1.2632,0.2596
10,-0.4500,1.8100,-8.7500,0.5607,1.5293,0.3796
11,-0.2800,1.5900,-8.8800,0.3785,1.7595,0.5236
12,-0.6200,1.2600,-8.3700,0.1822,1.9646,0.6992
13,-0.7600,1.2900,-8.0800,-0.1233,2.4129,1.0156
14,-0.7900,1.0000,-7.7200,-0.1909,2.5787,1.1770
15,-0.7900,0.3400,-7.5200,-0.2749,2.7118,1.2785
16,-0.5500,0.4100,-7.6600,-0.2716,2.8612,1.3734
17,-0.1000,0.2400,-7.6000,-0.2553,3.1274,1.5163
18,0.2500,0.4300,-7.4800,-0.1593,3.5223,1.6919
19,-0.2200,1.6500,-6.9600,0.1189,3.9237,1.9559
20,-0.1800,2.5300,-6.6700,0.4461,4.2630,2.2918
21,0.0300,3.0700,-6.5700,0.4461,4.2630,2.2918
22,-0.7900,2.6300,-6.3100,0.6305,4.5782,2.7020
23,-1.2200,2.2500,-6.3800,0.6381,4.9436,3.1634
24,-1.6000,2.0900,-6.4400,0.3851,5.7999,3.8419
25,-5.5200,1.1400,-4.1900,0.1822,6.3595,4.0459
26,-5.1500,0.0700,-3.1900,0.1822,6.3595,4.0459
27,-4.4300,-0.7000,-3.0600,0.2422,6.6584,4.3099
28,-7.0800,-2.4800,-1.7700,0.2771,6.7937,4.5073
29,-6.8500,-5.2900,-0.4000,0.0055,7.3871,4.0121
30,-7.9800,-6.0400,1.2300,0.2334,7.6784,3.6499
31,-9.2700,-6.3800,2.8400,0.5770,7.8376,3.3881
32,-10.1200,-6.9300,4.7400,0.7341,7.5540,3.0511
33,-10.9400,-7.6400,5.7600,0.9970,6.9213,2.7554
34,-10.9300,-7.4200,6.2700,1.2185,6.0247,2.4195
35,-11.3300,-7.4000,6.7800,1.3864,5.1280,2.0126
36,-11.6600,-8.4600,7.6800,1.3864,5.1280,2.0126
37,-12.0900,-9.3500,8.7100,1.4028,4.4190,1.5948
38,-12.6000,-10.1800,10.0300,1.3319,3.8954,1.1246
39,-12.9000,-10.5900,11.5700,1.2075,2.6725,0.0295
40,-12.2900,-9.9800,11.5100,1.0767,1.8435,-0.5411
41,-11.6400,-9.3300,11.2500,0.8367,0.9828,-1.1366
42,-10.7800,-8.6200,11.0200,0.6076,0.2007,-1.6657
43,-10.5200,-8.1300,10.8100,0.5312,-0.4134,-2.1249
44,-10.3100,-7.5200,10.6500,0.5312,-0.4134,-2.1249
45,-10.3900,-5.0300,10.9000,0.4047,-0.9087,-2.6398
46,-10.5700,-3.8900,10.9500,0.0949,-1.8162,-3.7612
47,-10.3200,-2.5800,10.6500,-0.0469,-2.4500,-4.2455
48,-10.0600,-0.0500,9.7100,-0.1505,-3.1940,-4.6589
49,-10.1200,0.6100,9.1000,-0.1505,-3.1940,-4.6589
50,-9.8500,1.3500,8.2200,-0.3905,-4.6349,-5.0167
51,-8.8400,2.2700,6.1800,-0.5083,-5.2731,-4.9796
52,-7.0000,0.9300,3.3800,-0.7821,-5.4323,-4.8695
53,-6.7900,1.2000,2.6700,-0.5105,-5.3342,-4.5477
54,-6.6700,1.6000,2.0200,0.1538,-5.4225,-4.0404
55,-5.3000,2.3600,-0.4900,0.5880,-5.7181,-3.6805
56,-4.2800,3.1000,-2.4500,0.7025,-6.1076,-3.6205
57,-3.5200,3.7000,-3.8600,0.7287,-6.3781,-3.6576
58,-1.4900,4.1900,-5.7800,0.7374,-6.4064,-3.6641
59,-1.2800,4.0600,-6.5000,0.7079,-6.2941,-3.6510
60,-1.1600,4.2400,-7.3200,0.6949,-6.1076,-3.6172
61,-0.8500,4.4700,-8.1200,0.6949,-6.1076,-3.6172
62,-0.1100,4.9300,-8.8700,0.6425,-5.8458,-3.6172
63,-0.0300,4.7100,-9.0900,0.6010,-5.4618,-3.5834
64,-0.1500,4.8300,-9.4200,0.6850,-4.6164,-3.0663
65,1.9500,4.5700,-10.7100,0.6927,-4.2193,-2.6802
66,1.6100,4.4500,-11.0400,0.6010,-3.6772,-2.1478
67,1.9600,3.9900,-11.1600,0.5847,-3.0412,-1.7224
68,3.0200,3.9000,-11.4900,0.7112,-2.5045,-1.3755
69,3.0900,3.8900,-11.4800,0.7112,-2.5045,-1.3755
70,3.1100,3.9200,-11.4700,0.7712,-1.9668,-1.0363
71,3.0500,3.7200,-11.4000,0.6785,-1.0330,-0.5945
72,2.8100,3.7800,-11.2500,0.7298,-0.5781,-0.2858
73,2.8800,3.7500,-11.1900,0.8094,-0.1036,0.0480
74,2.9400,4.0400,-11.2500,0.8585,0.3643,0.3556
75,2.7000,3.6100,-10.9100,0.7876,0.8759,0.6600
76,2.5400,3.4900,-10.6100,0.6490,1.3646,0.9207
77,2.5100,3.5600,-10.5300,0.5792,1.7530,1.1825
78,2.2800,3.0100,-10.3600,0.4592,2.0704,1.4050
79,2.1700,2.2100,-10.2700,0.4592,2.0704,1.4050
80,2.1900,1.6600,-10.2200,0.2825,2.3496,1.5893
81,2.1400,1.0900,-10.1000,0.0753,2.9605,1.8239
82,1.5700,1.0900,-9.6900,0.0753,2.9605,1.8239
83,1.5700,1.2200,-9.4800,0.0633,3.3019,1.8730
84,1.4900,1.2900,-9.2900,0.1309,3.9837,2.0639
85,0.9400,1.2200,-8.8200,0.1233,4.2968,2.1697
86,0.9500,1.2700,-8.6800,0.1233,4.2968,2.1697
87,0.7300,0.4300,-8.1900,0.1767,4.5793,2.3344
88,-1.6200,-2.0500,-6.4200,0.1854,4.8989,2.5078
89,-2.8600,-2.5500,-5.1900,0.4734,5.3985,2.6245
90,-3.9300,-2.6500,-3.9200,0.4734,5.3985,2.6245
91,-5.4800,-3.1700,-1.6400,0.8138,5.4367,2.1958
92,-5.9100,-4.3600,-0.1000,0.7538,5.4738,1.8424
93,-5.6100,-4.9700,0.8600,0.5334,5.4400,1.4214
94,-5.0800,-5.2100,1.4700,0.5334,5.4400,1.4214
95,-5.7800,-6.5600,2.9500,0.3502,5.1356,0.9403
96,-5.8300,-6.6700,3.7800,-0.1462,4.5913,-0.1298
97,-5.3400,-6.2600,4.3700,-0.2891,4.2837,-0.6229
98,-8.0400,-6.7600,6.2300,-0.4625,4.0884,-0.9741
99,-7.3900,-6.0400,7.0600,-0.4625,4.0884,-0.9741
100,-7.7700,-5.2100,8.1300,-0.4538,3.8005,-1.0952
101,-9.9000,-4.3800,10.4300,0.2422,2.6453,-1.2141
102,-9.3300,-3.2700,10.7000,0.2422,2.6453,-1.2141
103,-9.0300,-2.7100,10.4200,0.4821,2.0409,-1.1552
104,-7.8100,-1.7800,9.8600,0.7636,1.2174,-1.1366
105,-6.4000,-0.1200,9.0100,0.9970,0.5400,-1.1366
106,-5.5500,0.4400,8.6100,1.7573,-0.4254,-1.0123
107,-4.8800,1.0900,8.1700,1.7573,-0.4254,-1.0123
108,-3.7500,1.2100,7.4100,1.9308,-0.8083,-0.8039
109,-2.4400,0.6700,6.4500,1.9188,-1.1814,-0.5443
110,-1.0300,0.1100,5.4300,1.8042,-1.7148,-0.3578
111,1.3800,-1.3000,3.7400,1.6679,-2.6245,-0.4527
