lineno,aX,aY,aZ,gX,gY,gZ
0,-2.1800,1.4900,-4.0700,1.1857,2.4925,-0.3512
1,-2.5400,1.2000,-3.8700,1.1857,2.4925,-0.3512
2,-2.2800,1.2000,-4.0800,1.1574,2.5155,-0.3109
3,-1.9900,1.0400,-4.3100,1.1672,2.4969,-0.2607
4,-1.6900,0.9300,-4.5700,1.1890,2.4904,-0.1920
5,-1.3300,1.2000,-4.8800,1.2523,2.5449,-0.1265
6,-1.2200,1.3500,-4.8500,1.3417,2.6431,-0.0458
7,-1.1500,1.3000,-4.7000,1.4268,2.7598,0.0753
8,-1.7800,1.5700,-4.0400,1.4944,2.8863,0.1996
9,-2.0600,1.8200,-3.6100,1.5959,3.0358,0.3022
10,-2.3500,1.8500,-3.2100,1.7039,3.1536,0.4145
11,-2.9500,2.0600,-2.4800,1.7301,3.2147,0.4723
12,-3.0000,2.2400,-2.0400,1.6930,3.2354,0.4691
13,-3.1300,2.3000,-1.4700,1.5304,3.2245,0.4211
14,-3.3000,1.8500,-0.8500,1.5304,3.2245,0.4211
15,-4.2500,0.6400,0.6300,1.3941,3.2409,0.4625
16,-4.4000,0.1300,1.3200,1.3068,3.2430,0.4800
17,-4.3200,-0.1800,1.8300,1.3395,3.1885,0.4996
18,-4.0600,-1.3700,1.8800,1.5010,2.9965,0.4200
19,-6.1300,0.4800,2.7400,1.5010,2.9965,0.4200
20,-2.6000,0.2600,2.7900,1.8337,2.8493,-0.0949
21,-3.3000,1.2300,3.1400,1.8337,2.8493,-0.0949
22,-3.2500,1.0700,3.3800,1.7879,2.8460,0.0055
23,-3.4300,0.9700,3.5100,1.4999,2.7696,-0.0633
24,-3.2800,0.3100,3.7500,1.0614,2.5580,0.1353
25,-3.7100,-0.3300,4.4300,1.0614,2.5580,0.1353
26,-3.7400,-0.7400,4.9100,0.8738,2.4380,-0.0240
27,-3.8700,-0.8800,5.4200,0.8607,2.0191,-0.3076
28,-4.2300,-1.2100,6.1700,0.9512,1.7737,-0.2978
