lineno,aX,aY,aZ,gX,gY,gZ
0,-2.1200,-3.9400,-6.3900,-0.2749,-0.6458,0.4254
1,-1.5500,-6.6400,-7.0400,-0.4025,-0.5149,0.4996
2,-0.3200,-2.4000,-8.2800,-0.0927,-0.1233,0.3142
3,-0.2400,-3.0900,-8.4100,-0.0927,-0.1233,0.3142
4,-0.1100,-1.6200,-8.8400,0.2607,0.9501,0.3927
5,0.0600,-0.9700,-9.7800,0.2607,0.9501,0.3927
6,0.1200,-1.2700,-10.0500,-0.1145,1.5304,0.5007
7,-0.2200,-1.5000,-10.2300,-0.1145,1.5304,0.5007
8,-1.5100,-1.9400,-9.9900,-0.1145,1.8697,0.7199
9,-2.3400,-1.8400,-9.5500,-0.0229,2.2646,0.9272
10,-2.9400,-1.7500,-9.1600,0.1527,2.6660,1.0679
11,-3.8700,-0.8900,-8.9000,0.3687,2.9671,1.1912
12,-3.9700,-0.5500,-8.7100,0.5203,3.4776,1.3995
13,-3.9200,-0.1700,-8.3600,0.6087,3.6870,1.5315
14,-3.7600,-0.3000,-8.1100,0.6087,3.6870,1.5315
15,-3.2300,-0.9100,-7.4500,0.6829,3.9095,1.7410
16,-2.8300,-1.5400,-7.0000,0.7330,4.1910,1.9733
17,-2.8800,-1.6200,-6.3300,0.8421,4.5411,2.2329
18,-5.5300,-1.0500,-3.8600,1.1617,4.9393,2.5133
19,-7.0300,-0.9500,-2.1400,1.5882,5.2033,2.7696
20,-7.6300,-0.4500,-1.2400,1.9711,5.1334,2.9322
21,-9.1300,-1.3800,0.5500,2.0977,4.7048,2.8678
22,-8.8800,-2.3400,1.4500,1.4170,3.7623,2.0649
23,-9.7100,-3.5600,2.6600,1.4170,3.7623,2.0649
24,-10.2800,-3.7100,3.6300,1.3723,3.0794,1.3603
25,-10.3400,-3.6600,4.3400,1.4115,2.6584,1.2174
26,-10.2800,-3.7200,4.1800,1.4344,2.1784,1.2359
27,-9.6100,-3.9400,3.6700,1.4344,2.1784,1.2359
28,-9.0100,-5.4900,3.5200,1.3461,1.7573,1.1705
29,-9.1200,-5.8200,3.7900,1.3123,1.4748,1.0483
30,-9.3000,-6.4200,4.1500,1.3788,1.3145,0.9196
31,-9.7900,-7.0900,4.8000,1.2566,0.9479,0.2738
32,-10.1900,-7.1100,5.0400,1.2566,0.9479,0.2738
33,-10.4800,-6.9400,5.2300,1.1072,0.6632,-0.2149
34,-10.9300,-7.1000,5.3100,0.7756,-0.0535,-1.1170
35,-10.8100,-7.4300,5.3600,0.6840,-0.3807,-1.3854
36,-10.4800,-7.9000,5.4200,0.5814,-0.6120,-1.6035
37,-10.0100,-7.5300,5.2200,0.5814,-0.6120,-1.6035
38,-8.8500,-5.4700,4.2200,0.6032,-0.8116,-1.7911
39,-8.4100,-4.9000,3.7100,0.5651,-1.1836,-2.0715
40,-8.0600,-4.2100,3.1900,0.4756,-1.3494,-2.2111
41,-7.2500,-3.5900,2.3600,0.3272,-1.4977,-2.4151
42,-7.1300,-3.1000,2.1500,0.3272,-1.4977,-2.4151
43,-7.0600,-2.4500,1.8800,0.2313,-1.6002,-2.6245
44,-6.8100,-1.9900,1.5900,0.1276,-1.8588,-2.8634
45,-6.2700,-1.4700,1.3700,0.1669,-2.0344,-2.8722
46,-5.9900,-0.8200,1.1900,0.2836,-2.2482,-2.7860
47,-5.6000,-0.3100,0.7700,0.3262,-2.4991,-2.6878
48,-4.6500,0.0000,-0.1000,0.3458,-2.7129,-2.6060
49,-4.3400,0.5600,-0.8200,0.4331,-2.8885,-2.5329
50,-4.0800,0.6300,-1.3700,0.4800,-2.9834,-2.4020
51,-3.0600,0.1500,-2.3100,0.4309,-2.9998,-2.2995
52,-2.7900,0.2200,-2.6100,0.4636,-2.9507,-2.2122
53,-2.5400,0.4700,-3.0000,0.4636,-2.9507,-2.2122
54,-2.1300,0.6800,-3.5600,0.5301,-2.9267,-2.0453
55,-0.9200,0.9100,-4.6600,0.4407,-2.8732,-1.9602
56,-0.3900,0.9200,-5.1300,0.4014,-2.7794,-1.8359
57,0.0900,1.1700,-5.6700,0.4080,-2.6409,-1.6624
58,1.3100,1.4300,-6.6900,0.3392,-2.4456,-1.5184
59,1.8200,1.3700,-7.1400,0.3392,-2.4456,-1.5184
60,2.2800,1.2800,-7.4400,0.2727,-2.2340,-1.3854
61,2.9400,0.9500,-7.6900,0.2749,-1.7028,-1.0352
62,3.0300,0.9400,-7.7600,0.3196,-1.4203,-0.8181
63,3.1800,0.9300,-7.8700,0.3491,-1.1694,-0.6207
64,3.8200,0.9800,-8.5700,0.3491,-1.1694,-0.6207
65,4.1900,0.8900,-8.9200,0.3349,-0.9479,-0.4483
66,4.3900,0.7300,-9.0600,0.2574,-0.6785,-0.3218
67,4.4300,0.8200,-9.0500,0.1407,-0.3142,-0.2509
