lineno,aX,aY,aZ,gX,gY,gZ
0,-6.7000,2.7200,-4.2900,4.0503,7.9882,0.4200
1,-6.5200,2.1600,-2.8600,4.0503,7.9882,0.4200
2,-5.4200,1.3500,-2.3400,3.8768,7.4024,0.5061
3,-4.7700,2.3000,-2.1700,3.6706,6.7119,0.5083
4,-3.6400,3.9400,-2.4000,3.6859,6.2592,0.4298
5,-2.4700,6.1700,-2.6700,3.2910,5.8098,-0.0164
6,-2.0000,6.4000,-2.6100,2.9256,5.7116,-0.1407
7,-1.8900,5.8700,-2.3000,2.9256,5.7116,-0.1407
8,-2.5600,5.3300,-1.3300,2.5231,5.7127,-0.2302
9,-4.8100,4.5200,1.9800,2.3529,5.6865,-0.2782
10,-4.9000,4.5000,2.8000,2.8612,5.1280,0.2062
11,-4.4000,4.7800,3.0800,2.9420,4.6262,0.3196
12,-5.1000,6.0900,4.1800,2.6704,4.2182,0.2509
13,-4.7600,6.3700,4.4500,2.2809,3.8092,0.2127
14,-4.2500,6.1700,4.5300,1.9199,3.3750,0.1963
15,-4.4200,4.4400,5.2600,1.5097,3.1569,0.2356
16,-4.4800,3.5600,5.7800,1.2512,3.0129,0.2367
17,-5.0500,3.2200,6.7300,1.2512,3.0129,0.2367
18,-5.1200,3.0300,7.3800,1.1596,2.8787,0.2203
19,-5.9200,3.6800,8.9300,1.1421,2.7260,0.2454
20,-7.4100,3.6200,9.9200,1.1705,1.9733,-0.0022
21,-8.3100,4.0500,11.4200,1.0243,1.5741,-0.0480
22,-10.5300,3.2200,13.2900,1.0243,1.5741,-0.0480
23,-10.1600,3.4400,12.9200,0.8748,0.1080,-0.0524
24,-9.7500,3.7600,12.3400,0.9414,-0.7985,-0.0873
25,-7.8100,4.1300,10.5300,0.9370,-1.6264,-0.1167
26,-6.8900,4.6700,9.6900,0.8007,-2.2155,-0.1844
27,-6.4500,5.6100,9.2500,0.8007,-2.2155,-0.1844
28,-6.4200,5.8700,9.5600,0.5531,-2.5416,-0.2891
29,-5.9300,5.6000,9.1200,0.2225,-2.7936,-0.3665
30,-6.2600,5.2600,9.1100,-0.4189,-3.6314,-0.2182
31,-6.4500,5.5800,8.7400,-0.6207,-4.1353,-0.2422
32,-5.6500,5.3300,7.3200,-0.8607,-4.7942,-0.3763
33,-5.3200,4.8000,6.2700,-1.0843,-5.4967,-0.5225
34,-5.1100,3.8700,5.3800,-1.1868,-6.1839,-0.5847
35,-3.0200,3.4900,2.6000,-1.1170,-6.8777,-0.6370
36,-2.1200,3.4400,1.2100,-1.0941,-7.3718,-0.7963
37,-1.6200,3.4100,0.2900,-1.0941,-7.3718,-0.7963
38,-1.1500,3.4900,-0.2000,-1.1148,-7.5475,-0.9927
39,-0.7100,3.4200,-0.9800,-1.1006,-7.5878,-1.1257
40,-0.2600,3.1300,-1.7800,-1.1988,-7.5616,-1.2174
41,0.0600,3.3800,-2.5000,-1.4977,-7.5126,-1.3810
42,1.0600,3.0500,-3.0300,-1.5719,-7.1798,-1.2992
43,1.4300,2.6800,-3.5500,-1.5719,-7.1798,-1.2992
44,1.0600,1.8400,-3.6600,-1.4410,-6.9191,-0.9719
45,1.6000,1.4900,-4.0100,-1.5533,-6.6028,-0.8487
46,1.0000,1.3800,-3.8300,-1.6428,-6.2952,-0.9599
